Wall time,Step,Value
1715615880.8250299,6,0.0
1715615880.98784,7,0.0
1715615881.912231,12,0.0
1715615882.435744,15,0.0
1715615882.60857,16,0.0
1715615883.071747,19,0.0
1715615883.454355,21,0.0
1715615884.098676,25,0.0
1715615886.0581388,37,0.0
1715615886.7604392,41,0.0
1715615887.158504,43,0.0
1715615887.527036,45,0.0
1715615887.701618,46,0.0
1715615888.0644128,48,0.0
1715615889.201173,54,0.0
1715615889.36314,55,0.0
1715615889.5393438,56,0.0
1715615889.728678,57,0.0
1715615889.880558,58,0.0
1715615891.2156632,66,0.0
1715615891.73856,69,0.0
1715615892.32574,72,0.0
1715615892.4654999,73,0.0
1715615892.62256,74,0.0
1715615892.7879198,75,0.0
1715615893.747823,80,0.0
1715615895.081635,88,0.0
1715615895.2070558,89,0.0
1715615896.292445,95,0.0
1715615897.66554,103,0.0
1715615898.1401558,106,0.0
1715615898.3162181,107,0.0
1715615899.722541,114,0.019999999552965164
1715615900.243341,117,0.019999999552965164
1715615900.638782,119,0.019999999552965164
1715615901.982732,127,0.019999999552965164
1715615902.514571,130,0.019999999552965164
1715615902.643898,131,0.019999999552965164
1715615904.074333,140,0.019999999552965164
1715615904.969729,142,0.03999999910593033
1715615905.152468,143,0.03999999910593033
1715615905.4122188,144,0.03999999910593033
1715615906.674625,151,0.03999999910593033
1715615907.573289,156,0.03999999910593033
1715615907.9101272,158,0.03999999910593033
1715615908.079665,159,0.03999999910593033
1715615908.9194582,163,0.019999999552965164
1715615909.7880268,168,0.019999999552965164
1715615909.9730802,169,0.019999999552965164
1715615910.5093582,172,0.019999999552965164
1715615911.573382,178,0.019999999552965164
1715615911.751455,179,0.019999999552965164
1715615912.130204,181,0.019999999552965164
1715615912.645802,184,0.019999999552965164
1715615912.955936,186,0.019999999552965164
1715615913.128057,187,0.019999999552965164
1715615913.492876,189,0.019999999552965164
1715615913.84009,191,0.019999999552965164
1715615914.045751,192,0.0
1715615915.5231218,199,0.019999999552965164
1715615917.0866969,207,0.03999999910593033
1715615917.217603,208,0.03999999910593033
1715615917.388454,209,0.03999999910593033
1715615918.02966,213,0.03999999910593033
1715615920.1319602,223,0.03999999910593033
1715615920.277899,224,0.03999999910593033
1715615920.626524,226,0.03999999910593033
1715615921.296076,230,0.03999999910593033
1715615921.774019,233,0.03999999910593033
1715615921.93791,234,0.03999999910593033
1715615922.1464808,235,0.03999999910593033
1715615922.752351,238,0.03999999910593033
1715615924.929479,250,0.0
1715615925.965316,256,0.0
1715615926.4857888,259,0.0
1715615926.808668,261,0.0
1715615926.986558,262,0.0
1715615927.382495,264,0.0
1715615928.1821382,268,0.0
1715615928.866397,272,0.0
1715615929.197433,274,0.0
1715615930.4320052,279,0.0
1715615932.772575,293,0.0
1715615933.607851,298,0.0
1715615933.77513,299,0.0
1715615934.477212,303,0.0
1715615934.664715,304,0.0
1715615935.31691,308,0.0
1715615935.50049,309,0.0
1715615936.017476,311,0.019999999552965164
1715615936.537688,314,0.019999999552965164
1715615937.458133,319,0.019999999552965164
1715615938.207795,320,0.019999999552965164
1715615938.387302,321,0.019999999552965164
1715615939.539604,326,0.019999999552965164
1715615939.7156658,327,0.019999999552965164
1715615939.937272,328,0.019999999552965164
1715615940.453886,331,0.019999999552965164
1715615942.262361,340,0.03999999910593033
1715615942.596224,342,0.03999999910593033
1715615943.6718771,348,0.03999999910593033
1715615944.686771,354,0.03999999910593033
1715615944.87361,355,0.03999999910593033
1715615945.966722,361,0.019999999552965164
1715615946.4682791,364,0.019999999552965164
1715615947.319695,368,0.019999999552965164
1715615948.024239,372,0.019999999552965164
1715615948.3542159,374,0.019999999552965164
1715615949.050424,378,0.019999999552965164
1715615949.230669,379,0.019999999552965164
1715615949.3589928,380,0.019999999552965164
1715615949.7149,382,0.019999999552965164
1715615950.751938,387,0.0
1715615951.604673,392,0.0
1715615951.78569,393,0.0
1715615952.0118,394,0.0
1715615954.7557619,409,0.0
1715615956.3648078,416,0.0
1715615957.405535,422,0.0
1715615957.6244469,423,0.0
1715615957.9355059,425,0.0
1715615958.335828,427,0.0
1715615959.020287,431,0.0
1715615960.8446012,440,0.019999999552965164
1715615961.199681,442,0.019999999552965164
1715615961.368764,443,0.019999999552965164
1715615961.973208,446,0.019999999552965164
1715615963.063156,452,0.019999999552965164
1715615964.445623,460,0.019999999552965164
1715615964.639816,461,0.019999999552965164
1715615965.2140899,464,0.019999999552965164
1715615965.42397,465,0.019999999552965164
1715615967.115131,474,0.019999999552965164
1715615967.397113,475,0.019999999552965164
1715615969.3922298,486,0.0
1715615969.849044,489,0.0
1715615970.011795,490,0.0
1715615970.363625,492,0.0
1715615970.733997,494,0.0
1715615973.01823,508,0.0
1715615973.885951,513,0.0
1715615974.200214,515,0.0
1715615974.6769412,518,0.0
1715615974.995903,520,0.0
1715615975.7928588,525,0.0
1715615975.9873102,526,0.0
1715615977.029901,532,0.0
