Wall time,Step,Value
1716078166.650435,6,-37.30263137817383
1716078166.914146,7,-37.841365814208984
1716078168.710776,12,-37.776432037353516
1716078169.7667232,15,-37.040035247802734
1716078170.173331,16,-36.566429138183594
1716078171.198863,19,-37.58716583251953
1716078171.9832609,21,-36.26911163330078
1716078174.3858502,25,-37.24003601074219
1716078178.4693172,37,-36.7778205871582
1716078179.82526,41,-37.491798400878906
1716078180.9939818,43,-36.59646224975586
1716078181.70475,45,-36.97766876220703
1716078181.99531,46,-37.61513900756836
1716078182.650868,48,-36.69983673095703
1716078185.144432,54,-36.6868896484375
1716078185.5500338,55,-35.898597717285156
1716078186.001333,56,-35.564208984375
1716078186.35759,57,-36.899837493896484
1716078186.6746292,58,-37.365455627441406
1716078189.663688,66,-36.626548767089844
1716078190.677929,69,-36.417091369628906
1716078191.58863,72,-37.46012496948242
1716078191.9163451,73,-36.88454818725586
1716078192.2727401,74,-36.45669174194336
1716078192.555439,75,-37.65103530883789
1716078194.0934558,80,-37.334014892578125
1716078197.4373481,88,-34.278228759765625
1716078197.959449,89,-35.21900939941406
1716078200.208064,95,-37.67947769165039
1716078202.89786,103,-36.586891174316406
1716078204.405016,106,-36.18738555908203
1716078204.7149818,107,-37.30263137817383
1716078207.149489,114,-35.79331970214844
1716078208.0703309,117,-37.77947998046875
1716078208.6612039,119,-37.365455627441406
1716078212.406197,127,-37.42850875854492
1716078213.521735,130,-37.523529052734375
1716078213.808316,131,-37.811737060546875
1716078216.6970692,140,-37.71513748168945
1716078217.504228,142,-36.21030044555664
1716078217.838783,143,-37.08454895019531
1716078218.212661,144,-36.387386322021484
1716078220.952769,151,-37.65103530883789
1716078222.8282208,156,-36.18738555908203
1716078223.601824,158,-36.03968048095703
1716078223.923677,159,-37.102630615234375
1716078225.2542799,163,-37.334014892578125
1716078227.039535,168,-36.57781982421875
1716078227.762872,169,-36.861183166503906
1716078228.669984,172,-37.71513748168945
1716078231.023544,178,-36.73871612548828
1716078231.30526,179,-37.48305892944336
1716078232.07065,181,-36.36642837524414
1716078233.15931,184,-36.117088317871094
1716078233.962523,186,-36.01708984375
1716078234.3034382,187,-36.88454818725586
1716078234.849378,189,-37.876434326171875
1716078235.900085,191,-36.1868896484375
1716078236.197089,192,-37.58716583251953
1716078238.508716,199,-36.246849060058594
1716078241.3051589,207,-35.021121978759766
1716078241.635293,208,-36.84003448486328
