Wall time,Step,Value
1716200320.031177,6,-54.58716583251953
1716200320.367808,7,-61.00882339477539
1716200322.1630158,12,-57.74728012084961
1716200323.324907,15,-82.83515167236328
1716200323.715235,16,-72.0468521118164
1716200325.163234,19,-72.65669250488281
1716200326.236704,21,-59.74728012084961
1716200327.7396538,25,-68.65669250488281
1716200331.274055,37,-59.040035247802734
1716200332.68928,41,-51.971946716308594
1716200333.5953732,43,-54.523529052734375
1716200334.755727,45,-89.42842102050781
1716200335.204681,46,-72.62248229980469
1716200335.767058,48,-63.55531692504883
1716200337.787353,54,-73.2868881225586
1716200338.0854652,55,-71.9227523803711
1716200338.432823,56,-82.34684753417969
1716200338.806998,57,-75.10652923583984
1716200339.103489,58,-58.39695358276367
1716200342.734866,66,-84.43389129638672
1716200343.695075,69,-57.939212799072266
1716200344.716665,72,-52.61907196044922
1716200345.151131,73,-79.46221160888672
1716200345.488426,74,-70.45669555664062
1716200345.7885928,75,-66.20882415771484
1716200347.499213,80,-61.02275085449219
1716200350.475571,88,-84.0691146850586
1716200350.824182,89,-52.53871536254883
1716200353.010292,95,-68.5553207397461
1716200356.053108,103,-68.39179992675781
1716200357.1656609,106,-61.92575454711914
1716200357.454432,107,-62.365455627441406
1716200359.688685,114,-58.71173858642578
1716200360.6921291,117,-55.3082389831543
1716200361.315249,119,-59.36012649536133
1716200364.287943,127,-62.365455627441406
1716200365.2960598,130,-72.80824279785156
1716200366.063016,131,-109.65531921386719
1716200369.396249,140,-66.961181640625
1716200370.264519,142,-88.31709289550781
1716200370.6259031,143,-77.09860229492188
1716200370.851394,144,-52.971946716308594
1716200373.0317,151,-54.811737060546875
1716200374.828044,156,-54.59859848022461
1716200375.6816661,158,-65.6642074584961
1716200376.022013,159,-54.491939544677734
1716200377.685396,163,-74.89193725585938
1716200379.391859,168,-65.71173858642578
1716200379.782974,169,-61.46012496948242
1716200380.7373362,172,-62.423526763916016
1716200383.148351,178,-85.2468490600586
1716200383.4944909,179,-80.77781677246094
1716200384.3663821,181,-57.528141021728516
1716200385.711488,184,-62.05362319946289
1716200386.53541,186,-85.18097686767578
1716200386.904031,187,-84.32814025878906
1716200387.548139,189,-82.38738250732422
1716200388.35458,191,-54.377197265625
1716200388.6983302,192,-80.43645477294922
1716200390.982442,199,-51.971946716308594
1716200394.415415,207,-55.71513748168945
1716200394.8170218,208,-70.39695739746094
1716200395.317285,209,-53.75773620605469
1716200396.99556,213,-83.43645477294922
1716200400.5546281,223,-72.98097229003906
1716200401.146642,224,-62.71173858642578
1716200401.753908,226,-55.58716583251953
1716200403.1841102,230,-75.27666473388672
1716200404.228513,233,-63.39695358276367
1716200404.574476,234,-59.65103530883789
1716200404.968458,235,-84.09332275390625
1716200405.992341,238,-53.97392272949219
1716200410.371378,250,-75.38738250732422
1716200412.2204108,256,-53.76642990112305
1716200413.2576761,259,-56.647281646728516
1716200414.2153459,261,-75.56192016601562
1716200414.697012,262,-83.29058074951172
1716200415.444389,264,-70.5868911743164
1716200417.08381,268,-76.8611831665039
1716200418.451961,272,-81.3664321899414
1716200419.1458318,274,-75.82275390625
1716200420.87596,279,-83.59646606445312
1716200425.960095,293,-64.07130432128906
1716200427.683512,298,-63.62275314331055
1716200427.9866722,299,-56.16545486450195
1716200429.161897,303,-67.39179992675781
1716200429.595863,304,-75.46192169189453
1716200431.4511302,308,-58.03645324707031
1716200431.9723039,309,-73.82575225830078
1716200432.634607,311,-86.93515014648438
1716200433.7617762,314,-58.26012420654297
1716200435.587494,319,-53.29179763793945
1716200435.881431,320,-71.33401489257812
1716200436.164638,321,-56.523529052734375
1716200437.764988,326,-66.60823822021484
1716200438.1104,327,-49.64657211303711
1716200438.846977,328,-89.12248229980469
1716200439.821192,331,-68.52352905273438
1716200442.850921,340,-74.62654876708984
1716200443.422364,342,-62.908870697021484
1716200445.452588,348,-91.23967742919922
1716200447.8709419,354,-54.399837493896484
1716200448.280842,355,-59.07666015625
1716200450.457407,361,-83.0577392578125
1716200451.506958,364,-49.43967819213867
1716200452.7823439,368,-67.46012878417969
1716200454.686913,372,-73.65170288085938
1716200455.383666,374,-59.11553192138672
1716200456.809175,378,-72.7771987915039
1716200457.084521,379,-54.38716506958008
1716200457.544868,380,-83.88097381591797
1716200458.21578,382,-73.27130126953125
1716200459.781877,387,-62.86924743652344
1716200461.788522,392,-49.61553192138672
1716200462.079966,393,-54.45103454589844
1716200462.420279,394,-59.30263137817383
1716200467.439223,409,-85.21029663085938
1716200470.601413,416,-64.5224838256836
1716200472.392968,422,-53.419071197509766
1716200472.749501,423,-54.399837493896484
1716200473.340161,425,-56.32352828979492
1716200473.9739468,427,-62.234012603759766
1716200475.298728,431,-80.86924743652344
1716200479.035083,440,-59.236454010009766
1716200479.615183,442,-61.491798400878906
1716200479.8906791,443,-56.58716583251953
1716200480.7665448,446,-60.97392272949219
1716200482.7537239,452,-58.39695358276367
1716200485.909472,460,-56.31714630126953
1716200486.197567,461,-60.365455627441406
1716200487.248498,464,-88.80459594726562
1716200487.550824,465,-63.97766876220703
1716200490.7031832,474,-59.58716583251953
1716200490.98768,475,-50.355316162109375
1716200494.817434,486,-66.37782287597656
1716200495.8062432,489,-52.68305587768555
1716200496.083762,490,-61.61907196044922
1716200496.799579,492,-77.04656982421875
1716200497.9706829,494,-75.4474868774414
1716200502.806886,508,-84.63288116455078
1716200504.468244,513,-65.95362091064453
1716200505.425232,515,-65.37782287597656
1716200506.38129,518,-59.71513748168945
1716200506.9952269,520,-59.13401412963867
1716200508.735363,525,-80.26220703125
1716200509.0108852,526,-56.45103454589844
1716200511.633138,532,-57.84405517578125
1716200512.3782358,534,-57.55531692504883
1716200513.336214,535,-53.115238189697266
1716200514.0137842,537,-83.25773620605469
1716200514.364107,538,-73.51714324951172
1716200515.538938,541,-66.9227523803711
1716200516.112455,543,-65.39695739746094
1716200517.687165,548,-65.33401489257812
1716200517.992939,549,-61.040035247802734
1716200521.552028,558,-67.10882568359375
1716200522.176405,560,-60.14657211303711
1716200523.596233,564,-56.438716888427734
1716200523.9561758,565,-77.1577377319336
1716200524.315201,566,-78.18738555908203
1716200525.54255,570,-84.6868896484375
1716200526.688214,574,-72.36012268066406
1716200527.002733,575,-54.97130584716797
1716200528.4130461,578,-57.71173858642578
1716200528.946903,580,-65.48716735839844
1716200529.352556,581,-53.896461486816406
1716200529.6643689,582,-59.77766799926758
1716200530.01018,583,-71.45669555664062
1716200530.4782941,584,-67.41714477539062
1716200531.0240011,585,-84.24246978759766
1716200531.6702342,587,-64.35531616210938
1716200531.95877,588,-56.26012420654297
1716200533.790862,593,-76.45097351074219
1716200534.207031,594,-66.12814331054688
1716200535.7463942,598,-79.12814331054688
1716200536.522707,601,-60.90653610229492
1716200537.062761,603,-50.908870697021484
1716200539.077895,609,-60.85362243652344
1716200539.677423,611,-67.14657592773438
1716200541.466486,616,-77.47601318359375
1716200543.164681,620,-50.776432037353516
1716200543.459381,621,-64.1340103149414
1716200544.203143,623,-83.21029663085938
1716200548.43534,635,-99.81523895263672
1716200551.295989,642,-58.48716354370117
1716200551.649479,643,-70.2468490600586
1716200552.3679411,645,-72.55669403076172
1716200552.744861,646,-82.21029663085938
1716200553.070467,647,-68.77781677246094
1716200553.3633358,648,-71.9227523803711
1716200554.008894,650,-65.63871765136719
1716200554.877044,653,-71.02275085449219
1716200556.29742,657,-72.87601470947266
1716200556.9296799,658,-70.14657592773438
1716200558.186667,662,-51.811737060546875
1716200559.0858932,665,-74.64745330810547
1716200560.283056,669,-56.408241271972656
1716200561.079361,672,-60.102630615234375
1716200561.467891,673,-64.45669555664062
1716200561.756332,674,-58.228511810302734
1716200562.1763022,675,-80.40459442138672
1716200562.4653382,676,-66.4917984008789
1716200563.282423,678,-72.72575378417969
1716200563.5404851,679,-51.908870697021484
1716200563.889645,680,-81.37666320800781
1716200565.122818,683,-81.73871612548828
1716200565.450142,684,-72.961181640625
1716200565.7130392,685,-57.811737060546875
1716200566.5430799,687,-68.26191711425781
1716200567.460442,689,-66.45669555664062
1716200567.8073978,690,-77.3664321899414
1716200570.192909,697,-77.74829864501953
1716200571.117894,700,-78.71714782714844
1716200572.742903,704,-78.50653076171875
1716200573.71504,707,-84.25773620605469
1716200574.3572109,709,-57.334014892578125
1716200574.992901,711,-90.30652618408203
1716200576.4752488,715,-89.65669250488281
1716200577.868672,719,-78.32814025878906
1716200579.2177238,722,-60.31714630126953
1716200579.615336,723,-52.98689270019531
1716200579.929474,724,-67.05361938476562
1716200580.2207181,725,-64.16545867919922
1716200581.903426,731,-56.61173629760742
1716200584.081315,737,-77.32814025878906
1716200584.791594,739,-75.61714172363281
1716200585.161909,740,-78.99332427978516
1716200586.7657988,744,-68.04656982421875
1716200587.8135839,747,-56.26012420654297
1716200588.141409,748,-57.90262985229492
1716200589.423361,751,-62.19646072387695
1716200589.694465,752,-58.811737060546875
1716200589.993844,753,-53.97130584716797
1716200590.705289,755,-74.40653228759766
1716200591.436317,757,-86.73515319824219
1716200593.833438,763,-71.28738403320312
1716200594.982761,766,-73.08454895019531
1716200595.256843,767,-58.61907196044922
1716200596.147546,770,-65.33401489257812
1716200596.452537,771,-81.95362091064453
1716200596.709974,772,-62.51906967163086
1716200597.227547,774,-56.71173858642578
1716200597.461428,775,-52.939212799072266
1716200599.67671,781,-89.24923706054688
1716200601.082148,785,-52.77947998046875
1716200601.34255,786,-63.51906967163086
1716200601.846715,788,-54.00474166870117
1716200602.617034,790,-54.38716506958008
1716200603.32385,792,-78.86421203613281
1716200603.681998,793,-61.49983596801758
1716200603.976795,794,-57.365455627441406
1716200604.30051,795,-72.38689422607422
1716200604.670604,796,-80.26911163330078
1716200605.5458,799,-53.29179763793945
1716200606.305296,801,-62.07130432128906
1716200606.9958222,803,-57.396461486816406
1716200608.29587,806,-54.653621673583984
1716200608.8598962,808,-58.07130432128906
1716200609.160735,809,-59.040035247802734
1716200609.604369,810,-76.12248229980469
1716200611.409162,816,-63.39695358276367
1716200611.7216861,817,-65.27130126953125
1716200612.3995268,819,-69.18738555908203
1716200613.511303,822,-82.29859924316406
1716200614.990516,826,-54.32352828979492
1716200615.9409359,829,-52.32352828979492
1716200616.7368,832,-51.46012496948242
1716200617.022669,833,-60.42850875854492
1716200617.691978,835,-62.65103530883789
1716200618.295191,837,-72.61714172363281
1716200618.9595551,839,-78.01029968261719
1716200620.464918,844,-88.09332275390625
1716200621.465069,847,-83.3964614868164
1716200622.367208,849,-52.03401565551758
1716200627.204566,864,-75.86924743652344
1716200628.481659,868,-79.34684753417969
1716200629.580556,870,-68.48689270019531
1716200629.9536178,871,-74.2468490600586
1716200631.1147609,875,-64.68305969238281
1716200631.6721878,877,-56.29179763793945
1716200632.003221,878,-54.523529052734375
1716200633.0641348,881,-63.20262908935547
1716200633.908484,883,-70.0211181640625
1716200634.4442172,885,-54.71173858642578
1716200635.628221,888,-65.07666015625
1716200636.166272,890,-66.17130279541016
1716200636.766422,891,-59.55531692504883
1716200637.395495,893,-85.1577377319336
1716200638.775777,897,-63.65103530883789
1716200640.263811,901,-84.09332275390625
1716200643.16695,908,-54.841365814208984
1716200643.4594612,909,-60.228511810302734
1716200644.050436,910,-62.808868408203125
1716200644.458519,911,-79.26911163330078
1716200645.225495,913,-57.3082389831543
1716200646.261106,916,-57.00653076171875
1716200646.702497,917,-74.39066314697266
1716200647.025116,918,-60.915531158447266
1716200647.993257,921,-57.97766876220703
1716200648.281141,922,-55.32352828979492
1716200648.52448,923,-53.841365814208984
1716200648.863717,924,-65.69983673095703
1716200651.7665532,932,-65.26642608642578
1716200652.0899851,933,-62.991939544677734
1716200653.218959,936,-68.7370834350586
1716200655.385556,943,-86.09332275390625
1716200656.36063,946,-87.35773468017578
1716200659.4748192,954,-86.46028137207031
1716200659.870731,955,-57.1868896484375
1716200660.459745,957,-51.19695281982422
1716200660.993504,958,-75.60917663574219
1716200661.294025,959,-68.27130126953125
1716200662.287096,962,-76.26642608642578
1716200662.5451741,963,-54.876434326171875
1716200663.206867,965,-59.77947998046875
1716200663.9448571,967,-80.19860076904297
1716200665.474807,972,-82.53645324707031
1716200666.153204,973,-62.106529235839844
1716200667.43974,977,-66.48689270019531
1716200667.6615329,978,-47.07051467895508
1716200668.0113258,979,-77.50653076171875
1716200668.37188,980,-53.59193801879883
1716200669.311641,983,-59.39695358276367
1716200669.731565,984,-60.09859848022461
1716200670.0119889,985,-57.523529052734375
1716200671.088896,988,-71.64745330810547
1716200671.372475,989,-57.32352828979492
1716200674.0900748,997,-64.0400390625
1716200675.5303922,1001,-75.1577377319336
1716200676.155943,1003,-60.59983825683594
1716200676.818392,1005,-64.90882110595703
1716200677.142734,1006,-75.55669403076172
1716200678.15821,1009,-64.99193572998047
1716200679.395046,1012,-77.63288116455078
1716200679.6587782,1013,-54.77947998046875
1716200680.278296,1014,-78.79983520507812
1716200680.674348,1015,-99.00614929199219
1716200681.682179,1018,-53.971946716308594
1716200684.595663,1026,-59.11714553833008
1716200685.2531872,1028,-62.36012649536133
1716200685.919613,1030,-64.39695739746094
1716200686.578094,1032,-80.31709289550781
1716200686.8875918,1033,-58.040035247802734
1716200687.9921012,1036,-56.90653610229492
1716200688.51856,1038,-72.26545715332031
1716200689.0837219,1040,-61.16545486450195
1716200690.7419279,1045,-58.939212799072266
1716200693.220324,1052,-99.94829559326172
1716200693.574653,1053,-71.65669250488281
1716200695.046171,1056,-63.26545333862305
1716200695.783147,1058,-66.3364486694336
1716200697.476204,1064,-56.29179763793945
1716200697.774593,1065,-69.27130126953125
1716200698.5347562,1067,-71.61714172363281
1716200699.212252,1069,-88.22814178466797
1716200700.469601,1073,-55.61907196044922
1716200701.803661,1077,-58.58305740356445
1716200702.779524,1079,-82.62654876708984
1716200704.711314,1084,-73.50614929199219
1716200705.137409,1085,-78.0691146850586
1716200705.5128162,1086,-68.53047943115234
1716200708.396566,1093,-56.971946716308594
1716200708.649778,1094,-54.808868408203125
1716200711.335837,1100,-70.24003601074219
1716200713.523645,1104,-81.26911163330078
1716200713.8670871,1105,-71.63871765136719
1716200714.209753,1106,-86.43645477294922
1716200717.6310909,1115,-68.66117858886719
1716200718.3246322,1117,-76.79983520507812
1716200719.391739,1120,-55.11714553833008
1716200721.140537,1126,-74.89983367919922
1716200721.449002,1127,-73.67781829833984
1716200722.650144,1131,-64.64727783203125
1716200723.743003,1134,-74.4766616821289
1716200724.01911,1135,-58.61907196044922
1716200724.350946,1136,-66.93048095703125
1716200725.7066932,1139,-55.926551818847656
1716200729.3168352,1150,-58.68305587768555
1716200730.195513,1153,-57.102630615234375
1716200731.237259,1156,-98.064208984375
1716200731.936983,1157,-53.126548767089844
1716200732.36926,1158,-79.67719268798828
1716200733.458632,1161,-80.65170288085938
1716200733.791011,1162,-72.51714324951172
1716200734.080676,1163,-61.228511810302734
1716200739.384902,1178,-55.876434326171875
1716200740.3381388,1181,-58.72275161743164
1716200740.9395452,1183,-65.39695739746094
1716200741.256684,1184,-85.83048248291016
1716200741.785368,1186,-58.776432037353516
1716200742.083161,1187,-60.55531692504883
1716200742.939018,1190,-52.547279357910156
1716200743.967974,1193,-69.66117858886719
1716200744.293004,1194,-79.5868911743164
1716200744.982692,1196,-83.40653228759766
1716200745.6484501,1198,-59.26012420654297
1716200746.820708,1200,-83.77781677246094
1716200747.3464751,1202,-59.00474166870117
1716200748.6314921,1205,-68.85773468017578
1716200749.2751832,1207,-80.28738403320312
1716200750.1543949,1209,-77.29859924316406
1716200750.971963,1211,-78.85350799560547
1716200751.564139,1213,-58.784549713134766
1716200752.2074518,1215,-57.6304817199707
1716200756.053681,1225,-52.71173858642578
1716200757.318337,1229,-65.76924896240234
1716200758.826965,1233,-70.13323211669922
1716200759.1979158,1234,-61.2778205871582
1716200759.54662,1235,-89.37666320800781
1716200760.399717,1237,-82.17739868164062
1716200761.5809689,1240,-56.45103454589844
1716200762.511743,1243,-61.42850875854492
1716200763.871965,1245,-57.70652770996094
1716200764.868303,1248,-85.26911163330078
1716200766.8476968,1254,-79.80824279785156
1716200767.4490728,1256,-54.102630615234375
1716200768.019725,1258,-58.16545486450195
1716200768.382601,1259,-74.3364486694336
1716200769.860569,1262,-80.0691146850586
1716200770.147504,1263,-56.355316162109375
1716200770.44172,1264,-59.334014892578125
1716200771.345493,1267,-62.334014892578125
1716200774.2917461,1275,-62.39695358276367
1716200775.9666529,1280,-57.74728012084961
1716200777.1240199,1282,-64.86504364013672
1716200779.432692,1288,-59.355316162109375
1716200780.891283,1292,-72.99859619140625
1716200781.167834,1293,-62.32851028442383
1716200781.483946,1294,-59.08454895019531
1716200781.897473,1295,-79.67719268798828
1716200784.2545202,1301,-56.48305892944336
1716200785.194994,1304,-84.40653228759766
1716200787.7201788,1311,-68.31714630126953
1716200788.5292668,1313,-91.22814178466797
1716200789.573052,1316,-53.491798400878906
1716200789.885303,1317,-64.97766876220703
1716200790.718761,1320,-55.15531921386719
1716200791.296386,1321,-60.74728012084961
1716200792.834652,1326,-63.338714599609375
1716200793.221065,1327,-78.12248229980469
1716200793.5734332,1328,-62.53871536254883
1716200794.629931,1331,-60.419071197509766
1716200796.095616,1334,15.675920486450195
1716200796.8517601,1335,-67.52167510986328
1716200797.1228778,1336,-52.61907196044922
1716200797.417543,1337,-58.523529052734375
1716200797.769162,1338,-49.61553192138672
1716200800.265138,1344,-52.58716583251953
1716200802.156833,1350,-57.71513748168945
1716200804.1403,1356,-68.3964614868164
1716200805.3869498,1360,-76.53645324707031
