Wall time,Step,Value
1716200320.031171,6,0.0
1716200320.3678021,7,0.0
1716200322.163011,12,0.0
1716200323.3249018,15,0.0
1716200323.715229,16,0.0
1716200325.163229,19,0.0
1716200326.2366982,21,0.0
1716200327.739649,25,0.0
1716200331.27405,37,0.0
1716200332.6892748,41,0.0
1716200333.595368,43,0.0
1716200334.75572,45,0.0
1716200335.2046762,46,0.0
1716200335.767052,48,0.0
1716200337.787348,54,0.0
1716200338.085459,55,0.0
1716200338.432817,56,0.0
1716200338.806989,57,0.0
1716200339.103484,58,0.0
1716200342.7348611,66,0.0
1716200343.695068,69,0.0
1716200344.7166588,72,0.0
1716200345.151126,73,0.0
1716200345.4884212,74,0.0
1716200345.7885828,75,0.0
1716200347.499207,80,0.0
1716200350.4755661,88,0.0
1716200350.824176,89,0.0
1716200353.010286,95,0.0
1716200356.053102,103,0.0
1716200357.1656551,106,0.0
1716200357.4544268,107,0.0
1716200359.6886778,114,0.0
1716200360.692124,117,0.0
1716200361.315238,119,0.0
1716200364.287937,127,0.0
1716200365.2960541,130,0.0
1716200366.06301,131,0.0
1716200369.396244,140,0.0
1716200370.264514,142,0.0
1716200370.625898,143,0.0
1716200370.851389,144,0.0
1716200373.0316942,151,0.0
1716200374.828038,156,0.0
1716200375.68166,158,0.0
1716200376.0220082,159,0.0
1716200377.68539,163,0.0
1716200379.391854,168,0.0
1716200379.782968,169,0.0
1716200380.73733,172,0.0
1716200383.1483462,178,0.0
1716200383.494485,179,0.0
1716200384.3663769,181,0.0
1716200385.7114828,184,0.0
1716200386.5354009,186,0.0
1716200386.904026,187,0.0
1716200387.548129,189,0.0
1716200388.354574,191,0.0
1716200388.698324,192,0.0
1716200390.982432,199,0.0
1716200394.4154088,207,0.0
1716200394.8170161,208,0.0
1716200395.317278,209,0.0
1716200396.995554,213,0.0
1716200400.554622,223,0.0
1716200401.146635,224,0.0
1716200401.7539022,226,0.0
1716200403.184105,230,0.0
1716200404.2285068,233,0.0
1716200404.5744698,234,0.0
1716200404.9684522,235,0.0
1716200405.992335,238,0.0
1716200410.371373,250,0.0
1716200412.220405,256,0.0
1716200413.25767,259,0.0
1716200414.2153401,261,0.0
1716200414.697006,262,0.0
1716200415.444384,264,0.0
1716200417.0838048,268,0.0
1716200418.451954,272,0.0
1716200419.145827,274,0.0
1716200420.875954,279,0.0
1716200425.9600892,293,0.0
1716200427.683507,298,0.0
1716200427.986666,299,0.0
1716200429.161891,303,0.0
1716200429.5958579,304,0.0
1716200431.451124,308,0.0
1716200431.972298,309,0.0
1716200432.6346009,311,0.0
1716200433.761769,314,0.0
1716200435.5874891,319,0.0
1716200435.881425,320,0.0
1716200436.164633,321,0.0
1716200437.764979,326,0.0
1716200438.110394,327,0.0
1716200438.8469708,328,0.0
1716200439.821187,331,0.0
1716200442.8509161,340,0.0
1716200443.422359,342,0.0
1716200445.452577,348,0.0
1716200447.870933,354,0.0
1716200448.280837,355,0.0
1716200450.457401,361,0.0
1716200451.50695,364,0.0
1716200452.7823339,368,0.0
1716200454.686908,372,0.0
1716200455.383656,374,0.0
1716200456.8091688,378,0.0
1716200457.084516,379,0.0
1716200457.544862,380,0.0
1716200458.215774,382,0.0
1716200459.781871,387,0.0
1716200461.788516,392,0.0
1716200462.079961,393,0.0
1716200462.420274,394,0.0
1716200467.4392169,409,0.0
1716200470.601402,416,0.0
1716200472.3929632,422,0.0
1716200472.749495,423,0.0
1716200473.340155,425,0.0
1716200473.973941,427,0.0
1716200475.298723,431,0.0
1716200479.035077,440,0.0
1716200479.615177,442,0.0
1716200479.890673,443,0.0
1716200480.766539,446,0.0
1716200482.753718,452,0.0
1716200485.909466,460,0.0
1716200486.197558,461,0.0
1716200487.248493,464,0.0
1716200487.550813,465,0.0
1716200490.703177,474,0.0
1716200490.987674,475,0.0
1716200494.8174279,486,0.0
1716200495.8062332,489,0.0
1716200496.083752,490,0.0
1716200496.799573,492,0.0
1716200497.970677,494,0.0
1716200502.806876,508,0.0
1716200504.468238,513,0.0
1716200505.425226,515,0.0
1716200506.381284,518,0.0
1716200506.995221,520,0.0
1716200508.735357,525,0.0
1716200509.010879,526,0.0
1716200511.633132,532,0.0
1716200512.37823,534,0.0
1716200513.3362088,535,0.0
1716200514.013778,537,0.0
1716200514.364102,538,0.0
1716200515.538931,541,0.0
1716200516.1124501,543,0.0
1716200517.68716,548,0.0
1716200517.992933,549,0.0
1716200521.552021,558,0.0
1716200522.176399,560,0.0
1716200523.5962281,564,0.0
1716200523.956171,565,0.0
1716200524.3151958,566,0.0
1716200525.542544,570,0.0
1716200526.6882088,574,0.0
1716200527.0027268,575,0.0
1716200528.4130409,578,0.0
1716200528.9468968,580,0.0
1716200529.352551,581,0.0
1716200529.664364,582,0.0
1716200530.010174,583,0.0
1716200530.478283,584,0.0
1716200531.0239959,585,0.0
1716200531.670228,587,0.0
1716200531.958764,588,0.0
1716200533.790853,593,0.0
1716200534.2070248,594,0.0
1716200535.746388,598,0.0
1716200536.522701,601,0.0
1716200537.062756,603,0.0
1716200539.077889,609,0.0
1716200539.677418,611,0.0
1716200541.466481,616,0.0
1716200543.1646762,620,0.0
1716200543.459376,621,0.0
1716200544.203137,623,0.0
1716200548.435335,635,0.0
1716200551.295983,642,0.0
1716200551.649473,643,0.0
1716200552.367935,645,0.0
1716200552.744856,646,0.0
1716200553.070462,647,0.0
1716200553.363331,648,0.0
1716200554.0088892,650,0.0
1716200554.877038,653,0.0
1716200556.2974138,657,0.0
1716200556.929674,658,0.0
1716200558.186662,662,0.0
1716200559.085883,665,0.0
1716200560.283051,669,0.0
1716200561.079356,672,0.0
1716200561.46788,673,0.0
1716200561.756326,674,0.0
1716200562.176296,675,0.0
1716200562.465333,676,0.0
1716200563.282418,678,0.0
1716200563.540479,679,0.0
1716200563.8896399,680,0.0
1716200565.122813,683,0.0
1716200565.4501371,684,0.0
1716200565.713033,685,0.0
1716200566.5430741,687,0.0
1716200567.460437,689,0.0
1716200567.807393,690,0.0
1716200570.192904,697,0.0
1716200571.117889,700,0.0
1716200572.742898,704,0.0
1716200573.715034,707,0.0
1716200574.357206,709,0.0
1716200574.992896,711,0.0
1716200576.475244,715,0.0
1716200577.8686662,719,0.0
1716200579.217719,722,0.0
1716200579.6153312,723,0.0
1716200579.9294689,724,0.0
1716200580.220713,725,0.0
1716200581.903421,731,0.0
1716200584.0813088,737,0.0
1716200584.791589,739,0.0
1716200585.161904,740,0.0
1716200586.765794,744,0.0
1716200587.813579,747,0.0
1716200588.141403,748,0.0
1716200589.4233558,751,0.0
1716200589.69446,752,0.0
1716200589.993838,753,0.0
1716200590.7052832,755,0.0
1716200591.436311,757,0.0
1716200593.8334332,763,0.0
1716200594.9827561,766,0.0
1716200595.2568378,767,0.0
1716200596.147541,770,0.0
1716200596.452532,771,0.0
1716200596.7099688,772,0.0
1716200597.227541,774,0.0
1716200597.4614232,775,0.0
1716200599.676703,781,0.0
1716200601.0821419,785,0.0
1716200601.3425448,786,0.0
1716200601.84671,788,0.0
1716200602.617028,790,0.0
1716200603.3238442,792,0.0
1716200603.681993,793,0.0
1716200603.976789,794,0.0
1716200604.3005052,795,0.0
1716200604.6705978,796,0.0
1716200605.545795,799,0.0
1716200606.305291,801,0.0
1716200606.995817,803,0.0
1716200608.295865,806,0.0
1716200608.85989,808,0.0
1716200609.1607301,809,0.0
1716200609.604363,810,0.0
1716200611.409157,816,0.0
1716200611.7216809,817,0.0
1716200612.399519,819,0.0
1716200613.511298,822,0.0
1716200614.99051,826,0.0
1716200615.940931,829,0.0
1716200616.736794,832,0.0
1716200617.0226638,833,0.0
1716200617.691972,835,0.0
1716200618.2951858,837,0.0
1716200618.959549,839,0.0
1716200620.464912,844,0.0
1716200621.465064,847,0.0
1716200622.367202,849,0.0
1716200627.204555,864,0.0
1716200628.481654,868,0.0
1716200629.580551,870,0.0
1716200629.953613,871,0.0
1716200631.1147552,875,0.0
1716200631.6721768,877,0.0
1716200632.0032141,878,0.0
1716200633.06413,881,0.0
1716200633.908479,883,0.0
1716200634.444211,885,0.0
1716200635.628216,888,0.0
1716200636.166262,890,0.0
1716200636.7664168,891,0.0
1716200637.39549,893,0.0
1716200638.7757719,897,0.0
1716200640.263805,901,0.0
1716200643.166945,908,0.0
1716200643.459455,909,0.0
1716200644.05043,910,0.0
1716200644.4585128,911,0.0
1716200645.2254899,913,0.0
1716200646.2611,916,0.0
1716200646.702487,917,0.0
1716200647.02511,918,0.0
1716200647.9932501,921,0.0
1716200648.281136,922,0.0
1716200648.5244741,923,0.0
1716200648.863712,924,0.0
1716200651.766547,932,0.0
1716200652.089979,933,0.0
1716200653.218954,936,0.0
1716200655.38555,943,0.0
1716200656.3606248,946,0.0
1716200659.474814,954,0.0
1716200659.8707252,955,0.0
1716200660.45974,957,0.0
1716200660.9934988,958,0.0
1716200661.294019,959,0.0
1716200662.287091,962,0.0
1716200662.545168,963,0.0
1716200663.206861,965,0.0
1716200663.944851,967,0.0
1716200665.474802,972,0.0
1716200666.1531992,973,0.0
1716200667.439734,977,0.0
1716200667.6615272,978,0.0
1716200668.011321,979,0.0
1716200668.371874,980,0.0
1716200669.311635,983,0.0
1716200669.73156,984,0.0
1716200670.0119839,985,0.0
1716200671.0888908,988,0.0
1716200671.372469,989,0.0
1716200674.09007,997,0.0
1716200675.530387,1001,0.0
1716200676.1559381,1003,0.0
1716200676.818387,1005,0.0
1716200677.142729,1006,0.0
1716200678.158205,1009,0.0
1716200679.395041,1012,0.0
1716200679.658773,1013,0.0
1716200680.27829,1014,0.0
1716200680.6743429,1015,0.0
1716200681.682174,1018,0.0
1716200684.5956569,1026,0.0
1716200685.253182,1028,0.0
1716200685.919608,1030,0.0
1716200686.5780869,1032,0.0
1716200686.887587,1033,0.0
1716200687.992095,1036,0.0
1716200688.518555,1038,0.0
1716200689.0837162,1040,0.0
1716200690.741923,1045,0.0
1716200693.220319,1052,0.0
1716200693.574647,1053,0.0
1716200695.046166,1056,0.0
1716200695.7831419,1058,0.0
1716200697.476199,1064,0.0
1716200697.7745879,1065,0.0
1716200698.534751,1067,0.0
1716200699.2122471,1069,0.0
1716200700.469595,1073,0.0
1716200701.8036559,1077,0.0
1716200702.779518,1079,0.0
1716200704.711307,1084,0.0
1716200705.137404,1085,0.0
1716200705.512811,1086,0.0
1716200708.396555,1093,0.0
1716200708.6497731,1094,0.0
1716200711.335832,1100,0.0
1716200713.5236402,1104,0.0
1716200713.8670762,1105,0.0
1716200714.2097468,1106,0.0
1716200717.6310852,1115,0.0
1716200718.3246248,1117,0.0
1716200719.3917341,1120,0.0
1716200721.140532,1126,0.0
1716200721.448997,1127,0.0
1716200722.6501389,1131,0.0
1716200723.742997,1134,0.0
1716200724.019104,1135,0.0
1716200724.350941,1136,0.0
1716200725.706687,1139,0.0
1716200729.31683,1150,0.0
1716200730.1955042,1153,0.0
1716200731.2372532,1156,0.0
1716200731.936977,1157,0.0
1716200732.3692548,1158,0.0
1716200733.458622,1161,0.0
1716200733.7910058,1162,0.0
1716200734.0806699,1163,0.0
1716200739.384897,1178,0.0
1716200740.3381288,1181,0.0
1716200740.93954,1183,0.0
1716200741.2566779,1184,0.0
1716200741.785362,1186,0.0
1716200742.083149,1187,0.0
1716200742.939012,1190,0.0
1716200743.967968,1193,0.0
1716200744.292999,1194,0.0
1716200744.982686,1196,0.0
1716200745.648444,1198,0.0
1716200746.820699,1200,0.0
1716200747.3464692,1202,0.0
1716200748.631486,1205,0.0
1716200749.275177,1207,0.0
1716200750.15439,1209,0.0
1716200750.971957,1211,0.0
1716200751.564134,1213,0.0
1716200752.207446,1215,0.0
1716200756.053675,1225,0.0
1716200757.318332,1229,0.0
1716200758.826955,1233,0.0
1716200759.197911,1234,0.0
1716200759.5466151,1235,0.0
1716200760.399712,1237,0.0
1716200761.5809631,1240,0.0
1716200762.511737,1243,0.0
1716200763.8719602,1245,0.0
1716200764.868292,1248,0.0
1716200766.847688,1254,0.0
1716200767.449067,1256,0.0
1716200768.019719,1258,0.0
1716200768.382596,1259,0.0
1716200769.860561,1262,0.0
1716200770.147498,1263,0.0
1716200770.441715,1264,0.0
1716200771.345487,1267,0.0
1716200774.29174,1275,0.019999999552965164
1716200775.9666471,1280,0.019999999552965164
1716200777.124015,1282,0.019999999552965164
1716200779.432682,1288,0.019999999552965164
1716200780.891278,1292,0.019999999552965164
1716200781.167829,1293,0.019999999552965164
1716200781.483941,1294,0.019999999552965164
1716200781.8974679,1295,0.019999999552965164
