Wall time,Step,Value
1716074053.997879,6,0.0
1716074054.3139358,7,0.0
1716074056.492568,12,0.0
1716074057.8422809,15,0.0
1716074058.3664799,16,0.0
1716074059.28819,19,0.0
1716074060.307487,21,0.0
1716074061.756004,25,0.0
1716074066.3228369,37,0.0
1716074067.893854,41,0.0
1716074068.648407,43,0.0
1716074069.241506,45,0.0
1716074069.624695,46,0.0
1716074070.394023,48,0.0
1716074072.935244,54,0.0
1716074073.3323112,55,0.0
1716074073.763755,56,0.0
1716074074.236908,57,0.0
1716074074.734213,58,0.0
1716074078.101747,66,0.0
1716074079.318727,69,0.0
1716074080.448562,72,0.0
1716074080.834972,73,0.0
1716074081.386631,74,0.0
1716074081.821989,75,0.0
1716074083.533509,80,0.0
1716074087.2769501,88,0.0
1716074087.598565,89,0.0
1716074090.0476868,95,0.0
1716074093.094881,103,0.0
1716074094.2240992,106,0.0
1716074094.590026,107,0.0
1716074097.347456,114,0.0
1716074098.580711,117,0.0
1716074099.617588,119,0.0
1716074103.084125,127,0.0
1716074104.275381,130,0.0
1716074104.7259462,131,0.0
1716074108.301623,140,0.0
1716074109.1538959,142,0.0
1716074109.60799,143,0.0
1716074109.960149,144,0.0
1716074112.6368341,151,0.0
1716074114.650264,156,0.0
1716074115.31954,158,0.0
1716074115.7457721,159,0.0
1716074117.287572,163,0.0
1716074120.141629,168,0.0
1716074120.662184,169,0.0
1716074122.0204,172,0.0
1716074124.266863,178,0.0
1716074124.6504571,179,0.0
1716074125.40748,181,0.0
1716074126.666927,184,0.0
1716074127.534956,186,0.0
1716074128.049901,187,0.0
1716074128.965536,189,0.0
1716074129.722332,191,0.0
1716074130.082623,192,0.0
1716074132.820478,199,0.0
1716074136.426819,207,0.0
1716074136.855273,208,0.0
1716074137.337025,209,0.0
1716074138.904636,213,0.0
1716074142.350809,223,0.0
1716074142.7083058,224,0.0
1716074143.526455,226,0.0
1716074145.380069,230,0.0
1716074146.660426,233,0.0
1716074147.066129,234,0.0
1716074147.492157,235,0.0
1716074148.6316411,238,0.0
1716074153.8001862,250,0.0
1716074156.491555,256,0.0
1716074157.533736,259,0.0
1716074158.385845,261,0.0
1716074158.708076,262,0.0
1716074159.4993339,264,0.0
1716074161.144301,268,0.0
1716074162.741477,272,0.0
1716074163.508158,274,0.0
1716074166.0265899,279,0.0
1716074171.492521,293,0.0
1716074173.687711,298,0.0
1716074174.151785,299,0.0
1716074175.901729,303,0.0
1716074176.35536,304,0.0
1716074178.5254579,308,0.0
1716074178.991733,309,0.0
1716074179.883477,311,0.0
1716074181.338031,314,0.0
1716074183.503196,319,0.0
1716074183.879166,320,0.0
1716074184.348824,321,0.0
1716074186.127428,326,0.0
1716074186.541148,327,0.0
1716074186.881738,328,0.0
1716074188.132983,331,0.0
1716074191.517375,340,0.0
1716074192.499079,342,0.0
1716074194.837421,348,0.0
1716074197.2696471,354,0.0
1716074197.583625,355,0.0
1716074199.683491,361,0.0
1716074200.840512,364,0.0
1716074202.4732008,368,0.0
1716074204.069123,372,0.0
1716074204.937273,374,0.0
1716074206.7013981,378,0.0
1716074207.1322901,379,0.0
1716074207.5087192,380,0.0
1716074208.7485828,382,0.0
1716074211.091102,387,0.0
1716074213.391666,392,0.0
1716074213.750785,393,0.0
1716074214.014889,394,0.0
1716074220.16066,409,0.0
1716074223.3670459,416,0.0
1716074225.723629,422,0.0
1716074226.196791,423,0.0
1716074226.908931,425,0.0
1716074227.831999,427,0.0
1716074229.29983,431,0.0
1716074233.9950762,440,0.0
1716074234.7607622,442,0.0
1716074235.1776059,443,0.0
1716074236.349687,446,0.0
1716074238.4548218,452,0.0
1716074241.948483,460,0.0
1716074242.440896,461,0.0
1716074243.657781,464,0.0
1716074244.0492532,465,0.0
1716074247.7814422,474,0.0
1716074248.466049,475,0.0
1716074253.22678,486,0.0
1716074254.673751,489,0.0
1716074255.051859,490,0.0
1716074255.866139,492,0.0
1716074256.831135,494,0.0
1716074262.5719721,508,0.0
1716074264.696596,513,0.0
1716074265.4091709,515,0.0
1716074266.615336,518,0.0
1716074267.516851,520,0.0
1716074269.6171572,525,0.0
1716074270.048312,526,0.0
1716074273.225585,532,0.0
1716074273.994061,534,0.0
1716074274.418039,535,0.0
1716074275.224436,537,0.0
1716074275.517364,538,0.0
1716074276.820201,541,0.0
1716074277.652142,543,0.0
1716074279.6465049,548,0.0
1716074280.0851378,549,0.0
1716074283.71893,558,0.0
1716074284.702291,560,0.0
1716074286.222104,564,0.0
1716074286.607179,565,0.0
1716074286.9628742,566,0.0
1716074288.7938108,570,0.0
1716074290.410356,574,0.0
1716074290.75456,575,0.0
1716074291.8995662,578,0.0
1716074292.647903,580,0.0
1716074293.467316,581,0.0
1716074294.102475,582,0.0
1716074294.562412,583,0.0
1716074294.945977,584,0.0
1716074295.580918,585,0.0
1716074296.188722,587,0.0
1716074296.5603259,588,0.0
1716074298.523477,593,0.0
1716074298.991148,594,0.0
1716074300.615793,598,0.0
1716074301.7725859,601,0.0
1716074302.627585,603,0.0
1716074304.8263261,609,0.0
1716074305.655196,611,0.0
1716074307.881001,616,0.0
1716074310.1993432,620,0.0
1716074310.641231,621,0.0
1716074311.32179,623,0.0
1716074316.552056,635,0.0
1716074319.189856,642,0.0
1716074319.628482,643,0.0
1716074320.742558,645,0.0
1716074321.0983858,646,0.0
1716074321.635604,647,0.0
1716074322.028856,648,0.0
1716074322.891541,650,0.0
1716074324.551391,653,0.0
1716074326.3503602,657,0.019999999552965164
1716074326.862806,658,0.019999999552965164
1716074328.4499688,662,0.019999999552965164
1716074329.832751,665,0.019999999552965164
1716074331.238419,669,0.019999999552965164
1716074332.6780128,672,0.019999999552965164
1716074333.2794821,673,0.019999999552965164
1716074333.723053,674,0.019999999552965164
1716074334.154484,675,0.019999999552965164
1716074334.624032,676,0.019999999552965164
1716074335.4718678,678,0.019999999552965164
1716074335.9117281,679,0.019999999552965164
1716074336.398189,680,0.019999999552965164
1716074337.874472,683,0.019999999552965164
1716074338.398178,684,0.019999999552965164
1716074339.295907,685,0.019999999552965164
1716074340.0787132,687,0.019999999552965164
1716074341.03313,689,0.019999999552965164
1716074341.473362,690,0.019999999552965164
1716074344.42571,697,0.019999999552965164
1716074345.791013,700,0.019999999552965164
1716074347.601811,704,0.0
1716074348.9872482,707,0.0
1716074349.899484,709,0.0
1716074350.690233,711,0.0
1716074352.4229481,715,0.0
1716074354.754624,719,0.0
1716074356.2501729,722,0.0
1716074356.725206,723,0.0
1716074357.3589618,724,0.0
1716074357.7922611,725,0.0
1716074360.455016,731,0.0
1716074363.086294,737,0.0
1716074364.109247,739,0.0
1716074364.580248,740,0.0
1716074366.345121,744,0.0
1716074368.2230651,747,0.0
1716074368.684743,748,0.0
