Wall time,Step,Value
1716074053.997885,6,-36.47781753540039
1716074054.313942,7,-37.20262908935547
1716074056.492574,12,-36.669246673583984
1716074057.842287,15,-35.14748764038086
1716074058.3664849,16,-35.090660095214844
1716074059.288196,19,-37.16545486450195
1716074060.3074932,21,-35.190582275390625
1716074061.75601,25,-36.43048095703125
1716074066.3228438,37,-35.24748611450195
1716074067.89386,41,-37.455318450927734
1716074068.648412,43,-36.677669525146484
1716074069.2415118,45,-37.68305587768555
1716074069.624701,46,-36.066429138183594
1716074070.394028,48,-36.9654541015625
1716074072.9352498,54,-37.365455627441406
1716074073.332316,55,-35.928138732910156
1716074073.7637608,56,-35.822486877441406
1716074074.236917,57,-35.51029968261719
1716074074.734219,58,-35.16191864013672
1716074078.101753,66,-35.76911163330078
1716074079.318733,69,-36.51714324951172
1716074080.4485672,72,-36.79193878173828
1716074080.834977,73,-35.898597717285156
1716074081.386637,74,-34.81523895263672
1716074081.821994,75,-35.77719497680664
1716074083.533514,80,-36.49983596801758
1716074087.276955,88,-35.33323287963867
1716074087.598573,89,-36.69194030761719
1716074090.047693,95,-35.57719421386719
1716074093.094887,103,-36.56924819946289
1716074094.224105,106,-35.58097457885742
1716074094.5900319,107,-36.50823974609375
1716074097.347462,114,-36.94003677368164
1716074098.5807161,117,-36.62275314331055
1716074099.617594,119,-34.20794677734375
1716074103.08413,127,-36.27666091918945
1716074104.2753868,130,-35.85773468017578
1716074104.725952,131,-35.54829788208008
1716074108.3016279,140,-35.94684982299805
1716074109.153902,142,-35.404598236083984
1716074109.607996,143,-35.67719650268555
1716074109.9601548,144,-36.86924743652344
1716074112.636841,151,-36.4692497253418
1716074114.65027,156,-36.00653076171875
1716074115.3195462,158,-36.85362243652344
1716074115.745777,159,-35.71030044555664
1716074117.287578,163,-35.719451904296875
1716074120.1416352,168,-35.806148529052734
1716074120.6621902,169,-35.06221008300781
1716074122.020406,172,-35.093055725097656
1716074124.266869,178,-35.98738479614258
1716074124.6504629,179,-36.447452545166016
1716074125.407486,181,-35.928138732910156
1716074126.666933,184,-34.79662322998047
1716074127.534962,186,-36.87130355834961
1716074128.049907,187,-35.23323440551758
1716074128.9655418,189,-34.72111892700195
1716074129.722338,191,-36.2778205871582
1716074130.082628,192,-36.48689270019531
1716074132.820483,199,-35.535152435302734
1716074136.426825,207,-34.7703971862793
1716074136.8552792,208,-35.98097610473633
1716074137.337031,209,-35.21900939941406
1716074138.904642,213,-35.917091369628906
1716074142.350815,223,-36.48689270019531
1716074142.7083158,224,-36.530479431152344
1716074143.526461,226,-36.19646072387695
1716074145.380074,230,-36.26642990112305
1716074146.6604319,233,-34.84923553466797
1716074147.066135,234,-35.887386322021484
1716074147.4921632,235,-35.95170211791992
1716074148.6316469,238,-37.419071197509766
1716074153.800191,250,-36.19646072387695
1716074156.491561,256,-37.29695510864258
1716074157.5337422,259,-36.20652770996094
1716074158.385851,261,-35.810298919677734
1716074158.708082,262,-37.11553192138672
1716074159.49934,264,-35.98738479614258
1716074161.144306,268,-35.86911392211914
1716074162.741484,272,-35.190582275390625
1716074163.5081642,274,-36.461181640625
1716074166.026596,279,-35.39058303833008
1716074171.492527,293,-36.71553421020508
1716074173.687716,298,-36.07666015625
1716074174.1517901,299,-35.39058303833008
1716074175.9017348,303,-35.34748458862305
1716074176.355366,304,-35.593318939208984
1716074178.525464,308,-35.95773696899414
1716074178.9917388,309,-35.535152435302734
1716074179.883483,311,-35.193058013916016
1716074181.338037,314,-36.117088317871094
1716074183.50321,319,-36.157737731933594
1716074183.879172,320,-36.15669250488281
1716074184.34883,321,-35.30459976196289
1716074186.127433,326,-35.64829635620117
1716074186.5411541,327,-35.928138732910156
1716074186.8817458,328,-36.86924743652344
1716074188.132989,331,-36.408241271972656
1716074191.5173812,340,-36.77766799926758
1716074192.499084,342,-36.2778205871582
1716074194.837427,348,-36.49983596801758
1716074197.269653,354,-35.477195739746094
1716074197.583631,355,-37.24003601074219
1716074199.683496,361,-37.19695281982422
1716074200.840518,364,-35.36220932006836
1716074202.473207,368,-35.877197265625
1716074204.069129,372,-34.92575454711914
1716074204.937279,374,-35.917091369628906
1716074206.701403,378,-37.10882568359375
1716074207.1322958,379,-35.66421127319336
1716074207.508725,380,-36.24745559692383
1716074208.7485912,382,-32.71885681152344
1716074211.091108,387,-36.2265510559082
1716074213.3916721,392,-35.19065856933594
1716074213.7507908,393,-36.3265495300293
1716074214.0148952,394,-37.415138244628906
1716074220.1606662,409,-35.51945114135742
1716074223.3670511,416,-36.01029968261719
1716074225.723635,422,-36.19646072387695
1716074226.196797,423,-35.680973052978516
1716074226.908937,425,-36.491939544677734
1716074227.832005,427,-35.262210845947266
1716074229.299835,431,-37.423526763916016
1716074233.995082,440,-35.24923324584961
1716074234.760768,442,-36.09646224975586
1716074235.177611,443,-36.04684829711914
1716074236.3496928,446,-36.21709060668945
1716074238.454828,452,-35.7906608581543
1716074241.948488,460,-35.561920166015625
1716074242.440903,461,-36.31714630126953
1716074243.6577868,464,-37.455318450927734
1716074244.049258,465,-36.24745559692383
1716074247.781448,474,-36.04684829711914
1716074248.466055,475,-34.87465286254883
1716074253.2267861,486,-35.31945037841797
1716074254.6737568,489,-35.39065933227539
1716074255.051865,490,-36.31714630126953
1716074255.866144,492,-37.07130432128906
1716074256.8311412,494,-35.639678955078125
1716074262.571978,508,-36.561180114746094
1716074264.6966028,513,-36.7304801940918
1716074265.409177,515,-37.16545486450195
1716074266.615341,518,-37.32352828979492
1716074267.5168571,520,-35.887386322021484
1716074269.617162,525,-34.03778076171875
1716074270.048321,526,-35.76911163330078
1716074273.22559,532,-35.40614700317383
1716074273.994067,534,-36.16643142700195
1716074274.4180439,535,-35.76911163330078
1716074275.224441,537,-34.921119689941406
1716074275.517369,538,-36.9654541015625
1716074276.820207,541,-36.19646072387695
1716074277.652147,543,-34.921119689941406
1716074279.646511,548,-36.03968048095703
1716074280.085144,549,-35.60614776611328
1716074283.718935,558,-36.2265510559082
1716074284.702296,560,-35.10561752319336
1716074286.2221088,564,-36.77766799926758
