Wall time,Step,Value
1716120205.3420532,2,12.0
1716120207.848059,4,12.0
1716120210.305442,6,12.0
1716120211.550484,7,12.0
1716120214.1383958,9,12.0
1716120216.684942,11,12.0
1716120218.6353128,12,12.0
1716120219.792386,13,12.0
1716120221.10478,14,12.0
1716120222.3179038,15,12.0
1716120223.607797,16,12.0
1716120225.148757,17,12.0
1716120226.604495,18,12.0
1716120227.780525,19,12.0
1716120228.934227,20,12.0
1716120230.061861,21,12.0
1716120231.3987489,22,12.0
1716120232.703331,23,12.0
1716120233.961917,24,12.0
1716120235.576519,25,12.0
1716120236.936339,26,12.0
1716120239.290215,28,12.0
1716120242.625927,31,12.0
1716120243.858659,32,12.0
1716120245.552779,33,12.0
1716120246.785171,34,12.0
1716120247.885642,35,12.0
1716120250.309268,37,12.0
1716120253.956615,40,12.0
1716120255.213137,41,12.0
1716120257.610858,43,12.0
1716120258.6514418,44,12.0
1716120260.090241,45,12.0
1716120261.442958,46,12.0
1716120262.6129951,47,12.0
1716120263.808337,48,12.0
1716120266.145022,50,12.0
1716120267.342429,51,12.0
1716120270.7640269,54,12.0
1716120271.9628181,55,12.0
1716120273.164767,56,12.0
1716120274.520107,57,12.0
1716120275.865453,58,12.0
1716120279.92493,61,12.0
1716120281.293879,62,12.0
1716120282.690961,63,12.0
1716120284.0744152,64,12.0
1716120285.859591,65,12.0
1716120287.159016,66,12.0
1716120288.373385,67,12.0
1716120289.526,68,12.0
1716120290.688674,69,12.0
1716120292.06058,70,12.0
1716120295.0236712,72,12.0
1716120296.264713,73,12.0
1716120297.4390981,74,12.0
1716120298.623946,75,12.0
1716120301.084107,77,12.0
1716120302.344605,78,12.0
1716120303.43038,79,12.0
1716120304.659462,80,12.0
1716120307.112227,82,12.0
1716120308.545444,83,12.0
1716120310.938355,85,12.0
1716120312.070464,86,12.0
1716120313.311488,87,12.0
1716120314.435657,88,12.0
1716120315.6981828,89,12.0
1716120316.9218838,90,12.0
1716120319.900358,92,12.0
1716120321.095503,93,12.0
1716120322.300607,94,12.0
1716120324.0012748,95,12.0
1716120326.0563269,97,12.0
1716120327.5533388,98,12.0
1716120329.805641,100,12.0
1716120331.1182861,101,12.0
1716120332.346328,102,12.0
1716120333.55614,103,12.0
1716120334.778476,104,12.0
1716120335.9487228,105,12.0
1716120337.0503,106,12.0
1716120338.294942,107,12.0
1716120341.592652,110,12.0
1716120342.899772,111,12.0
1716120347.105549,114,12.0
1716120349.958853,116,12.0
1716120351.153646,117,12.0
1716120352.4900181,118,12.0
1716120353.656945,119,12.0
1716120354.282635,120,10.0
1716120356.568436,121,14.0
1716120357.958011,122,12.0
1716120360.404526,124,12.0
1716120361.5005069,125,12.0
1716120362.598264,126,12.0
1716120363.7745621,127,12.0
1716120365.588089,128,12.0
1716120367.907082,130,12.0
1716120369.059405,131,12.0
1716120372.5830772,134,12.0
1716120373.7322361,135,12.0
1716120376.055562,137,12.0
1716120377.4281049,138,12.0
1716120379.517557,140,1.0
1716120382.110123,142,12.0
1716120383.348362,143,12.0
1716120384.624446,144,12.0
1716120386.1823518,145,12.0
1716120387.3128388,146,12.0
1716120388.445856,147,12.0
1716120390.858816,149,12.0
1716120392.064497,150,12.0
1716120393.199182,151,12.0
1716120394.240627,152,12.0
1716120398.3075242,154,12.0
1716120399.980941,155,12.0
1716120401.1581929,156,12.0
1716120403.354667,158,12.0
1716120404.4345012,159,12.0
1716120405.542352,160,12.0
1716120408.0889611,162,12.0
1716120409.237786,163,12.0
1716120412.1230552,165,12.0
1716120413.336378,166,12.0
1716120415.234886,168,12.0
1716120416.6234722,169,12.0
1716120417.820029,170,12.0
1716120420.228883,172,12.0
1716120421.4513862,173,12.0
1716120422.640865,174,12.0
1716120425.951297,176,12.0
1716120427.200089,177,12.0
1716120428.8170419,178,12.0
1716120430.038414,179,12.0
1716120433.4051478,181,12.0
1716120434.650558,182,12.0
1716120435.8429708,183,12.0
1716120437.086462,184,12.0
1716120438.428339,185,12.0
1716120439.610559,186,12.0
1716120440.794336,187,12.0
1716120441.958807,188,12.0
1716120443.136301,189,12.0
1716120445.866796,191,12.0
1716120447.096322,192,12.0
1716120450.496604,195,12.0
1716120455.057396,199,12.0
1716120455.749912,200,10.0
1716120457.817996,202,12.0
1716120459.108302,203,12.0
1716120460.24068,204,12.0
1716120462.639033,206,12.0
1716120464.354239,207,12.0
1716120465.5210712,208,12.0
1716120466.953959,209,12.0
1716120468.073695,210,12.0
1716120472.395833,213,12.0
1716120473.538699,214,12.0
1716120474.7515259,215,12.0
1716120475.998216,216,12.0
1716120480.210868,219,12.0
1716120480.537195,220,1.0
1716120481.98638,221,12.0
1716120483.2671528,222,12.0
1716120484.4754932,223,12.0
1716120485.652467,224,12.0
1716120488.142405,226,12.0
1716120489.317955,227,12.0
1716120490.492234,228,12.0
1716120493.0120718,230,12.0
1716120494.172683,231,12.0
1716120495.4084852,232,12.0
1716120496.5202281,233,12.0
1716120497.6102421,234,12.0
1716120498.917679,235,12.0
1716120499.813084,236,11.0
1716120502.0140312,238,12.0
1716120503.2038982,239,12.0
1716120505.9018931,241,12.0
1716120507.373445,242,12.0
1716120508.3740952,243,11.0
1716120511.109427,245,12.0
1716120512.28069,246,12.0
1716120513.541566,247,12.0
1716120514.760917,248,12.0
1716120515.899015,249,12.0
1716120517.353363,250,12.0
1716120518.5344288,251,12.0
1716120519.609798,252,12.0
1716120520.837116,253,12.0
1716120522.1706061,254,12.0
1716120523.30038,255,12.0
1716120524.572001,256,12.0
1716120528.0908291,259,12.0
1716120529.3763509,260,12.0
1716120530.475871,261,12.0
1716120531.855658,262,12.0
1716120534.303157,264,12.0
1716120536.833733,266,12.0
1716120539.200901,268,12.0
1716120542.49664,270,12.0
1716120545.409652,272,12.0
1716120546.697357,273,12.0
1716120547.897483,274,12.0
1716120549.083029,275,12.0
1716120550.1532679,276,12.0
1716120552.6714811,278,12.0
1716120553.7798772,279,12.0
1716120555.2890382,280,12.0
1716120556.506801,281,12.0
1716120557.223565,282,10.0
1716120558.482157,283,12.0
1716120559.798338,284,12.0
1716120561.214124,285,12.0
1716120566.726466,290,12.0
1716120569.895596,292,12.0
1716120571.403012,293,12.0
1716120573.732522,295,12.0
1716120575.127098,296,12.0
1716120576.5234408,297,12.0
1716120577.687327,298,12.0
