Wall time,Step,Value
1716120205.341404,2,2.0
1716120207.847508,4,2.0
1716120210.304915,6,2.0
1716120211.549994,7,3.0
1716120214.137964,9,2.0
1716120216.684421,11,3.0
1716120218.634836,12,7.0
1716120219.7918239,13,2.0
1716120221.102698,14,3.0
1716120222.3172858,15,4.0
1716120223.60735,16,2.0
1716120225.148244,17,6.0
1716120226.6040478,18,7.0
1716120227.779819,19,2.0
1716120228.933782,20,2.0
1716120230.061418,21,2.0
1716120231.39818,22,2.0
1716120232.7027562,23,2.0
1716120233.961403,24,2.0
1716120235.5759192,25,5.0
1716120236.9357262,26,3.0
1716120239.289784,28,2.0
1716120242.625489,31,3.0
1716120243.858124,32,2.0
1716120245.552238,33,10.0
1716120246.78461,34,3.0
1716120247.885209,35,2.0
1716120250.308851,37,2.0
1716120253.956061,40,2.0
1716120255.2127202,41,2.0
1716120257.610392,43,5.0
1716120258.651003,44,3.0
1716120260.089584,45,7.0
1716120261.442503,46,6.0
1716120262.612062,47,4.0
1716120263.8076448,48,5.0
1716120266.1444721,50,2.0
1716120267.34198,51,2.0
1716120270.7635899,54,2.0
1716120271.9623559,55,3.0
1716120273.1642182,56,3.0
1716120274.517811,57,3.0
1716120275.864855,58,3.0
1716120279.924365,61,4.0
1716120281.2933278,62,6.0
1716120282.6904168,63,3.0
1716120284.0739799,64,4.0
1716120285.859126,65,11.0
1716120287.1585422,66,4.0
1716120288.372819,67,2.0
1716120289.525538,68,2.0
1716120290.686767,69,2.0
1716120292.060134,70,5.0
1716120295.0231528,72,3.0
1716120296.2639282,73,2.0
1716120297.4386492,74,3.0
1716120298.623446,75,3.0
1716120301.0836391,77,2.0
1716120302.344141,78,2.0
1716120303.429931,79,3.0
1716120304.659026,80,2.0
1716120307.111704,82,8.0
1716120308.544946,83,4.0
1716120310.937803,85,2.0
1716120312.069998,86,2.0
1716120313.311008,87,2.0
1716120314.435071,88,2.0
1716120315.69764,89,2.0
1716120316.921358,90,2.0
1716120319.899938,92,2.0
1716120321.094985,93,3.0
1716120322.300108,94,6.0
1716120324.0008268,95,8.0
1716120326.055904,97,3.0
1716120327.5528169,98,9.0
1716120329.805218,100,3.0
1716120331.1178648,101,3.0
1716120332.34581,102,2.0
1716120333.555715,103,2.0
1716120334.778054,104,6.0
1716120335.948299,105,2.0
1716120337.049845,106,2.0
1716120338.294501,107,3.0
1716120341.5921211,110,3.0
1716120342.899328,111,4.0
1716120347.105124,114,2.0
1716120349.9584079,116,3.0
1716120351.153208,117,3.0
1716120352.4895759,118,4.0
1716120353.656532,119,2.0
1716120354.282181,120,1.0
1716120356.568018,121,13.0
1716120357.957568,122,7.0
1716120360.404093,124,5.0
1716120361.500076,125,2.0
1716120362.597845,126,2.0
1716120363.774135,127,6.0
1716120365.587661,128,6.0
1716120367.906658,130,2.0
1716120369.058986,131,2.0
1716120372.582648,134,2.0
1716120373.731807,135,2.0
1716120376.0551019,137,3.0
1716120377.4276311,138,7.0
1716120379.517131,140,2.0
1716120382.109675,142,6.0
1716120383.347919,143,6.0
1716120384.624007,144,5.0
1716120386.181924,145,6.0
1716120387.31233,146,5.0
1716120388.445431,147,3.0
1716120390.8583639,149,6.0
1716120392.063979,150,5.0
1716120393.198708,151,3.0
1716120394.240206,152,2.0
1716120398.30702,154,21.0
1716120399.980493,155,8.0
1716120401.157727,156,2.0
1716120403.354244,158,2.0
1716120404.434072,159,1.0
1716120405.5418198,160,2.0
1716120408.0884879,162,2.0
1716120409.237323,163,3.0
1716120412.12254,165,3.0
1716120413.335932,166,2.0
1716120415.2343838,168,2.0
1716120416.6230268,169,7.0
1716120417.819596,170,2.0
1716120420.228436,172,3.0
1716120421.450963,173,3.0
1716120422.64043,174,2.0
1716120425.950884,176,4.0
1716120427.199647,177,3.0
1716120428.816587,178,7.0
1716120430.0379782,179,5.0
1716120433.4047208,181,7.0
1716120434.6501389,182,4.0
1716120435.842422,183,6.0
1716120437.086025,184,4.0
1716120438.427826,185,8.0
1716120439.610122,186,2.0
1716120440.793888,187,5.0
1716120441.958357,188,3.0
1716120443.13583,189,3.0
1716120445.86637,191,9.0
1716120447.0959082,192,2.0
1716120450.49617,195,2.0
1716120455.056902,199,6.0
1716120455.7494762,200,1.0
1716120457.8175528,202,3.0
1716120459.107779,203,4.0
1716120460.240257,204,5.0
1716120462.638586,206,4.0
1716120464.353759,207,7.0
1716120465.520639,208,5.0
1716120466.953509,209,9.0
1716120468.073268,210,2.0
1716120472.3954072,213,2.0
1716120473.538281,214,5.0
1716120474.751085,215,3.0
1716120475.997793,216,4.0
1716120480.2104461,219,6.0
1716120480.536693,220,2.0
1716120481.985963,221,8.0
1716120483.2667289,222,3.0
1716120484.475004,223,2.0
1716120485.65204,224,5.0
1716120488.141974,226,3.0
1716120489.317492,227,2.0
