Wall time,Step,Value
1716120221.0964422,1,1.0
1716120222.476228,2,1.0
1716120225.5862021,4,1.0
1716120226.862016,5,1.0
1716120228.279747,6,1.0
1716120229.560184,7,1.0
1716120230.939154,8,1.0
1716120232.2786381,9,1.0
1716120233.621757,10,1.0
1716120234.854391,11,1.0
1716120236.327818,12,1.0
1716120237.644377,13,0.0
1716120238.985614,14,1.0
1716120240.176577,15,1.0
1716120241.273549,16,1.0
1716120242.583081,17,1.0
1716120243.649832,18,1.0
1716120244.985662,19,1.0
1716120246.3369448,20,1.0
1716120247.6100411,21,0.0
1716120251.273088,22,12.0
1716120252.8268921,23,1.0
1716120254.379592,24,3.0
1716120255.757029,25,1.0
1716120257.108747,26,0.0
1716120259.818511,28,2.0
1716120263.792438,31,1.0
1716120265.051313,32,1.0
1716120266.258236,33,1.0
1716120267.683159,34,2.0
1716120268.7923698,35,1.0
1716120270.957057,37,6.0
1716120272.3333418,38,1.0
1716120273.87252,39,1.0
1716120275.263346,40,1.0
1716120276.5879092,41,1.0
1716120279.233223,43,1.0
1716120281.1301,44,2.0
1716120282.75648,45,3.0
1716120284.059416,46,1.0
1716120286.360658,47,8.0
1716120287.64334,48,1.0
1716120290.800986,50,1.0
1716120292.583146,51,1.0
1716120295.8487911,53,0.0
1716120297.1698282,54,1.0
1716120298.7801652,55,1.0
1716120300.166639,56,1.0
1716120301.45218,57,1.0
1716120302.800608,58,1.0
1716120306.5029051,60,1.0
1716120307.937577,61,1.0
1716120309.3082108,62,1.0
1716120310.5713222,63,0.0
1716120311.852538,64,1.0
1716120313.175724,65,1.0
1716120314.5083039,66,1.0
1716120316.3753679,67,2.0
1716120317.7256682,68,1.0
1716120319.057589,69,1.0
1716120320.3903658,70,1.0
1716120323.050859,72,1.0
1716120325.313397,73,9.0
1716120327.130601,74,6.0
1716120328.530307,75,2.0
1716120329.665994,76,1.0
1716120330.874453,77,1.0
1716120332.231133,78,1.0
1716120333.444556,79,1.0
1716120334.6766798,80,1.0
1716120337.178619,82,1.0
1716120338.3009422,83,1.0
1716120340.8809412,85,2.0
1716120342.864922,86,6.0
1716120344.1108868,87,1.0
1716120345.3364081,88,1.0
1716120346.508666,89,1.0
1716120347.6337411,90,1.0
1716120350.1327438,92,1.0
1716120351.366456,93,1.0
1716120352.637774,94,1.0
1716120354.224163,95,2.0
1716120355.579255,96,1.0
1716120356.8382678,97,1.0
1716120358.921055,98,7.0
1716120361.216046,100,2.0
1716120362.49217,101,1.0
1716120363.77598,102,1.0
1716120365.077487,103,1.0
1716120366.3733492,104,2.0
1716120367.653402,105,1.0
1716120368.900346,106,1.0
1716120370.645866,107,3.0
1716120373.092463,109,1.0
1716120374.356506,110,1.0
1716120375.694012,111,3.0
1716120376.947388,112,1.0
1716120378.1847,113,1.0
1716120379.386656,114,0.0
1716120380.525764,115,1.0
1716120382.0969868,116,2.0
1716120383.421941,117,1.0
1716120384.736523,118,1.0
1716120386.043154,119,1.0
1716120387.290893,120,1.0
1716120388.798178,121,2.0
1716120390.132695,122,1.0
1716120391.325834,123,1.0
1716120392.547949,124,1.0
1716120394.164458,125,3.0
1716120395.4079711,126,1.0
1716120396.864403,127,1.0
1716120398.138649,128,0.0
1716120400.5373828,130,1.0
1716120401.768629,131,1.0
1716120405.5651782,134,1.0
1716120406.8651981,135,1.0
1716120409.436917,137,9.0
1716120410.7762299,138,2.0
1716120413.2928371,140,1.0
1716120415.959608,142,3.0
1716120417.1762402,143,1.0
1716120418.415987,144,1.0
1716120419.6709042,145,2.0
1716120422.079838,146,3.0
1716120423.319533,147,1.0
1716120425.938441,149,1.0
1716120427.1151779,150,1.0
1716120428.3629792,151,1.0
1716120429.756402,152,10.0
1716120432.3460538,154,1.0
1716120433.615674,155,1.0
1716120434.8683698,156,1.0
1716120437.096277,157,11.0
1716120438.251961,158,1.0
1716120440.066781,159,4.0
1716120441.6959062,160,2.0
1716120444.088361,162,1.0
1716120445.391079,163,1.0
1716120447.9886699,165,2.0
1716120449.360203,166,1.0
1716120452.285045,168,3.0
1716120453.740376,169,3.0
1716120454.9814951,170,1.0
1716120457.432128,172,1.0
1716120458.711234,173,1.0
1716120459.864338,174,2.0
1716120462.311754,176,1.0
1716120463.580965,177,1.0
1716120464.86758,178,2.0
1716120466.3723361,179,1.0
1716120469.294604,181,1.0
1716120470.468556,182,0.0
1716120472.106687,183,1.0
1716120473.383467,184,1.0
1716120474.601569,185,1.0
1716120475.81383,186,2.0
1716120477.309375,187,4.0
1716120478.540839,188,1.0
1716120481.9568808,189,12.0
1716120484.438643,191,1.0
1716120485.679091,192,1.0
1716120489.622381,195,3.0
1716120494.523251,199,1.0
1716120496.0298932,200,2.0
1716120497.339722,201,1.0
1716120498.5606232,202,3.0
1716120499.798777,203,2.0
1716120501.2687738,204,2.0
1716120504.2857568,206,1.0
1716120505.57097,207,1.0
1716120506.90627,208,1.0
1716120508.2118,209,1.0
1716120509.463647,210,1.0
1716120513.20091,213,1.0
1716120514.591507,214,1.0
1716120516.122792,215,1.0
1716120517.238415,216,1.0
1716120518.408759,217,1.0
1716120519.7067862,218,2.0
1716120520.973252,219,1.0
1716120522.256903,220,1.0
1716120523.539288,221,1.0
1716120524.745451,222,0.0
1716120526.050582,223,1.0
1716120527.293319,224,1.0
1716120529.876122,226,1.0
1716120531.185313,227,1.0
1716120532.429517,228,1.0
1716120534.517143,230,1.0
1716120535.641137,231,1.0
1716120537.017161,232,1.0
1716120538.264608,233,1.0
1716120539.442701,234,1.0
1716120540.728757,235,1.0
1716120542.220735,236,1.0
1716120544.688589,238,1.0
1716120546.453826,239,5.0
1716120548.89277,241,1.0
1716120550.071372,242,1.0
1716120551.317665,243,1.0
1716120553.766342,245,0.0
1716120554.97152,246,1.0
1716120556.670933,247,3.0
1716120557.936204,248,1.0
1716120559.202195,249,1.0
1716120560.9389482,250,2.0
1716120562.303371,251,1.0
1716120563.492645,252,1.0
1716120564.9884942,253,1.0
1716120566.280798,254,1.0
1716120567.654913,255,1.0
1716120568.943359,256,1.0
1716120570.296704,257,1.0
1716120574.040391,259,3.0
1716120575.304754,260,1.0
1716120576.811571,261,3.0
1716120577.9895968,262,1.0
1716120580.414937,264,1.0
1716120581.6040351,265,3.0
1716120582.835648,266,1.0
1716120585.378371,268,1.0
1716120587.634371,270,1.0
1716120590.4648929,272,1.0
1716120591.759969,273,1.0
1716120592.914665,274,2.0
1716120594.171406,275,1.0
1716120595.461951,276,1.0
1716120597.988269,278,1.0
1716120599.222222,279,1.0
1716120600.565448,280,1.0
1716120601.8340979,281,1.0
1716120603.319626,282,4.0
1716120604.582446,283,1.0
1716120605.820129,284,1.0
1716120607.044312,285,1.0
1716120618.133606,290,1.0
1716120620.508235,292,1.0
1716120621.810994,293,1.0
1716120624.3880599,295,2.0
1716120625.6626308,296,2.0
1716120626.88567,297,3.0
1716120627.963414,298,1.0
1716120629.303002,299,1.0
1716120630.5608268,300,2.0
1716120631.821345,301,1.0
1716120633.43018,302,1.0
1716120634.723504,303,1.0
1716120636.339154,304,1.0
1716120637.6270962,305,1.0
1716120641.309825,308,2.0
1716120642.549889,309,1.0
1716120643.7969651,310,3.0
1716120644.962364,311,1.0
1716120646.236479,312,1.0
1716120648.715233,314,1.0
1716120650.046411,315,1.0
1716120652.098407,316,9.0
1716120653.662167,317,1.0
1716120654.9507358,318,2.0
1716120656.213313,319,1.0
1716120657.418602,320,1.0
1716120658.732094,321,1.0
1716120659.998784,322,1.0
1716120661.216795,323,2.0
1716120662.6845078,324,1.0
1716120664.322804,325,1.0
1716120665.5501142,326,1.0
1716120666.695368,327,1.0
1716120667.969611,328,1.0
1716120669.28175,329,1.0
1716120670.4962099,330,0.0
1716120671.618908,331,1.0
1716120673.68442,332,9.0
1716120676.3619132,334,1.0
1716120679.21004,336,1.0
1716120680.342249,337,1.0
1716120681.57559,338,3.0
1716120682.936873,339,1.0
1716120684.204149,340,2.0
1716120686.3515332,341,11.0
1716120687.788117,342,1.0
1716120688.97057,343,1.0
1716120690.190947,344,1.0
1716120691.4464698,345,0.0
1716120692.648669,346,1.0
1716120693.879661,347,1.0
1716120695.2341068,348,1.0
1716120696.475532,349,1.0
1716120697.869772,350,1.0
1716120699.10147,351,1.0
1716120700.34209,352,1.0
1716120701.590751,353,1.0
1716120702.829691,354,1.0
1716120704.505846,355,1.0
1716120706.64685,356,11.0
1716120708.074108,357,1.0
1716120709.349947,358,1.0
1716120710.691614,359,2.0
1716120711.9430652,360,0.0
1716120713.303103,361,1.0
1716120716.232179,362,12.0
1716120717.848266,363,5.0
1716120719.10099,364,1.0
1716120720.326612,365,1.0
1716120721.57433,366,2.0
1716120722.708262,367,1.0
1716120723.97389,368,1.0
1716120725.181091,369,1.0
1716120727.8181021,371,1.0
1716120729.0690718,372,1.0
1716120731.763689,374,2.0
1716120733.008363,375,1.0
1716120734.6470048,376,3.0
1716120735.8241532,377,1.0
1716120737.1600919,378,2.0
1716120738.326535,379,1.0
1716120739.378517,380,1.0
1716120741.895114,382,1.0
1716120743.867,383,1.0
1716120746.929912,385,10.0
1716120748.1689339,386,0.0
1716120749.377097,387,1.0
1716120750.726856,388,1.0
1716120751.827424,389,1.0
1716120754.077975,391,1.0
1716120755.20002,392,1.0
1716120756.4999712,393,1.0
1716120757.6990368,394,1.0
1716120760.045033,396,1.0
1716120761.290405,397,0.0
1716120763.69467,398,12.0
1716120764.894905,399,1.0
1716120766.146715,400,1.0
1716120768.65279,402,1.0
1716120769.9530811,403,1.0
1716120771.2423959,404,0.0
1716120773.791981,406,1.0
1716120775.503816,407,3.0
1716120777.9858701,409,0.0
1716120780.4561348,411,1.0
1716120782.290018,412,5.0
1716120783.633131,413,1.0
1716120786.140857,415,1.0
1716120787.365747,416,0.0
1716120788.649965,417,1.0
1716120791.1289868,419,1.0
1716120792.465819,420,1.0
1716120793.747458,421,1.0
1716120794.918592,422,1.0
1716120796.252706,423,0.0
1716120797.7199092,424,1.0
1716120799.254866,425,2.0
1716120801.990889,427,1.0
1716120804.6972852,429,1.0
1716120807.0390651,431,1.0
1716120810.004284,433,1.0
1716120813.777429,436,3.0
1716120815.130601,437,1.0
1716120818.136899,439,3.0
1716120819.342647,440,1.0
1716120820.549314,441,1.0
1716120821.914058,442,1.0
1716120823.182663,443,1.0
1716120826.0337589,445,1.0
1716120827.350338,446,1.0
1716120828.64308,447,2.0
1716120829.9809978,448,2.0
1716120831.258516,449,2.0
1716120832.940168,450,4.0
1716120834.1819022,451,1.0
1716120835.4472551,452,1.0
1716120836.829817,453,1.0
1716120838.0614421,454,1.0
1716120839.306782,455,1.0
1716120840.591408,456,1.0
1716120844.692587,458,6.0
1716120846.051266,459,1.0
1716120847.2235038,460,1.0
1716120848.2798688,461,1.0
1716120849.590073,462,1.0
1716120850.851321,463,1.0
1716120852.1631172,464,1.0
1716120853.3658938,465,1.0
1716120854.740576,466,2.0
1716120855.989716,467,1.0
1716120857.429534,468,1.0
1716120858.768536,469,1.0
1716120859.848345,470,1.0
1716120861.1138299,471,0.0
1716120862.407219,472,1.0
1716120864.989136,473,12.0
1716120866.156846,474,1.0
1716120867.295577,475,2.0
1716120868.493363,476,1.0
1716120871.018328,478,1.0
1716120872.079539,479,1.0
1716120876.7906098,482,12.0
1716120878.024103,483,1.0
1716120879.5924218,484,2.0
1716120880.9404109,485,1.0
1716120882.015893,486,0.0
1716120883.080321,487,1.0
1716120884.325978,488,1.0
1716120885.727982,489,1.0
1716120887.118499,490,1.0
1716120889.8227441,492,2.0
1716120891.139869,493,1.0
1716120893.2110012,494,1.0
1716120896.942252,497,1.0
1716120898.17212,498,2.0
1716120900.973663,500,1.0
1716120904.964489,503,2.0
1716120906.178498,504,3.0
1716120908.225379,505,7.0
1716120909.644068,506,1.0
1716120911.827397,507,8.0
1716120913.146095,508,1.0
1716120915.419689,509,11.0
1716120916.6339421,510,0.0
1716120918.221267,511,1.0
1716120919.5123992,512,1.0
1716120920.776298,513,1.0
1716120923.3280919,515,1.0
1716120924.66882,516,1.0
1716120925.879833,517,1.0
1716120927.034504,518,1.0
1716120928.218347,519,1.0
1716120929.493516,520,1.0
1716120930.771317,521,1.0
1716120933.447623,523,1.0
1716120934.953687,524,1.0
1716120936.548325,525,2.0
1716120937.8586729,526,1.0
1716120945.5357609,532,3.0
1716120948.275257,534,1.0
1716120949.52962,535,1.0
1716120951.6834822,536,8.0
1716120953.235338,537,2.0
1716120954.688956,538,1.0
1716120955.8553832,539,1.0
1716120957.061162,540,1.0
1716120958.3253639,541,1.0
1716120959.6149771,542,1.0
1716120960.854271,543,1.0
1716120962.085014,544,1.0
1716120963.557337,545,2.0
1716120964.727463,546,1.0
1716120965.854935,547,1.0
1716120967.3869061,548,3.0
1716120968.519478,549,1.0
1716120970.081387,550,5.0
1716120972.6210508,552,2.0
1716120973.8801658,553,2.0
1716120975.3865442,554,1.0
1716120977.744811,556,1.0
1716120978.9098508,557,1.0
1716120980.170104,558,1.0
1716120983.1046479,559,12.0
1716120984.327765,560,1.0
1716120985.969314,561,2.0
1716120987.203659,562,1.0
1716120988.516408,563,0.0
1716120989.737638,564,1.0
1716120990.9095838,565,0.0
1716120992.5024629,566,1.0
1716120993.802444,567,0.0
1716120995.809408,568,12.0
1716120997.123459,569,1.0
1716120998.461094,570,2.0
1716121001.634122,571,12.0
1716121003.750128,572,12.0
1716121005.156236,573,4.0
1716121008.1178539,574,12.0
1716121009.4867961,575,1.0
1716121011.967249,577,1.0
1716121013.147765,578,1.0
1716121014.394691,579,1.0
1716121015.5439281,580,1.0
1716121016.764096,581,1.0
1716121018.382873,582,3.0
1716121020.15816,583,4.0
1716121021.361175,584,1.0
1716121022.717365,585,1.0
1716121024.140336,586,2.0
1716121025.3989031,587,1.0
1716121026.706769,588,2.0
1716121028.640933,589,7.0
1716121030.5203168,590,7.0
1716121033.6989272,592,8.0
1716121034.966672,593,1.0
1716121036.2893708,594,1.0
1716121037.806066,595,2.0
1716121039.2597928,596,3.0
1716121040.505124,597,1.0
1716121041.799281,598,1.0
1716121043.796509,599,12.0
1716121044.964045,600,1.0
1716121046.173098,601,1.0
1716121047.4574442,602,1.0
1716121048.7480562,603,1.0
1716121049.979903,604,1.0
1716121051.175296,605,1.0
1716121052.4742222,606,1.0
1716121053.676606,607,1.0
1716121056.018739,609,1.0
1716121058.9869618,611,3.0
1716121061.063343,612,11.0
1716121062.27326,613,1.0
1716121067.029654,616,12.0
1716121074.62157,620,1.0
1716121075.845464,621,1.0
1716121077.483084,622,3.0
1716121078.808469,623,1.0
1716121080.1484852,624,1.0
1716121081.803204,625,1.0
1716121083.057224,626,1.0
1716121084.319979,627,1.0
1716121088.3385768,630,2.0
1716121089.936634,631,4.0
1716121091.5819001,632,5.0
1716121092.806933,633,1.0
1716121095.3500538,635,1.0
1716121096.5831869,636,1.0
1716121097.808233,637,1.0
1716121102.254689,639,1.0
1716121103.505354,640,1.0
1716121104.597675,641,1.0
1716121105.644353,642,0.0
1716121106.887414,643,1.0
1716121108.315886,644,2.0
1716121109.537675,645,1.0
1716121110.831817,646,1.0
1716121111.939488,647,1.0
1716121115.258163,648,12.0
1716121118.8071198,649,12.0
1716121119.9463859,650,1.0
1716121121.874947,651,8.0
1716121123.192299,652,1.0
1716121124.3946161,653,1.0
1716121125.650732,654,1.0
1716121130.2979,657,5.0
1716121131.616745,658,1.0
1716121132.907934,659,1.0
1716121134.1110022,660,1.0
1716121135.426857,661,1.0
1716121137.511615,662,11.0
1716121139.1706371,663,5.0
1716121140.4628632,664,2.0
1716121141.695669,665,1.0
1716121143.115724,666,1.0
1716121144.31671,667,1.0
1716121145.549535,668,1.0
1716121146.790151,669,1.0
1716121148.001489,670,1.0
1716121150.775176,672,5.0
1716121152.0245519,673,1.0
1716121153.628074,674,4.0
1716121154.79534,675,1.0
1716121155.875099,676,1.0
1716121157.235182,677,1.0
1716121158.446104,678,1.0
1716121159.724376,679,1.0
1716121161.7336488,680,10.0
1716121162.853844,681,0.0
1716121164.2743092,682,1.0
1716121165.5821388,683,1.0
1716121166.865134,684,0.0
1716121168.0826309,685,3.0
1716121169.260905,686,0.0
1716121170.906128,687,1.0
1716121173.266402,688,12.0
1716121174.615461,689,1.0
1716121175.883425,690,1.0
1716121177.131111,691,1.0
1716121178.4703581,692,1.0
1716121179.6871731,693,1.0
1716121182.323924,695,1.0
1716121184.586436,697,2.0
1716121188.375565,700,1.0
1716121189.470738,701,2.0
1716121190.678384,702,1.0
1716121191.9296489,703,1.0
1716121193.3533518,704,1.0
1716121194.8392708,705,1.0
1716121196.280194,706,3.0
1716121197.602889,707,2.0
1716121199.608244,708,6.0
1716121201.000669,709,1.0
1716121202.230453,710,1.0
1716121203.517905,711,1.0
1716121205.068156,712,5.0
1716121206.32604,713,0.0
1716121209.814645,715,12.0
1716121211.102452,716,2.0
1716121212.363486,717,1.0
1716121215.779544,719,3.0
1716121216.833428,720,1.0
1716121218.1605172,721,1.0
1716121219.3685,722,1.0
1716121220.6200058,723,1.0
1716121221.9709802,724,1.0
1716121223.578444,725,2.0
1716121224.819608,726,1.0
1716121226.796674,727,7.0
1716121229.0950432,729,1.0
1716121230.14907,730,1.0
1716121234.1092951,731,12.0
1716121235.396317,732,1.0
1716121236.661867,733,1.0
1716121239.174811,735,1.0
1716121240.7429771,736,2.0
1716121242.082449,737,2.0
1716121243.636843,738,1.0
1716121244.895116,739,1.0
1716121246.0739121,740,1.0
1716121247.378379,741,1.0
1716121249.0633621,742,1.0
1716121250.388851,743,2.0
1716121251.7369301,744,1.0
1716121253.160411,745,1.0
1716121254.5433779,746,3.0
1716121255.808201,747,0.0
1716121257.0557911,748,1.0
1716121259.416225,750,1.0
1716121260.724045,751,1.0
1716121261.831528,752,1.0
1716121262.866014,753,1.0
1716121264.01716,754,1.0
1716121265.262227,755,1.0
1716121266.479476,756,7.0
1716121267.573087,757,2.0
1716121271.4817102,760,1.0
1716121272.772125,761,1.0
1716121278.009454,763,1.0
1716121279.242784,764,1.0
1716121280.358686,765,2.0
1716121281.6389482,766,1.0
1716121283.0199502,767,1.0
1716121284.495233,768,0.0
1716121286.129618,769,4.0
1716121287.281774,770,1.0
1716121288.443279,771,2.0
1716121289.6935208,772,1.0
1716121291.5763829,773,6.0
1716121292.7806761,774,1.0
1716121293.889759,775,1.0
1716121295.077642,776,1.0
1716121296.32615,777,1.0
1716121299.551595,779,1.0
1716121301.536416,780,7.0
1716121302.793508,781,1.0
1716121304.135144,782,1.0
1716121305.340986,783,1.0
1716121306.519606,784,1.0
1716121307.866647,785,1.0
1716121309.552568,786,4.0
1716121310.8079722,787,1.0
1716121312.104226,788,1.0
1716121313.710291,789,3.0
1716121317.8757079,790,12.0
1716121319.8272698,791,6.0
1716121321.07716,792,1.0
1716121322.74831,793,2.0
1716121324.177927,794,1.0
1716121325.687957,795,1.0
1716121326.996774,796,1.0
1716121328.4495392,797,1.0
1716121329.8114,798,1.0
1716121330.944681,799,1.0
1716121332.041792,800,1.0
1716121333.5378659,801,3.0
1716121336.058814,803,1.0
1716121338.6011982,804,12.0
1716121340.0318751,805,1.0
1716121341.424598,806,2.0
1716121342.957681,807,2.0
1716121344.13228,808,1.0
1716121345.297076,809,1.0
1716121346.615097,810,1.0
1716121349.248353,812,1.0
1716121350.808637,813,3.0
1716121352.109392,814,1.0
1716121353.622734,815,1.0
1716121355.24804,816,5.0
1716121356.511233,817,1.0
1716121359.101803,819,1.0
1716121360.657089,820,1.0
1716121362.2165592,821,4.0
1716121363.5398002,822,1.0
1716121366.1893818,824,1.0
1716121367.876012,825,5.0
1716121369.2059379,826,1.0
1716121370.451383,827,2.0
1716121372.9163232,829,1.0
1716121374.018952,830,1.0
1716121375.434688,831,11.0
1716121376.693562,832,1.0
1716121377.876802,833,1.0
1716121379.146369,834,1.0
1716121380.4675689,835,0.0
1716121381.892155,836,1.0
1716121383.4389818,837,1.0
1716121384.841727,838,1.0
1716121386.300169,839,1.0
1716121387.678394,840,1.0
1716121389.532564,841,1.0
1716121392.266698,843,1.0
1716121393.9218318,844,1.0
1716121397.177307,846,1.0
1716121398.9249978,847,1.0
1716121400.23682,848,1.0
1716121401.570685,849,1.0
1716121404.2582378,851,2.0
1716121405.577426,852,1.0
1716121406.85274,853,1.0
1716121408.4722161,854,2.0
1716121411.291819,856,1.0
1716121414.3438148,858,1.0
1716121416.981239,860,1.0
1716121418.288434,861,1.0
1716121419.530918,862,2.0
1716121421.228815,863,2.0
1716121422.75697,864,1.0
1716121426.179116,866,9.0
1716121428.9397602,868,1.0
1716121430.712752,869,1.0
1716121431.86271,870,2.0
1716121433.3583,871,2.0
1716121434.887681,872,12.0
1716121437.7497149,874,1.0
1716121439.066005,875,1.0
1716121442.2476192,876,12.0
1716121443.7007968,877,1.0
1716121445.0023448,878,1.0
1716121446.241984,879,1.0
1716121447.4782898,880,1.0
1716121448.9794261,881,1.0
1716121450.548855,882,5.0
1716121452.066729,883,1.0
1716121453.947538,884,7.0
1716121455.136541,885,1.0
1716121456.3134668,886,1.0
1716121458.027053,887,1.0
1716121459.448159,888,1.0
1716121460.988012,889,1.0
1716121462.333396,890,1.0
1716121464.221812,891,5.0
1716121465.458518,892,2.0
1716121466.61886,893,2.0
1716121467.88802,894,0.0
1716121469.296374,895,1.0
1716121470.680955,896,1.0
1716121472.34709,897,0.0
1716121473.592248,898,2.0
1716121475.36688,899,3.0
1716121476.720447,900,1.0
1716121478.055028,901,2.0
1716121480.709942,903,2.0
1716121481.9746509,904,1.0
1716121483.067955,905,1.0
1716121484.241834,906,2.0
1716121485.498522,907,0.0
1716121487.152035,908,0.0
1716121488.545547,909,0.0
1716121490.9084601,910,11.0
1716121492.2281358,911,1.0
1716121493.5305421,912,1.0
1716121494.907371,913,1.0
1716121496.106724,914,2.0
1716121498.666158,916,1.0
1716121499.951046,917,1.0
1716121501.267015,918,1.0
1716121502.5622468,919,1.0
1716121505.442799,921,3.0
1716121506.670727,922,1.0
1716121508.030895,923,1.0
1716121509.516973,924,0.0
1716121511.0284858,925,1.0
1716121512.349039,926,1.0
1716121515.058364,928,1.0
1716121516.4515321,929,1.0
1716121519.608321,931,1.0
1716121520.9959,932,1.0
1716121523.024065,933,6.0
1716121524.3633122,934,2.0
1716121525.7290082,935,1.0
1716121527.158324,936,1.0
1716121529.8321521,938,1.0
1716121536.29712,940,10.0
1716121538.832878,942,1.0
1716121540.2745001,943,2.0
1716121541.646187,944,1.0
1716121543.105174,945,1.0
1716121544.370384,946,1.0
1716121547.2260869,948,1.0
1716121548.65583,949,1.0
1716121549.903106,950,1.0
1716121552.6543622,952,1.0
1716121554.037424,953,1.0
1716121555.278602,954,1.0
1716121556.685196,955,1.0
1716121558.082263,956,1.0
1716121559.667238,957,1.0
1716121560.8892632,958,1.0
1716121562.295649,959,1.0
1716121563.904997,960,2.0
1716121564.993873,961,1.0
1716121568.311297,962,12.0
1716121569.510727,963,1.0
1716121570.736407,964,1.0
1716121572.428002,965,3.0
1716121575.8768241,966,12.0
1716121577.5813801,967,3.0
1716121578.886679,968,1.0
1716121581.7857459,970,1.0
1716121584.7176561,972,0.0
1716121586.8031921,973,11.0
1716121589.172812,975,1.0
1716121590.7397618,976,3.0
1716121592.004582,977,1.0
1716121593.194025,978,1.0
1716121594.548928,979,1.0
1716121595.894282,980,3.0
1716121597.316891,981,1.0
1716121598.581287,982,1.0
1716121599.804905,983,1.0
1716121601.056025,984,1.0
1716121602.4386969,985,4.0
1716121603.756167,986,1.0
1716121606.52793,988,1.0
1716121608.129057,989,1.0
1716121609.5475898,990,1.0
1716121610.808664,991,1.0
1716121612.2051818,992,1.0
1716121613.498815,993,3.0
1716121616.280311,995,1.0
1716121621.513982,997,12.0
1716121623.270373,998,3.0
1716121625.890891,1000,1.0
1716121627.317277,1001,1.0
1716121628.644427,1002,1.0
1716121630.4116428,1003,2.0
1716121631.751596,1004,1.0
1716121633.137763,1005,1.0
1716121634.561325,1006,1.0
1716121637.630369,1008,1.0
1716121639.0391119,1009,1.0
1716121640.500021,1010,1.0
1716121643.235305,1012,1.0
1716121644.6078532,1013,1.0
1716121645.9806578,1014,2.0
1716121647.330872,1015,1.0
1716121650.361878,1017,2.0
1716121651.699614,1018,3.0
1716121653.0943968,1019,2.0
1716121654.504361,1020,1.0
1716121655.9940119,1021,1.0
1716121657.2030752,1022,1.0
1716121658.736795,1023,1.0
1716121660.119464,1024,1.0
1716121661.438452,1025,1.0
1716121662.598238,1026,1.0
1716121663.755438,1027,1.0
1716121665.402616,1028,10.0
1716121668.1827378,1030,0.0
1716121669.4761221,1031,1.0
1716121670.654237,1032,1.0
1716121671.929997,1033,1.0
1716121673.1280441,1034,1.0
1716121674.385003,1035,1.0
1716121675.764004,1036,1.0
1716121677.061463,1037,0.0
1716121678.65362,1038,5.0
1716121679.842952,1039,1.0
1716121681.143074,1040,1.0
1716121682.359684,1041,1.0
1716121683.686817,1042,1.0
