Wall time,Step,Value
1716120221.095841,1,19.0
1716120222.4757912,2,19.0
1716120225.585601,4,19.0
1716120226.8615339,5,18.0
1716120228.2793071,6,19.0
1716120229.559575,7,19.0
1716120230.938647,8,19.0
1716120232.278099,9,19.0
1716120233.621217,10,19.0
1716120234.853885,11,17.0
1716120236.327266,12,19.0
1716120237.6439,13,18.0
1716120238.985188,14,20.0
1716120240.1761532,15,18.0
1716120241.273152,16,18.0
1716120242.582667,17,20.0
1716120243.6493702,18,16.0
1716120244.9851048,19,19.0
1716120246.3363562,20,19.0
1716120247.609458,21,19.0
1716120251.272639,22,45.0
1716120252.826463,23,21.0
1716120254.379128,24,22.0
1716120255.7565389,25,19.0
1716120257.108311,26,21.0
1716120259.818065,28,24.0
1716120263.787891,31,16.0
1716120265.0507488,32,19.0
1716120266.2577899,33,18.0
1716120267.682691,34,21.0
1716120268.7919402,35,18.0
1716120270.956609,37,12.0
1716120272.33281,38,20.0
1716120273.8720288,39,21.0
1716120275.262799,40,19.0
1716120276.587381,41,18.0
1716120279.232745,43,18.0
1716120281.129667,44,23.0
1716120282.755902,45,22.0
1716120284.058976,46,19.0
1716120286.360139,47,26.0
1716120287.642821,48,17.0
1716120290.800511,50,18.0
1716120292.5827148,51,22.0
1716120295.848324,53,18.0
1716120297.169342,54,19.0
1716120298.7796109,55,20.0
1716120300.166195,56,20.0
1716120301.451621,57,19.0
1716120302.8001769,58,19.0
1716120306.502263,60,23.0
1716120307.937014,61,19.0
1716120309.307724,62,19.0
1716120310.570882,63,19.0
1716120311.852061,64,18.0
1716120313.1751978,65,18.0
1716120314.507838,66,19.0
1716120316.3748548,67,23.0
1716120317.725207,68,18.0
1716120319.05216,69,19.0
1716120320.389915,70,18.0
1716120323.050451,72,20.0
1716120325.3129869,73,24.0
1716120327.1301818,74,24.0
1716120328.5298932,75,19.0
1716120329.665565,76,18.0
1716120330.874035,77,18.0
1716120332.2307131,78,20.0
1716120333.444135,79,18.0
1716120334.67626,80,19.0
1716120337.178199,82,19.0
1716120338.3005178,83,18.0
1716120340.880526,85,19.0
1716120342.864458,86,24.0
1716120344.110446,87,18.0
1716120345.335973,88,18.0
1716120346.508252,89,18.0
1716120347.633237,90,18.0
1716120350.1323142,92,19.0
1716120351.365937,93,19.0
1716120352.6373382,94,19.0
1716120354.223723,95,22.0
1716120355.578832,96,19.0
1716120356.837837,97,19.0
1716120358.920606,98,24.0
1716120361.215631,100,17.0
1716120362.491752,101,19.0
1716120363.775556,102,19.0
1716120365.0770571,103,19.0
1716120366.372913,104,19.0
1716120367.652972,105,20.0
1716120368.8999062,106,19.0
1716120370.6454358,107,24.0
1716120373.0920289,109,20.0
1716120374.3560598,110,19.0
1716120375.693589,111,20.0
1716120376.946965,112,19.0
1716120378.184279,113,18.0
1716120379.386239,114,18.0
1716120380.525335,115,18.0
1716120382.0965571,116,24.0
1716120383.4214752,117,20.0
1716120384.736117,118,20.0
1716120386.042614,119,19.0
1716120387.290454,120,19.0
1716120388.7977548,121,22.0
1716120390.132247,122,20.0
1716120391.3254132,123,18.0
1716120392.547521,124,18.0
1716120394.1640089,125,24.0
1716120395.407455,126,19.0
1716120396.863963,127,22.0
1716120398.138218,128,19.0
1716120400.5368671,130,17.0
1716120401.7682061,131,18.0
1716120405.564764,134,19.0
1716120406.864778,135,19.0
1716120409.436449,137,12.0
1716120410.7758021,138,18.0
1716120413.2924109,140,19.0
1716120415.959147,142,22.0
1716120417.1758132,143,18.0
1716120418.415547,144,19.0
1716120419.670475,145,18.0
1716120422.079417,146,33.0
1716120423.319115,147,19.0
1716120425.937999,149,20.0
1716120427.11475,150,18.0
1716120428.3600252,151,19.0
1716120429.7559612,152,12.0
1716120432.345593,154,21.0
1716120433.615249,155,19.0
1716120434.867837,156,19.0
1716120437.095853,157,24.0
1716120438.25153,158,18.0
1716120440.066357,159,24.0
1716120441.695488,160,24.0
1716120444.0879219,162,18.0
1716120445.390612,163,19.0
1716120447.9881809,165,19.0
1716120449.359777,166,19.0
1716120452.284607,168,24.0
1716120453.7399218,169,21.0
1716120454.981034,170,18.0
1716120457.4316878,172,19.0
1716120458.7108119,173,19.0
1716120459.863926,174,17.0
1716120462.311237,176,19.0
1716120463.5805361,177,19.0
1716120464.8671622,178,18.0
1716120466.371914,179,20.0
1716120469.294189,181,18.0
1716120470.4681332,182,18.0
1716120472.106251,183,24.0
1716120473.383017,184,18.0
1716120474.601072,185,18.0
1716120475.813411,186,17.0
1716120477.308933,187,24.0
1716120478.540412,188,19.0
1716120481.956446,189,42.0
1716120484.438221,191,19.0
