Wall time,Step,Value
1714371208.161804,6,2.0
1714371208.6433961,7,2.0
1714371211.158452,12,3.0
1714371212.987988,15,1.0
1714371213.476615,16,2.0
1714371215.293959,19,1.0
1714371216.188618,21,1.0
1714371217.812751,25,3.0
1714371223.960317,37,1.0
1714371225.506562,41,1.0
1714371226.533983,43,2.0
1714371227.437428,45,3.0
1714371227.9511309,46,2.0
1714371228.945463,48,1.0
1714371231.729582,54,2.0
1714371232.086698,55,2.0
1714371232.591316,56,1.0
1714371233.721348,57,1.0
1714371234.053559,58,1.0
1714371237.8354728,66,1.0
1714371239.188104,69,4.0
1714371240.418558,72,2.0
1714371241.001157,73,2.0
1714371241.578807,74,3.0
1714371241.880825,75,3.0
1714371244.938045,80,1.0
1714371248.058305,88,1.0
1714371248.329199,89,1.0
1714371251.214515,95,7.0
1714371255.9988549,103,2.0
1714371257.252414,106,2.0
1714371257.7337768,107,1.0
1714371260.565792,114,2.0
1714371262.6941319,117,1.0
1714371263.481772,119,1.0
1714371266.669655,127,2.0
1714371268.088664,130,1.0
1714371268.35694,131,1.0
1714371273.301126,140,6.0
1714371274.1648278,142,2.0
1714371274.693943,143,3.0
1714371275.205019,144,1.0
1714371278.631925,151,4.0
1714371282.3219898,156,3.0
1714371283.167853,158,1.0
1714371283.677175,159,2.0
1714371285.632056,163,1.0
1714371288.164628,168,1.0
1714371288.643318,169,2.0
1714371291.109914,172,1.0
1714371294.452759,178,1.0
1714371295.213202,179,4.0
1714371296.1535301,181,2.0
1714371297.178008,184,1.0
1714371297.98351,186,3.0
1714371298.5135648,187,4.0
1714371299.505363,189,3.0
1714371301.137861,191,3.0
1714371301.493239,192,3.0
1714371305.11912,199,5.0
1714371308.5760782,207,1.0
1714371308.95923,208,1.0
1714371310.823702,209,6.0
1714371312.668874,213,3.0
1714371317.439987,223,6.0
1714371318.039412,224,4.0
1714371318.984334,226,1.0
1714371322.1519308,230,3.0
1714371323.518173,233,3.0
1714371323.8827488,234,3.0
1714371324.3656452,235,2.0
1714371326.618309,238,4.0
1714371333.2454772,250,1.0
1714371335.888633,256,4.0
1714371337.5672781,259,2.0
1714371339.261099,261,4.0
1714371339.561054,262,1.0
1714371341.1140969,264,5.0
1714371342.769572,268,2.0
1714371344.7231731,272,4.0
1714371345.548613,274,1.0
1714371349.310499,279,5.0
1714371356.573926,293,7.0
1714371359.669947,298,1.0
1714371360.2383301,299,3.0
1714371362.2956312,303,6.0
1714371362.558793,304,1.0
1714371364.7226691,308,4.0
1714371365.202135,309,1.0
1714371366.050038,311,3.0
1714371368.752543,314,6.0
1714371370.892237,319,4.0
1714371371.2242858,320,2.0
1714371371.5979881,321,2.0
1714371373.998763,326,2.0
1714371374.412271,327,2.0
1714371374.826425,328,1.0
1714371376.318368,331,3.0
1714371381.850326,340,4.0
1714371382.748093,342,1.0
1714371385.936474,348,7.0
1714371390.135353,354,6.0
1714371390.909539,355,6.0
1714371393.749981,361,3.0
1714371395.457365,364,3.0
1714371398.746666,368,1.0
1714371401.453439,372,6.0
1714371402.4498281,374,1.0
1714371404.242172,378,95.99238586425781
1714371404.5849888,379,2.0
1714371404.986181,380,2.0
1714371406.938472,382,2.0
1714371409.3483992,387,96.07127380371094
1714371412.358655,392,6.0
1714371413.200472,393,7.0
1714371413.8152509,394,6.0
1714371423.1430762,409,6.0
1714371427.706035,416,6.0
1714371430.302031,422,4.0
1714371430.6858702,423,4.0
1714371431.573439,425,2.0
1714371432.6690161,427,5.0
1714371436.089209,431,6.0
1714371440.709704,440,7.0
1714371441.7981892,442,5.0
1714371442.125356,443,5.0
1714371444.719611,446,7.0
1714371447.909321,452,4.0
1714371451.622567,460,2.0
1714371452.952884,461,2.0
1714371454.8349981,464,4.0
1714371455.473566,465,6.0
1714371460.9553862,474,6.0
1714371461.444232,475,2.0
1714371467.518313,486,1.0
1714371468.9428961,489,1.0
1714371469.649431,490,6.0
