Wall time,Step,Value
1716069315.334326,6,-36.838714599609375
1716069316.10231,7,-35.32167434692383
1716069317.88322,12,-37.55103302001953
1716069319.021612,15,-37.39695358276367
1716069319.346674,16,-37.74728012084961
1716069320.424639,19,-37.365455627441406
1716069321.105113,21,-36.65669250488281
1716069324.285204,25,-36.74745559692383
1716069329.598866,37,-37.841365814208984
1716069331.7696881,41,-34.56504440307617
1716069332.706097,43,-36.63871765136719
1716069333.5371,45,-36.626548767089844
1716069333.951138,46,-36.093318939208984
1716069334.752005,48,-36.32814025878906
1716069336.9785018,54,-36.06911087036133
1716069337.368054,55,-36.426551818847656
1716069337.8135371,56,-36.28689193725586
1716069338.218126,57,-36.65669250488281
1716069338.546242,58,-37.26012420654297
1716069342.5552378,66,-36.417144775390625
1716069344.127945,69,-37.61907196044922
1716069345.163449,72,-35.998600006103516
1716069345.464654,73,-37.515140533447266
1716069345.8698292,74,-36.4664306640625
1716069346.21587,75,-36.71553421020508
1716069348.9377558,80,-33.3755989074707
1716069352.10659,88,-36.44684982299805
1716069352.440552,89,-37.419071197509766
1716069354.998379,95,-36.426551818847656
1716069358.7919989,103,-36.77766799926758
1716069360.4042969,106,-34.32377624511719
1716069360.814903,107,-35.95773696899414
1716069364.630301,114,-35.81945037841797
1716069366.4744692,117,-32.926204681396484
1716069367.8325918,119,-16.17984390258789
1716069372.101814,127,-34.36028289794922
1716069374.516289,130,-35.976661682128906
1716069375.135489,131,-34.33708572387695
1716069380.452478,140,-34.690582275390625
1716069382.043573,142,-36.64657211303711
1716069382.743983,143,-16.34503936767578
1716069383.459768,144,-33.542572021484375
1716069387.1077728,151,-34.921119689941406
1716069391.012863,156,-33.207862854003906
1716069392.327109,158,-16.517375946044922
1716069392.849613,159,-35.10459899902344
1716069395.388884,163,-35.98097610473633
1716069399.0628219,168,-33.60121154785156
1716069399.6694028,169,-34.332881927490234
1716069401.6989849,172,-33.92377471923828
1716069405.669508,178,-31.867855072021484
1716069406.268577,179,-34.278228759765625
1716069408.142367,181,-32.64990234375
1716069410.472098,184,-34.39305877685547
1716069411.964193,186,-32.8755989074707
1716069412.7041721,187,-16.05122947692871
1716069413.8426912,189,-35.36220932006836
1716069416.0158238,191,-34.22575378417969
1716069416.483128,192,-35.51029968261719
1716069421.5590458,199,-15.875184059143066
1716069428.261327,207,-33.390079498291016
1716069429.09089,208,-32.675601959228516
1716069429.4973152,209,-35.8933219909668
1716069433.844203,213,-33.05622863769531
1716069443.982062,223,-33.00245666503906
1716069444.790572,224,-16.202392578125
1716069446.3997262,226,-34.24279022216797
1716069450.300728,230,-31.99717903137207
1716069453.117032,233,-32.749900817871094
1716069454.032213,234,-32.40680694580078
1716069454.8432379,235,-32.85036849975586
1716069457.3313248,238,-32.951576232910156
1716069469.862156,250,-33.44257354736328
