Wall time,Step,Value
1716075177.33192,6,-32.082950592041016
1716075180.333714,7,-32.741539001464844
1716075188.816452,12,-33.27546310424805
1716075195.660413,15,-31.721778869628906
1716075197.758618,16,-30.769290924072266
1716075204.321355,19,-32.29233169555664
1716075208.736228,21,-30.11913299560547
1716075216.888149,25,-31.73996925354004
1716075237.5763688,37,-31.57151222229004
1716075245.625428,41,-33.86996841430664
1716075247.981314,43,-34.65288162231445
1716075251.194579,45,-17.674320220947266
1716075252.411256,46,-17.839263916015625
1716075256.612684,48,-32.554908752441406
1716075265.023494,54,-33.29393768310547
1716075266.4679701,55,-33.08677673339844
1716075268.4320068,56,-32.994529724121094
1716075270.609613,57,-31.61567497253418
1716075271.5940359,58,-34.27738571166992
1716075286.009583,66,-30.93080711364746
1716075291.8080041,69,-32.554954528808594
1716075296.336245,72,-33.172950744628906
1716075297.485806,73,78.3451156616211
1716075299.925272,74,-31.632822036743164
1716075301.459996,75,-32.582763671875
1716075310.399008,80,-33.39375686645508
1716075326.190531,88,-17.25267791748047
1716075327.492925,89,-33.91818618774414
1716075337.073071,95,-16.851547241210938
1716075348.8145611,103,-34.16069793701172
1716075353.902543,106,-32.30309295654297
1716075356.451862,107,-30.643869400024414
1716075367.296095,114,-34.328426361083984
1716075371.28615,117,-31.55778694152832
1716075375.270227,119,-32.83530807495117
1716075390.943305,127,-32.155853271484375
1716075396.150481,130,-31.33230209350586
1716075398.188736,131,-31.268268585205078
1716075413.241622,140,-33.3317985534668
1716075417.68708,142,-30.75288963317871
1716075418.582946,143,-34.704010009765625
1716075419.802285,144,-33.585243225097656
1716075430.923734,151,-17.51206398010254
1716075440.214632,156,76.39512634277344
1716075444.049982,158,-32.665260314941406
1716075445.521108,159,-32.93807601928711
1716075451.4670029,163,-17.192623138427734
1716075460.302569,168,-32.29576873779297
1716075462.755792,169,-30.47709846496582
1716075468.012564,172,-33.12412643432617
1716075479.499369,178,-32.40525817871094
1716075481.699278,179,-17.73678207397461
1716075485.189804,181,-17.50243377685547
1716075490.6377542,184,-30.71670913696289
1716075493.925672,186,-17.81197166442871
1716075496.768569,187,-30.951749801635742
1716075499.7482932,189,-33.08677673339844
1716075504.641949,191,-31.883275985717773
1716075506.6536598,192,-17.56987762451172
1716075519.2537239,199,-33.536930084228516
1716075536.324849,207,-30.011743545532227
