Wall time,Step,Value
1716075177.331914,6,0.0
1716075180.333708,7,0.0
1716075188.816447,12,0.0
1716075195.660407,15,0.0
1716075197.758613,16,0.0
1716075204.3213491,19,0.0
1716075208.736222,21,0.0
1716075216.8881438,25,0.0
1716075237.576364,37,0.027027027681469917
1716075245.625422,41,0.024390242993831635
1716075247.981308,43,0.023255813866853714
1716075251.194574,45,0.02222222276031971
1716075252.4112508,46,0.021739130839705467
1716075256.6126778,48,0.02083333395421505
1716075265.023489,54,0.019999999552965164
1716075266.467964,55,0.019999999552965164
1716075268.432002,56,0.019999999552965164
1716075270.609608,57,0.019999999552965164
1716075271.5940301,58,0.019999999552965164
1716075286.009577,66,0.019999999552965164
1716075291.807998,69,0.019999999552965164
1716075296.33624,72,0.03999999910593033
1716075297.4858,73,0.05999999865889549
1716075299.925266,74,0.05999999865889549
1716075301.459991,75,0.05999999865889549
1716075310.399002,80,0.05999999865889549
1716075326.1905248,88,0.07999999821186066
1716075327.4929202,89,0.07999999821186066
1716075337.073065,95,0.07999999821186066
1716075348.814556,103,0.07999999821186066
1716075353.9025369,106,0.07999999821186066
1716075356.4518569,107,0.07999999821186066
1716075367.2960892,114,0.07999999821186066
1716075371.286144,117,0.07999999821186066
1716075375.2702222,119,0.07999999821186066
1716075390.943299,127,0.05999999865889549
1716075396.150476,130,0.05999999865889549
1716075398.18873,131,0.05999999865889549
1716075413.2416158,140,0.019999999552965164
1716075417.6870751,142,0.019999999552965164
1716075418.5829399,143,0.019999999552965164
1716075419.802279,144,0.019999999552965164
1716075430.923728,151,0.03999999910593033
1716075440.214626,156,0.05999999865889549
1716075444.049976,158,0.05999999865889549
1716075445.5211031,159,0.05999999865889549
1716075451.466998,163,0.05999999865889549
1716075460.3025632,168,0.05999999865889549
1716075462.755786,169,0.05999999865889549
1716075468.012558,172,0.03999999910593033
1716075479.4993632,178,0.03999999910593033
1716075481.699272,179,0.03999999910593033
1716075485.1897988,181,0.03999999910593033
1716075490.637748,184,0.03999999910593033
1716075493.925666,186,0.03999999910593033
1716075496.768564,187,0.03999999910593033
1716075499.748287,189,0.03999999910593033
1716075504.641943,191,0.03999999910593033
1716075506.653654,192,0.03999999910593033
1716075519.253718,199,0.019999999552965164
1716075536.324843,207,0.0
1716075538.5057962,208,0.0
1716075540.772685,209,0.0
1716075546.879338,213,0.0
1716075565.766337,223,0.0
1716075567.578175,224,0.0
1716075570.620032,226,0.0
1716075576.416543,230,0.0
1716075581.749064,233,0.0
1716075583.5843232,234,0.0
1716075584.379361,235,0.0
1716075588.913902,238,0.019999999552965164
1716075608.798462,250,0.019999999552965164
1716075617.288438,256,0.019999999552965164
1716075625.201589,259,0.019999999552965164
1716075629.421924,261,0.03999999910593033
1716075631.665181,262,0.03999999910593033
1716075634.729762,264,0.03999999910593033
1716075640.556214,268,0.03999999910593033
1716075648.4898822,272,0.03999999910593033
1716075652.056021,274,0.03999999910593033
1716075662.375411,279,0.03999999910593033
1716075687.952673,293,0.019999999552965164
1716075697.2860081,298,0.019999999552965164
1716075699.2225542,299,0.019999999552965164
1716075705.443242,303,0.019999999552965164
1716075707.054465,304,0.019999999552965164
1716075714.978212,308,0.019999999552965164
1716075717.303838,309,0.019999999552965164
1716075720.881283,311,0.0
