Wall time,Step,Value
1714310801.9351711,13,1.0
1714310804.2009332,14,2.0
1714310815.502093,19,2.0
1714310820.821702,22,2.0
1714310822.5665522,23,2.0
1714310827.560933,26,2.0
1714310828.893634,27,2.0
1714310830.3161962,28,2.0
1714310838.731097,32,1.0
1714310861.6121118,44,2.0
1714310870.927021,48,2.0
1714310874.586443,50,1.0
1714310880.97557,52,2.0
1714310882.887755,53,2.0
1714310887.237559,55,2.0
1714310896.886652,61,3.0
1714310898.574948,62,1.0
1714310900.6234298,63,1.0
1714310902.72495,64,4.0
1714310904.7499242,65,4.0
1714310923.527136,73,4.0
1714310929.935144,76,2.0
1714310934.5802188,79,1.0
1714310937.048395,80,3.0
1714310938.459921,81,3.0
1714310941.9874718,82,5.0
1714310953.179125,87,4.0
1714310968.243582,95,1.0
1714310970.063545,96,1.0
1714310985.4679182,102,5.0
1714311005.6070888,110,2.0
1714311013.8986409,113,1.0
1714311015.6445582,114,1.0
1714311030.090017,121,1.0
1714311036.311517,124,2.0
1714311043.6537569,126,4.0
1714311059.756769,134,1.0
1714311065.1693199,137,1.0
1714311067.242322,138,4.0
1714311093.5228102,147,5.0
1714311095.9629161,149,5.0
1714311097.986946,150,2.0
1714311099.8357918,151,2.0
1714311116.089748,158,4.0
1714311127.517077,163,2.0
1714311131.244748,165,1.0
1714311133.594691,166,1.0
1714311144.6964622,170,1.0
1714311157.231591,175,5.0
1714311159.605484,176,4.0
1714311165.684758,179,2.0
1714311182.54262,185,4.0
1714311184.33836,186,2.0
1714311190.995213,188,6.0
1714311198.166535,191,4.0
1714311206.648704,193,4.0
1714311208.950759,194,4.0
1714311213.584918,196,6.0
1714311219.858667,198,5.0
1714311224.2336588,199,5.0
1714311245.149174,206,4.0
1714311265.158653,214,3.0
1714311268.950488,215,3.0
1714311272.362944,216,5.0
1714311283.3768241,220,5.0
1714311311.212317,230,5.0
1714311313.2691462,231,2.0
1714311319.099369,233,5.0
1714311333.3717608,237,3.0
1714311340.3061938,240,6.0
1714311342.398439,241,2.0
1714311343.763996,242,2.0
1714311350.54316,245,3.0
1714311382.404702,257,2.0
1714311398.794817,263,5.0
1714311405.163615,266,5.0
1714311410.317253,268,5.0
1714311413.4636421,269,4.0
1714311417.864394,271,4.0
1714311427.132192,275,6.0
1714311439.159371,279,5.0
1714311443.3604102,281,3.0
1714311454.422432,286,4.0
1714311492.382995,300,1.0
1714311506.511434,305,6.0
1714311509.034014,306,4.0
1714311519.7475111,310,4.0
1714311522.811605,311,4.0
1714311533.9472818,315,2.0
1714311535.849966,316,2.0
1714311540.88748,318,5.0
1714311548.946514,321,2.0
1714311565.2231302,326,6.0
1714311567.961492,327,5.0
1714311569.736383,328,2.0
1714311584.2593,333,7.0
1714311587.765105,334,6.0
1714311590.317317,335,4.0
1714311598.511246,338,5.0
