Wall time,Step,Value
1716074053.997855,6,0.0
1716074054.3139122,7,0.0
1716074056.492542,12,0.0
1716074057.842258,15,0.0
1716074058.366456,16,0.0
1716074059.2881658,19,0.0
1716074060.30746,21,0.0
1716074061.75598,25,0.0
1716074066.322807,37,0.0
1716074067.8938282,41,0.0
1716074068.648383,43,0.0
1716074069.241482,45,0.0
1716074069.624671,46,0.0
1716074070.3939981,48,0.0
1716074072.935219,54,0.0
1716074073.332288,55,0.0
1716074073.7637289,56,0.0
1716074074.236875,57,0.0
1716074074.7341871,58,0.0
1716074078.10172,66,0.0
1716074079.3187041,69,0.0
1716074080.448538,72,0.0
1716074080.834949,73,0.0
1716074081.386605,74,0.0
1716074081.821963,75,0.0
1716074083.5334852,80,0.0
1716074087.276926,88,0.0
1716074087.5985348,89,0.0
1716074090.047661,95,0.0
1716074093.0948548,103,0.0
1716074094.224073,106,0.0
1716074094.5900009,107,0.0
1716074097.347431,114,0.0
1716074098.580687,117,0.0
1716074099.617561,119,0.0
1716074103.0841012,127,0.0
1716074104.275357,130,0.0
1716074104.72592,131,0.0
1716074108.3016,140,0.0
1716074109.153873,142,0.0
1716074109.6079638,143,0.0
1716074109.960122,144,0.0
1716074112.636808,151,0.0
1716074114.650238,156,0.0
1716074115.319517,158,0.0
1716074115.745749,159,0.0
1716074117.287549,163,0.0
1716074120.1416042,168,0.0
1716074120.66216,169,0.0
1716074122.020374,172,0.0
1716074124.26684,178,0.0
1716074124.650434,179,0.0
1716074125.407457,181,0.0
1716074126.666904,184,0.0
1716074127.5349288,186,0.0
1716074128.049877,187,0.0
1716074128.965512,189,0.0
1716074129.722305,191,0.0
1716074130.0825999,192,0.0
1716074132.820454,199,0.0
1716074136.426796,207,0.0
1716074136.855248,208,0.0
1716074137.337,209,0.0
1716074138.904613,213,0.0
1716074142.350786,223,0.0
1716074142.70828,224,0.0
1716074143.526431,226,0.0
1716074145.380045,230,0.0
1716074146.6604002,233,0.0
1716074147.066106,234,0.0
1716074147.492131,235,0.0
1716074148.631615,238,0.0
1716074153.800162,250,0.0
1716074156.491529,256,0.0
1716074157.5337129,259,0.0
1716074158.3858209,261,0.0
1716074158.70805,262,0.0
1716074159.49931,264,0.0
1716074161.144277,268,0.0
1716074162.741451,272,0.0
1716074163.5081348,274,0.0
1716074166.026565,279,0.019999999552965164
1716074171.492498,293,0.019999999552965164
1716074173.687687,298,0.019999999552965164
1716074174.1517608,299,0.019999999552965164
1716074175.901706,303,0.019999999552965164
1716074176.355335,304,0.019999999552965164
1716074178.525433,308,0.019999999552965164
1716074178.9917052,309,0.019999999552965164
1716074179.883453,311,0.019999999552965164
1716074181.3380082,314,0.019999999552965164
1716074183.503171,319,0.019999999552965164
1716074183.879141,320,0.019999999552965164
1716074184.348798,321,0.019999999552965164
1716074186.1274052,326,0.0
1716074186.541125,327,0.0
1716074186.8817081,328,0.0
1716074188.132957,331,0.0
1716074191.517349,340,0.0
1716074192.4990542,342,0.0
1716074194.837398,348,0.0
1716074197.269621,354,0.0
1716074197.583601,355,0.0
1716074199.683467,361,0.0
1716074200.8404858,364,0.0
1716074202.4731772,368,0.0
1716074204.0691001,372,0.0
1716074204.9372501,374,0.0
1716074206.7013729,378,0.0
1716074207.132267,379,0.0
1716074207.508696,380,0.0
1716074208.7485492,382,0.0
1716074211.091073,387,0.0
1716074213.3916428,392,0.0
1716074213.750762,393,0.0
1716074214.014863,394,0.0
1716074220.160637,409,0.0
1716074223.367023,416,0.0
1716074225.723603,422,0.0
1716074226.196765,423,0.0
1716074226.908906,425,0.0
1716074227.831975,427,0.0
1716074229.299805,431,0.0
1716074233.995053,440,0.019999999552965164
1716074234.760726,442,0.019999999552965164
1716074235.177582,443,0.019999999552965164
1716074236.349664,446,0.019999999552965164
1716074238.4547992,452,0.019999999552965164
1716074241.948457,460,0.019999999552965164
1716074242.440871,461,0.019999999552965164
1716074243.657755,464,0.019999999552965164
1716074244.049228,465,0.019999999552965164
1716074247.781418,474,0.019999999552965164
1716074248.466024,475,0.019999999552965164
1716074253.226754,486,0.0
1716074254.673725,489,0.0
1716074255.051834,490,0.0
1716074255.8661141,492,0.0
1716074256.831109,494,0.0
1716074262.571948,508,0.0
1716074264.6965702,513,0.0
1716074265.409146,515,0.0
1716074266.6153111,518,0.0
1716074267.5168278,520,0.0
1716074269.617131,525,0.0
1716074270.048278,526,0.0
1716074273.22556,532,0.0
1716074273.994038,534,0.0
1716074274.418016,535,0.0
1716074275.224412,537,0.0
1716074275.517339,538,0.0
1716074276.8201768,541,0.0
1716074277.652117,543,0.0
1716074279.6464798,548,0.0
1716074280.085115,549,0.0
1716074283.718904,558,0.0
1716074284.7022662,560,0.0
1716074286.222079,564,0.0
1716074286.607154,565,0.0
1716074286.962848,566,0.0
1716074288.793786,570,0.0
1716074290.4103308,574,0.0
1716074290.754536,575,0.0
1716074291.899542,578,0.0
1716074292.647878,580,0.0
1716074293.4672902,581,0.0
1716074294.1024508,582,0.0
1716074294.562387,583,0.0
1716074294.945951,584,0.0
1716074295.580894,585,0.0
1716074296.188698,587,0.0
1716074296.5603032,588,0.0
1716074298.5234509,593,0.0
1716074298.991124,594,0.0
1716074300.61577,598,0.0
1716074301.7725592,601,0.0
1716074302.627562,603,0.0
1716074304.8263,609,0.0
1716074305.6551738,611,0.0
1716074307.8809779,616,0.0
1716074310.199318,620,0.0
1716074310.6412082,621,0.0
1716074311.321763,623,0.0
1716074316.5520298,635,0.0
1716074319.1898298,642,0.0
1716074319.628458,643,0.0
1716074320.7425332,645,0.0
1716074321.0983622,646,0.0
1716074321.6355789,647,0.0
1716074322.028832,648,0.0
1716074322.891517,650,0.0
1716074324.5513659,653,0.0
1716074326.350336,657,0.0
1716074326.862782,658,0.0
1716074328.449945,662,0.0
1716074329.832726,665,0.0
1716074331.238395,669,0.0
1716074332.677988,672,0.0
1716074333.279456,673,0.0
1716074333.723029,674,0.0
1716074334.1544588,675,0.0
1716074334.624008,676,0.0
1716074335.471843,678,0.0
1716074335.911704,679,0.0
1716074336.398164,680,0.0
1716074337.874447,683,0.0
1716074338.398153,684,0.0
1716074339.2958798,685,0.0
1716074340.078688,687,0.0
1716074341.0331059,689,0.0
1716074341.4733372,690,0.0
1716074344.425688,697,0.0
1716074345.790987,700,0.0
1716074347.6017869,704,0.0
1716074348.9872231,707,0.0
1716074349.8994591,709,0.0
1716074350.690209,711,0.0
1716074352.422922,715,0.0
1716074354.7545989,719,0.0
1716074356.250148,722,0.0
1716074356.7251809,723,0.0
1716074357.358937,724,0.0
1716074357.792237,725,0.0
1716074360.454991,731,0.0
1716074363.086269,737,0.0
1716074364.10922,739,0.0
1716074364.580224,740,0.0
1716074366.345097,744,0.0
1716074368.223039,747,0.0
1716074368.684719,748,0.0
1716074370.089628,751,0.0
1716074370.6090329,752,0.0
1716074371.72543,753,0.0
1716074372.5262048,755,0.0
1716074373.461566,757,0.0
1716074376.701012,763,0.0
1716074377.936169,766,0.0
1716074378.2957911,767,0.0
1716074379.457407,770,0.0
1716074379.9940639,771,0.0
1716074380.459463,772,0.0
1716074381.292125,774,0.0
1716074381.672726,775,0.0
1716074384.6419961,781,0.0
1716074386.185753,785,0.0
1716074386.667491,786,0.0
1716074387.531355,788,0.0
1716074388.376195,790,0.0
1716074389.503938,792,0.0
1716074389.858028,793,0.0
1716074390.3915021,794,0.0
1716074390.8837461,795,0.0
1716074391.267404,796,0.0
1716074392.4236412,799,0.0
1716074393.198739,801,0.0
1716074394.121428,803,0.0
1716074395.954132,806,0.0
1716074399.4252958,808,0.0
1716074399.983283,809,0.0
1716074400.573264,810,0.0
1716074403.70433,816,0.019999999552965164
1716074404.138193,817,0.019999999552965164
1716074405.126078,819,0.019999999552965164
1716074406.723056,822,0.019999999552965164
1716074408.818621,826,0.019999999552965164
1716074410.431123,829,0.019999999552965164
1716074412.057996,832,0.019999999552965164
1716074412.5185878,833,0.019999999552965164
1716074413.6997929,835,0.03999999910593033
1716074414.688582,837,0.03999999910593033
1716074415.4775949,839,0.03999999910593033
1716074418.380125,844,0.03999999910593033
1716074419.811563,847,0.03999999910593033
1716074423.243117,849,0.03999999910593033
1716074430.659895,864,0.03999999910593033
1716074432.615762,868,0.03999999910593033
1716074433.663219,870,0.03999999910593033
1716074434.126781,871,0.03999999910593033
1716074435.815968,875,0.03999999910593033
1716074436.976584,877,0.03999999910593033
1716074437.514096,878,0.03999999910593033
1716074439.242711,881,0.03999999910593033
1716074440.352928,883,0.03999999910593033
1716074441.537076,885,0.019999999552965164
1716074443.08885,888,0.019999999552965164
1716074444.1369889,890,0.019999999552965164
1716074444.5448608,891,0.019999999552965164
1716074445.866737,893,0.019999999552965164
1716074448.360985,897,0.019999999552965164
1716074450.730805,901,0.019999999552965164
1716074453.641391,908,0.0
1716074454.210651,909,0.0
1716074455.25758,910,0.019999999552965164
1716074455.7452438,911,0.019999999552965164
1716074456.8066828,913,0.019999999552965164
1716074458.275305,916,0.019999999552965164
1716074458.746437,917,0.019999999552965164
1716074459.186272,918,0.019999999552965164
1716074460.693697,921,0.019999999552965164
1716074461.129217,922,0.019999999552965164
1716074461.5568871,923,0.019999999552965164
1716074462.121334,924,0.019999999552965164
1716074466.690636,932,0.03999999910593033
1716074467.151777,933,0.03999999910593033
1716074468.410746,936,0.03999999910593033
1716074472.177103,943,0.03999999910593033
1716074474.0408762,946,0.03999999910593033
1716074478.223576,954,0.03999999910593033
1716074479.323385,955,0.03999999910593033
1716074480.2702348,957,0.03999999910593033
1716074480.9003232,958,0.03999999910593033
1716074481.345267,959,0.03999999910593033
1716074482.542051,962,0.019999999552965164
1716074483.1323469,963,0.019999999552965164
1716074484.071839,965,0.019999999552965164
1716074485.156669,967,0.019999999552965164
1716074488.286737,972,0.019999999552965164
1716074488.642508,973,0.019999999552965164
1716074491.047976,977,0.019999999552965164
1716074491.5036612,978,0.019999999552965164
1716074491.841714,979,0.019999999552965164
1716074492.2429261,980,0.019999999552965164
1716074493.7349188,983,0.0
1716074494.2921338,984,0.0
1716074495.144428,985,0.0
1716074496.8597581,988,0.0
1716074497.422876,989,0.0
1716074502.120786,997,0.0
1716074504.934641,1001,0.019999999552965164
1716074505.773196,1003,0.019999999552965164
1716074506.6061702,1005,0.019999999552965164
1716074507.1346262,1006,0.019999999552965164
1716074508.814008,1009,0.019999999552965164
1716074510.359048,1012,0.019999999552965164
1716074511.112551,1013,0.019999999552965164
1716074511.9479628,1014,0.03999999910593033
1716074512.397088,1015,0.03999999910593033
1716074513.976015,1018,0.03999999910593033
1716074518.056601,1026,0.07999999821186066
1716074519.3901792,1028,0.07999999821186066
1716074520.286407,1030,0.07999999821186066
1716074521.2319858,1032,0.07999999821186066
1716074521.873247,1033,0.07999999821186066
1716074523.551418,1036,0.07999999821186066
1716074524.8135612,1038,0.07999999821186066
1716074526.0448508,1040,0.07999999821186066
1716074529.411974,1045,0.07999999821186066
1716074533.4880939,1052,0.07999999821186066
1716074533.8517601,1053,0.07999999821186066
1716074535.829769,1056,0.07999999821186066
1716074536.973577,1058,0.07999999821186066
1716074540.165637,1064,0.05999999865889549
1716074540.6502159,1065,0.05999999865889549
1716074541.5791302,1067,0.05999999865889549
1716074542.89748,1069,0.03999999910593033
1716074545.8840709,1073,0.019999999552965164
1716074548.5762198,1077,0.019999999552965164
1716074549.7412689,1079,0.019999999552965164
1716074553.130916,1084,0.03999999910593033
1716074553.786695,1085,0.03999999910593033
1716074554.224301,1086,0.03999999910593033
1716074558.509525,1093,0.07999999821186066
1716074558.9129002,1094,0.07999999821186066
1716074563.09166,1100,0.05999999865889549
1716074565.781717,1104,0.05999999865889549
1716074566.263547,1105,0.05999999865889549
1716074566.943758,1106,0.05999999865889549
1716074572.411476,1115,0.10000000149011612
1716074573.723732,1117,0.11999999731779099
1716074575.793222,1120,0.11999999731779099
1716074580.1438441,1126,0.14000000059604645
1716074580.696197,1127,0.14000000059604645
1716074582.793943,1131,0.14000000059604645
1716074584.535521,1134,0.11999999731779099
1716074585.26672,1135,0.14000000059604645
1716074585.747991,1136,0.14000000059604645
1716074588.078145,1139,0.14000000059604645
1716074594.540184,1150,0.14000000059604645
1716074596.7931368,1153,0.1599999964237213
1716074598.665407,1156,0.1599999964237213
1716074599.024097,1157,0.1599999964237213
1716074599.8091788,1158,0.1599999964237213
1716074602.309201,1161,0.1599999964237213
1716074602.849971,1162,0.1599999964237213
1716074604.103956,1163,0.1599999964237213
1716074614.027232,1178,0.18000000715255737
1716074616.105403,1181,0.18000000715255737
1716074617.599919,1183,0.18000000715255737
1716074617.9809651,1184,0.18000000715255737
1716074619.2868469,1186,0.1599999964237213
1716074619.81909,1187,0.1599999964237213
1716074621.94023,1190,0.14000000059604645
1716074624.006346,1193,0.1599999964237213
1716074624.7256901,1194,0.1599999964237213
1716074625.6244,1196,0.1599999964237213
1716074626.96294,1198,0.14000000059604645
1716074628.155714,1200,0.1599999964237213
1716074629.283766,1202,0.18000000715255737
1716074631.871016,1205,0.18000000715255737
1716074633.470946,1207,0.2199999988079071
1716074634.6846201,1209,0.20000000298023224
1716074635.976071,1211,0.18000000715255737
1716074637.0024178,1213,0.18000000715255737
1716074639.002773,1215,0.18000000715255737
1716074645.0715551,1225,0.23999999463558197
1716074648.1899252,1229,0.23999999463558197
1716074650.940007,1233,0.2800000011920929
1716074651.614113,1234,0.30000001192092896
1716074652.2741928,1235,0.30000001192092896
1716074653.490517,1237,0.30000001192092896
1716074655.612301,1240,0.3199999928474426
1716074657.5505679,1243,0.3400000035762787
1716074658.876121,1245,0.3400000035762787
1716074660.743392,1248,0.3400000035762787
1716074664.400393,1254,0.2800000011920929
1716074665.4975219,1256,0.25999999046325684
1716074666.70188,1258,0.23999999463558197
1716074667.485514,1259,0.23999999463558197
1716074669.633594,1262,0.25999999046325684
1716074670.4320781,1263,0.25999999046325684
1716074671.05465,1264,0.23999999463558197
1716074673.6582232,1267,0.23999999463558197
1716074678.8223119,1275,0.18000000715255737
1716074682.534407,1280,0.14000000059604645
1716074683.850354,1282,0.11999999731779099
1716074687.950409,1288,0.1599999964237213
1716074691.18903,1292,0.11999999731779099
1716074691.9071949,1293,0.14000000059604645
1716074692.303042,1294,0.14000000059604645
1716074693.549632,1295,0.14000000059604645
1716074697.2368052,1301,0.1599999964237213
1716074699.156887,1304,0.1599999964237213
1716074704.53185,1311,0.1599999964237213
1716074706.449406,1313,0.1599999964237213
1716074708.8188071,1316,0.18000000715255737
1716074709.668257,1317,0.20000000298023224
1716074711.573108,1320,0.18000000715255737
