Wall time,Step,Value
1716069238.3631759,6,-33.75804901123047
1716069239.956106,7,-33.35584259033203
1716069246.026512,12,77.44820404052734
1716069249.7278662,15,-33.986297607421875
1716069250.721083,16,-34.675601959228516
1716069254.0930219,19,-34.27964401245117
1716069257.15151,21,-18.04057502746582
1716069263.0919292,25,-17.649169921875
1716069277.718527,37,-35.463905334472656
1716069281.981378,41,-35.121673583984375
1716069283.928637,43,-32.93899917602539
1716069286.2125921,45,-33.725032806396484
1716069287.815826,46,-31.574264526367188
1716069291.60165,48,-30.48189353942871
1716069298.9116921,54,-32.127464294433594
1716069300.636248,55,-30.952880859375
1716069303.3883479,56,-33.07923126220703
1716069305.048098,57,-31.810571670532227
1716069306.2310321,58,-34.08629608154297
1716069317.5632498,66,-31.974782943725586
1716069322.737272,69,-33.76106643676758
1716069328.017065,72,-31.542848587036133
1716069329.3345091,73,-34.650169372558594
1716069330.7543712,74,-33.62924575805664
1716069332.4164429,75,-16.250839233398438
1716069339.94084,80,-30.272951126098633
1716069353.676477,88,-31.075178146362305
1716069355.157388,89,78.24820709228516
1716069366.306491,95,-32.743316650390625
1716069382.354999,103,-29.939441680908203
1716069386.305182,106,-33.610816955566406
1716069388.107618,107,-32.49834060668945
1716069406.086582,114,-30.77672004699707
1716069414.376265,117,-24.105180740356445
1716069416.616669,119,-35.88097381591797
1716069439.3963552,127,-31.942710876464844
1716069446.810415,130,-31.65804672241211
1716069448.140067,131,-32.25516891479492
1716069469.171702,140,-21.67015266418457
1716069471.7494369,142,-31.540748596191406
1716069473.3497741,143,-31.661602020263672
1716069475.2492318,144,-29.90480613708496
1716069495.0249732,151,-9.597704887390137
1716069511.69952,156,-24.557971954345703
1716069516.7955241,158,-30.29576873779297
1716069518.861019,159,-14.711298942565918
1716069532.4500968,163,-32.646427154541016
1716069546.941792,168,-27.589000701904297
1716069548.170273,169,-32.4710807800293
1716069552.602368,172,-31.938703536987305
1716069568.9914181,178,-30.488117218017578
1716069570.368382,179,-32.11989974975586
1716069576.537908,181,-23.21978187561035
1716069583.729675,184,-24.929752349853516
1716069587.2580018,186,-29.73832893371582
1716069590.861501,187,-24.564455032348633
1716069592.9127512,189,-32.93436813354492
1716069595.8142889,191,-32.5971794128418
1716069597.261322,192,-32.782615661621094
1716069611.812737,199,-32.16675567626953
1716069629.9434812,207,-31.304569244384766
1716069631.168635,208,-32.17627716064453
1716069631.93875,209,-34.39662170410156
1716069638.256254,213,-34.25448226928711
1716069648.369817,223,-32.225032806396484
1716069649.2084422,224,-33.579132080078125
1716069651.5524511,226,-34.2347526550293
1716069658.3041139,230,-31.08524513244629
1716069660.9341471,233,-33.91630172729492
1716069661.826536,234,-33.85968780517578
1716069664.498998,235,-26.05076789855957
1716069668.303808,238,-33.52796936035156
1716069681.892153,250,-37.515140533447266
1716069696.7764878,256,-27.362415313720703
1716069701.354694,259,-33.88566970825195
1716069703.809964,261,-30.628772735595703
1716069705.704138,262,-30.420225143432617
1716069707.9714718,264,-33.702457427978516
1716069716.269109,268,-31.304569244384766
1716069722.504471,272,-25.157983779907227
1716069723.515981,274,-36.426551818847656
1716069727.249165,279,-34.81523895263672
1716069748.7224882,293,-27.482751846313477
1716069758.196171,298,-31.59954833984375
1716069760.655071,299,-27.4639835357666
1716069766.578687,303,-32.118858337402344
1716069768.938089,304,-25.461318969726562
1716069773.6303658,308,-32.80193328857422
1716069776.598465,309,-24.673625946044922
1716069779.2054431,311,-14.720498085021973
1716069782.2683158,314,-31.0799503326416
1716069796.170092,319,-7.129473686218262
1716069796.828577,320,-34.6370849609375
1716069797.455453,321,-35.04829788208008
1716069803.9001138,326,-32.16232681274414
1716069807.631406,327,-22.657546997070312
1716069812.843308,328,-20.328445434570312
1716069817.922755,331,-33.768890380859375
1716069848.7803159,340,-26.70232582092285
1716069853.852872,342,-30.34099578857422
1716069871.873493,348,-28.71121597290039
1716069886.113153,354,-29.838211059570312
1716069888.0514371,355,-29.59036636352539
1716069909.353166,361,-20.706214904785156
1716069918.5695848,364,-25.517597198486328
1716069925.7550468,368,-15.264622688293457
1716069929.689304,372,-35.16191864013672
1716069937.940932,374,-24.036638259887695
1716069945.392688,378,-35.53968048095703
1716069946.6092858,379,-14.918983459472656
1716069947.892681,380,-14.989974975585938
1716069950.933495,382,-27.654783248901367
1716069962.996611,387,-25.386560440063477
1716069972.234207,392,-25.856887817382812
1716069973.274383,393,-32.69994354248047
1716069975.76619,394,-25.933002471923828
1716070003.7086878,409,-32.8251838684082
1716070021.239114,416,-15.901837348937988
1716070042.926508,422,-26.67574691772461
1716070043.5095198,423,-34.82112121582031
1716070051.7504041,425,-24.554271697998047
1716070057.958781,427,-33.479129791259766
1716070068.359734,431,-33.55352783203125
1716070092.029797,440,-24.727481842041016
1716070098.763468,442,-25.995254516601562
1716070099.6561978,443,-33.88566970825195
1716070113.917275,446,-24.437366485595703
1716070143.54951,452,-25.168222427368164
1716070163.314985,460,-25.41900062561035
1716070166.9413471,461,-24.045207977294922
1716070179.751074,464,-26.79915428161621
1716070185.139812,465,-22.402057647705078
1716070218.476598,474,-26.28512191772461
1716070221.90559,475,-11.88396167755127
1716070278.690586,486,-24.30854034423828
1716070281.95295,489,-29.894529342651367
1716070283.9654999,490,-13.756638526916504
1716070291.788629,492,-22.113920211791992
1716070297.5702899,494,-32.43235397338867
1716070345.335445,508,-25.140037536621094
1716070368.82697,513,-24.32790184020996
1716070376.589321,515,-7.097704887390137
1716070379.717377,518,-34.62112045288086
1716070387.600828,520,-22.299095153808594
1716070408.161928,525,-25.55288314819336
1716070410.334849,526,-26.414220809936523
1716070432.829963,532,-22.154876708984375
1716070438.684869,534,-25.40468978881836
1716070442.056586,535,-22.932355880737305
1716070448.397322,537,-10.959500312805176
1716070453.065629,538,-20.79860496520996
1716070469.233757,541,-6.997704982757568
1716070477.035938,543,-8.097704887390137
1716070492.055732,548,-32.526527404785156
1716070496.058929,549,-10.562936782836914
1716070517.718194,558,-32.65116500854492
1716070529.1357791,560,-9.397705078125
1716070553.368599,564,-18.135963439941406
1716070560.365481,565,-7.297704696655273
1716070565.3200371,566,-20.69153594970703
1716070581.684993,570,-23.201902389526367
1716070583.9974642,574,-35.16421127319336
1716070591.111093,575,-7.297704696655273
1716070603.318568,578,-8.397705078125
1716070613.144263,580,-11.810287475585938
1716070617.226651,581,-21.58504295349121
1716070623.9979992,582,-8.197704315185547
1716070628.082392,583,-22.619565963745117
1716070630.4190788,584,-25.66202735900879
1716070637.386989,585,-8.097704887390137
1716070648.364585,587,-21.812341690063477
1716070655.769771,588,-6.997704982757568
1716070666.3264692,593,-35.464210510253906
1716070673.692766,594,-8.097704887390137
1716070696.7391229,598,-20.534557342529297
1716070715.4638772,601,-20.718521118164062
1716070722.6740339,603,-35.23323440551758
1716070748.608521,609,-18.276254653930664
1716070761.5908659,611,-19.573631286621094
1716070792.427723,616,-8.49770450592041
1716070813.6499999,620,-20.502058029174805
1716070815.673368,621,-13.05751895904541
1716070826.580639,623,-18.310115814208984
1716070874.386326,635,-35.896461486816406
1716070909.097564,642,-9.697704315185547
1716070915.904075,643,-8.897705078125
1716070930.6090539,645,-8.397705078125
1716070934.2595708,646,-23.296916961669922
1716070939.496577,647,-9.87539291381836
1716070941.131198,648,-13.94426441192627
1716070947.9076512,650,-26.44386863708496
1716070963.906313,653,-9.397705078125
1716070973.225321,657,-35.07719421386719
1716070980.6704729,658,-9.297704696655273
1716070988.126654,662,-35.98689270019531
1716071001.871781,665,-8.49770450592041
1716071023.184107,669,-9.597704887390137
1716071044.245965,672,-9.597704887390137
1716071051.326431,673,-9.597704887390137
1716071057.939393,674,-9.736817359924316
1716071058.999219,675,-15.317046165466309
1716071063.568344,676,-20.935041427612305
1716071077.370399,678,-18.7249813079834
1716071078.00916,679,-34.55351257324219
1716071085.31645,680,-9.597704887390137
1716071099.548366,683,-36.38689041137695
1716071104.6761541,684,-9.854168891906738
1716071111.723676,685,-9.397705078125
1716071120.1932878,687,-34.82112121582031
1716071130.545155,689,-9.397705078125
1716071137.450297,690,-9.397705078125
1716071176.823591,697,-9.397705078125
1716071185.4477398,700,-34.72111892700195
1716071201.179745,704,-21.015789031982422
1716071216.952608,707,-8.097704887390137
1716071230.432694,709,-9.197704315185547
1716071244.265843,711,-9.49770450592041
1716071249.574493,715,-36.2082405090332
1716071261.437983,719,-20.822439193725586
1716071275.526316,722,-23.121145248413086
1716071276.053427,723,-35.67719650268555
1716071276.566606,724,-35.62813949584961
1716071284.34869,725,-8.49770450592041
1716071323.642538,731,-9.597704887390137
1716071356.1739452,737,-34.205528259277344
1716071368.895329,739,-9.49770450592041
1716071375.9939399,740,-9.397705078125
1716071384.26413,744,-35.917144775390625
1716071391.8590221,747,-8.897705078125
1716071398.68551,748,-9.597704887390137
1716071419.73498,751,-9.397705078125
1716071420.376425,752,-34.398048400878906
1716071427.513547,753,-9.597704887390137
1716071435.188501,755,-9.597704887390137
1716071448.8314502,757,-9.597704887390137
1716071477.260384,763,-9.597704887390137
1716071485.089536,766,-9.597704887390137
1716071492.1291158,767,-9.097704887390137
1716071508.562386,770,-22.96908187866211
1716071511.2496881,771,-25.0288143157959
1716071518.180722,772,-9.397705078125
1716071525.528578,774,-9.397705078125
1716071532.3644748,775,-9.697704315185547
1716071558.7543051,781,-9.597704887390137
1716071585.86972,785,-9.397705078125
1716071590.5306182,786,-10.715907096862793
1716071598.488292,788,-9.397705078125
1716071611.972984,790,-9.697704315185547
1716071625.955071,792,-9.697704315185547
1716071632.799159,793,-9.397705078125
1716071639.985547,794,-9.697704315185547
1716071642.063478,795,-26.482751846313477
1716071649.41423,796,-8.397705078125
1716071664.036761,799,-9.49770450592041
1716071679.269685,801,-9.49770450592041
1716071694.897581,803,-9.697704315185547
1716071713.701153,806,-22.97620391845703
1716071729.989915,808,-9.397705078125
1716071737.30455,809,-19.905038833618164
1716071745.286209,810,-9.49770450592041
1716071787.98836,816,-22.046279907226562
1716071795.609269,817,-8.297704696655273
1716071802.728736,819,-36.08738708496094
1716071819.2697139,822,-9.697704315185547
1716071827.267524,826,-37.383056640625
1716071835.323791,829,-9.597704887390137
1716071857.482107,832,-9.697704315185547
1716071864.7482839,833,-9.697704315185547
1716071878.9245398,835,-9.597704887390137
1716071893.8134289,837,-9.697704315185547
1716071908.9766772,839,-9.697704315185547
1716071934.8766248,844,-34.990657806396484
1716071957.159102,847,-20.256940841674805
1716071965.152334,849,-9.697704315185547
1716072060.314531,864,-9.697704315185547
1716072081.44755,868,-10.572108268737793
1716072096.3981209,870,-8.49770450592041
1716072103.714463,871,-9.597704887390137
1716072123.0476842,875,-9.597704887390137
1716072137.090985,877,-9.397705078125
1716072144.3940291,878,-9.597704887390137
1716072152.366988,881,-36.028141021728516
1716072159.583271,883,-36.29646301269531
1716072166.80051,885,-9.697704315185547
1716072167.873214,888,-37.379478454589844
1716072175.01817,890,-9.597704887390137
1716072182.236589,891,-9.597704887390137
1716072196.657224,893,-9.697704315185547
1716072224.280722,897,-9.49770450592041
1716072252.877166,901,-9.49770450592041
1716072291.540673,908,-9.397705078125
1716072298.74892,909,-8.197704315185547
1716072304.551261,910,-19.976987838745117
1716072311.768106,911,-9.597704887390137
1716072325.142154,913,-9.597704887390137
1716072345.080074,916,-9.597704887390137
1716072349.7501912,917,-21.717910766601562
1716072356.631341,918,-9.297704696655273
1716072374.570508,921,-9.397705078125
1716072378.7641118,922,-22.26087760925293
1716072385.9773471,923,-9.49770450592041
1716072393.064836,924,-9.397705078125
1716072440.57944,932,-8.197704315185547
1716072446.916081,933,-20.16623306274414
1716072463.650965,936,-9.597704887390137
1716072502.159229,943,-20.003299713134766
1716072523.883904,946,-9.49770450592041
1716072539.01169,954,-35.98689270019531
1716072540.597547,955,-29.50577735900879
1716072546.741888,957,-23.240083694458008
1716072547.3579981,958,-34.737083435058594
1716072554.046753,959,-9.397705078125
1716072564.6093209,962,-15.229023933410645
1716072571.953722,963,-8.49770450592041
1716072580.213771,965,-36.028141021728516
