Wall time,Step,Value
1714371324.05872,141,1.0
1714371324.305984,142,1.0
1714371325.3873641,146,1.0
1714371325.611385,147,1.0
1714371326.183147,149,1.0
1714371326.451658,150,1.0
1714371326.71218,151,1.0
1714371327.472186,154,1.0
1714371327.699685,155,1.0
1714371327.9281962,156,1.0
1714371328.865932,160,1.0
1714371332.1836522,169,1.0
1714371332.51403,170,1.0
1714371333.056371,172,1.0
1714371334.0287921,176,1.0
1714371334.572721,178,1.0
1714371335.2319858,180,1.0
1714371335.571824,181,1.0
1714371336.190589,183,1.0
1714371336.653552,185,1.0
1714371336.918068,186,1.0
1714371337.5772622,189,1.0
1714371337.913939,190,1.0
1714371338.175336,191,1.0
1714371338.411791,192,1.0
1714371338.6421702,193,1.0
1714371340.921737,197,1.0
1714371341.524894,199,1.0
1714371342.076858,201,1.0
1714371342.285003,202,1.0
1714371342.597646,203,96.30882263183594
1714371342.92642,204,1.0
1714371343.779043,207,1.0
1714371344.0430021,208,97.43479919433594
1714371344.27756,209,1.0
1714371344.507482,210,1.0
1714371345.775158,215,1.0
1714371347.157801,220,1.0
1714371347.509074,221,1.0
1714371347.865066,222,1.0
1714371348.100151,223,1.0
1714371348.401441,224,1.0
1714371349.794841,225,1.0
1714371351.132031,230,1.0
1714371353.220713,238,1.0
1714371353.9674098,241,1.0
1714371354.178348,242,1.0
1714371356.1165729,249,1.0
1714371357.011156,252,1.0
1714371357.435833,254,1.0
1714371357.78569,255,1.0
1714371359.289748,256,1.0
1714371360.5682719,260,93.74958801269531
1714371360.870274,261,1.0
1714371361.065695,262,1.0
1714371361.8015518,265,1.0
1714371362.020423,266,1.0
1714371363.725117,273,1.0
1714371364.172451,275,1.0
1714371364.622522,277,1.0
1714371364.880221,278,1.0
1714371365.177443,279,97.02934265136719
1714371365.4148989,280,1.0
1714371366.4447098,284,1.0
1714371366.916128,286,1.0
1714371368.857329,289,1.0
1714371369.420203,291,1.0
1714371370.0095518,293,1.0
1714371370.281318,294,97.43479919433594
1714371370.544462,295,1.0
1714371371.234603,298,1.0
1714371371.856168,300,1.0
1714371372.130026,301,1.0
1714371372.771688,303,1.0
1714371373.124973,304,1.0
1714371373.8649821,307,1.0
1714371375.119355,312,1.0
1714371375.350038,313,1.0
1714371375.6158621,314,97.59803009033203
1714371376.1833081,316,1.0
1714371378.432776,319,1.0
1714371379.017329,321,1.0
1714371379.238058,322,1.0
1714371379.946832,324,1.0
1714371380.530004,326,1.0
1714371380.811152,327,1.0
1714371382.7500741,334,93.97985076904297
1714371384.841912,342,1.0
1714371385.076967,343,1.0
1714371385.30668,344,97.4534912109375
1714371386.448184,348,1.0
1714371388.58466,351,1.0
1714371389.489713,354,93.97985076904297
1714371389.758281,355,97.43479919433594
1714371390.603518,358,97.11013793945312
1714371390.9183402,359,1.0
1714371391.545233,361,1.0
1714371391.7640162,362,1.0
1714371392.0037582,363,1.0
1714371392.701807,365,1.0
1714371393.490884,368,96.843994140625
1714371393.7466938,369,1.0
1714371394.0106099,370,97.51634216308594
1714371394.679456,373,1.0
1714371395.5329,376,1.0
1714371398.04795,381,1.0
1714371398.666977,383,94.28883361816406
1714371399.325145,385,1.0
1714371399.5317838,386,1.0
1714371400.917963,391,1.0
1714371401.751967,394,1.0
1714371402.022845,395,1.0
1714371402.231362,396,1.0
1714371402.482902,397,97.59803009033203
1714371403.1045818,399,97.11013793945312
1714371404.239367,403,1.0
1714371404.8626418,405,1.0
1714371406.252925,407,97.27217102050781
1714371406.781525,409,1.0
1714371408.152926,414,1.0
1714371408.787563,416,93.74958801269531
1714371410.013152,420,1.0
1714371411.320014,425,97.19108581542969
1714371411.7934358,427,1.0
1714371412.0695128,428,97.27217102050781
1714371413.265213,433,97.02934265136719
1714371413.595548,434,1.0
1714371413.932148,435,94.21137237548828
1714371415.3601239,437,1.0
1714371415.6492789,438,97.02934265136719
1714371415.994922,439,93.82620239257812
1714371417.108159,443,1.0
1714371417.339148,444,1.0
1714371417.790506,446,1.0
1714371418.707426,449,1.0
1714371419.624321,453,1.0
1714371419.905355,454,1.0
1714371420.184449,455,97.27217102050781
1714371420.4357471,456,1.0
1714371421.0031621,458,1.0
1714371421.857396,461,97.27217102050781
1714371422.144423,462,97.11013793945312
1714371422.395199,463,97.07628631591797
1714371423.790421,466,97.43479919433594
1714371424.024698,467,1.0
1714371424.6796968,469,97.02934265136719
1714371426.386388,475,1.0
1714371426.979606,477,93.74958801269531
1714371427.8751419,480,1.0
1714371428.139306,481,97.43479919433594
1714371428.767478,483,96.7076416015625
1714371429.0236218,484,97.59803009033203
1714371430.377793,489,94.44417572021484
1714371430.6651,490,1.0
1714371431.232349,492,97.19108581542969
1714371431.837916,494,1.0
1714371432.963781,495,1.0
1714371433.202755,496,1.0
1714371433.9626508,499,1.0
1714371435.056708,503,93.97985076904297
1714371435.381906,504,94.52205657958984
1714371435.921497,506,1.0
1714371436.156411,507,1.0
1714371436.6624892,509,96.843994140625
1714371437.864652,513,1.0
1714371438.101541,514,97.15147399902344
1714371438.382591,515,97.11013793945312
1714371439.008856,517,94.3664321899414
1714371439.221506,518,1.0
1714371440.2696052,522,1.0
1714371440.512974,523,1.0
1714371440.770148,524,96.843994140625
1714371441.966829,526,1.0
1714371442.196504,527,97.30223083496094
1714371442.5336409,528,1.0
1714371442.791887,529,96.843994140625
1714371445.3143349,538,97.52931213378906
1714371445.5901859,539,97.27217102050781
1714371447.0387268,544,95.7076416015625
1714371449.1393201,551,1.0
1714371449.482443,552,1.0
1714371451.5439029,556,1.0
1714371451.881065,557,94.1340560913086
1714371452.152565,558,97.43479919433594
1714371452.705108,560,96.86820220947266
1714371453.270608,562,95.15031433105469
1714371454.515299,566,1.0
1714371457.014785,575,1.0
1714371457.233654,576,1.0
1714371457.494594,577,97.67987060546875
1714371457.8458061,578,1.0
1714371458.709107,581,96.27217102050781
1714371460.38885,584,97.02934265136719
1714371461.386527,587,93.29286193847656
1714371463.174356,594,96.86820220947266
1714371463.45383,595,97.02934265136719
1714371463.72523,596,97.27217102050781
1714371463.953666,597,97.37779998779297
1714371464.544959,599,1.0
1714371464.829556,600,96.94869995117188
1714371465.694617,603,1.0
1714371466.107211,604,3.0
1714371466.3825421,605,97.43479919433594
1714371467.494197,609,97.60525512695312
1714371467.710664,610,1.0
1714371469.7965078,614,1.0
1714371472.0533571,621,93.9029541015625
1714371472.960292,624,94.1340560913086
1714371473.184869,625,1.0
1714371473.81093,627,1.0
1714371474.501261,629,1.0
1714371475.213067,632,1.0
