Wall time,Step,Value
1714306238.9285288,188,1.0
1714306240.13619,189,1.0
1714306247.842478,194,1.0
1714306251.101484,197,1.0
1714306252.1183932,198,1.0
1714306255.1025422,201,1.0
1714306256.182554,202,1.0
1714306257.305907,203,1.0
1714306262.410256,207,1.0
1714306277.479427,219,1.0
1714306282.326043,223,1.0
1714306284.405419,225,1.0
1714306286.4664562,227,1.0
1714306287.713892,228,1.0
1714306289.886373,230,1.0
1714306296.4007082,236,1.0
1714306297.569031,237,1.0
1714306298.6451929,238,1.0
1714306299.808216,239,1.0
1714306300.9552221,240,1.0
1714306311.599236,248,1.0
1714306313.761253,250,1.0
1714306315.0592582,251,1.0
1714306318.3239071,254,1.0
1714306319.356948,255,1.0
1714306320.5199318,256,1.0
1714306321.7129831,257,1.0
1714306327.5459971,262,1.0
1714306332.731445,267,1.0
1714306336.200258,270,1.0
1714306337.1204,271,1.0
1714306345.375426,277,1.0
1714306354.6019561,285,1.0
1714306358.271688,288,1.0
1714306359.314388,289,1.0
1714306366.96595,296,1.0
1714306370.134065,299,1.0
1714306374.809333,301,1.0
1714306382.9675388,308,1.0
1714306383.9241369,309,1.0
1714306387.310839,312,1.0
1714306388.464028,313,1.0
1714306398.1435032,322,1.0
1714306400.261729,324,1.0
1714306401.330026,325,1.0
1714306402.386059,326,1.0
1714306411.412389,333,1.0
1714306416.616679,338,1.0
1714306418.7576299,340,1.0
1714306419.942655,341,1.0
1714306425.165092,345,1.0
1714306430.666386,350,1.0
1714306431.7681122,351,1.0
1714306435.0978189,354,1.0
1714306443.4108312,360,1.0
1714306444.614987,361,1.0
1714306446.8314629,363,1.0
1714306450.083982,366,1.0
1714306452.087544,368,1.0
1714306453.1402152,369,1.0
1714306455.10347,371,1.0
1714306457.2418208,373,1.0
1714306458.291477,374,1.0
1714306466.858975,381,1.0
1714306476.9433448,389,1.0
1714306478.0699189,390,1.0
1714306479.154936,391,1.0
1714306483.399446,395,1.0
1714306494.2153091,405,1.0
1714306495.321186,406,1.0
1714306497.243844,408,1.0
1714306503.688489,412,1.0
1714306507.311656,415,1.0
1714306508.390351,416,1.0
1714306509.8997812,417,1.0
1714306513.313331,420,1.0
1714306526.855535,432,1.0
1714306536.1951091,438,1.0
1714306539.129217,441,1.0
1714306541.298984,443,1.0
1714306542.855455,444,1.0
1714306545.0076869,446,1.0
1714306549.431322,450,1.0
1714306553.762694,454,1.0
1714306555.919301,456,1.0
1714306563.9130108,461,1.0
1714306578.768491,474,1.0
1714306579.863592,475,1.0
1714306585.797867,480,1.0
1714306586.858859,481,1.0
1714306591.59198,485,1.0
1714306592.788567,486,1.0
1714306599.41857,490,1.0
1714306600.411579,491,1.0
1714306603.137516,493,1.0
1714306606.374958,496,1.0
1714306611.505259,501,1.0
1714306613.160796,502,1.0
1714306614.249117,503,1.0
1714306619.436746,508,1.0
1714306620.4970062,509,1.0
1714306621.47023,510,1.0
1714306625.794035,513,1.0
1714306638.556961,522,1.0
1714306640.791291,524,1.0
1714306645.034956,528,1.0
1714306646.9695308,530,1.0
1714306654.589371,536,1.0
1714306655.7544708,537,1.0
1714306665.9347441,543,1.0
1714306669.70914,546,1.0
1714306674.10949,550,1.0
1714306678.712611,554,1.0
1714306680.871182,556,1.0
1714306685.144114,560,1.0
1714306686.2562401,561,1.0
1714306687.668808,562,1.0
1714306689.9994,564,1.0
1714306696.028377,569,1.0
1714306703.7794619,574,1.0
1714306705.047025,575,1.0
1714306706.322367,576,1.0
1714306723.214134,591,1.0
1714306730.944586,598,1.0
1714306739.697502,604,1.0
1714306740.8202162,605,1.0
1714306743.2712178,607,1.0
1714306745.923952,609,1.0
1714306750.84018,613,1.0
1714306760.77558,622,1.0
1714306762.996032,624,1.0
1714306764.102837,625,1.0
1714306769.072194,628,1.0
1714306778.078314,634,1.0
1714306786.812385,642,1.0
1714306788.07568,643,1.0
1714306791.112372,646,1.0
1714306792.015882,647,1.0
1714306797.1071339,651,1.0
1714306804.261268,656,1.0
1714306805.181396,657,1.0
1714306817.085609,668,1.0
1714306820.8803892,671,1.0
1714306822.046356,672,1.0
1714306824.5832582,674,1.0
1714306826.4394612,676,1.0
1714306842.4938529,690,1.0
1714306848.5917299,695,1.0
1714306851.281533,697,1.0
1714306854.505683,700,1.0
1714306856.359487,702,1.0
1714306864.5387762,707,1.0
1714306865.518591,708,1.0
1714306871.90867,714,1.0
1714306874.1993191,716,1.0
1714306875.2589571,717,1.0
1714306878.135087,719,1.0
1714306879.073641,720,1.0
1714306882.384319,723,1.0
1714306884.9962392,725,1.0
1714306890.924532,730,1.0
1714306893.898682,731,1.0
1714306894.944412,732,1.0
1714306903.288424,740,1.0
1714306905.37417,742,1.0
1714306909.662507,746,1.0
1714306910.716247,747,1.0
1714306911.7459562,748,1.0
1714306916.005718,752,1.0
1714306920.6333902,756,1.0
1714306921.6292531,757,1.0
1714306924.8263848,760,1.0
1714306928.626658,762,1.0
1714306929.740468,763,1.0
1714306930.9806259,764,1.0
1714306931.9964612,765,1.0
1714306933.280454,766,1.0
1714306934.412693,767,1.0
1714306936.541784,769,1.0
1714306937.5988889,770,1.0
1714306942.8078258,775,1.0
1714306943.91428,776,1.0
1714306948.186792,780,1.0
1714306951.2120802,783,1.0
1714306953.762658,785,1.0
1714306961.468093,791,1.0
1714306963.473854,793,1.0
1714306968.876362,798,1.0
1714306973.401335,802,1.0
1714306974.617428,803,1.0
1714306976.798041,805,1.0
1714306992.201499,817,1.0
1714306999.896886,824,1.0
1714307001.163959,825,1.0
1714307003.4004638,827,1.0
1714307004.434272,828,1.0
1714307005.5256152,829,1.0
1714307006.604396,830,1.0
1714307008.564966,832,1.0
1714307012.446929,835,1.0
1714307016.880508,839,1.0
1714307018.5645702,840,1.0
1714307024.430645,844,1.0
1714307027.365876,847,1.0
1714307031.605317,851,1.0
1714307034.634325,854,1.0
1714307035.6473181,855,1.0
1714307036.72941,856,1.0
1714307037.7863722,857,1.0
1714307038.726052,858,1.0
1714307041.5890439,860,1.0
1714307042.6014059,861,1.0
1714307043.676287,862,1.0
1714307046.6612391,865,1.0
1714307047.758612,866,1.0
1714307049.711085,867,1.0
1714307053.682979,869,1.0
1714307055.8839328,871,1.0
1714307056.889705,872,1.0
1714307065.289398,879,1.0
1714307068.394711,882,1.0
1714307070.390529,884,1.0
1714307072.91257,886,1.0
1714307076.2687511,889,1.0
1714307078.600082,891,1.0
1714307080.597138,893,1.0
1714307086.363919,897,1.0
1714307090.720889,901,1.0
1714307093.689026,904,1.0
1714307094.6295,905,1.0
1714307096.196162,906,1.0
1714307097.1540961,907,1.0
1714307104.075333,913,1.0
1714307110.132064,919,1.0
1714307112.584963,921,1.0
1714307115.122894,922,1.0
1714307117.1636019,923,1.0
1714307120.865443,926,1.0
1714307123.968095,929,1.0
1714307124.941451,930,1.0
1714307128.1395211,933,1.0
1714307129.2118678,934,1.0
1714307130.301195,935,1.0
1714307132.374101,937,1.0
1714307134.390344,939,1.0
1714307140.735708,945,1.0
1714307143.957671,948,1.0
1714307145.1672618,949,1.0
1714307150.411055,952,1.0
1714307151.3941162,953,1.0
1714307152.514297,954,1.0
1714307155.432294,956,1.0
1714307156.3456671,957,1.0
1714307162.391383,963,1.0
1714307166.813687,967,1.0
1714307167.925882,968,1.0
1714307170.556087,970,1.0
1714307172.397289,972,1.0
1714307174.7661362,974,1.0
1714307175.767746,975,1.0
1714307176.6566021,976,1.0
1714307178.055487,977,1.0
1714307179.148763,978,1.0
1714307183.828834,981,1.0
1714307185.713699,983,1.0
1714307187.764888,985,1.0
1714307191.109246,988,1.0
1714307193.8126621,990,1.0
1714307194.819425,991,1.0
1714307195.903636,992,1.0
1714307202.034348,998,1.0
1714307203.109972,999,1.0
1714307205.362978,1001,1.0
1714307208.276792,1004,1.0
1714307213.3069272,1008,1.0
1714307219.2870789,1011,1.0
1714307222.946149,1014,1.0
1714307224.027078,1015,1.0
1714307225.95896,1017,1.0
1714307228.3107998,1019,1.0
1714307230.447241,1021,1.0
1714307236.534922,1026,1.0
1714307240.571975,1029,1.0
1714307242.8010209,1031,1.0
1714307247.793918,1034,1.0
1714307255.86066,1042,1.0
1714307259.9352279,1046,1.0
1714307264.1327329,1050,1.0
1714307266.353062,1052,1.0
1714307267.337088,1053,1.0
1714307271.359827,1057,1.0
1714307273.427902,1059,1.0
1714307274.514299,1060,1.0
1714307277.699567,1063,1.0
1714307279.89946,1065,1.0
1714307283.574337,1067,1.0
1714307286.7743602,1070,1.0
1714307288.8408608,1072,1.0
1714307289.896003,1073,1.0
1714307291.998868,1075,1.0
1714307296.307818,1079,1.0
1714307300.6659179,1083,1.0
1714307309.103107,1090,1.0
1714307310.187194,1091,1.0
1714307311.350986,1092,1.0
1714307312.369577,1093,1.0
1714307316.130526,1095,1.0
1714307320.019719,1098,1.0
1714307321.781966,1099,1.0
1714307322.804209,1100,1.0
1714307325.977927,1103,1.0
1714307327.086163,1104,1.0
1714307328.150069,1105,1.0
1714307329.246474,1106,1.0
1714307337.922123,1114,1.0
1714307339.192353,1115,1.0
1714307342.2769449,1118,1.0
1714307351.5787342,1125,1.0
1714307354.878313,1128,1.0
1714307362.563829,1135,1.0
1714307363.521868,1136,1.0
1714307365.0873542,1137,1.0
1714307368.1825411,1139,1.0
1714307369.162753,1140,1.0
1714307370.189276,1141,1.0
1714307373.38589,1144,1.0
1714307374.425925,1145,1.0
1714307376.607082,1147,1.0
1714307380.1981099,1149,1.0
1714307381.780308,1150,1.0
1714307386.17586,1154,1.0
1714307387.408229,1155,1.0
1714307391.686589,1159,1.0
1714307392.673161,1160,1.0
1714307393.733464,1161,1.0
1714307394.7834811,1162,1.0
1714307398.7430751,1165,1.0
1714307399.808508,1166,1.0
1714307400.867284,1167,1.0
1714307405.165364,1170,1.0
1714307406.1762319,1171,1.0
1714307417.01113,1179,1.0
1714307421.429985,1183,1.0
1714307423.7259378,1185,1.0
1714307425.810251,1187,1.0
1714307426.85283,1188,1.0
1714307430.064228,1191,1.0
1714307433.5123708,1194,1.0
1714307434.4562309,1195,1.0
1714307435.767683,1196,1.0
1714307436.7707672,1197,1.0
1714307440.132599,1200,1.0
1714307451.529363,1208,1.0
1714307453.838774,1210,1.0
1714307456.067897,1212,1.0
1714307458.4078379,1214,1.0
1714307459.402168,1215,1.0
1714307462.806407,1218,1.0
1714307465.6088178,1220,1.0
1714307466.8549938,1221,1.0
1714307467.865984,1222,1.0
1714307475.405478,1227,1.0
1714307483.535182,1234,1.0
1714307484.491272,1235,1.0
1714307488.226829,1238,1.0
1714307490.57058,1240,1.0
1714307497.2542899,1246,1.0
1714307498.255671,1247,1.0
1714307501.173404,1249,1.0
1714307505.465742,1251,1.0
1714307509.983231,1255,1.0
1714307514.081007,1259,1.0
1714307516.354957,1261,1.0
1714307522.86995,1266,1.0
1714307524.158407,1267,1.0
1714307525.7458482,1268,1.0
1714307535.108564,1275,1.0
1714307536.2602859,1276,1.0
1714307543.280881,1282,1.0
1714307547.695966,1286,1.0
1714307548.7737432,1287,1.0
1714307549.773529,1288,1.0
1714307559.6411479,1297,1.0
1714307561.835933,1299,1.0
1714307567.07995,1302,1.0
1714307571.394303,1306,1.0
1714307573.9988549,1308,1.0
1714307575.034492,1309,1.0
1714307579.418314,1313,1.0
1714307580.451581,1314,1.0
1714307582.491999,1316,1.0
1714307584.491576,1317,3.0
1714307585.5488582,1318,3.0
1714307588.603631,1321,1.0
1714307589.8820539,1322,1.0
1714307605.610584,1332,1.0
1714307610.15241,1335,4.0
1714307613.8232682,1338,4.0
1714307615.726191,1339,4.0
1714307618.093966,1340,5.0
1714307621.613847,1343,5.0
1714307623.767185,1344,4.0
1714307624.858078,1345,4.0
1714307646.0845282,1360,1.0
1714307649.972339,1363,1.0
1714307652.0564349,1365,1.0
1714307653.165815,1366,1.0
1714307655.1950479,1368,1.0
1714307656.243415,1369,1.0
1714307662.900149,1372,5.0
1714307667.135742,1375,5.0
1714307668.073836,1376,5.0
1714307669.1271539,1377,1.0
1714307671.304029,1378,5.0
1714307673.3602061,1380,1.0
1714307675.680958,1382,1.0
1714307678.35691,1384,1.0
1714307683.3362439,1387,1.0
1714307685.590695,1389,1.0
1714307687.753559,1391,1.0
1714307692.374775,1393,1.0
1714307694.750268,1395,1.0
1714307695.676626,1396,1.0
1714307696.751194,1397,1.0
1714307710.330509,1407,4.0
1714307714.662071,1411,1.0
1714307718.975604,1415,1.0
1714307720.12956,1416,1.0
1714307723.09237,1417,1.0
1714307725.878943,1419,1.0
1714307729.2048142,1422,1.0
1714307732.942385,1425,1.0
1714307736.127402,1427,5.0
1714307739.593714,1430,1.0
1714307746.645556,1436,1.0
1714307749.3266199,1438,1.0
1714307753.183925,1440,1.0
1714307754.3358731,1441,1.0
1714307758.136142,1444,1.0
1714307759.2184582,1445,1.0
1714307760.322701,1446,1.0
1714307763.994346,1449,1.0
1714307772.856042,1457,1.0
1714307779.5799549,1462,5.0
1714307783.505954,1464,1.0
1714307790.8088782,1470,1.0
1714307795.100194,1474,1.0
1714307796.350497,1475,1.0
1714307797.381984,1476,1.0
1714307798.388878,1477,1.0
1714307800.773176,1479,1.0
1714307806.074521,1483,4.0
1714307808.2945678,1485,1.0
1714307809.3781881,1486,1.0
1714307821.132603,1493,1.0
1714307823.379235,1495,1.0
1714307827.229501,1498,1.0
1714307828.370205,1499,1.0
1714307832.991883,1502,5.0
1714307834.8758788,1503,5.0
1714307841.195692,1508,1.0
1714307845.380692,1509,5.0
1714307846.502948,1510,5.0
1714307850.538431,1513,1.0
1714307852.7989628,1515,1.0
1714307854.0006819,1516,1.0
1714307855.187256,1517,1.0
1714307856.179806,1518,1.0
1714307857.9868522,1519,1.0
1714307859.1135979,1520,1.0
1714307866.8804312,1526,1.0
1714307875.6288588,1532,1.0
1714307877.1903172,1533,1.0
1714307883.481608,1538,1.0
1714307887.8963158,1542,1.0
1714307890.0597818,1544,1.0
1714307896.3693938,1549,1.0
1714307901.542069,1553,1.0
1714307911.824949,1560,1.0
1714307914.091115,1562,1.0
1714307917.4118242,1565,1.0
1714307919.7358668,1567,1.0
1714307921.872407,1568,5.0
1714307925.080466,1571,1.0
1714307926.106925,1572,1.0
1714307928.196806,1574,1.0
1714307929.511627,1575,1.0
1714307933.671359,1578,1.0
1714307957.400726,1595,1.0
1714307958.371435,1596,1.0
1714307959.5889049,1597,1.0
1714307961.6322298,1598,5.0
1714307967.970092,1602,1.0
1714307971.310883,1605,1.0
1714307975.492188,1609,1.0
1714307977.0611851,1610,1.0
1714307978.176762,1611,1.0
1714307983.35953,1615,1.0
1714307984.39009,1616,1.0
1714307985.4828632,1617,1.0
1714307987.624768,1619,1.0
1714307989.855351,1621,1.0
1714307992.10421,1623,1.0
1714307995.981471,1625,1.0
1714308004.823285,1633,1.0
1714308010.321014,1638,1.0
1714308011.480049,1639,1.0
1714308026.171564,1648,5.0
1714308027.234532,1649,5.0
1714308044.078971,1660,1.0
1714308048.694581,1664,1.0
1714308050.305579,1665,1.0
1714308055.464043,1668,1.0
1714308056.5134761,1669,1.0
1714308059.713921,1672,1.0
1714308061.897598,1674,1.0
1714308063.718453,1675,1.0
1714308065.611745,1676,1.0
1714308075.0003881,1683,1.0
1714308076.073292,1684,1.0
1714308077.214974,1685,1.0
1714308078.795018,1686,1.0
1714308084.075924,1689,1.0
1714308086.5544162,1691,1.0
1714308087.588728,1692,1.0
1714308088.733949,1693,1.0
1714308097.827425,1701,1.0
1714308104.829189,1706,1.0
1714308105.9723148,1707,1.0
1714308111.2654238,1710,5.0
1714308122.171427,1717,4.0
1714308124.551007,1719,1.0
1714308136.772966,1729,1.0
1714308145.623856,1734,1.0
1714308146.607109,1735,1.0
1714308149.004153,1737,1.0
1714308150.2905002,1738,1.0
1714308157.521662,1744,1.0
1714308158.646107,1745,1.0
1714308165.9050071,1751,1.0
1714308166.975585,1752,1.0
1714308181.1652071,1761,1.0
1714308188.785661,1765,5.0
1714308191.1112,1767,1.0
1714308195.7302232,1771,1.0
1714308209.8461921,1780,1.0
1714308212.1281888,1782,1.0
1714308216.042589,1785,1.0
1714308218.404337,1787,1.0
1714308220.1668658,1788,1.0
1714308226.329324,1792,1.0
1714308228.663081,1793,5.0
1714308231.961219,1795,1.0
1714308234.165251,1796,1.0
1714308240.750135,1801,1.0
1714308243.914685,1803,1.0
1714308248.7054908,1807,1.0
1714308251.258216,1809,1.0
1714308252.3666282,1810,1.0
1714308253.427968,1811,1.0
1714308256.35666,1813,1.0
1714308259.1752708,1815,1.0
1714308267.069997,1820,1.0
1714308270.085057,1823,1.0
1714308272.141047,1825,1.0
1714308276.717152,1828,5.0
1714308281.554209,1831,4.0
1714308286.028064,1835,1.0
1714308289.2359629,1838,1.0
1714308296.099709,1842,1.0
1714308297.184053,1843,1.0
1714308298.329769,1844,1.0
1714308308.543597,1851,5.0
1714308311.9299,1853,5.0
1714308313.972203,1854,4.0
1714308315.102967,1855,1.0
1714308318.9805949,1858,1.0
1714308320.209573,1859,1.0
1714308330.089282,1865,1.0
1714308332.368744,1866,5.0
1714308334.687423,1867,5.0
1714308338.309233,1870,1.0
1714308342.665629,1874,1.0
1714308345.847821,1877,1.0
1714308347.490269,1878,1.0
1714308348.608023,1879,1.0
1714308349.698399,1880,1.0
1714308351.979022,1882,1.0
1714308357.5493371,1885,1.0
1714308361.948577,1888,5.0
1714308367.473427,1892,1.0
1714308368.641679,1893,1.0
1714308375.800307,1898,1.0
1714308379.365396,1900,4.0
1714308381.127969,1901,4.0
1714308382.6821928,1902,4.0
1714308392.9155798,1909,1.0
1714308395.839583,1911,1.0
1714308400.4323041,1915,1.0
1714308401.586346,1916,1.0
1714308402.724253,1917,1.0
1714308403.8853388,1918,1.0
1714308406.706761,1920,1.0
1714308414.844335,1925,5.0
1714308416.033031,1926,1.0
1714308421.153524,1928,5.0
1714308422.2138739,1929,1.0
1714308423.4400132,1930,1.0
1714308426.7257228,1933,1.0
1714308428.9403121,1935,1.0
1714308430.323036,1936,1.0
1714308432.4050071,1937,5.0
1714308447.756716,1946,4.0
1714308452.2868311,1949,1.0
1714308464.292136,1958,5.0
1714308474.0641851,1964,1.0
1714308477.876093,1965,5.0
1714308487.1902819,1971,1.0
1714308488.288245,1972,1.0
1714308489.363298,1973,1.0
1714308491.519851,1975,1.0
1714308494.8121102,1977,1.0
1714308499.330109,1981,1.0
1714308510.944478,1987,5.0
1714308513.2180321,1988,5.0
1714308524.782691,1996,1.0
1714308526.032866,1997,1.0
1714308530.454824,2000,1.0
1714308534.842415,2003,1.0
1714308539.184427,2007,1.0
1714308543.595799,2009,1.0
1714308549.208858,2013,1.0
1714308556.613083,2019,1.0
1714308561.134534,2023,1.0
1714308562.301397,2024,1.0
1714308566.72385,2027,1.0
1714308569.189069,2029,1.0
1714308574.042536,2032,1.0
1714308578.439135,2036,1.0
1714308582.5978801,2038,5.0
1714308584.994251,2040,5.0
1714308586.0339751,2041,1.0
1714308586.9748402,2042,1.0
1714308595.9986591,2049,1.0
1714308599.171325,2051,5.0
1714308600.4016562,2052,5.0
1714308608.248663,2058,1.0
1714308609.313517,2059,1.0
1714308610.367599,2060,1.0
1714308612.620186,2062,1.0
1714308615.031523,2064,1.0
1714308626.484117,2074,1.0
1714308631.562797,2076,5.0
1714308643.9177668,2085,5.0
1714308649.680985,2089,1.0
1714308657.589488,2094,5.0
1714308658.6930182,2095,1.0
1714308667.092635,2100,1.0
1714308668.71606,2101,1.0
1714308671.1030982,2102,5.0
1714308675.540239,2106,1.0
1714308676.660852,2107,1.0
1714308680.678993,2111,1.0
1714308683.044705,2113,1.0
1714308685.357821,2115,1.0
1714308688.7232409,2117,5.0
1714308691.5161889,2118,5.0
1714308692.654592,2119,1.0
1714308694.821856,2121,1.0
1714308695.854346,2122,1.0
1714308701.346179,2127,1.0
