1: reward=-0.30 vs 0.00, recent_win=0 vs 0, winner=draw, win=0 vs 0, draw=1, time=99/99
2: reward=0.70 vs 92.29, recent_win=0 vs 1, winner=blue, win=0 vs 1, draw=1, time=100/200
3: reward=0.50 vs 0.00, recent_win=0 vs 1, winner=draw, win=0 vs 1, draw=2, time=122/322
4: reward=-0.40 vs 0.00, recent_win=0 vs 1, winner=draw, win=0 vs 1, draw=3, time=99/422
5: reward=-0.50 vs 0.00, recent_win=0 vs 1, winner=draw, win=0 vs 1, draw=4, time=130/552
6: reward=-0.30 vs 0.00, recent_win=0 vs 1, winner=draw, win=0 vs 1, draw=5, time=98/650
7: reward=0.40 vs 0.00, recent_win=0 vs 1, winner=draw, win=0 vs 1, draw=6, time=137/787
8: reward=-0.30 vs 0.00, recent_win=0 vs 1, winner=draw, win=0 vs 1, draw=7, time=85/872
9: reward=0.70 vs 0.00, recent_win=0 vs 1, winner=draw, win=0 vs 1, draw=8, time=98/970
10: reward=4.20 vs 86.59, recent_win=0 vs 2, winner=blue, win=0 vs 2, draw=8, time=187/1158
11: reward=-0.50 vs 90.92, recent_win=0 vs 3, winner=blue, win=0 vs 3, draw=8, time=120/1278
12: reward=0.60 vs 92.44, recent_win=0 vs 4, winner=blue, win=0 vs 4, draw=8, time=98/1376
13: reward=-0.20 vs 0.00, recent_win=0 vs 4, winner=draw, win=0 vs 4, draw=9, time=70/1446
14: reward=3.30 vs 89.01, recent_win=0 vs 5, winner=blue, win=0 vs 5, draw=9, time=149/1595
15: reward=-0.40 vs 91.90, recent_win=0 vs 6, winner=blue, win=0 vs 6, draw=9, time=106/1701
16: reward=-0.50 vs 0.00, recent_win=0 vs 6, winner=draw, win=0 vs 6, draw=10, time=138/1839
17: reward=2.30 vs 88.73, recent_win=0 vs 7, winner=blue, win=0 vs 7, draw=10, time=153/1992
18: reward=-0.50 vs 90.99, recent_win=0 vs 8, winner=blue, win=0 vs 8, draw=10, time=119/2111
19: reward=-0.30 vs 92.76, recent_win=0 vs 9, winner=blue, win=0 vs 9, draw=10, time=94/2205
20: reward=0.50 vs 90.10, recent_win=0 vs 10, winner=blue, win=0 vs 10, draw=10, time=132/2338
21: reward=-0.50 vs 0.00, recent_win=0 vs 10, winner=draw, win=0 vs 10, draw=11, time=136/2473
22: reward=0.50 vs 90.99, recent_win=0 vs 11, winner=blue, win=0 vs 11, draw=11, time=119/2593
23: reward=0.60 vs 0.00, recent_win=0 vs 11, winner=draw, win=0 vs 11, draw=12, time=103/2695
24: reward=-0.30 vs 0.00, recent_win=0 vs 11, winner=draw, win=0 vs 11, draw=13, time=87/2783
