1: reward=1.47 vs 59.36, recent_win=0 vs 1, winner=blue, win=0 vs 1, draw=0, time=1006/1006
2: reward=2.77 vs 56.44, recent_win=0 vs 2, winner=blue, win=0 vs 2, draw=0, time=1229/2235
3: reward=1.43 vs 65.04, recent_win=0 vs 3, winner=blue, win=0 vs 3, draw=0, time=721/2956
4: reward=1.86 vs 75.65, recent_win=0 vs 4, winner=blue, win=0 vs 4, draw=0, time=401/3356
5: reward=0.34 vs 78.25, recent_win=0 vs 5, winner=blue, win=0 vs 5, draw=0, time=343/3699
6: reward=0.35 vs 77.73, recent_win=0 vs 6, winner=blue, win=0 vs 6, draw=0, time=354/4052
7: reward=1.37 vs 75.18, recent_win=0 vs 7, winner=blue, win=0 vs 7, draw=0, time=412/4464
8: reward=1.90 vs 70.75, recent_win=0 vs 8, winner=blue, win=0 vs 8, draw=0, time=528/4992
9: reward=0.31 vs 78.25, recent_win=0 vs 9, winner=blue, win=0 vs 9, draw=0, time=343/5334
10: reward=0.52 vs 53.20, recent_win=0 vs 10, winner=blue, win=0 vs 10, draw=0, time=1648/6982
11: reward=2.61 vs 0.00, recent_win=0 vs 10, winner=draw, win=0 vs 10, draw=1, time=1800/8783
12: reward=1.38 vs 73.17, recent_win=0 vs 11, winner=blue, win=0 vs 11, draw=1, time=462/9244
13: reward=83.44 vs 0.00, recent_win=1 vs 11, winner=red, win=1 vs 11, draw=1, time=266/9510
14: reward=0.30 vs 0.00, recent_win=1 vs 11, winner=draw, win=1 vs 11, draw=2, time=229/9739
15: reward=1.39 vs 68.84, recent_win=1 vs 12, winner=blue, win=1 vs 12, draw=2, time=586/10325
16: reward=0.40 vs 70.68, recent_win=1 vs 13, winner=blue, win=1 vs 13, draw=2, time=530/10854
17: reward=1.88 vs 74.39, recent_win=1 vs 14, winner=blue, win=1 vs 14, draw=2, time=431/11285
18: reward=1.95 vs 62.22, recent_win=1 vs 15, winner=blue, win=1 vs 15, draw=2, time=846/12130
19: reward=0.46 vs 59.03, recent_win=1 vs 16, winner=blue, win=1 vs 16, draw=2, time=1027/13157
20: reward=0.35 vs 0.00, recent_win=1 vs 16, winner=draw, win=1 vs 16, draw=3, time=377/13534
21: reward=2.55 vs 58.45, recent_win=1 vs 17, winner=blue, win=1 vs 17, draw=3, time=1067/14601
22: reward=2.32 vs 56.61, recent_win=1 vs 18, winner=blue, win=1 vs 18, draw=3, time=1214/15814
23: reward=78.70 vs 0.00, recent_win=2 vs 18, winner=red, win=2 vs 18, draw=3, time=381/16195
24: reward=0.33 vs 0.00, recent_win=2 vs 18, winner=draw, win=2 vs 18, draw=4, time=310/16505
25: reward=0.39 vs 72.78, recent_win=2 vs 19, winner=blue, win=2 vs 19, draw=4, time=472/16976
26: reward=2.53 vs 61.41, recent_win=2 vs 20, winner=blue, win=2 vs 20, draw=4, time=887/17863
27: reward=0.39 vs 0.00, recent_win=2 vs 20, winner=draw, win=2 vs 20, draw=5, time=497/18359
28: reward=0.35 vs 78.01, recent_win=2 vs 21, winner=blue, win=2 vs 21, draw=5, time=348/18707
29: reward=2.92 vs 0.00, recent_win=2 vs 21, winner=draw, win=2 vs 21, draw=6, time=985/19692
30: reward=1.43 vs 65.79, recent_win=2 vs 22, winner=blue, win=2 vs 22, draw=6, time=692/20383
31: reward=0.41 vs 69.71, recent_win=2 vs 23, winner=blue, win=2 vs 23, draw=6, time=559/20942
32: reward=1.47 vs 59.53, recent_win=2 vs 24, winner=blue, win=2 vs 24, draw=6, time=995/21936
33: reward=0.34 vs 78.34, recent_win=2 vs 25, winner=blue, win=2 vs 25, draw=6, time=341/22277
