1: reward=1.50 vs 0.15, winner=draw, r_win=0:0:1, win=0:0:1, time=124/124
2: reward=0.00 vs 0.00, winner=draw, r_win=0:0:2, win=0:0:2, time=71/194
3: reward=95.37 vs 0.00, winner=red, r_win=1:0:2, win=1:0:2, time=78/273
4: reward=0.00 vs 0.00, winner=draw, r_win=1:0:3, win=1:0:3, time=57/330
5: reward=0.00 vs 0.00, winner=draw, r_win=1:0:4, win=1:0:4, time=114/444
6: reward=91.09 vs 0.00, winner=red, r_win=2:0:4, win=2:0:4, time=140/584
7: reward=1.83 vs 89.63, winner=blue, r_win=2:1:4, win=2:1:4, time=158/742
8: reward=95.93 vs 0.00, winner=red, r_win=3:1:4, win=3:1:4, time=71/812
9: reward=2.08 vs 87.13, winner=blue, r_win=3:2:4, win=3:2:4, time=182/994
10: reward=0.00 vs 0.00, winner=draw, r_win=3:2:5, win=3:2:5, time=104/1098
11: reward=1.00 vs 0.00, winner=draw, r_win=3:2:6, win=3:2:6, time=68/1166
12: reward=94.73 vs 0.00, winner=red, r_win=4:2:6, win=4:2:6, time=87/1253
13: reward=0.00 vs 0.00, winner=draw, r_win=4:2:7, win=4:2:7, time=95/1348
14: reward=0.00 vs 0.00, winner=draw, r_win=4:2:8, win=4:2:8, time=114/1462
15: reward=0.00 vs 0.00, winner=draw, r_win=4:2:9, win=4:2:9, time=95/1557
16: reward=1.50 vs 0.10, winner=draw, r_win=4:2:10, win=4:2:10, time=113/1669
17: reward=0.00 vs 0.00, winner=draw, r_win=4:2:11, win=4:2:11, time=111/1781
18: reward=0.00 vs 0.00, winner=draw, r_win=4:2:12, win=4:2:12, time=98/1879
19: reward=92.22 vs 0.00, winner=red, r_win=5:2:12, win=5:2:12, time=116/1995
20: reward=1.50 vs 0.15, winner=draw, r_win=5:2:13, win=5:2:13, time=117/2112
21: reward=0.00 vs 0.00, winner=draw, r_win=5:2:14, win=5:2:14, time=103/2215
22: reward=92.79 vs 0.00, winner=red, r_win=6:2:14, win=6:2:14, time=115/2329
23: reward=1.00 vs 0.10, winner=draw, r_win=6:2:15, win=6:2:15, time=95/2424
24: reward=1.00 vs 0.15, winner=draw, r_win=6:2:16, win=6:2:16, time=102/2526
25: reward=0.00 vs 0.00, winner=draw, r_win=6:2:17, win=6:2:17, time=97/2623
