1: reward=0.00 vs 20.31, winner=blue, r_win=0:1:0, win=0:1:0, time=76/76
2: reward=0.00 vs 19.76, winner=blue, r_win=0:2:0, win=0:2:0, time=80/156
3: reward=0.00 vs 20.35, winner=blue, r_win=0:3:0, win=0:3:0, time=73/229
4: reward=0.00 vs 20.44, winner=blue, r_win=0:4:0, win=0:4:0, time=68/296
5: reward=0.00 vs 20.03, winner=blue, r_win=0:5:0, win=0:5:0, time=61/358
6: reward=0.00 vs 19.67, winner=blue, r_win=0:6:0, win=0:6:0, time=121/479
7: reward=0.00 vs 19.64, winner=blue, r_win=0:7:0, win=0:7:0, time=124/603
8: reward=0.00 vs 20.24, winner=blue, r_win=0:8:0, win=0:8:0, time=81/683
9: reward=0.00 vs 19.62, winner=blue, r_win=0:9:0, win=0:9:0, time=125/808
10: reward=0.00 vs 19.85, winner=blue, r_win=0:10:0, win=0:10:0, time=108/916
11: reward=0.00 vs 19.64, winner=blue, r_win=0:11:0, win=0:11:0, time=124/1040
12: reward=0.00 vs 19.67, winner=blue, r_win=0:12:0, win=0:12:0, time=121/1161
13: reward=0.00 vs 20.37, winner=blue, r_win=0:13:0, win=0:13:0, time=72/1233
14: reward=0.00 vs 19.40, winner=blue, r_win=0:14:0, win=0:14:0, time=105/1338
15: reward=0.00 vs 20.32, winner=blue, r_win=0:15:0, win=0:15:0, time=75/1413
16: reward=0.00 vs 19.79, winner=blue, r_win=0:16:0, win=0:16:0, time=113/1526
17: reward=0.00 vs 19.80, winner=blue, r_win=0:17:0, win=0:17:0, time=111/1637
18: reward=0.00 vs 19.97, winner=blue, r_win=0:18:0, win=0:18:0, time=99/1737
19: reward=0.00 vs 20.31, winner=blue, r_win=0:19:0, win=0:19:0, time=76/1813
20: reward=0.00 vs 20.21, winner=blue, r_win=0:20:0, win=0:20:0, time=83/1896
21: reward=0.00 vs 20.34, winner=blue, r_win=0:21:0, win=0:21:0, time=74/1970
22: reward=0.00 vs 20.10, winner=blue, r_win=0:22:0, win=0:22:0, time=91/2061
23: reward=0.00 vs 19.70, winner=blue, r_win=0:23:0, win=0:23:0, time=119/2180
24: reward=0.00 vs 20.08, winner=blue, r_win=0:24:0, win=0:24:0, time=92/2271
25: reward=0.00 vs 20.37, winner=blue, r_win=0:25:0, win=0:25:0, time=72/2343
26: reward=0.00 vs 20.34, winner=blue, r_win=0:26:0, win=0:26:0, time=74/2417
27: reward=0.00 vs 19.70, winner=blue, r_win=0:27:0, win=0:27:0, time=119/2537
28: reward=0.00 vs 19.85, winner=blue, r_win=0:28:0, win=0:28:0, time=73/2610
29: reward=0.00 vs 20.35, winner=blue, r_win=0:29:0, win=0:29:0, time=73/2683
30: reward=0.00 vs 20.31, winner=blue, r_win=0:30:0, win=0:30:0, time=76/2759
