1: reward=1.00 vs 91.75, winner=blue, r_win=0:1:0, win=0:1:0, time=110/110
2: reward=0.00 vs 91.52, winner=blue, r_win=0:2:0, win=0:2:0, time=114/224
3: reward=0.00 vs 0.00, winner=draw, r_win=0:2:1, win=0:2:1, time=110/334
4: reward=1.00 vs 0.10, winner=draw, r_win=0:2:2, win=0:2:2, time=154/489
5: reward=1.50 vs 92.36, winner=blue, r_win=0:3:2, win=0:3:2, time=102/590
6: reward=1.00 vs 92.44, winner=blue, r_win=0:4:2, win=0:4:2, time=100/691
7: reward=1.50 vs 0.15, winner=draw, r_win=0:4:3, win=0:4:3, time=164/855
8: reward=1.50 vs 0.15, winner=draw, r_win=0:4:4, win=0:4:4, time=158/1013
9: reward=0.00 vs 0.00, winner=draw, r_win=0:4:5, win=0:4:5, time=81/1094
10: reward=1.00 vs 90.03, winner=blue, r_win=0:5:5, win=0:5:5, time=136/1229
11: reward=0.00 vs 0.00, winner=draw, r_win=0:5:6, win=0:5:6, time=91/1320
12: reward=1.00 vs 92.05, winner=blue, r_win=0:6:6, win=0:6:6, time=106/1426
13: reward=1.00 vs 0.10, winner=draw, r_win=0:6:7, win=0:6:7, time=131/1557
14: reward=1.00 vs 0.10, winner=draw, r_win=0:6:8, win=0:6:8, time=114/1671
15: reward=1.00 vs 0.10, winner=draw, r_win=0:6:9, win=0:6:9, time=117/1788
16: reward=0.00 vs 91.75, winner=blue, r_win=0:7:9, win=0:7:9, time=110/1898
17: reward=0.00 vs 0.00, winner=draw, r_win=0:7:10, win=0:7:10, time=98/1997
18: reward=1.00 vs 92.44, winner=blue, r_win=0:8:10, win=0:8:10, time=100/2097
19: reward=1.50 vs 89.34, winner=blue, r_win=0:9:10, win=0:9:10, time=147/2244
20: reward=0.00 vs 0.00, winner=draw, r_win=0:9:11, win=0:9:11, time=99/2343
21: reward=1.00 vs 0.10, winner=draw, r_win=0:9:12, win=0:9:12, time=129/2472
22: reward=1.50 vs 0.15, winner=draw, r_win=0:9:13, win=0:9:13, time=147/2619
23: reward=1.50 vs 89.59, winner=blue, r_win=0:10:13, win=0:10:13, time=142/2761
24: reward=0.00 vs 0.00, winner=draw, r_win=0:10:14, win=0:10:14, time=85/2846
25: reward=1.00 vs 0.00, winner=draw, r_win=0:10:15, win=0:10:15, time=121/2968
26: reward=1.00 vs 0.10, winner=draw, r_win=0:10:16, win=0:10:16, time=118/3086
27: reward=1.50 vs 90.69, winner=blue, r_win=0:11:16, win=0:11:16, time=126/3212
28: reward=1.83 vs 91.33, winner=blue, r_win=0:12:16, win=0:12:16, time=117/3329
29: reward=1.00 vs 88.59, winner=blue, r_win=0:13:16, win=0:13:16, time=158/3486
30: reward=0.00 vs 0.00, winner=draw, r_win=0:13:17, win=0:13:17, time=109/3596
31: reward=1.00 vs 90.25, winner=blue, r_win=0:14:17, win=0:14:17, time=132/3728
32: reward=0.00 vs 0.00, winner=draw, r_win=0:14:18, win=0:14:18, time=86/3814
33: reward=1.50 vs 0.15, winner=draw, r_win=0:14:19, win=0:14:19, time=121/3936
34: reward=1.50 vs 89.48, winner=blue, r_win=0:15:19, win=0:15:19, time=144/4080
35: reward=1.00 vs 89.96, winner=blue, r_win=0:16:19, win=0:16:19, time=137/4217
36: reward=1.50 vs 88.77, winner=blue, r_win=0:17:19, win=0:17:19, time=155/4373
37: reward=0.00 vs 0.00, winner=draw, r_win=0:17:20, win=0:17:20, time=97/4470
38: reward=93.56 vs 0.10, winner=red, r_win=1:17:20, win=1:17:20, time=104/4574
39: reward=91.06 vs 0.10, winner=red, r_win=2:17:20, win=2:17:20, time=146/4719
40: reward=90.63 vs 0.15, winner=red, r_win=3:17:20, win=3:17:20, time=152/4871
41: reward=0.00 vs 91.32, winner=blue, r_win=3:18:20, win=3:18:20, time=116/4987
42: reward=1.00 vs 0.00, winner=draw, r_win=3:18:21, win=3:18:21, time=94/5081
43: reward=0.00 vs 0.00, winner=draw, r_win=3:18:22, win=3:18:22, time=109/5190
44: reward=93.87 vs 0.00, winner=red, r_win=4:18:22, win=4:18:22, time=99/5290
45: reward=0.00 vs 92.13, winner=blue, r_win=4:19:22, win=4:19:22, time=105/5395
46: reward=0.00 vs 0.00, winner=draw, r_win=4:19:23, win=4:19:23, time=103/5497
47: reward=94.18 vs 0.10, winner=red, r_win=5:19:23, win=5:19:23, time=95/5592
48: reward=1.50 vs 0.15, winner=draw, r_win=5:19:24, win=5:19:24, time=110/5703
49: reward=1.00 vs 92.44, winner=blue, r_win=5:20:24, win=5:20:24, time=100/5803
50: reward=0.00 vs 0.00, winner=draw, r_win=5:20:25, win=5:20:25, time=70/5873
51: reward=2.08 vs 0.21, winner=draw, r_win=5:19:26, win=5:20:26, time=160/6033
52: reward=0.00 vs 0.00, winner=draw, r_win=5:18:27, win=5:20:27, time=82/6115
53: reward=1.00 vs 91.37, winner=blue, r_win=5:19:26, win=5:21:27, time=116/6231
54: reward=90.88 vs 0.00, winner=red, r_win=6:19:25, win=6:21:27, time=136/6366
55: reward=1.00 vs 88.17, winner=blue, r_win=6:19:25, win=6:22:27, time=164/6531
56: reward=1.83 vs 0.18, winner=draw, r_win=6:18:26, win=6:22:28, time=169/6699
57: reward=0.00 vs 0.10, winner=draw, r_win=6:18:26, win=6:22:29, time=117/6816
58: reward=1.00 vs 0.10, winner=draw, r_win=6:18:26, win=6:22:30, time=107/6923
59: reward=1.50 vs 89.48, winner=blue, r_win=6:19:25, win=6:23:30, time=144/7068
60: reward=0.00 vs 0.00, winner=draw, r_win=6:18:26, win=6:23:31, time=105/7173
