1: reward=1.00 vs 18.08, winner=blue, r_win=0:1:0, win=0:1:0, time=139/139
2: reward=0.00 vs 18.34, winner=blue, r_win=0:2:0, win=0:2:0, time=116/255
3: reward=2.45 vs 17.60, winner=blue, r_win=0:3:0, win=0:3:0, time=184/439
4: reward=1.00 vs 18.02, winner=blue, r_win=0:4:0, win=0:4:0, time=143/582
5: reward=1.50 vs 17.62, winner=blue, r_win=0:5:0, win=0:5:0, time=177/760
6: reward=1.83 vs 17.79, winner=blue, r_win=0:6:0, win=0:6:0, time=164/924
7: reward=1.00 vs 19.05, winner=blue, r_win=0:7:0, win=0:7:0, time=141/1065
8: reward=1.00 vs 18.11, winner=blue, r_win=0:8:0, win=0:8:0, time=137/1202
9: reward=1.50 vs 18.97, winner=blue, r_win=0:9:0, win=0:9:0, time=148/1350
10: reward=1.83 vs 17.87, winner=blue, r_win=0:10:0, win=0:10:0, time=160/1510
11: reward=1.00 vs 18.21, winner=blue, r_win=0:11:0, win=0:11:0, time=129/1639
12: reward=0.00 vs 19.81, winner=blue, r_win=0:12:0, win=0:12:0, time=76/1715
13: reward=0.00 vs 18.85, winner=blue, r_win=0:13:0, win=0:13:0, time=146/1861
14: reward=1.83 vs 18.83, winner=blue, r_win=0:14:0, win=0:14:0, time=161/2022
15: reward=1.00 vs 18.38, winner=blue, r_win=0:15:0, win=0:15:0, time=117/2139
16: reward=0.00 vs 19.75, winner=blue, r_win=0:16:0, win=0:16:0, time=87/2226
17: reward=1.00 vs 18.20, winner=blue, r_win=0:17:0, win=0:17:0, time=130/2356
18: reward=2.45 vs 17.54, winner=blue, r_win=0:18:0, win=0:18:0, time=190/2546
19: reward=1.50 vs 19.00, winner=blue, r_win=0:19:0, win=0:19:0, time=146/2692
20: reward=1.00 vs 18.35, winner=blue, r_win=0:20:0, win=0:20:0, time=119/2811
21: reward=0.00 vs 18.75, winner=blue, r_win=0:21:0, win=0:21:0, time=87/2898
22: reward=1.83 vs 18.00, winner=blue, r_win=0:22:0, win=0:22:0, time=150/3048
23: reward=2.45 vs 0.24, winner=draw, r_win=0:22:1, win=0:22:1, time=158/3206
24: reward=0.00 vs 19.75, winner=blue, r_win=0:23:1, win=0:23:1, time=87/3293
25: reward=1.60 vs 19.27, winner=blue, r_win=0:24:1, win=0:24:1, time=125/3418
26: reward=1.50 vs 18.20, winner=blue, r_win=0:25:1, win=0:25:1, time=132/3550
27: reward=1.50 vs 17.77, winner=blue, r_win=0:26:1, win=0:26:1, time=165/3716
28: reward=1.00 vs 18.23, winner=blue, r_win=0:27:1, win=0:27:1, time=128/3844
29: reward=1.00 vs 19.48, winner=blue, r_win=0:28:1, win=0:28:1, time=106/3950
30: reward=1.00 vs 18.13, winner=blue, r_win=0:29:1, win=0:29:1, time=136/4085
31: reward=1.00 vs 18.50, winner=blue, r_win=0:30:1, win=0:30:1, time=108/4193
32: reward=0.00 vs 19.61, winner=blue, r_win=0:31:1, win=0:31:1, time=89/4283
33: reward=1.00 vs 19.27, winner=blue, r_win=0:32:1, win=0:32:1, time=125/4408
34: reward=2.08 vs 18.27, winner=blue, r_win=0:33:1, win=0:33:1, time=129/4537
35: reward=1.00 vs 18.39, winner=blue, r_win=0:34:1, win=0:34:1, time=116/4653
36: reward=1.00 vs 18.32, winner=blue, r_win=0:35:1, win=0:35:1, time=121/4774
37: reward=2.08 vs 18.32, winner=blue, r_win=0:36:1, win=0:36:1, time=126/4900
