1: reward=0.18 vs 1.83, winner=draw, r_win=0:0:1, win=0:0:1, time=92/92
2: reward=1.21 vs 2.18, winner=draw, r_win=0:0:2, win=0:0:2, time=122/214
3: reward=1.18 vs 91.89, winner=blue, r_win=0:1:2, win=0:1:2, time=139/353
4: reward=0.18 vs 1.83, winner=draw, r_win=0:1:3, win=0:1:3, time=93/446
5: reward=1.21 vs 92.83, winner=blue, r_win=0:2:3, win=0:2:3, time=128/574
6: reward=0.15 vs 1.50, winner=draw, r_win=0:2:4, win=0:2:4, time=71/645
7: reward=1.18 vs 93.83, winner=blue, r_win=0:3:4, win=0:3:4, time=110/755
8: reward=95.50 vs 1.00, winner=red, r_win=1:3:4, win=1:3:4, time=72/827
9: reward=0.18 vs 1.83, winner=draw, r_win=1:3:5, win=1:3:5, time=96/923
10: reward=1.68 vs 1.98, winner=draw, r_win=1:3:6, win=1:3:6, time=110/1034
11: reward=1.25 vs 91.68, winner=blue, r_win=1:4:6, win=1:4:6, time=150/1184
12: reward=1.18 vs 93.98, winner=blue, r_win=1:5:6, win=1:5:6, time=108/1292
13: reward=0.15 vs 94.61, winner=blue, r_win=1:6:6, win=1:6:6, time=95/1387
14: reward=0.18 vs 92.19, winner=blue, r_win=1:7:6, win=1:7:6, time=135/1521
15: reward=1.18 vs 1.93, winner=draw, r_win=1:7:7, win=1:7:7, time=104/1625
16: reward=1.18 vs 92.55, winner=blue, r_win=1:8:7, win=1:8:7, time=129/1754
17: reward=0.18 vs 1.83, winner=draw, r_win=1:8:8, win=1:8:8, time=87/1842
18: reward=1.18 vs 93.22, winner=blue, r_win=1:9:8, win=1:9:8, time=119/1961
19: reward=1.15 vs 92.78, winner=blue, r_win=1:10:8, win=1:10:8, time=126/2087
20: reward=1.21 vs 92.61, winner=blue, r_win=1:11:8, win=1:11:8, time=131/2218
21: reward=2.06 vs 91.01, winner=blue, r_win=1:12:8, win=1:12:8, time=159/2377
22: reward=1.23 vs 2.38, winner=draw, r_win=1:12:9, win=1:12:9, time=153/2530
