1: reward=3.90 vs 16.10, winner=blue, r_win=0:1:0, win=0:1:0, time=1722/1722
2: reward=1.85 vs 19.13, winner=blue, r_win=0:2:0, win=0:2:0, time=372/2094
3: reward=2.26 vs 17.40, winner=blue, r_win=0:3:0, win=0:3:0, time=750/2843
4: reward=0.34 vs 19.50, winner=blue, r_win=0:4:0, win=0:4:0, time=301/3144
5: reward=0.34 vs 19.25, winner=blue, r_win=0:5:0, win=0:5:0, time=332/3475
6: reward=0.30 vs 20.11, winner=blue, r_win=0:6:0, win=0:6:0, time=214/3689
7: reward=1.32 vs 19.93, winner=blue, r_win=0:7:0, win=0:7:0, time=251/3940
8: reward=1.34 vs 19.29, winner=blue, r_win=0:8:0, win=0:8:0, time=344/4284
9: reward=0.46 vs 4.58, winner=draw, r_win=0:8:1, win=0:8:1, time=957/5241
10: reward=1.45 vs 16.95, winner=blue, r_win=0:9:1, win=0:9:1, time=880/6120
11: reward=2.46 vs 18.69, winner=blue, r_win=0:10:1, win=0:10:1, time=463/6583
12: reward=5.46 vs 8.32, winner=draw, r_win=0:10:2, win=0:10:2, time=1800/8383
13: reward=0.33 vs 19.45, winner=blue, r_win=0:11:2, win=0:11:2, time=306/8689
14: reward=1.83 vs 19.80, winner=blue, r_win=0:12:2, win=0:12:2, time=275/8963
15: reward=2.22 vs 17.71, winner=blue, r_win=0:13:2, win=0:13:2, time=613/9576
16: reward=2.87 vs 17.71, winner=blue, r_win=0:14:2, win=0:14:2, time=678/10253
17: reward=1.89 vs 4.00, winner=draw, r_win=0:14:3, win=0:14:3, time=461/10714
18: reward=0.33 vs 19.41, winner=blue, r_win=0:15:3, win=0:15:3, time=310/11024
19: reward=17.36 vs 3.18, winner=red, r_win=1:15:3, win=1:15:3, time=303/11326
20: reward=0.33 vs 19.42, winner=blue, r_win=1:16:3, win=1:16:3, time=303/11629
21: reward=2.23 vs 18.30, winner=blue, r_win=1:17:3, win=1:17:3, time=528/12156
22: reward=0.35 vs 19.16, winner=blue, r_win=1:18:3, win=1:18:3, time=347/12503
23: reward=2.49 vs 18.09, winner=blue, r_win=1:19:3, win=1:19:3, time=587/13090
24: reward=1.87 vs 18.51, winner=blue, r_win=1:20:3, win=1:20:3, time=468/13557
25: reward=0.34 vs 19.33, winner=blue, r_win=1:21:3, win=1:21:3, time=324/13881
26: reward=5.46 vs 8.33, winner=draw, r_win=1:21:4, win=1:21:4, time=1800/15681
27: reward=0.47 vs 16.39, winner=blue, r_win=1:22:4, win=1:22:4, time=1081/16762
28: reward=2.35 vs 5.33, winner=draw, r_win=1:22:5, win=1:22:5, time=1600/18362
29: reward=0.32 vs 19.84, winner=blue, r_win=1:23:5, win=1:23:5, time=250/18612
30: reward=0.46 vs 4.58, winner=draw, r_win=1:23:6, win=1:23:6, time=927/19539
31: reward=0.34 vs 19.21, winner=blue, r_win=1:24:6, win=1:24:6, time=342/19880
32: reward=0.34 vs 19.55, winner=blue, r_win=1:25:6, win=1:25:6, time=296/20176
33: reward=2.45 vs 19.02, winner=blue, r_win=1:26:6, win=1:26:6, time=409/20584
34: reward=0.33 vs 3.25, winner=draw, r_win=1:26:7, win=1:26:7, time=290/20874
35: reward=1.36 vs 19.08, winner=blue, r_win=1:27:7, win=1:27:7, time=383/21257
36: reward=1.95 vs 16.88, winner=blue, r_win=1:28:7, win=1:28:7, time=896/22152
37: reward=2.30 vs 16.60, winner=blue, r_win=1:29:7, win=1:29:7, time=1061/23213
38: reward=0.35 vs 19.11, winner=blue, r_win=1:30:7, win=1:30:7, time=358/23571
39: reward=1.50 vs 16.17, winner=blue, r_win=1:31:7, win=1:31:7, time=1322/24892
40: reward=2.76 vs 16.27, winner=blue, r_win=1:32:7, win=1:32:7, time=1257/26149
41: reward=0.47 vs 4.70, winner=draw, r_win=1:32:8, win=1:32:8, time=1043/27193
42: reward=0.34 vs 3.38, winner=draw, r_win=1:32:9, win=1:32:9, time=326/27518
43: reward=1.81 vs 18.51, winner=blue, r_win=1:33:9, win=1:33:9, time=399/27917
44: reward=3.21 vs 19.02, winner=blue, r_win=1:34:9, win=1:34:9, time=427/28343
45: reward=0.33 vs 3.25, winner=draw, r_win=1:34:10, win=1:34:10, time=310/28653
46: reward=2.44 vs 19.25, winner=blue, r_win=1:35:10, win=1:35:10, time=371/29024
47: reward=0.35 vs 19.03, winner=blue, r_win=1:36:10, win=1:36:10, time=372/29395
48: reward=1.38 vs 18.79, winner=blue, r_win=1:37:10, win=1:37:10, time=436/29831
49: reward=13.51 vs 4.58, winner=red, r_win=2:37:10, win=2:37:10, time=951/30781
50: reward=2.19 vs 18.97, winner=blue, r_win=2:38:10, win=2:38:10, time=391/31172
51: reward=0.33 vs 19.44, winner=blue, r_win=2:38:10, win=2:39:10, time=295/31467
52: reward=5.97 vs 8.37, winner=draw, r_win=2:37:11, win=2:39:11, time=1800/33267
53: reward=0.30 vs 20.16, winner=blue, r_win=2:37:11, win=2:40:11, time=209/33476
54: reward=1.34 vs 19.14, winner=blue, r_win=2:37:11, win=2:41:11, time=348/33824
55: reward=16.82 vs 3.44, winner=red, r_win=3:36:11, win=3:41:11, time=363/34186
56: reward=5.46 vs 8.33, winner=draw, r_win=3:35:12, win=3:41:12, time=1800/35987
57: reward=1.46 vs 16.88, winner=blue, r_win=3:35:12, win=3:42:12, time=913/36899
58: reward=3.34 vs 17.76, winner=blue, r_win=3:35:12, win=3:43:12, time=664/37563
59: reward=2.21 vs 18.57, winner=blue, r_win=3:36:11, win=3:44:12, time=475/38037
60: reward=2.31 vs 16.43, winner=blue, r_win=3:36:11, win=3:45:12, time=1167/39204
61: reward=1.94 vs 17.19, winner=blue, r_win=3:36:11, win=3:46:12, time=818/40022
62: reward=3.09 vs 16.26, winner=blue, r_win=3:37:10, win=3:47:12, time=1380/41402
63: reward=1.97 vs 16.66, winner=blue, r_win=3:37:10, win=3:48:12, time=1020/42421
64: reward=0.35 vs 19.30, winner=blue, r_win=3:37:10, win=3:49:12, time=332/42753
65: reward=2.76 vs 16.56, winner=blue, r_win=3:37:10, win=3:50:12, time=1116/43869
