1: reward=1.18 vs 94.44, winner=blue, r_win=0:1:0, win=0:1:0, time=102/102
2: reward=1.21 vs 90.32, winner=blue, r_win=0:2:0, win=0:2:0, time=166/268
3: reward=0.18 vs 1.83, winner=draw, r_win=0:2:1, win=0:2:1, time=86/354
4: reward=0.15 vs 1.50, winner=draw, r_win=0:2:2, win=0:2:2, time=86/440
5: reward=0.21 vs 2.28, winner=draw, r_win=0:2:3, win=0:2:3, time=140/581
6: reward=1.21 vs 2.18, winner=draw, r_win=0:2:4, win=0:2:4, time=111/692
7: reward=0.18 vs 1.83, winner=draw, r_win=0:2:5, win=0:2:5, time=97/789
8: reward=1.15 vs 1.60, winner=draw, r_win=0:2:6, win=0:2:6, time=105/894
9: reward=0.18 vs 93.86, winner=blue, r_win=0:3:6, win=0:3:6, time=109/1003
10: reward=1.21 vs 90.74, winner=blue, r_win=0:4:6, win=0:4:6, time=160/1163
11: reward=95.12 vs 1.50, winner=red, r_win=1:4:6, win=1:4:6, time=84/1247
12: reward=0.15 vs 1.50, winner=draw, r_win=1:4:7, win=1:4:7, time=80/1327
13: reward=0.18 vs 93.91, winner=blue, r_win=1:5:7, win=1:5:7, time=109/1436
14: reward=0.10 vs 1.00, winner=draw, r_win=1:5:8, win=1:5:8, time=73/1509
15: reward=0.18 vs 93.93, winner=blue, r_win=1:6:8, win=1:6:8, time=108/1617
16: reward=1.21 vs 91.95, winner=blue, r_win=1:7:8, win=1:7:8, time=141/1759
17: reward=1.18 vs 93.91, winner=blue, r_win=1:8:8, win=1:8:8, time=109/1868
18: reward=0.18 vs 93.93, winner=blue, r_win=1:9:8, win=1:9:8, time=108/1976
19: reward=1.21 vs 2.18, winner=draw, r_win=1:9:9, win=1:9:9, time=106/2082
20: reward=0.18 vs 94.47, winner=blue, r_win=1:10:9, win=1:10:9, time=100/2183
21: reward=2.54 vs 90.97, winner=blue, r_win=1:11:9, win=1:11:9, time=164/2347
22: reward=1.18 vs 93.68, winner=blue, r_win=1:12:9, win=1:12:9, time=113/2460
23: reward=1.10 vs 92.79, winner=blue, r_win=1:13:9, win=1:13:9, time=117/2577
24: reward=1.21 vs 93.50, winner=blue, r_win=1:14:9, win=1:14:9, time=118/2695
25: reward=0.18 vs 1.83, winner=draw, r_win=1:14:10, win=1:14:10, time=119/2814
26: reward=94.41 vs 1.50, winner=red, r_win=2:14:10, win=2:14:10, time=87/2901
27: reward=0.18 vs 1.83, winner=draw, r_win=2:14:11, win=2:14:11, time=78/2980
28: reward=0.21 vs 2.08, winner=draw, r_win=2:14:12, win=2:14:12, time=117/3097
29: reward=0.18 vs 1.83, winner=draw, r_win=2:14:13, win=2:14:13, time=107/3204
30: reward=1.23 vs 92.17, winner=blue, r_win=2:15:13, win=2:15:13, time=138/3342
31: reward=1.23 vs 2.55, winner=draw, r_win=2:15:14, win=2:15:14, time=153/3495
