1: reward=1.46 vs 17.00, winner=blue, r_win=0:1:0, win=0:1:0, time=893/893
2: reward=0.34 vs 3.44, winner=draw, r_win=0:1:1, win=0:1:1, time=323/1215
3: reward=1.86 vs 18.96, winner=blue, r_win=0:2:1, win=0:2:1, time=397/1612
4: reward=0.34 vs 19.40, winner=blue, r_win=0:3:1, win=0:3:1, time=327/1938
5: reward=0.47 vs 16.28, winner=blue, r_win=0:4:1, win=0:4:1, time=1138/3076
6: reward=2.68 vs 18.34, winner=blue, r_win=0:5:1, win=0:5:1, time=538/3614
7: reward=1.44 vs 17.11, winner=blue, r_win=0:6:1, win=0:6:1, time=816/4430
8: reward=17.22 vs 3.18, winner=red, r_win=1:6:1, win=1:6:1, time=318/4747
9: reward=0.34 vs 19.26, winner=blue, r_win=1:7:1, win=1:7:1, time=331/5078
10: reward=0.42 vs 17.14, winner=blue, r_win=1:8:1, win=1:8:1, time=746/5823
11: reward=1.35 vs 18.87, winner=blue, r_win=1:9:1, win=1:9:1, time=396/6219
12: reward=16.40 vs 3.60, winner=red, r_win=2:9:1, win=2:9:1, time=412/6631
13: reward=0.31 vs 19.90, winner=blue, r_win=2:10:1, win=2:10:1, time=245/6875
14: reward=1.36 vs 18.99, winner=blue, r_win=2:11:1, win=2:11:1, time=393/7268
15: reward=1.96 vs 4.76, winner=draw, r_win=2:11:2, win=2:11:2, time=955/8222
16: reward=0.33 vs 3.25, winner=draw, r_win=2:11:3, win=2:11:3, time=288/8510
17: reward=0.34 vs 3.44, winner=draw, r_win=2:11:4, win=2:11:4, time=335/8845
18: reward=0.36 vs 18.81, winner=blue, r_win=2:12:4, win=2:12:4, time=407/9251
19: reward=2.44 vs 18.98, winner=blue, r_win=2:13:4, win=2:13:4, time=398/9649
20: reward=1.85 vs 19.38, winner=blue, r_win=2:14:4, win=2:14:4, time=340/9988
21: reward=2.32 vs 16.27, winner=blue, r_win=2:15:4, win=2:15:4, time=1288/11276
22: reward=0.36 vs 3.65, winner=draw, r_win=2:15:5, win=2:15:5, time=404/11680
23: reward=2.83 vs 18.92, winner=blue, r_win=2:16:5, win=2:16:5, time=438/12117
24: reward=0.33 vs 19.23, winner=blue, r_win=2:17:5, win=2:17:5, time=316/12433
25: reward=6.30 vs 8.39, winner=draw, r_win=2:17:6, win=2:17:6, time=1800/14233
26: reward=1.33 vs 3.42, winner=draw, r_win=2:17:7, win=2:17:7, time=291/14524
27: reward=0.33 vs 3.32, winner=draw, r_win=2:17:8, win=2:17:8, time=289/14812
28: reward=17.17 vs 3.38, winner=red, r_win=3:17:8, win=3:17:8, time=325/15137
29: reward=2.33 vs 5.17, winner=draw, r_win=3:17:9, win=3:17:9, time=1388/16525
30: reward=1.34 vs 19.53, winner=blue, r_win=3:18:9, win=3:18:9, time=313/16837
31: reward=0.35 vs 19.24, winner=blue, r_win=3:19:9, win=3:19:9, time=339/17176
32: reward=2.03 vs 8.26, winner=draw, r_win=3:19:10, win=3:19:10, time=1800/18976
33: reward=3.06 vs 16.75, winner=blue, r_win=3:20:10, win=3:20:10, time=1040/20016
34: reward=0.35 vs 19.13, winner=blue, r_win=3:21:10, win=3:21:10, time=356/20372
35: reward=0.34 vs 19.43, winner=blue, r_win=3:22:10, win=3:22:10, time=308/20679
36: reward=2.22 vs 18.74, winner=blue, r_win=3:23:10, win=3:23:10, time=456/21135
37: reward=1.35 vs 18.62, winner=blue, r_win=3:24:10, win=3:24:10, time=419/21553
38: reward=0.33 vs 3.25, winner=draw, r_win=3:24:11, win=3:24:11, time=305/21858
39: reward=3.27 vs 17.27, winner=blue, r_win=3:25:11, win=3:25:11, time=826/22684
40: reward=2.20 vs 18.82, winner=blue, r_win=3:26:11, win=3:26:11, time=428/23111
41: reward=2.19 vs 19.30, winner=blue, r_win=3:27:11, win=3:27:11, time=352/23463
42: reward=1.32 vs 18.70, winner=blue, r_win=3:28:11, win=3:28:11, time=376/23838
43: reward=1.34 vs 18.48, winner=blue, r_win=3:29:11, win=3:29:11, time=430/24268
44: reward=2.20 vs 18.85, winner=blue, r_win=3:30:11, win=3:30:11, time=430/24698
45: reward=0.34 vs 3.38, winner=draw, r_win=3:30:12, win=3:30:12, time=322/25019
46: reward=0.34 vs 19.62, winner=blue, r_win=3:31:12, win=3:31:12, time=289/25308
47: reward=18.01 vs 3.10, winner=red, r_win=4:31:12, win=4:31:12, time=241/25549
48: reward=2.64 vs 19.14, winner=blue, r_win=4:32:12, win=4:32:12, time=390/25939
49: reward=0.33 vs 3.25, winner=draw, r_win=4:32:13, win=4:32:13, time=290/26228
50: reward=2.44 vs 19.02, winner=blue, r_win=4:33:13, win=4:33:13, time=397/26625
51: reward=0.33 vs 19.65, winner=blue, r_win=4:33:13, win=4:34:13, time=286/26911
52: reward=0.33 vs 3.25, winner=draw, r_win=4:33:13, win=4:34:14, time=284/27194
53: reward=6.10 vs 8.40, winner=draw, r_win=4:32:14, win=4:34:15, time=1800/28994
54: reward=1.86 vs 18.40, winner=blue, r_win=4:32:14, win=4:35:15, time=472/29466
55: reward=1.87 vs 18.80, winner=blue, r_win=4:32:14, win=4:36:15, time=431/29896
56: reward=0.32 vs 18.82, winner=blue, r_win=4:32:14, win=4:37:15, time=352/30248
57: reward=2.82 vs 3.94, winner=draw, r_win=4:31:15, win=4:37:16, time=386/30634
58: reward=0.35 vs 18.99, winner=blue, r_win=3:32:15, win=4:38:16, time=371/31004
59: reward=0.34 vs 19.41, winner=blue, r_win=3:32:15, win=4:39:16, time=310/31314
60: reward=0.39 vs 18.57, winner=blue, r_win=3:32:15, win=4:40:16, time=456/31769
61: reward=1.95 vs 4.63, winner=draw, r_win=3:31:16, win=4:40:17, time=870/32639
62: reward=0.35 vs 3.55, winner=draw, r_win=2:31:17, win=4:40:18, time=351/32990
63: reward=6.21 vs 8.42, winner=draw, r_win=2:30:18, win=4:40:19, time=1800/34790
64: reward=1.86 vs 19.18, winner=blue, r_win=2:30:18, win=4:41:19, time=377/35166
65: reward=2.29 vs 16.66, winner=blue, r_win=2:31:17, win=4:42:19, time=996/36162
66: reward=0.33 vs 19.85, winner=blue, r_win=2:32:16, win=4:43:19, time=256/36418
67: reward=1.85 vs 19.49, winner=blue, r_win=2:33:15, win=4:44:19, time=332/36749
68: reward=0.35 vs 3.50, winner=draw, r_win=2:32:16, win=4:44:20, time=349/37098
69: reward=1.86 vs 19.21, winner=blue, r_win=2:32:16, win=4:45:20, time=369/37466
70: reward=2.48 vs 18.58, winner=blue, r_win=2:32:16, win=4:46:20, time=499/37965
71: reward=1.35 vs 19.25, winner=blue, r_win=2:32:16, win=4:47:20, time=353/38318
72: reward=1.84 vs 19.23, winner=blue, r_win=2:33:15, win=4:48:20, time=350/38667
73: reward=1.37 vs 18.22, winner=blue, r_win=2:33:15, win=4:49:20, time=508/39175
74: reward=0.33 vs 18.47, winner=blue, r_win=2:33:15, win=4:50:20, time=406/39580
75: reward=2.65 vs 19.23, winner=blue, r_win=2:34:14, win=4:51:20, time=385/39965
76: reward=1.38 vs 18.84, winner=blue, r_win=2:35:13, win=4:52:20, time=426/40391
77: reward=0.36 vs 3.75, winner=draw, r_win=2:35:13, win=4:52:21, time=372/40762
78: reward=0.35 vs 3.44, winner=draw, r_win=1:35:14, win=4:52:22, time=341/41103
79: reward=0.40 vs 18.37, winner=blue, r_win=1:36:13, win=4:53:22, time=497/41599
80: reward=2.48 vs 18.58, winner=blue, r_win=1:36:13, win=4:54:22, time=491/42090
81: reward=17.14 vs 3.32, winner=red, r_win=2:35:13, win=5:54:22, time=327/42417
82: reward=2.55 vs 16.82, winner=blue, r_win=2:36:12, win=5:55:22, time=1002/43418
83: reward=16.86 vs 3.44, winner=red, r_win=3:35:12, win=6:55:22, time=358/43776
84: reward=0.34 vs 19.26, winner=blue, r_win=3:35:12, win=6:56:22, time=325/44100
85: reward=1.38 vs 18.76, winner=blue, r_win=3:35:12, win=6:57:22, time=435/44535
86: reward=0.34 vs 19.35, winner=blue, r_win=3:35:12, win=6:58:22, time=332/44867
87: reward=0.32 vs 19.94, winner=blue, r_win=3:35:12, win=6:59:22, time=241/45108
88: reward=0.36 vs 3.60, winner=draw, r_win=3:35:12, win=6:59:23, time=381/45489
89: reward=1.35 vs 3.60, winner=draw, r_win=3:34:13, win=6:59:24, time=346/45834
90: reward=0.31 vs 3.10, winner=draw, r_win=3:33:14, win=6:59:25, time=226/46060
91: reward=0.37 vs 18.88, winner=blue, r_win=3:33:14, win=6:60:25, time=404/46464
92: reward=1.38 vs 18.91, winner=blue, r_win=3:33:14, win=6:61:25, time=417/46880
93: reward=0.33 vs 3.32, winner=draw, r_win=3:32:15, win=6:61:26, time=313/47193
94: reward=1.34 vs 18.31, winner=blue, r_win=3:32:15, win=6:62:26, time=458/47651
95: reward=13.41 vs 5.27, winner=red, r_win=4:32:14, win=7:62:26, time=1503/49154
96: reward=2.18 vs 19.39, winner=blue, r_win=4:32:14, win=7:63:26, time=345/49498
97: reward=18.34 vs 2.93, winner=red, r_win=4:32:14, win=8:63:26, time=210/49709
98: reward=16.94 vs 3.32, winner=red, r_win=5:31:14, win=9:63:26, time=347/50055
99: reward=1.36 vs 18.99, winner=blue, r_win=5:32:13, win=9:64:26, time=393/50448
100: reward=1.38 vs 18.48, winner=blue, r_win=5:32:13, win=9:65:26, time=471/50919
101: reward=0.31 vs 20.09, winner=blue, r_win=5:32:13, win=9:66:26, time=221/51140
102: reward=2.55 vs 16.82, winner=blue, r_win=5:33:12, win=9:67:26, time=1002/52142
103: reward=0.34 vs 19.26, winner=blue, r_win=5:34:11, win=9:68:26, time=331/52472
104: reward=1.37 vs 18.75, winner=blue, r_win=5:34:11, win=9:69:26, time=432/52904
105: reward=1.34 vs 19.22, winner=blue, r_win=5:34:11, win=9:70:26, time=345/53249
106: reward=2.30 vs 16.67, winner=blue, r_win=5:34:11, win=9:71:26, time=1027/54275
107: reward=15.64 vs 4.73, winner=red, r_win=6:34:10, win=10:71:26, time=838/55113
108: reward=0.33 vs 19.47, winner=blue, r_win=6:34:10, win=10:72:26, time=298/55411
109: reward=1.85 vs 19.60, winner=blue, r_win=6:34:10, win=10:73:26, time=311/55721
110: reward=0.34 vs 3.38, winner=draw, r_win=6:33:11, win=10:73:27, time=328/56049
111: reward=1.37 vs 18.69, winner=blue, r_win=6:34:10, win=10:74:27, time=444/56492
112: reward=0.32 vs 3.18, winner=draw, r_win=6:34:10, win=10:74:28, time=377/56869
113: reward=0.32 vs 19.23, winner=blue, r_win=6:35:9, win=10:75:28, time=316/57185
114: reward=3.42 vs 18.37, winner=blue, r_win=6:35:9, win=10:76:28, time=540/57724
115: reward=2.21 vs 18.89, winner=blue, r_win=6:35:9, win=10:77:28, time=425/58149
116: reward=1.34 vs 19.16, winner=blue, r_win=6:35:9, win=10:78:28, time=351/58499
117: reward=1.33 vs 19.95, winner=blue, r_win=6:35:9, win=10:79:28, time=256/58755
118: reward=0.35 vs 19.40, winner=blue, r_win=6:36:8, win=10:80:28, time=322/59077
119: reward=16.89 vs 3.50, winner=red, r_win=7:35:8, win=11:80:28, time=355/59431
120: reward=3.40 vs 16.51, winner=blue, r_win=7:35:8, win=11:81:28, time=1160/60591
121: reward=3.14 vs 17.94, winner=blue, r_win=7:35:8, win=11:82:28, time=640/61231
122: reward=3.38 vs 17.39, winner=blue, r_win=7:35:8, win=11:83:28, time=804/62034
123: reward=3.45 vs 4.56, winner=draw, r_win=7:34:9, win=11:83:29, time=674/62708
124: reward=1.84 vs 19.04, winner=blue, r_win=7:34:9, win=11:84:29, time=374/63082
125: reward=0.33 vs 19.54, winner=blue, r_win=7:34:9, win=11:85:29, time=285/63366
126: reward=1.85 vs 19.02, winner=blue, r_win=7:34:9, win=11:86:29, time=379/63745
127: reward=17.46 vs 3.25, winner=red, r_win=8:34:8, win=12:86:29, time=294/64038
128: reward=1.35 vs 19.33, winner=blue, r_win=8:35:7, win=12:87:29, time=350/64388
129: reward=1.34 vs 19.45, winner=blue, r_win=8:35:7, win=12:88:29, time=322/64710
