208: reward=0.00 vs 0.00, winner=draw, r_win=23:2:25, win=99:7:102, time=57/17953
209: reward=0.00 vs 0.00, winner=draw, r_win=23:2:25, win=99:7:103, time=74/18027
210: reward=96.38 vs 0.00, winner=red, r_win=23:2:25, win=100:7:103, time=58/18086
211: reward=94.81 vs 0.00, winner=red, r_win=24:2:24, win=101:7:103, time=86/18172
212: reward=95.37 vs 0.00, winner=red, r_win=25:2:23, win=102:7:103, time=78/18250
213: reward=0.00 vs 0.00, winner=draw, r_win=24:2:24, win=102:7:104, time=109/18360
214: reward=0.00 vs 0.00, winner=draw, r_win=24:2:24, win=102:7:105, time=58/18418
215: reward=93.06 vs 0.00, winner=red, r_win=25:2:23, win=103:7:105, time=104/18522
216: reward=0.00 vs 0.00, winner=draw, r_win=25:2:23, win=103:7:106, time=54/18576
217: reward=0.00 vs 0.00, winner=draw, r_win=25:2:23, win=103:7:107, time=104/18680
218: reward=0.00 vs 0.00, winner=draw, r_win=25:2:23, win=103:7:108, time=73/18753
219: reward=92.19 vs 0.00, winner=red, r_win=25:2:23, win=104:7:108, time=124/18876
220: reward=0.00 vs 0.00, winner=draw, r_win=24:2:24, win=104:7:109, time=99/18976
221: reward=0.00 vs 0.00, winner=draw, r_win=24:2:24, win=104:7:110, time=91/19066
222: reward=93.06 vs 0.00, winner=red, r_win=24:2:24, win=105:7:110, time=104/19170
223: reward=92.75 vs 0.00, winner=red, r_win=24:2:24, win=106:7:110, time=108/19278
224: reward=0.00 vs 0.00, winner=draw, r_win=24:2:24, win=106:7:111, time=99/19378
225: reward=93.37 vs 0.00, winner=red, r_win=24:2:24, win=107:7:111, time=99/19477
226: reward=0.00 vs 0.00, winner=draw, r_win=24:2:24, win=107:7:112, time=96/19573
227: reward=95.03 vs 0.00, winner=red, r_win=24:2:24, win=108:7:112, time=76/19649
228: reward=0.00 vs 0.00, winner=draw, r_win=23:2:25, win=108:7:113, time=54/19704
229: reward=93.44 vs 0.00, winner=red, r_win=23:2:25, win=109:7:113, time=98/19802
230: reward=95.43 vs 0.00, winner=red, r_win=23:2:25, win=110:7:113, time=71/19873
231: reward=94.04 vs 0.10, winner=red, r_win=24:2:24, win=111:7:113, time=102/19974
232: reward=0.00 vs 0.00, winner=draw, r_win=24:1:25, win=111:7:114, time=92/20066
233: reward=94.31 vs 0.00, winner=red, r_win=25:1:24, win=112:7:114, time=86/20152
234: reward=93.29 vs 0.00, winner=red, r_win=26:1:23, win=113:7:114, time=100/20253
235: reward=93.68 vs 0.00, winner=red, r_win=27:1:22, win=114:7:114, time=95/20348
236: reward=0.00 vs 0.00, winner=draw, r_win=26:1:23, win=114:7:115, time=57/20405
237: reward=0.00 vs 0.00, winner=draw, r_win=26:1:23, win=114:7:116, time=59/20464
238: reward=93.60 vs 0.00, winner=red, r_win=26:1:23, win=115:7:116, time=96/20560
239: reward=0.00 vs 0.00, winner=draw, r_win=26:1:23, win=115:7:117, time=49/20609
240: reward=0.00 vs 0.00, winner=draw, r_win=26:1:23, win=115:7:118, time=76/20686
241: reward=0.00 vs 0.00, winner=draw, r_win=25:1:24, win=115:7:119, time=93/20778
242: reward=0.00 vs 0.00, winner=draw, r_win=24:1:25, win=115:7:120, time=91/20869
243: reward=0.00 vs 0.00, winner=draw, r_win=23:1:26, win=115:7:121, time=71/20940
244: reward=92.67 vs 0.00, winner=red, r_win=23:1:26, win=116:7:121, time=109/21049
245: reward=0.00 vs 0.00, winner=draw, r_win=23:1:26, win=116:7:122, time=100/21150
246: reward=93.60 vs 0.00, winner=red, r_win=23:1:26, win=117:7:122, time=96/21246
