1: reward=0.00 vs 0.00, winner=draw, r_win=0:0:1, win=0:0:1, time=68/68
2: reward=0.00 vs 0.00, winner=draw, r_win=0:0:2, win=0:0:2, time=115/182
3: reward=0.00 vs 0.00, winner=draw, r_win=0:0:3, win=0:0:3, time=58/240
4: reward=0.00 vs 0.00, winner=draw, r_win=0:0:4, win=0:0:4, time=100/341
5: reward=93.60 vs 0.00, winner=red, r_win=1:0:4, win=1:0:4, time=96/437
6: reward=0.00 vs 0.00, winner=draw, r_win=1:0:5, win=1:0:5, time=94/531
7: reward=95.93 vs 0.00, winner=red, r_win=2:0:5, win=2:0:5, time=64/595
8: reward=94.79 vs 0.00, winner=red, r_win=3:0:5, win=3:0:5, time=80/675
9: reward=0.00 vs 0.00, winner=draw, r_win=3:0:6, win=3:0:6, time=66/741
10: reward=92.27 vs 0.00, winner=red, r_win=4:0:6, win=4:0:6, time=122/864
11: reward=96.26 vs 0.00, winner=red, r_win=5:0:6, win=5:0:6, time=66/930
12: reward=0.00 vs 0.00, winner=draw, r_win=5:0:7, win=5:0:7, time=63/993
13: reward=95.53 vs 0.00, winner=red, r_win=6:0:7, win=6:0:7, time=76/1070
14: reward=0.00 vs 0.00, winner=draw, r_win=6:0:8, win=6:0:8, time=52/1122
15: reward=95.53 vs 0.00, winner=red, r_win=7:0:8, win=7:0:8, time=76/1198
16: reward=0.00 vs 0.00, winner=draw, r_win=7:0:9, win=7:0:9, time=68/1266
17: reward=0.00 vs 0.00, winner=draw, r_win=7:0:10, win=7:0:10, time=59/1325
18: reward=0.00 vs 0.00, winner=draw, r_win=7:0:11, win=7:0:11, time=58/1383
19: reward=0.00 vs 0.00, winner=draw, r_win=7:0:12, win=7:0:12, time=65/1448
20: reward=94.89 vs 0.00, winner=red, r_win=8:0:12, win=8:0:12, time=85/1533
21: reward=95.29 vs 0.00, winner=red, r_win=9:0:12, win=9:0:12, time=80/1613
22: reward=93.06 vs 0.00, winner=red, r_win=10:0:12, win=10:0:12, time=104/1717
23: reward=95.45 vs 0.00, winner=red, r_win=11:0:12, win=11:0:12, time=77/1794
24: reward=0.00 vs 0.00, winner=draw, r_win=11:0:13, win=11:0:13, time=111/1906
25: reward=0.00 vs 0.00, winner=draw, r_win=11:0:14, win=11:0:14, time=103/2008
26: reward=95.05 vs 0.00, winner=red, r_win=12:0:14, win=12:0:14, time=83/2091
27: reward=93.44 vs 0.00, winner=red, r_win=13:0:14, win=13:0:14, time=98/2190
28: reward=0.00 vs 0.00, winner=draw, r_win=13:0:15, win=13:0:15, time=57/2247
29: reward=94.23 vs 0.00, winner=red, r_win=14:0:15, win=14:0:15, time=87/2334
30: reward=0.00 vs 0.00, winner=draw, r_win=14:0:16, win=14:0:16, time=73/2407
31: reward=94.79 vs 0.00, winner=red, r_win=15:0:16, win=15:0:16, time=80/2487
32: reward=0.00 vs 0.00, winner=draw, r_win=15:0:17, win=15:0:17, time=95/2582
33: reward=92.83 vs 0.00, winner=red, r_win=16:0:17, win=16:0:17, time=107/2689
34: reward=2.08 vs 91.65, winner=blue, r_win=16:1:17, win=16:1:17, time=113/2801
35: reward=93.29 vs 0.00, winner=red, r_win=17:1:17, win=17:1:17, time=100/2902
36: reward=95.45 vs 0.00, winner=red, r_win=18:1:17, win=18:1:17, time=77/2979
37: reward=0.00 vs 0.00, winner=draw, r_win=18:1:18, win=18:1:18, time=63/3042
38: reward=93.06 vs 0.00, winner=red, r_win=19:1:18, win=19:1:18, time=104/3146
39: reward=94.89 vs 0.00, winner=red, r_win=20:1:18, win=20:1:18, time=85/3231
40: reward=95.77 vs 0.00, winner=red, r_win=21:1:18, win=21:1:18, time=73/3304
41: reward=0.00 vs 0.00, winner=draw, r_win=21:1:19, win=21:1:19, time=106/3410
42: reward=92.27 vs 0.00, winner=red, r_win=22:1:19, win=22:1:19, time=122/3533
43: reward=93.13 vs 0.00, winner=red, r_win=23:1:19, win=23:1:19, time=103/3636
44: reward=95.21 vs 0.00, winner=red, r_win=24:1:19, win=24:1:19, time=81/3716
45: reward=0.00 vs 0.00, winner=draw, r_win=24:1:20, win=24:1:20, time=73/3789
