1: reward=96.63 vs 1.00, winner=red, r_win=1:0:0, win=1:0:0, time=56/56
2: reward=0.15 vs 1.50, winner=draw, r_win=1:0:1, win=1:0:1, time=108/164
3: reward=0.10 vs 1.00, winner=draw, r_win=1:0:2, win=1:0:2, time=49/214
4: reward=91.73 vs 1.50, winner=red, r_win=2:0:2, win=2:0:2, time=126/339
5: reward=93.73 vs 1.83, winner=red, r_win=3:0:2, win=3:0:2, time=97/437
6: reward=95.91 vs 1.00, winner=red, r_win=4:0:2, win=4:0:2, time=66/503
7: reward=93.08 vs 1.00, winner=red, r_win=5:0:2, win=5:0:2, time=105/608
8: reward=0.15 vs 95.96, winner=blue, r_win=5:1:2, win=5:1:2, time=76/684
9: reward=95.99 vs 1.00, winner=red, r_win=6:1:2, win=6:1:2, time=65/749
10: reward=0.15 vs 1.50, winner=draw, r_win=6:1:3, win=6:1:3, time=63/813
11: reward=95.78 vs 1.00, winner=red, r_win=7:1:3, win=7:1:3, time=69/881
12: reward=94.57 vs 1.50, winner=red, r_win=8:1:3, win=8:1:3, time=85/966
13: reward=0.15 vs 1.50, winner=draw, r_win=8:1:4, win=8:1:4, time=66/1033
14: reward=92.42 vs 2.18, winner=red, r_win=9:1:4, win=9:1:4, time=124/1156
15: reward=0.18 vs 1.83, winner=draw, r_win=9:1:5, win=9:1:5, time=77/1234
16: reward=0.15 vs 1.50, winner=draw, r_win=9:1:6, win=9:1:6, time=102/1335
17: reward=93.75 vs 1.50, winner=red, r_win=10:1:6, win=10:1:6, time=96/1431
18: reward=95.75 vs 1.00, winner=red, r_win=11:1:6, win=11:1:6, time=69/1500
19: reward=96.17 vs 1.00, winner=red, r_win=12:1:6, win=12:1:6, time=70/1570
20: reward=95.44 vs 1.50, winner=red, r_win=13:1:6, win=13:1:6, time=80/1649
21: reward=93.24 vs 1.50, winner=red, r_win=14:1:6, win=14:1:6, time=104/1753
22: reward=0.18 vs 1.83, winner=draw, r_win=14:1:7, win=14:1:7, time=96/1849
23: reward=93.34 vs 1.83, winner=red, r_win=15:1:7, win=15:1:7, time=103/1952
24: reward=0.10 vs 1.00, winner=draw, r_win=15:1:8, win=15:1:8, time=60/2012
25: reward=0.10 vs 1.00, winner=draw, r_win=15:1:9, win=15:1:9, time=50/2062
26: reward=92.90 vs 1.50, winner=red, r_win=16:1:9, win=16:1:9, time=108/2171
27: reward=94.21 vs 1.83, winner=red, r_win=17:1:9, win=17:1:9, time=97/2268
28: reward=92.78 vs 1.50, winner=red, r_win=18:1:9, win=18:1:9, time=110/2378
29: reward=0.21 vs 2.08, winner=draw, r_win=18:1:10, win=18:1:10, time=99/2478
30: reward=1.10 vs 1.00, winner=draw, r_win=18:1:11, win=18:1:11, time=63/2541
31: reward=0.10 vs 1.00, winner=draw, r_win=18:1:12, win=18:1:12, time=54/2595
32: reward=95.42 vs 1.50, winner=red, r_win=19:1:12, win=19:1:12, time=73/2668
33: reward=95.67 vs 1.00, winner=red, r_win=20:1:12, win=20:1:12, time=70/2738
34: reward=92.52 vs 1.00, winner=red, r_win=21:1:12, win=21:1:12, time=114/2851
35: reward=0.15 vs 1.50, winner=draw, r_win=21:1:13, win=21:1:13, time=111/2963
36: reward=95.99 vs 1.00, winner=red, r_win=22:1:13, win=22:1:13, time=65/3028
37: reward=0.10 vs 1.00, winner=draw, r_win=22:1:14, win=22:1:14, time=55/3083
38: reward=0.15 vs 1.50, winner=draw, r_win=22:1:15, win=22:1:15, time=62/3146
39: reward=0.15 vs 1.50, winner=draw, r_win=22:1:16, win=22:1:16, time=100/3246
40: reward=93.78 vs 1.83, winner=red, r_win=23:1:16, win=23:1:16, time=96/3342
41: reward=0.15 vs 1.50, winner=draw, r_win=23:1:17, win=23:1:17, time=91/3433
42: reward=0.10 vs 1.00, winner=draw, r_win=23:1:18, win=23:1:18, time=106/3539
43: reward=0.18 vs 1.83, winner=draw, r_win=23:1:19, win=23:1:19, time=82/3621
44: reward=0.15 vs 1.50, winner=draw, r_win=23:1:20, win=23:1:20, time=93/3713
45: reward=0.15 vs 1.50, winner=draw, r_win=23:1:21, win=23:1:21, time=69/3782
46: reward=93.84 vs 1.93, winner=red, r_win=24:1:21, win=24:1:21, time=103/3885
47: reward=0.10 vs 1.00, winner=draw, r_win=24:1:22, win=24:1:22, time=51/3936
48: reward=0.15 vs 1.50, winner=draw, r_win=24:1:23, win=24:1:23, time=62/3998
49: reward=0.15 vs 1.50, winner=draw, r_win=24:1:24, win=24:1:24, time=104/4102
50: reward=0.10 vs 1.00, winner=draw, r_win=24:1:25, win=24:1:25, time=57/4159
51: reward=0.10 vs 1.00, winner=draw, r_win=23:1:26, win=24:1:26, time=105/4264
52: reward=95.91 vs 1.00, winner=red, r_win=24:1:25, win=25:1:26, time=66/4330
53: reward=0.15 vs 1.83, winner=draw, r_win=24:1:25, win=25:1:27, time=75/4406
54: reward=0.15 vs 1.50, winner=draw, r_win=23:1:26, win=25:1:28, time=65/4471
55: reward=0.10 vs 1.00, winner=draw, r_win=22:1:27, win=25:1:29, time=56/4527
56: reward=93.83 vs 1.50, winner=red, r_win=22:1:27, win=26:1:29, time=95/4622
57: reward=0.15 vs 1.50, winner=draw, r_win=21:1:28, win=26:1:30, time=97/4719
58: reward=94.57 vs 1.50, winner=red, r_win=22:0:28, win=27:1:30, time=85/4804
59: reward=93.05 vs 1.50, winner=red, r_win=22:0:28, win=28:1:30, time=106/4910
60: reward=0.10 vs 1.00, winner=draw, r_win=22:0:28, win=28:1:31, time=65/4976
61: reward=0.15 vs 1.50, winner=draw, r_win=21:0:29, win=28:1:32, time=95/5071
62: reward=95.83 vs 1.00, winner=red, r_win=21:0:29, win=29:1:32, time=68/5138
63: reward=92.25 vs 1.50, winner=red, r_win=22:0:28, win=30:1:32, time=118/5256
64: reward=1.18 vs 1.93, winner=draw, r_win=21:0:29, win=30:1:33, time=87/5344
65: reward=94.86 vs 1.50, winner=red, r_win=22:0:28, win=31:1:33, time=81/5424
66: reward=96.20 vs 1.00, winner=red, r_win=23:0:27, win=32:1:33, time=69/5493
67: reward=94.81 vs 1.50, winner=red, r_win=23:0:27, win=33:1:33, time=82/5575
68: reward=0.10 vs 1.00, winner=draw, r_win=22:0:28, win=33:1:34, time=55/5630
69: reward=95.67 vs 1.00, winner=red, r_win=22:0:28, win=34:1:34, time=70/5700
70: reward=0.15 vs 1.50, winner=draw, r_win=21:0:29, win=34:1:35, time=97/5797
71: reward=95.75 vs 1.00, winner=red, r_win=21:0:29, win=35:1:35, time=69/5865
72: reward=92.02 vs 1.50, winner=red, r_win=22:0:28, win=36:1:35, time=121/5987
73: reward=93.91 vs 1.50, winner=red, r_win=22:0:28, win=37:1:35, time=94/6081
74: reward=95.75 vs 1.00, winner=red, r_win=23:0:27, win=38:1:35, time=69/6149
75: reward=0.15 vs 1.00, winner=draw, r_win=23:0:27, win=38:1:36, time=56/6205
76: reward=0.10 vs 1.00, winner=draw, r_win=22:0:28, win=38:1:37, time=59/6265
77: reward=93.47 vs 1.50, winner=red, r_win=22:0:28, win=39:1:37, time=100/6365
78: reward=95.83 vs 1.00, winner=red, r_win=22:0:28, win=40:1:37, time=68/6433
79: reward=92.48 vs 1.50, winner=red, r_win=23:0:27, win=41:1:37, time=115/6547
80: reward=0.10 vs 1.00, winner=draw, r_win=23:0:27, win=41:1:38, time=49/6597
81: reward=0.10 vs 1.00, winner=draw, r_win=23:0:27, win=41:1:39, time=58/6655
82: reward=93.65 vs 1.83, winner=red, r_win=23:0:27, win=42:1:39, time=98/6753
83: reward=91.81 vs 1.93, winner=red, r_win=23:0:27, win=43:1:39, time=132/6886
84: reward=96.48 vs 1.00, winner=red, r_win=23:0:27, win=44:1:39, time=58/6944
85: reward=0.10 vs 1.00, winner=draw, r_win=23:0:27, win=44:1:40, time=52/6996
86: reward=0.18 vs 1.83, winner=draw, r_win=22:0:28, win=44:1:41, time=77/7073
87: reward=0.15 vs 1.50, winner=draw, r_win=22:0:28, win=44:1:42, time=97/7171
88: reward=95.91 vs 1.00, winner=red, r_win=23:0:27, win=45:1:42, time=66/7237
89: reward=94.91 vs 1.50, winner=red, r_win=24:0:26, win=46:1:42, time=87/7324
90: reward=95.36 vs 1.50, winner=red, r_win=24:0:26, win=47:1:42, time=81/7405
91: reward=0.15 vs 1.50, winner=draw, r_win=24:0:26, win=47:1:43, time=98/7503
92: reward=0.10 vs 1.00, winner=draw, r_win=24:0:26, win=47:1:44, time=99/7603
93: reward=0.21 vs 2.08, winner=draw, r_win=24:0:26, win=47:1:45, time=100/7703
94: reward=94.25 vs 1.50, winner=red, r_win=25:0:25, win=48:1:45, time=89/7793
95: reward=95.26 vs 1.00, winner=red, r_win=26:0:24, win=49:1:45, time=75/7868
96: reward=96.86 vs 1.00, winner=red, r_win=26:0:24, win=50:1:45, time=53/7921
97: reward=1.71 vs 93.82, winner=blue, r_win=26:1:23, win=50:2:45, time=116/8037
98: reward=1.18 vs 1.83, winner=draw, r_win=26:1:23, win=50:2:46, time=92/8129
99: reward=93.86 vs 1.50, winner=red, r_win=27:1:22, win=51:2:46, time=95/8224
100: reward=0.15 vs 1.50, winner=draw, r_win=27:1:22, win=51:2:47, time=99/8323
101: reward=0.15 vs 1.50, winner=draw, r_win=27:1:22, win=51:2:48, time=98/8421
102: reward=0.10 vs 1.00, winner=draw, r_win=26:1:23, win=51:2:49, time=53/8475
103: reward=0.18 vs 1.83, winner=draw, r_win=26:1:23, win=51:2:50, time=87/8562
104: reward=0.10 vs 1.00, winner=draw, r_win=26:1:23, win=51:2:51, time=50/8612
105: reward=0.10 vs 1.00, winner=draw, r_win=26:1:23, win=51:2:52, time=98/8710
106: reward=0.15 vs 1.50, winner=draw, r_win=25:1:24, win=51:2:53, time=77/8788
107: reward=0.15 vs 1.50, winner=draw, r_win=25:1:24, win=51:2:54, time=61/8849
