1: reward=-33.83 vs 92.53, winner=blue, r_win=0:1:0, win=0:1:0, time=107/107
2: reward=-34.50 vs 91.79, winner=blue, r_win=0:2:0, win=0:2:0, time=119/226
3: reward=-34.41 vs 91.57, winner=blue, r_win=0:3:0, win=0:3:0, time=122/349
4: reward=-36.48 vs 92.69, winner=blue, r_win=0:4:0, win=0:4:0, time=124/472
5: reward=-10.60 vs -10.60, winner=draw, r_win=0:4:1, win=0:4:1, time=521/993
6: reward=-37.52 vs 94.55, winner=blue, r_win=0:5:1, win=0:5:1, time=83/1076
7: reward=-8.85 vs -9.95, winner=draw, r_win=0:5:2, win=0:5:2, time=820/1896
8: reward=-37.84 vs 96.11, winner=blue, r_win=0:6:2, win=0:6:2, time=75/1971
9: reward=-32.95 vs 89.58, winner=blue, r_win=0:7:2, win=0:7:2, time=136/2106
10: reward=-36.11 vs 93.42, winner=blue, r_win=0:8:2, win=0:8:2, time=97/2204
11: reward=-34.85 vs 91.77, winner=blue, r_win=0:9:2, win=0:9:2, time=151/2355
12: reward=-32.25 vs 88.58, winner=blue, r_win=0:10:2, win=0:10:2, time=166/2521
13: reward=-33.65 vs 92.07, winner=blue, r_win=0:11:2, win=0:11:2, time=114/2635
14: reward=-12.90 vs -14.00, winner=draw, r_win=0:11:3, win=0:11:3, time=249/2884
15: reward=-37.94 vs 96.35, winner=blue, r_win=0:12:3, win=0:12:3, time=72/2956
16: reward=-10.79 vs -11.89, winner=draw, r_win=0:12:4, win=0:12:4, time=481/3436
17: reward=-10.34 vs -13.64, winner=draw, r_win=0:12:5, win=0:12:5, time=515/3951
18: reward=90.29 vs -32.03, winner=red, r_win=1:12:5, win=1:12:5, time=187/4138
19: reward=-33.20 vs 90.95, winner=blue, r_win=1:13:5, win=1:13:5, time=130/4269
20: reward=-37.56 vs 95.39, winner=blue, r_win=1:14:5, win=1:14:5, time=85/4354
21: reward=-37.49 vs 95.23, winner=blue, r_win=1:15:5, win=1:15:5, time=87/4441
22: reward=-33.91 vs 90.32, winner=blue, r_win=1:16:5, win=1:16:5, time=141/4582
23: reward=-36.36 vs 92.39, winner=blue, r_win=1:17:5, win=1:17:5, time=128/4710
24: reward=-37.81 vs 96.03, winner=blue, r_win=1:18:5, win=1:18:5, time=76/4787
25: reward=-33.52 vs 90.99, winner=blue, r_win=1:19:5, win=1:19:5, time=115/4901
26: reward=-37.91 vs 96.27, winner=blue, r_win=1:20:5, win=1:20:5, time=73/4974
27: reward=-37.65 vs 95.63, winner=blue, r_win=1:21:5, win=1:21:5, time=82/5056
28: reward=70.18 vs -24.95, winner=red, r_win=2:21:5, win=2:21:5, time=670/5726
29: reward=-13.46 vs -15.66, winner=draw, r_win=2:21:6, win=2:21:6, time=192/5918
30: reward=-37.00 vs 95.66, winner=blue, r_win=2:22:6, win=2:22:6, time=66/5984
31: reward=-32.55 vs 88.57, winner=blue, r_win=2:23:6, win=2:23:6, time=151/6135
32: reward=-9.54 vs -12.84, winner=draw, r_win=2:23:7, win=2:23:7, time=641/6776
33: reward=-36.92 vs 93.06, winner=blue, r_win=2:24:7, win=2:24:7, time=104/6879
34: reward=-8.80 vs -9.90, winner=draw, r_win=2:24:8, win=2:24:8, time=832/7711
35: reward=-35.42 vs 94.11, winner=blue, r_win=2:25:8, win=2:25:8, time=86/7797
36: reward=-11.88 vs -12.98, winner=draw, r_win=2:25:9, win=2:25:9, time=350/8147
37: reward=-36.08 vs 93.34, winner=blue, r_win=2:26:9, win=2:26:9, time=98/8245
38: reward=-36.27 vs 93.81, winner=blue, r_win=2:27:9, win=2:27:9, time=92/8337
39: reward=-37.02 vs 93.29, winner=blue, r_win=2:28:9, win=2:28:9, time=100/8437
40: reward=-36.52 vs 94.45, winner=blue, r_win=2:29:9, win=2:29:9, time=83/8520
41: reward=-9.00 vs -10.10, winner=draw, r_win=2:29:10, win=2:29:10, time=785/9305
42: reward=-38.00 vs 95.76, winner=blue, r_win=2:30:10, win=2:30:10, time=66/9371
43: reward=-38.10 vs 96.76, winner=blue, r_win=2:31:10, win=2:31:10, time=66/9438
44: reward=-37.37 vs 94.91, winner=blue, r_win=2:32:10, win=2:32:10, time=92/9529
45: reward=-12.85 vs -15.05, winner=draw, r_win=2:32:11, win=2:32:11, time=245/9774
46: reward=-13.26 vs -13.26, winner=draw, r_win=2:32:12, win=2:32:12, time=226/10000
