1: reward=-11.60 vs -11.60, winner=draw, r_win=0:0:1, win=0:0:1, time=393/393
2: reward=-35.05 vs 90.78, winner=blue, r_win=0:1:1, win=0:1:1, time=136/528
3: reward=-34.43 vs 90.87, winner=blue, r_win=0:2:1, win=0:2:1, time=118/646
4: reward=-32.55 vs 88.57, winner=blue, r_win=0:3:1, win=0:3:1, time=151/798
5: reward=-35.89 vs 92.88, winner=blue, r_win=0:4:1, win=0:4:1, time=105/902
6: reward=-34.67 vs 91.47, winner=blue, r_win=0:5:1, win=0:5:1, time=109/1012
7: reward=-33.01 vs 89.73, winner=blue, r_win=0:6:1, win=0:6:1, time=133/1145
8: reward=-34.62 vs 89.70, winner=blue, r_win=0:7:1, win=0:7:1, time=152/1297
9: reward=-34.92 vs 92.09, winner=blue, r_win=0:8:1, win=0:8:1, time=100/1398
10: reward=-36.05 vs 93.27, winner=blue, r_win=0:9:1, win=0:9:1, time=99/1497
11: reward=-36.20 vs 93.66, winner=blue, r_win=0:10:1, win=0:10:1, time=94/1591
12: reward=-34.46 vs 90.94, winner=blue, r_win=0:11:1, win=0:11:1, time=117/1708
13: reward=-33.47 vs 91.62, winner=blue, r_win=0:12:1, win=0:12:1, time=120/1828
14: reward=-34.70 vs 91.55, winner=blue, r_win=0:13:1, win=0:13:1, time=108/1937
15: reward=-34.52 vs 91.09, winner=blue, r_win=0:14:1, win=0:14:1, time=115/2051
16: reward=-34.92 vs 92.86, winner=blue, r_win=0:15:1, win=0:15:1, time=104/2155
17: reward=-34.66 vs 92.94, winner=blue, r_win=0:16:1, win=0:16:1, time=117/2272
18: reward=-33.10 vs 89.95, winner=blue, r_win=0:17:1, win=0:17:1, time=130/2402
19: reward=-11.24 vs -13.44, winner=draw, r_win=0:17:2, win=0:17:2, time=412/2814
20: reward=-35.74 vs 92.50, winner=blue, r_win=0:18:2, win=0:18:2, time=110/2925
21: reward=-34.23 vs 91.12, winner=blue, r_win=0:19:2, win=0:19:2, time=129/3054
22: reward=-32.67 vs 91.27, winner=blue, r_win=0:20:2, win=0:20:2, time=109/3163
23: reward=-34.85 vs 90.27, winner=blue, r_win=0:21:2, win=0:21:2, time=143/3306
24: reward=-37.05 vs 94.13, winner=blue, r_win=0:22:2, win=0:22:2, time=103/3409
25: reward=-35.26 vs 92.95, winner=blue, r_win=0:23:2, win=0:23:2, time=88/3497
26: reward=-32.66 vs 88.85, winner=blue, r_win=0:24:2, win=0:24:2, time=147/3644
