1: reward=-34.25 vs 89.62, winner=blue, r_win=0:1:0, win=0:1:0, time=125/125
2: reward=-31.84 vs 87.59, winner=blue, r_win=0:2:0, win=0:2:0, time=140/265
3: reward=-36.02 vs 91.79, winner=blue, r_win=0:3:0, win=0:3:0, time=115/380
4: reward=-35.20 vs 91.99, winner=blue, r_win=0:4:0, win=0:4:0, time=91/470
5: reward=-33.40 vs 89.49, winner=blue, r_win=0:5:0, win=0:5:0, time=119/589
6: reward=-35.64 vs 91.10, winner=blue, r_win=0:6:0, win=0:6:0, time=110/700
7: reward=-29.85 vs 86.37, winner=blue, r_win=0:7:0, win=0:7:0, time=159/859
8: reward=-35.99 vs 91.72, winner=blue, r_win=0:8:0, win=0:8:0, time=116/974
9: reward=-34.28 vs 89.69, winner=blue, r_win=0:9:0, win=0:9:0, time=124/1098
10: reward=-32.31 vs 88.77, winner=blue, r_win=0:10:0, win=0:10:0, time=122/1221
11: reward=-33.19 vs 88.97, winner=blue, r_win=0:11:0, win=0:11:0, time=127/1347
12: reward=-35.48 vs 92.44, winner=blue, r_win=0:12:0, win=0:12:0, time=98/1446
13: reward=-37.02 vs 92.29, winner=blue, r_win=0:13:0, win=0:13:0, time=115/1561
14: reward=-32.85 vs 87.87, winner=blue, r_win=0:14:0, win=0:14:0, time=159/1719
15: reward=-36.89 vs 93.97, winner=blue, r_win=0:15:0, win=0:15:0, time=84/1803
16: reward=-35.52 vs 90.79, winner=blue, r_win=0:16:0, win=0:16:0, time=115/1918
17: reward=-34.31 vs 89.77, winner=blue, r_win=0:17:0, win=0:17:0, time=122/2041
18: reward=-35.75 vs 91.12, winner=blue, r_win=0:18:0, win=0:18:0, time=125/2165
19: reward=-33.10 vs 88.75, winner=blue, r_win=0:19:0, win=0:19:0, time=130/2296
20: reward=-35.26 vs 92.15, winner=blue, r_win=0:20:0, win=0:20:0, time=88/2384
21: reward=-34.98 vs 91.44, winner=blue, r_win=0:21:0, win=0:21:0, time=98/2482
22: reward=-34.19 vs 89.23, winner=blue, r_win=0:22:0, win=0:22:0, time=146/2628
23: reward=-34.79 vs 90.98, winner=blue, r_win=0:23:0, win=0:23:0, time=105/2733
24: reward=-36.17 vs 92.17, winner=blue, r_win=0:24:0, win=0:24:0, time=109/2842
25: reward=-34.22 vs 89.54, winner=blue, r_win=0:25:0, win=0:25:0, time=126/2968
26: reward=-32.25 vs 88.62, winner=blue, r_win=0:26:0, win=0:26:0, time=125/3093
27: reward=-34.82 vs 91.06, winner=blue, r_win=0:27:0, win=0:27:0, time=104/3196
28: reward=-36.63 vs 93.34, winner=blue, r_win=0:28:0, win=0:28:0, time=93/3289
29: reward=-36.45 vs 92.38, winner=blue, r_win=0:29:0, win=0:29:0, time=136/3425
30: reward=-35.90 vs 91.49, winner=blue, r_win=0:30:0, win=0:30:0, time=119/3544
31: reward=-34.07 vs 89.17, winner=blue, r_win=0:31:0, win=0:31:0, time=131/3675
32: reward=-38.29 vs 95.23, winner=blue, r_win=0:32:0, win=0:32:0, time=87/3763
33: reward=-34.08 vs 88.94, winner=blue, r_win=0:33:0, win=0:33:0, time=150/3913
34: reward=-31.02 vs 87.30, winner=blue, r_win=0:34:0, win=0:34:0, time=152/4065
35: reward=-32.98 vs 88.45, winner=blue, r_win=0:35:0, win=0:35:0, time=135/4199
36: reward=-34.52 vs 90.29, winner=blue, r_win=0:36:0, win=0:36:0, time=115/4314
37: reward=-32.30 vs 86.49, winner=blue, r_win=0:37:0, win=0:37:0, time=181/4495
38: reward=-31.99 vs 87.73, winner=blue, r_win=0:38:0, win=0:38:0, time=153/4648
39: reward=-36.58 vs 90.94, winner=blue, r_win=0:39:0, win=0:39:0, time=150/4798
40: reward=-34.87 vs 90.92, winner=blue, r_win=0:40:0, win=0:40:0, time=120/4919
41: reward=-34.48 vs 89.95, winner=blue, r_win=0:41:0, win=0:41:0, time=135/5053
42: reward=-36.76 vs 93.40, winner=blue, r_win=0:42:0, win=0:42:0, time=106/5159
43: reward=-34.93 vs 91.07, winner=blue, r_win=0:43:0, win=0:43:0, time=118/5277
44: reward=-33.93 vs 88.58, winner=blue, r_win=0:44:0, win=0:44:0, time=155/5433
45: reward=-36.32 vs 92.56, winner=blue, r_win=0:45:0, win=0:45:0, time=104/5537
46: reward=-38.13 vs 94.84, winner=blue, r_win=0:46:0, win=0:46:0, time=93/5629
47: reward=-35.85 vs 91.63, winner=blue, r_win=0:47:0, win=0:47:0, time=103/5732
48: reward=-37.55 vs 93.37, winner=blue, r_win=0:48:0, win=0:48:0, time=114/5846
49: reward=-36.02 vs 91.79, winner=blue, r_win=0:49:0, win=0:49:0, time=115/5961
50: reward=-36.79 vs 93.73, winner=blue, r_win=0:50:0, win=0:50:0, time=87/6048
51: reward=-32.25 vs 88.37, winner=blue, r_win=0:50:0, win=0:51:0, time=143/6191
52: reward=-34.92 vs 91.29, winner=blue, r_win=0:50:0, win=0:52:0, time=100/6292
53: reward=-34.31 vs 89.77, winner=blue, r_win=0:50:0, win=0:53:0, time=122/6414
54: reward=-33.48 vs 89.45, winner=blue, r_win=0:50:0, win=0:54:0, time=135/6549
