1: reward=-37.00 vs 93.75, winner=blue, r_win=0:1:0, win=0:1:0, time=387/387
2: reward=-39.07 vs 95.67, winner=blue, r_win=0:2:0, win=0:2:0, time=475/861
3: reward=80.23 vs -23.29, winner=red, r_win=1:2:0, win=1:2:0, time=202/1063
4: reward=-38.66 vs 95.40, winner=blue, r_win=1:3:0, win=1:3:0, time=251/1314
5: reward=-38.83 vs 95.56, winner=blue, r_win=1:4:0, win=1:4:0, time=267/1581
6: reward=-21.93 vs 3.57, winner=draw, r_win=1:4:1, win=1:4:1, time=367/1947
7: reward=-31.64 vs 88.11, winner=blue, r_win=1:5:1, win=1:5:1, time=325/2272
8: reward=-34.79 vs 95.23, winner=blue, r_win=1:6:1, win=1:6:1, time=399/2671
9: reward=-38.11 vs 93.78, winner=blue, r_win=1:7:1, win=1:7:1, time=472/3142
10: reward=-37.12 vs 93.06, winner=blue, r_win=1:8:1, win=1:8:1, time=326/3468
11: reward=-31.61 vs 92.78, winner=blue, r_win=1:9:1, win=1:9:1, time=472/3939
12: reward=-34.93 vs 93.33, winner=blue, r_win=1:10:1, win=1:10:1, time=484/4423
13: reward=-39.78 vs 96.95, winner=blue, r_win=1:11:1, win=1:11:1, time=318/4741
14: reward=-37.87 vs 92.18, winner=blue, r_win=1:12:1, win=1:12:1, time=424/5164
15: reward=-36.88 vs 91.94, winner=blue, r_win=1:13:1, win=1:13:1, time=241/5405
16: reward=-40.49 vs 98.48, winner=blue, r_win=1:14:1, win=1:14:1, time=480/5885
17: reward=-40.28 vs 96.20, winner=blue, r_win=1:15:1, win=1:15:1, time=344/6229
18: reward=-24.08 vs 8.92, winner=draw, r_win=1:15:2, win=1:15:2, time=469/6697
19: reward=-36.92 vs 90.30, winner=blue, r_win=1:16:2, win=1:16:2, time=421/7118
20: reward=70.73 vs -14.09, winner=red, r_win=2:16:2, win=2:16:2, time=354/7471
21: reward=-41.56 vs 100.14, winner=blue, r_win=2:17:2, win=2:17:2, time=356/7827
22: reward=-36.91 vs 91.03, winner=blue, r_win=2:18:2, win=2:18:2, time=337/8164
