1: reward=-9.63 vs -9.63, winner=draw, r_win=0:0:1, win=0:0:1, time=678/678
2: reward=-30.26 vs 90.94, winner=blue, r_win=0:1:1, win=0:1:1, time=367/1044
3: reward=-30.84 vs 90.30, winner=blue, r_win=0:2:1, win=0:2:1, time=257/1301
4: reward=-33.53 vs 91.61, winner=blue, r_win=0:3:1, win=0:3:1, time=168/1468
5: reward=-34.00 vs 92.81, winner=blue, r_win=0:4:1, win=0:4:1, time=149/1617
6: reward=-32.12 vs 90.49, winner=blue, r_win=0:5:1, win=0:5:1, time=184/1801
7: reward=-29.99 vs 82.76, winner=blue, r_win=0:6:1, win=0:6:1, time=328/2129
8: reward=-31.95 vs 90.09, winner=blue, r_win=0:7:1, win=0:7:1, time=191/2320
9: reward=76.30 vs -17.74, winner=red, r_win=1:7:1, win=1:7:1, time=379/2698
10: reward=-34.98 vs 92.84, winner=blue, r_win=1:8:1, win=1:8:1, time=150/2848
11: reward=-32.69 vs 89.53, winner=blue, r_win=1:9:1, win=1:9:1, time=202/3050
12: reward=-33.67 vs 91.96, winner=blue, r_win=1:10:1, win=1:10:1, time=162/3212
13: reward=-33.47 vs 91.48, winner=blue, r_win=1:11:1, win=1:11:1, time=170/3382
14: reward=-32.72 vs 89.59, winner=blue, r_win=1:12:1, win=1:12:1, time=201/3583
15: reward=-32.67 vs 91.86, winner=blue, r_win=1:13:1, win=1:13:1, time=162/3745
16: reward=-32.17 vs 90.62, winner=blue, r_win=1:14:1, win=1:14:1, time=182/3927
17: reward=-34.22 vs 90.96, winner=blue, r_win=1:15:1, win=1:15:1, time=180/4106
18: reward=-32.31 vs 90.96, winner=blue, r_win=1:16:1, win=1:16:1, time=176/4283
19: reward=-33.36 vs 91.20, winner=blue, r_win=1:17:1, win=1:17:1, time=174/4457
20: reward=-32.47 vs 91.38, winner=blue, r_win=1:18:1, win=1:18:1, time=170/4627
21: reward=-34.03 vs 92.88, winner=blue, r_win=1:19:1, win=1:19:1, time=148/4774
22: reward=-31.48 vs 88.91, winner=blue, r_win=1:20:1, win=1:20:1, time=210/4985
23: reward=-31.94 vs 91.25, winner=blue, r_win=1:21:1, win=1:21:1, time=320/5305
24: reward=-35.29 vs 93.63, winner=blue, r_win=1:22:1, win=1:22:1, time=138/5442
25: reward=-35.53 vs 94.22, winner=blue, r_win=1:23:1, win=1:23:1, time=129/5572
26: reward=-11.36 vs 7.34, winner=draw, r_win=1:23:2, win=1:23:2, time=673/6244
27: reward=-31.77 vs 89.62, winner=blue, r_win=1:24:2, win=1:24:2, time=198/6443
28: reward=-33.90 vs 90.15, winner=blue, r_win=1:25:2, win=1:25:2, time=193/6635
29: reward=-12.07 vs 11.03, winner=draw, r_win=1:25:3, win=1:25:3, time=618/7253
30: reward=-30.17 vs 87.87, winner=blue, r_win=1:26:3, win=1:26:3, time=284/7537
31: reward=-11.64 vs 0.46, winner=draw, r_win=1:26:4, win=1:26:4, time=529/8065
32: reward=-35.00 vs 92.91, winner=blue, r_win=1:27:4, win=1:27:4, time=149/8214
33: reward=-11.16 vs 6.44, winner=draw, r_win=1:27:5, win=1:27:5, time=691/8905
34: reward=-34.42 vs 91.44, winner=blue, r_win=1:28:5, win=1:28:5, time=172/9077
35: reward=-31.25 vs 88.33, winner=blue, r_win=1:29:5, win=1:29:5, time=220/9297
36: reward=-30.06 vs 92.86, winner=blue, r_win=1:30:5, win=1:30:5, time=324/9621
37: reward=-31.72 vs 89.49, winner=blue, r_win=1:31:5, win=1:31:5, time=201/9821
38: reward=-34.64 vs 91.99, winner=blue, r_win=1:32:5, win=1:32:5, time=163/9985
39: reward=-33.24 vs 93.29, winner=blue, r_win=1:33:5, win=1:33:5, time=140/10125
40: reward=-31.61 vs 89.23, winner=blue, r_win=1:34:5, win=1:34:5, time=205/10330
41: reward=-32.44 vs 91.31, winner=blue, r_win=1:35:5, win=1:35:5, time=171/10501
42: reward=-35.00 vs 92.91, winner=blue, r_win=1:36:5, win=1:36:5, time=149/10649
43: reward=-13.40 vs -13.40, winner=draw, r_win=1:36:6, win=1:36:6, time=214/10863
44: reward=67.88 vs 4.77, winner=red, r_win=2:36:6, win=2:36:6, time=645/11508
45: reward=-33.55 vs 91.68, winner=blue, r_win=2:37:6, win=2:37:6, time=166/11674
46: reward=-31.66 vs 89.36, winner=blue, r_win=2:38:6, win=2:38:6, time=203/11877
47: reward=-32.55 vs 92.18, winner=blue, r_win=2:39:6, win=2:39:6, time=225/12102
48: reward=-32.68 vs 92.49, winner=blue, r_win=2:40:6, win=2:40:6, time=219/12321
49: reward=-32.86 vs 92.80, winner=blue, r_win=2:41:6, win=2:41:6, time=270/12591
50: reward=-31.82 vs 89.75, winner=blue, r_win=2:42:6, win=2:42:6, time=196/12787
51: reward=-33.03 vs 90.39, winner=blue, r_win=2:43:5, win=2:43:6, time=187/12974
52: reward=-32.69 vs 91.93, winner=blue, r_win=2:43:5, win=2:44:6, time=161/13135
53: reward=-33.86 vs 92.46, winner=blue, r_win=2:43:5, win=2:45:6, time=154/13290
54: reward=-33.90 vs 90.15, winner=blue, r_win=2:43:5, win=2:46:6, time=193/13483
55: reward=-12.22 vs -7.82, winner=draw, r_win=2:42:6, win=2:46:7, time=368/13850
56: reward=-30.34 vs 83.50, winner=blue, r_win=2:42:6, win=2:47:7, time=379/14229
57: reward=-32.36 vs 91.10, winner=blue, r_win=2:42:6, win=2:48:7, time=174/14403
58: reward=-35.26 vs 93.56, winner=blue, r_win=2:42:6, win=2:49:7, time=139/14542
59: reward=-34.61 vs 91.92, winner=blue, r_win=1:43:6, win=2:50:7, time=164/14706
