1: reward=-37.24 vs 93.60, winner=blue, r_win=0:1:0, win=0:1:0, time=295/295
2: reward=-35.95 vs 92.89, winner=blue, r_win=0:2:0, win=0:2:0, time=419/713
3: reward=-43.75 vs 102.88, winner=blue, r_win=0:3:0, win=0:3:0, time=569/1282
4: reward=-24.83 vs 2.17, winner=draw, r_win=0:3:1, win=0:3:1, time=324/1605
5: reward=-32.09 vs 88.96, winner=blue, r_win=0:4:1, win=0:4:1, time=328/1933
6: reward=-39.04 vs 94.84, winner=blue, r_win=0:5:1, win=0:5:1, time=385/2318
7: reward=71.61 vs -16.74, winner=red, r_win=1:5:1, win=1:5:1, time=346/2663
8: reward=69.91 vs -14.47, winner=red, r_win=2:5:1, win=2:5:1, time=361/3024
9: reward=-23.63 vs 6.37, winner=draw, r_win=2:5:2, win=2:5:2, time=463/3486
10: reward=-38.07 vs 93.41, winner=blue, r_win=2:6:2, win=2:6:2, time=329/3815
11: reward=-38.02 vs 94.05, winner=blue, r_win=2:7:2, win=2:7:2, time=258/4073
12: reward=-37.90 vs 91.50, winner=blue, r_win=2:8:2, win=2:8:2, time=521/4593
13: reward=-34.44 vs 90.85, winner=blue, r_win=2:9:2, win=2:9:2, time=310/4903
14: reward=-34.57 vs 91.43, winner=blue, r_win=2:10:2, win=2:10:2, time=279/5181
15: reward=-40.38 vs 95.95, winner=blue, r_win=2:11:2, win=2:11:2, time=394/5575
16: reward=-42.37 vs 101.93, winner=blue, r_win=2:12:2, win=2:12:2, time=523/6098
17: reward=-22.85 vs 5.65, winner=draw, r_win=2:12:3, win=2:12:3, time=500/6597
18: reward=68.10 vs -11.34, winner=red, r_win=3:12:3, win=3:12:3, time=368/6965
19: reward=-32.16 vs 92.40, winner=blue, r_win=3:13:3, win=3:13:3, time=469/7433
20: reward=-34.14 vs 90.11, winner=blue, r_win=3:14:3, win=3:14:3, time=325/7758
21: reward=-35.69 vs 95.74, winner=blue, r_win=3:15:3, win=3:15:3, time=376/8134
22: reward=66.47 vs -9.19, winner=red, r_win=4:15:3, win=4:15:3, time=405/8538
23: reward=-34.69 vs 92.98, winner=blue, r_win=4:16:3, win=4:16:3, time=704/9242
24: reward=-44.64 vs 105.36, winner=blue, r_win=4:17:3, win=4:17:3, time=470/9711
25: reward=-39.66 vs 95.90, winner=blue, r_win=4:18:3, win=4:18:3, time=251/9963
26: reward=-42.39 vs 102.22, winner=blue, r_win=4:19:3, win=4:19:3, time=487/10449
27: reward=-39.21 vs 96.78, winner=blue, r_win=4:20:3, win=4:20:3, time=375/10824
28: reward=-37.70 vs 93.24, winner=blue, r_win=4:21:3, win=4:21:3, time=273/11096
29: reward=-35.60 vs 91.75, winner=blue, r_win=4:22:3, win=4:22:3, time=302/11398
