1: reward=-30.80 vs 86.49, winner=blue, r_win=0:1:0, win=0:1:0, time=181/181
2: reward=-38.32 vs 95.31, winner=blue, r_win=0:2:0, win=0:2:0, time=86/267
3: reward=-38.68 vs 96.19, winner=blue, r_win=0:3:0, win=0:3:0, time=74/341
4: reward=-38.77 vs 96.43, winner=blue, r_win=0:4:0, win=0:4:0, time=71/412
5: reward=-38.17 vs 94.91, winner=blue, r_win=0:5:0, win=0:5:0, time=92/504
6: reward=-34.42 vs 91.31, winner=blue, r_win=0:6:0, win=0:6:0, time=137/640
7: reward=-30.52 vs 86.04, winner=blue, r_win=0:7:0, win=0:7:0, time=172/812
8: reward=-37.55 vs 93.37, winner=blue, r_win=0:8:0, win=0:8:0, time=114/926
9: reward=-38.97 vs 96.93, winner=blue, r_win=0:9:0, win=0:9:0, time=64/990
10: reward=-27.63 vs 84.81, winner=blue, r_win=0:10:0, win=0:10:0, time=168/1158
11: reward=-37.55 vs 93.37, winner=blue, r_win=0:11:0, win=0:11:0, time=114/1272
12: reward=-35.98 vs 93.44, winner=blue, r_win=0:12:0, win=0:12:0, time=98/1370
13: reward=-37.32 vs 94.56, winner=blue, r_win=0:13:0, win=0:13:0, time=104/1474
14: reward=-37.67 vs 93.67, winner=blue, r_win=0:14:0, win=0:14:0, time=109/1583
15: reward=-23.54 vs 78.60, winner=blue, r_win=0:15:0, win=0:15:0, time=257/1840
16: reward=-35.13 vs 91.32, winner=blue, r_win=0:16:0, win=0:16:0, time=129/1969
17: reward=-38.90 vs 96.76, winner=blue, r_win=0:17:0, win=0:17:0, time=66/2035
18: reward=-37.38 vs 93.21, winner=blue, r_win=0:18:0, win=0:18:0, time=102/2137
19: reward=-38.61 vs 96.03, winner=blue, r_win=0:19:0, win=0:19:0, time=76/2213
20: reward=-36.87 vs 93.42, winner=blue, r_win=0:20:0, win=0:20:0, time=120/2333
21: reward=-37.01 vs 94.02, winner=blue, r_win=0:21:0, win=0:21:0, time=97/2430
22: reward=-37.76 vs 93.90, winner=blue, r_win=0:22:0, win=0:22:0, time=106/2536
23: reward=-36.29 vs 92.73, winner=blue, r_win=0:23:0, win=0:23:0, time=202/2738
24: reward=-34.75 vs 92.12, winner=blue, r_win=0:24:0, win=0:24:0, time=125/2863
25: reward=-38.48 vs 95.71, winner=blue, r_win=0:25:0, win=0:25:0, time=81/2944
26: reward=-37.37 vs 92.92, winner=blue, r_win=0:26:0, win=0:26:0, time=120/3064
27: reward=-31.95 vs 89.38, winner=blue, r_win=0:27:0, win=0:27:0, time=136/3200
28: reward=-38.61 vs 96.03, winner=blue, r_win=0:28:0, win=0:28:0, time=76/3276
29: reward=-38.74 vs 96.35, winner=blue, r_win=0:29:0, win=0:29:0, time=72/3348
30: reward=-36.10 vs 93.25, winner=blue, r_win=0:30:0, win=0:30:0, time=130/3478
31: reward=-37.98 vs 94.44, winner=blue, r_win=0:31:0, win=0:31:0, time=98/3576
32: reward=-33.66 vs 89.65, winner=blue, r_win=0:32:0, win=0:32:0, time=147/3723
33: reward=-29.10 vs 86.51, winner=blue, r_win=0:33:0, win=0:33:0, time=149/3872
34: reward=-34.88 vs 91.19, winner=blue, r_win=0:34:0, win=0:34:0, time=219/4091
35: reward=-37.31 vs 92.77, winner=blue, r_win=0:35:0, win=0:35:0, time=122/4214
36: reward=-35.52 vs 92.29, winner=blue, r_win=0:36:0, win=0:36:0, time=115/4328
37: reward=-38.84 vs 96.60, winner=blue, r_win=0:37:0, win=0:37:0, time=69/4397
38: reward=-38.81 vs 96.52, winner=blue, r_win=0:38:0, win=0:38:0, time=70/4467
39: reward=-38.90 vs 96.76, winner=blue, r_win=0:39:0, win=0:39:0, time=66/4533
40: reward=-37.79 vs 93.98, winner=blue, r_win=0:40:0, win=0:40:0, time=105/4638
41: reward=-38.94 vs 96.84, winner=blue, r_win=0:41:0, win=0:41:0, time=65/4703
42: reward=-38.77 vs 96.43, winner=blue, r_win=0:42:0, win=0:42:0, time=71/4774
43: reward=-37.70 vs 93.75, winner=blue, r_win=0:43:0, win=0:43:0, time=108/4882
44: reward=-37.48 vs 94.94, winner=blue, r_win=0:44:0, win=0:44:0, time=98/4981
45: reward=-37.18 vs 94.69, winner=blue, r_win=0:45:0, win=0:45:0, time=74/5055
46: reward=-37.96 vs 94.90, winner=blue, r_win=0:46:0, win=0:46:0, time=174/5229
47: reward=-35.60 vs 92.25, winner=blue, r_win=0:47:0, win=0:47:0, time=130/5359
48: reward=-34.60 vs 90.01, winner=blue, r_win=0:48:0, win=0:48:0, time=149/5508
49: reward=-38.37 vs 95.68, winner=blue, r_win=0:49:0, win=0:49:0, time=68/5576
50: reward=-31.84 vs 89.09, winner=blue, r_win=0:50:0, win=0:50:0, time=140/5716
51: reward=-36.55 vs 93.39, winner=blue, r_win=0:50:0, win=0:51:0, time=191/5906
52: reward=-38.58 vs 95.95, winner=blue, r_win=0:50:0, win=0:52:0, time=77/5984
53: reward=-37.20 vs 94.25, winner=blue, r_win=0:50:0, win=0:53:0, time=108/6092
54: reward=-33.56 vs 88.64, winner=blue, r_win=0:50:0, win=0:54:0, time=212/6304
55: reward=-38.71 vs 96.27, winner=blue, r_win=0:50:0, win=0:55:0, time=73/6377
56: reward=-37.58 vs 93.44, winner=blue, r_win=0:50:0, win=0:56:0, time=113/6489
57: reward=-26.63 vs 84.31, winner=blue, r_win=0:50:0, win=0:57:0, time=168/6657
58: reward=-38.90 vs 96.76, winner=blue, r_win=0:50:0, win=0:58:0, time=66/6723
