1: reward=-36.37 vs 94.81, winner=blue, r_win=0:1:0, win=0:1:0, time=92/92
2: reward=-37.94 vs 96.35, winner=blue, r_win=0:2:0, win=0:2:0, time=72/164
3: reward=-38.14 vs 96.84, winner=blue, r_win=0:3:0, win=0:3:0, time=65/229
4: reward=-37.72 vs 95.79, winner=blue, r_win=0:4:0, win=0:4:0, time=80/308
5: reward=-38.14 vs 96.84, winner=blue, r_win=0:5:0, win=0:5:0, time=65/374
6: reward=-37.97 vs 96.43, winner=blue, r_win=0:6:0, win=0:6:0, time=71/445
7: reward=-38.14 vs 96.84, winner=blue, r_win=0:7:0, win=0:7:0, time=65/510
8: reward=-32.58 vs 90.14, winner=blue, r_win=0:8:0, win=0:8:0, time=158/668
9: reward=-36.43 vs 94.97, winner=blue, r_win=0:9:0, win=0:9:0, time=89/757
10: reward=-35.37 vs 93.07, winner=blue, r_win=0:10:0, win=0:10:0, time=131/888
11: reward=90.22 vs -32.01, winner=red, r_win=1:10:0, win=1:10:0, time=188/1077
12: reward=-36.60 vs 92.99, winner=blue, r_win=1:11:0, win=1:11:0, time=119/1196
13: reward=-38.16 vs 96.15, winner=blue, r_win=1:12:0, win=1:12:0, time=61/1257
14: reward=-38.01 vs 96.52, winner=blue, r_win=1:13:0, win=1:13:0, time=70/1327
15: reward=-38.13 vs 96.08, winner=blue, r_win=1:14:0, win=1:14:0, time=62/1389
16: reward=-34.53 vs 94.12, winner=blue, r_win=1:15:0, win=1:15:0, time=129/1518
17: reward=-13.29 vs -13.29, winner=draw, r_win=1:15:1, win=1:15:1, time=224/1742
18: reward=-37.94 vs 96.35, winner=blue, r_win=1:16:1, win=1:16:1, time=72/1814
19: reward=-37.81 vs 96.03, winner=blue, r_win=1:17:1, win=1:17:1, time=76/1890
20: reward=-37.94 vs 96.35, winner=blue, r_win=1:18:1, win=1:18:1, time=72/1962
21: reward=-36.99 vs 93.98, winner=blue, r_win=1:19:1, win=1:19:1, time=105/2067
22: reward=-38.04 vs 96.60, winner=blue, r_win=1:20:1, win=1:20:1, time=69/2136
23: reward=-34.30 vs 92.05, winner=blue, r_win=1:21:1, win=1:21:1, time=130/2266
24: reward=-38.14 vs 96.84, winner=blue, r_win=1:22:1, win=1:22:1, time=65/2331
25: reward=89.85 vs -32.82, winner=red, r_win=2:22:1, win=2:22:1, time=196/2527
26: reward=-36.69 vs 93.22, winner=blue, r_win=2:23:1, win=2:23:1, time=116/2643
27: reward=-32.56 vs 89.36, winner=blue, r_win=2:24:1, win=2:24:1, time=154/2798
28: reward=-34.44 vs 93.90, winner=blue, r_win=2:25:1, win=2:25:1, time=132/2930
29: reward=-13.33 vs -13.33, winner=draw, r_win=2:25:2, win=2:25:2, time=220/3150
30: reward=-36.78 vs 93.44, winner=blue, r_win=2:26:2, win=2:26:2, time=113/3263
31: reward=-38.14 vs 96.84, winner=blue, r_win=2:27:2, win=2:27:2, time=65/3328
32: reward=-37.84 vs 96.11, winner=blue, r_win=2:28:2, win=2:28:2, time=75/3403
33: reward=-37.12 vs 94.29, winner=blue, r_win=2:29:2, win=2:29:2, time=100/3504
34: reward=-37.94 vs 96.35, winner=blue, r_win=2:30:2, win=2:30:2, time=72/3576
35: reward=-37.97 vs 96.43, winner=blue, r_win=2:31:2, win=2:31:2, time=71/3647
36: reward=-32.41 vs 89.72, winner=blue, r_win=2:32:2, win=2:32:2, time=164/3811
