1: reward=-35.38 vs 93.85, winner=blue, r_win=0:1:0, win=0:1:0, time=135/135
2: reward=-14.10 vs -14.10, winner=draw, r_win=0:1:1, win=0:1:1, time=157/291
3: reward=-36.19 vs 95.88, winner=blue, r_win=0:2:1, win=0:2:1, time=105/396
4: reward=-35.13 vs 95.63, winner=blue, r_win=0:3:1, win=0:3:1, time=107/503
5: reward=-36.10 vs 95.65, winner=blue, r_win=0:4:1, win=0:4:1, time=108/611
6: reward=-34.89 vs 92.63, winner=blue, r_win=0:5:1, win=0:5:1, time=153/765
7: reward=-36.10 vs 95.65, winner=blue, r_win=0:6:1, win=0:6:1, time=108/873
8: reward=-34.80 vs 94.79, winner=blue, r_win=0:7:1, win=0:7:1, time=119/992
9: reward=-13.80 vs -13.80, winner=draw, r_win=0:7:2, win=0:7:2, time=181/1173
10: reward=-36.16 vs 95.80, winner=blue, r_win=0:8:2, win=0:8:2, time=106/1279
11: reward=-33.81 vs 92.31, winner=blue, r_win=0:9:2, win=0:9:2, time=157/1435
12: reward=-35.59 vs 94.37, winner=blue, r_win=0:10:2, win=0:10:2, time=127/1562
13: reward=-36.16 vs 95.80, winner=blue, r_win=0:11:2, win=0:11:2, time=106/1668
14: reward=-33.50 vs 93.95, winner=blue, r_win=0:12:2, win=0:12:2, time=130/1799
15: reward=-34.98 vs 92.84, winner=blue, r_win=0:13:2, win=0:13:2, time=150/1949
16: reward=-34.89 vs 95.02, winner=blue, r_win=0:14:2, win=0:14:2, time=116/2064
17: reward=-36.16 vs 95.80, winner=blue, r_win=0:15:2, win=0:15:2, time=106/2170
18: reward=-14.05 vs -14.05, winner=draw, r_win=0:15:3, win=0:15:3, time=161/2331
19: reward=-13.64 vs -13.64, winner=draw, r_win=0:15:4, win=0:15:4, time=194/2525
20: reward=-36.04 vs 95.50, winner=blue, r_win=0:16:4, win=0:16:4, time=110/2636
21: reward=-36.19 vs 95.88, winner=blue, r_win=0:17:4, win=0:17:4, time=105/2741
22: reward=-36.16 vs 95.80, winner=blue, r_win=0:18:4, win=0:18:4, time=106/2847
