1: reward=-33.38 vs 93.65, winner=blue, r_win=0:1:0, win=0:1:0, time=135/135
2: reward=-35.32 vs 93.71, winner=blue, r_win=0:2:0, win=0:2:0, time=137/271
3: reward=-34.83 vs 92.48, winner=blue, r_win=0:3:0, win=0:3:0, time=155/427
4: reward=-32.72 vs 92.00, winner=blue, r_win=0:4:0, win=0:4:0, time=160/587
5: reward=-13.84 vs -13.84, winner=draw, r_win=0:4:1, win=0:4:1, time=177/764
6: reward=-33.53 vs 94.02, winner=blue, r_win=0:5:1, win=0:5:1, time=129/893
7: reward=-14.13 vs -14.13, winner=draw, r_win=0:5:2, win=0:5:2, time=154/1048
8: reward=-32.81 vs 92.21, winner=blue, r_win=0:6:2, win=0:6:2, time=157/1204
9: reward=-33.26 vs 93.36, winner=blue, r_win=0:7:2, win=0:7:2, time=139/1343
10: reward=-33.53 vs 94.02, winner=blue, r_win=0:8:2, win=0:8:2, time=129/1472
11: reward=-32.53 vs 91.51, winner=blue, r_win=0:9:2, win=0:9:2, time=168/1640
12: reward=-34.71 vs 94.57, winner=blue, r_win=0:10:2, win=0:10:2, time=122/1763
13: reward=-13.65 vs -13.65, winner=draw, r_win=0:10:3, win=0:10:3, time=193/1955
14: reward=-34.92 vs 95.09, winner=blue, r_win=0:11:3, win=0:11:3, time=115/2070
15: reward=-13.74 vs -13.74, winner=draw, r_win=0:11:4, win=0:11:4, time=185/2255
16: reward=-36.13 vs 95.73, winner=blue, r_win=0:12:4, win=0:12:4, time=107/2363
17: reward=-13.24 vs -13.24, winner=draw, r_win=0:12:5, win=0:12:5, time=228/2591
18: reward=-31.61 vs 89.23, winner=blue, r_win=0:13:5, win=0:13:5, time=205/2796
19: reward=-36.19 vs 95.88, winner=blue, r_win=0:14:5, win=0:14:5, time=105/2901
20: reward=-33.26 vs 93.36, winner=blue, r_win=0:15:5, win=0:15:5, time=139/3040
21: reward=-13.99 vs -13.99, winner=draw, r_win=0:15:6, win=0:15:6, time=165/3205
22: reward=-36.04 vs 95.50, winner=blue, r_win=0:16:6, win=0:16:6, time=110/3315
23: reward=-33.47 vs 93.87, winner=blue, r_win=0:17:6, win=0:17:6, time=131/3447
24: reward=-34.86 vs 94.94, winner=blue, r_win=0:18:6, win=0:18:6, time=117/3564
25: reward=-36.13 vs 95.73, winner=blue, r_win=0:19:6, win=0:19:6, time=107/3671
26: reward=-33.59 vs 94.17, winner=blue, r_win=0:20:6, win=0:20:6, time=127/3798
27: reward=-34.83 vs 94.87, winner=blue, r_win=0:21:6, win=0:21:6, time=118/3916
28: reward=-36.04 vs 95.50, winner=blue, r_win=0:22:6, win=0:22:6, time=110/4026
29: reward=-35.95 vs 95.27, winner=blue, r_win=0:23:6, win=0:23:6, time=114/4140
30: reward=-34.83 vs 92.48, winner=blue, r_win=0:24:6, win=0:24:6, time=155/4295
31: reward=-33.56 vs 94.09, winner=blue, r_win=0:25:6, win=0:25:6, time=128/4423
32: reward=-13.87 vs -13.87, winner=draw, r_win=0:25:7, win=0:25:7, time=175/4599
