1: reward=-36.78 vs 94.94, winner=blue, r_win=0:1:0, win=0:1:0, time=224/224
2: reward=-34.78 vs 93.70, winner=blue, r_win=0:2:0, win=0:2:0, time=246/469
3: reward=74.19 vs -16.18, winner=red, r_win=1:2:0, win=1:2:0, time=274/743
4: reward=68.87 vs -10.05, winner=red, r_win=2:2:0, win=2:2:0, time=330/1073
5: reward=-37.42 vs 96.55, winner=blue, r_win=2:3:0, win=2:3:0, time=196/1269
6: reward=-37.11 vs 95.77, winner=blue, r_win=2:4:0, win=2:4:0, time=209/1478
7: reward=74.20 vs -15.58, winner=red, r_win=3:4:0, win=3:4:0, time=303/1781
8: reward=-38.13 vs 95.84, winner=blue, r_win=3:5:0, win=3:5:0, time=252/2033
9: reward=-34.86 vs 95.89, winner=blue, r_win=3:6:0, win=3:6:0, time=340/2373
10: reward=-21.19 vs 1.31, winner=draw, r_win=3:6:1, win=3:6:1, time=339/2711
11: reward=69.96 vs -12.09, winner=red, r_win=4:6:1, win=4:6:1, time=328/3039
12: reward=-25.04 vs 1.96, winner=draw, r_win=4:6:2, win=4:6:2, time=303/3341
13: reward=-37.53 vs 96.82, winner=blue, r_win=4:7:2, win=4:7:2, time=192/3533
14: reward=-35.28 vs 94.70, winner=blue, r_win=4:8:2, win=4:8:2, time=246/3779
15: reward=-34.68 vs 93.46, winner=blue, r_win=4:9:2, win=4:9:2, time=250/4029
16: reward=-22.90 vs 1.10, winner=draw, r_win=4:9:3, win=4:9:3, time=317/4346
17: reward=-35.04 vs 100.34, winner=blue, r_win=4:10:3, win=4:10:3, time=586/4931
18: reward=-35.75 vs 94.38, winner=blue, r_win=4:11:3, win=4:11:3, time=225/5156
19: reward=-35.75 vs 94.38, winner=blue, r_win=4:12:3, win=4:12:3, time=225/5381
20: reward=82.73 vs -24.29, winner=red, r_win=5:12:3, win=5:12:3, time=161/5542
21: reward=-35.78 vs 94.44, winner=blue, r_win=5:13:3, win=5:13:3, time=224/5766
22: reward=-37.51 vs 98.27, winner=blue, r_win=5:14:3, win=5:14:3, time=332/6097
23: reward=-39.66 vs 99.66, winner=blue, r_win=5:15:3, win=5:15:3, time=324/6421
24: reward=72.37 vs -12.55, winner=red, r_win=6:15:3, win=6:15:3, time=330/6750
25: reward=-20.79 vs 1.71, winner=draw, r_win=6:15:4, win=6:15:4, time=328/7078
26: reward=-35.95 vs 94.88, winner=blue, r_win=6:16:4, win=6:16:4, time=216/7294
27: reward=-27.17 vs 7.33, winner=draw, r_win=6:16:5, win=6:16:5, time=341/7635
28: reward=-20.16 vs 0.84, winner=draw, r_win=6:16:6, win=6:16:6, time=342/7976
29: reward=69.58 vs -10.43, winner=red, r_win=7:16:6, win=7:16:6, time=336/8312
30: reward=-25.55 vs 2.95, winner=draw, r_win=7:16:7, win=7:16:7, time=302/8613
31: reward=69.96 vs -12.09, winner=red, r_win=8:16:7, win=8:16:7, time=328/8941
32: reward=73.74 vs -15.20, winner=red, r_win=9:16:7, win=9:16:7, time=273/9214
33: reward=-37.35 vs 95.88, winner=blue, r_win=9:17:7, win=9:17:7, time=242/9456
34: reward=-41.40 vs 100.25, winner=blue, r_win=9:18:7, win=9:18:7, time=312/9768
35: reward=-41.76 vs 101.15, winner=blue, r_win=9:19:7, win=9:19:7, time=294/10061
36: reward=-25.60 vs 2.90, winner=draw, r_win=9:19:8, win=9:19:8, time=297/10358
37: reward=-24.32 vs -0.32, winner=draw, r_win=9:19:9, win=9:19:9, time=276/10633
38: reward=-24.76 vs 3.74, winner=draw, r_win=9:19:10, win=9:19:10, time=331/10964
39: reward=-35.98 vs 94.69, winner=blue, r_win=9:20:10, win=9:20:10, time=237/11201
40: reward=76.10 vs -15.84, winner=red, r_win=10:20:10, win=10:20:10, time=315/11516
41: reward=-25.65 vs 4.35, winner=draw, r_win=10:20:11, win=10:20:11, time=343/11858
42: reward=-38.14 vs 98.85, winner=blue, r_win=10:21:11, win=10:21:11, time=408/12266
43: reward=-33.59 vs 92.72, winner=blue, r_win=10:22:11, win=10:22:11, time=254/12520
44: reward=69.53 vs -10.41, winner=red, r_win=11:22:11, win=11:22:11, time=337/12857
45: reward=-34.20 vs 92.24, winner=blue, r_win=11:23:11, win=11:23:11, time=273/13129
46: reward=71.35 vs -12.64, winner=red, r_win=12:23:11, win=12:23:11, time=300/13429
47: reward=-19.97 vs -0.47, winner=draw, r_win=12:23:12, win=12:23:12, time=310/13739
48: reward=73.20 vs -15.08, winner=red, r_win=13:23:12, win=13:23:12, time=303/14041
49: reward=-24.81 vs 0.69, winner=draw, r_win=13:23:13, win=13:23:13, time=277/14318
50: reward=-37.90 vs 97.75, winner=blue, r_win=13:24:13, win=13:24:13, time=312/14629
51: reward=-37.45 vs 98.13, winner=blue, r_win=13:24:13, win=13:25:13, time=335/14964
52: reward=-36.93 vs 98.08, winner=blue, r_win=13:24:13, win=13:26:13, time=391/15355
53: reward=-24.96 vs 2.04, winner=draw, r_win=12:24:14, win=13:26:14, time=311/15665
54: reward=-23.72 vs 0.28, winner=draw, r_win=11:24:15, win=13:26:15, time=285/15950
55: reward=75.35 vs -14.74, winner=red, r_win=12:23:15, win=14:26:15, time=320/16269
56: reward=65.94 vs -3.77, winner=red, r_win=13:22:15, win=15:26:15, time=430/16699
57: reward=-42.38 vs 100.96, winner=blue, r_win=12:23:15, win=15:27:15, time=288/16987
58: reward=78.81 vs -22.73, winner=red, r_win=13:22:15, win=16:27:15, time=226/17213
59: reward=63.60 vs -3.34, winner=red, r_win=14:21:15, win=17:27:15, time=426/17638
60: reward=74.89 vs -13.86, winner=red, r_win=15:21:14, win=18:27:15, time=340/17978
61: reward=73.67 vs -15.97, winner=red, r_win=15:21:14, win=19:27:15, time=284/18261
62: reward=-35.09 vs 94.22, winner=blue, r_win=15:22:13, win=19:28:15, time=254/18516
63: reward=-41.03 vs 99.82, winner=blue, r_win=15:22:13, win=19:29:15, time=281/18796
64: reward=72.46 vs -13.88, winner=red, r_win=16:21:13, win=20:29:15, time=288/19084
65: reward=59.79 vs 3.58, winner=red, r_win=17:20:13, win=21:29:15, time=485/19569
66: reward=72.67 vs -13.97, winner=red, r_win=18:20:12, win=22:29:15, time=284/19852
67: reward=61.19 vs -2.18, winner=red, r_win=19:19:12, win=23:29:15, time=436/20288
68: reward=-35.93 vs 94.33, winner=blue, r_win=19:19:12, win=23:30:15, time=262/20549
69: reward=73.08 vs -12.93, winner=red, r_win=20:18:12, win=24:30:15, time=336/20885
70: reward=-35.67 vs 94.19, winner=blue, r_win=19:19:12, win=24:31:15, time=228/21113
71: reward=-39.12 vs 98.80, winner=blue, r_win=19:19:12, win=24:32:15, time=301/21414
72: reward=-34.88 vs 93.94, winner=blue, r_win=19:19:12, win=24:33:15, time=241/21655
73: reward=-42.51 vs 102.27, winner=blue, r_win=19:19:12, win=24:34:15, time=332/21987
74: reward=-35.05 vs 95.64, winner=blue, r_win=18:20:12, win=24:35:15, time=413/22399
75: reward=-18.46 vs -1.96, winner=draw, r_win=18:20:12, win=24:35:16, time=311/22710
76: reward=62.60 vs -2.74, winner=red, r_win=19:19:12, win=25:35:16, time=402/23111
77: reward=-38.07 vs 99.41, winner=blue, r_win=19:20:11, win=25:36:16, time=329/23440
78: reward=72.36 vs -13.84, winner=red, r_win=20:20:10, win=26:36:16, time=290/23730
79: reward=-25.59 vs 2.91, winner=draw, r_win=19:20:11, win=26:36:17, time=298/24027
80: reward=-33.52 vs 92.55, winner=blue, r_win=19:21:10, win=26:37:17, time=258/24285
81: reward=-21.15 vs -0.15, winner=draw, r_win=18:21:11, win=26:37:18, time=292/24576
82: reward=-33.13 vs 91.84, winner=blue, r_win=17:22:11, win=26:38:18, time=252/24829
83: reward=-22.18 vs 3.32, winner=draw, r_win=17:21:12, win=26:38:19, time=340/25168
84: reward=70.85 vs -12.44, winner=red, r_win=18:20:12, win=27:38:19, time=310/25478
85: reward=-34.81 vs 95.02, winner=blue, r_win=18:20:12, win=27:39:19, time=428/25906
86: reward=-25.59 vs 10.41, winner=draw, r_win=18:20:12, win=27:39:20, time=406/26311
87: reward=-37.72 vs 98.06, winner=blue, r_win=18:21:11, win=27:40:20, time=403/26714
88: reward=-40.52 vs 98.54, winner=blue, r_win=18:22:10, win=27:41:20, time=306/27019
89: reward=74.56 vs -16.33, winner=red, r_win=19:21:10, win=28:41:20, time=267/27286
90: reward=-33.70 vs 92.74, winner=blue, r_win=18:22:10, win=28:42:20, time=273/27559
91: reward=69.88 vs -16.05, winner=red, r_win=19:22:9, win=29:42:20, time=384/27942
92: reward=-40.53 vs 99.82, winner=blue, r_win=19:22:9, win=29:43:20, time=331/28273
93: reward=-34.73 vs 93.58, winner=blue, r_win=19:22:9, win=29:44:20, time=248/28521
94: reward=-24.90 vs 3.60, winner=draw, r_win=18:22:10, win=29:44:21, time=317/28837
95: reward=76.27 vs -16.01, winner=red, r_win=19:21:10, win=30:44:21, time=332/29169
96: reward=-41.36 vs 104.90, winner=blue, r_win=18:22:10, win=30:45:21, time=456/29624
97: reward=-39.14 vs 99.60, winner=blue, r_win=18:23:9, win=30:46:21, time=379/30003
98: reward=-23.99 vs 1.51, winner=draw, r_win=17:23:10, win=30:46:22, time=308/30311
99: reward=-37.28 vs 97.95, winner=blue, r_win=17:24:9, win=30:47:22, time=318/30628
100: reward=-33.78 vs 96.19, winner=blue, r_win=17:24:9, win=30:48:22, time=400/31028
101: reward=74.39 vs -14.96, winner=red, r_win=18:23:9, win=31:48:22, time=309/31336
102: reward=75.20 vs -14.78, winner=red, r_win=19:22:9, win=32:48:22, time=344/31680
103: reward=-38.42 vs 98.80, winner=blue, r_win=19:23:8, win=32:49:22, time=311/31991
104: reward=-40.13 vs 96.84, winner=blue, r_win=19:24:7, win=32:50:22, time=252/32243
105: reward=-44.62 vs 104.31, winner=blue, r_win=18:25:7, win=32:51:22, time=409/32652
106: reward=-26.06 vs 6.94, winner=draw, r_win=17:25:8, win=32:51:23, time=353/33004
107: reward=-35.71 vs 97.02, winner=blue, r_win=17:25:8, win=32:52:23, time=404/33408
108: reward=-22.38 vs 1.62, winner=draw, r_win=16:25:9, win=32:52:24, time=319/33726
109: reward=-39.07 vs 95.67, winner=blue, r_win=15:26:9, win=32:53:24, time=475/34201
110: reward=-33.73 vs 93.08, winner=blue, r_win=14:27:9, win=32:54:24, time=248/34449
111: reward=72.96 vs -13.59, winner=red, r_win=14:27:9, win=33:54:24, time=328/34776
112: reward=-25.08 vs 1.92, winner=draw, r_win=14:26:10, win=33:54:25, time=299/35075
113: reward=-35.24 vs 96.61, winner=blue, r_win=14:26:10, win=33:55:25, time=346/35421
114: reward=66.69 vs -4.78, winner=red, r_win=14:26:10, win=34:55:25, time=400/35820
115: reward=-39.02 vs 99.29, winner=blue, r_win=13:27:10, win=34:56:25, time=386/36206
116: reward=-34.73 vs 93.58, winner=blue, r_win=12:28:10, win=34:57:25, time=248/36454
117: reward=74.27 vs -13.51, winner=red, r_win=12:28:10, win=35:57:25, time=332/36785
118: reward=-33.18 vs 91.96, winner=blue, r_win=12:28:10, win=35:58:25, time=250/37035
119: reward=-42.76 vs 103.15, winner=blue, r_win=11:29:10, win=35:59:25, time=294/37329
120: reward=-26.54 vs 6.46, winner=draw, r_win=11:28:11, win=35:59:26, time=303/37632
121: reward=70.70 vs -11.78, winner=red, r_win=12:27:11, win=36:59:26, time=344/37975
122: reward=-38.56 vs 98.64, winner=blue, r_win=12:27:11, win=36:60:26, time=356/38331
123: reward=-42.36 vs 103.65, winner=blue, r_win=12:27:11, win=36:61:26, time=489/38819
124: reward=68.37 vs -9.15, winner=red, r_win=13:26:11, win=37:61:26, time=351/39170
125: reward=-34.90 vs 94.00, winner=blue, r_win=13:27:10, win=37:62:26, time=240/39410
126: reward=-40.60 vs 100.01, winner=blue, r_win=12:28:10, win=37:63:26, time=327/39737
127: reward=-41.45 vs 102.62, winner=blue, r_win=12:28:10, win=37:64:26, time=390/40126
128: reward=-43.66 vs 103.65, winner=blue, r_win=11:29:10, win=37:65:26, time=437/40563
129: reward=-40.10 vs 100.51, winner=blue, r_win=11:30:9, win=37:66:26, time=327/40890
130: reward=70.27 vs -10.01, winner=red, r_win=12:29:9, win=38:66:26, time=332/41221
131: reward=-24.88 vs 0.62, winner=draw, r_win=12:29:9, win=38:66:27, time=270/41491
132: reward=-43.39 vs 105.98, winner=blue, r_win=12:29:9, win=38:67:27, time=454/41944
133: reward=-19.36 vs 0.14, winner=draw, r_win=12:29:9, win=38:67:28, time=321/42265
134: reward=73.69 vs -15.18, winner=red, r_win=12:29:9, win=39:67:28, time=274/42539
135: reward=-40.68 vs 102.19, winner=blue, r_win=12:29:9, win=39:68:28, time=436/42974
136: reward=70.39 vs -11.46, winner=red, r_win=13:29:8, win=40:68:28, time=309/43283
137: reward=-38.04 vs 98.84, winner=blue, r_win=13:29:8, win=40:69:28, time=385/43667
138: reward=-23.57 vs 1.93, winner=draw, r_win=13:28:9, win=40:69:29, time=300/43967
139: reward=62.76 vs -3.61, winner=red, r_win=13:28:9, win=41:69:29, time=410/44377
140: reward=-34.48 vs 93.19, winner=blue, r_win=13:28:9, win=41:70:29, time=237/44614
141: reward=71.44 vs -13.48, winner=red, r_win=13:28:9, win=42:70:29, time=308/44921
142: reward=68.67 vs -9.97, winner=red, r_win=14:27:9, win=43:70:29, time=334/45255
143: reward=-24.16 vs 1.34, winner=draw, r_win=14:26:10, win=43:70:30, time=291/45545
144: reward=38.58 vs 36.87, winner=red, r_win=15:26:9, win=44:70:30, time=1024/46569
145: reward=-35.23 vs 95.81, winner=blue, r_win=14:27:9, win=44:71:30, time=433/47002
146: reward=-29.31 vs 15.69, winner=draw, r_win=14:26:10, win=44:71:31, time=506/47507
147: reward=75.96 vs -15.09, winner=red, r_win=15:25:10, win=45:71:31, time=328/47835
148: reward=71.00 vs -13.30, winner=red, r_win=16:25:9, win=46:71:31, time=317/48151
149: reward=83.25 vs -24.60, winner=red, r_win=17:24:9, win=47:71:31, time=169/48320
150: reward=-24.12 vs 1.38, winner=draw, r_win=17:23:10, win=47:71:32, time=346/48666
151: reward=-22.63 vs 1.37, winner=draw, r_win=16:23:11, win=47:71:33, time=294/48959
152: reward=-23.89 vs 3.11, winner=draw, r_win=15:23:12, win=47:71:34, time=318/49277
