1: reward=67.14 vs -8.56, winner=red, r_win=1:0:0, win=1:0:0, time=356/356
2: reward=-36.24 vs 96.60, winner=blue, r_win=1:1:0, win=1:1:0, time=402/757
3: reward=72.77 vs -14.01, winner=red, r_win=2:1:0, win=2:1:0, time=282/1039
4: reward=-24.57 vs -0.57, winner=draw, r_win=2:1:1, win=2:1:1, time=252/1291
5: reward=-34.90 vs 94.00, winner=blue, r_win=2:2:1, win=2:2:1, time=240/1531
6: reward=69.37 vs -12.65, winner=red, r_win=3:2:1, win=3:2:1, time=351/1882
7: reward=-35.78 vs 94.44, winner=blue, r_win=3:3:1, win=3:3:1, time=224/2106
8: reward=47.80 vs 22.58, winner=red, r_win=4:3:1, win=4:3:1, time=978/3083
9: reward=-34.06 vs 92.16, winner=blue, r_win=4:4:1, win=4:4:1, time=256/3339
10: reward=-33.52 vs 92.55, winner=blue, r_win=4:5:1, win=4:5:1, time=258/3596
11: reward=-39.19 vs 96.97, winner=blue, r_win=4:6:1, win=4:6:1, time=349/3945
12: reward=-22.83 vs 10.17, winner=draw, r_win=4:6:2, win=4:6:2, time=437/4382
13: reward=-36.05 vs 94.88, winner=blue, r_win=4:7:2, win=4:7:2, time=234/4615
14: reward=-41.81 vs 101.28, winner=blue, r_win=4:8:2, win=4:8:2, time=459/5074
15: reward=71.44 vs -13.48, winner=red, r_win=5:8:2, win=5:8:2, time=308/5381
16: reward=-34.30 vs 92.76, winner=blue, r_win=5:9:2, win=5:9:2, time=245/5626
17: reward=-40.34 vs 98.10, winner=blue, r_win=5:10:2, win=5:10:2, time=315/5941
18: reward=72.20 vs -14.78, winner=red, r_win=6:10:2, win=6:10:2, time=344/6284
19: reward=75.86 vs -17.84, winner=red, r_win=7:10:2, win=7:10:2, time=290/6574
20: reward=-19.39 vs -1.39, winner=draw, r_win=7:10:3, win=7:10:3, time=318/6891
21: reward=-25.15 vs 1.85, winner=draw, r_win=7:10:4, win=7:10:4, time=292/7183
22: reward=-35.48 vs 93.69, winner=blue, r_win=7:11:4, win=7:11:4, time=237/7420
23: reward=-41.36 vs 100.90, winner=blue, r_win=7:12:4, win=7:12:4, time=395/7815
24: reward=-34.11 vs 92.03, winner=blue, r_win=7:13:4, win=7:13:4, time=277/8091
25: reward=-40.21 vs 98.02, winner=blue, r_win=7:14:4, win=7:14:4, time=164/8255
26: reward=-39.57 vs 95.43, winner=blue, r_win=7:15:4, win=7:15:4, time=279/8534
27: reward=-39.11 vs 95.28, winner=blue, r_win=7:16:4, win=7:16:4, time=353/8887
28: reward=-34.04 vs 92.10, winner=blue, r_win=7:17:4, win=7:17:4, time=257/9143
29: reward=-40.40 vs 97.99, winner=blue, r_win=7:18:4, win=7:18:4, time=197/9341
30: reward=-32.22 vs 89.30, winner=blue, r_win=7:19:4, win=7:19:4, time=321/9661
31: reward=75.31 vs -18.32, winner=red, r_win=8:19:4, win=8:19:4, time=291/9952
32: reward=-34.51 vs 91.27, winner=blue, r_win=8:20:4, win=8:20:4, time=282/10233
33: reward=-21.43 vs -1.93, winner=draw, r_win=8:20:5, win=8:20:5, time=314/10547
34: reward=-36.41 vs 93.78, winner=blue, r_win=8:21:5, win=8:21:5, time=263/10810
35: reward=-34.09 vs 91.98, winner=blue, r_win=8:22:5, win=8:22:5, time=278/11087
36: reward=-33.82 vs 91.31, winner=blue, r_win=8:23:5, win=8:23:5, time=291/11378
37: reward=81.34 vs -25.63, winner=red, r_win=9:23:5, win=9:23:5, time=252/11630
38: reward=-32.16 vs 89.40, winner=blue, r_win=9:24:5, win=9:24:5, time=299/11929
39: reward=-32.51 vs 88.27, winner=blue, r_win=9:25:5, win=9:25:5, time=332/12260
40: reward=-39.45 vs 95.63, winner=blue, r_win=9:26:5, win=9:26:5, time=238/12498
41: reward=-37.00 vs 91.25, winner=blue, r_win=9:27:5, win=9:27:5, time=193/12691
42: reward=-37.25 vs 93.87, winner=blue, r_win=9:28:5, win=9:28:5, time=143/12835
43: reward=-35.43 vs 91.33, winner=blue, r_win=9:29:5, win=9:29:5, time=175/13010
44: reward=-37.65 vs 92.88, winner=blue, r_win=9:30:5, win=9:30:5, time=166/13176
45: reward=-37.32 vs 92.30, winner=blue, r_win=9:31:5, win=9:31:5, time=160/13336
46: reward=-34.11 vs 86.51, winner=blue, r_win=9:32:5, win=9:32:5, time=381/13717
47: reward=-35.78 vs 90.94, winner=blue, r_win=9:33:5, win=9:33:5, time=142/13859
48: reward=-36.11 vs 92.27, winner=blue, r_win=9:34:5, win=9:34:5, time=209/14069
49: reward=-37.28 vs 94.19, winner=blue, r_win=9:35:5, win=9:35:5, time=124/14192
50: reward=-38.34 vs 95.60, winner=blue, r_win=9:36:5, win=9:36:5, time=69/14261
51: reward=-36.91 vs 93.01, winner=blue, r_win=8:37:5, win=9:37:5, time=157/14417
52: reward=-37.34 vs 94.34, winner=blue, r_win=8:37:5, win=9:38:5, time=121/14539
53: reward=-38.81 vs 95.52, winner=blue, r_win=7:38:5, win=9:39:5, time=141/14680
54: reward=-36.96 vs 92.90, winner=blue, r_win=7:39:4, win=9:40:5, time=174/14854
55: reward=84.29 vs -28.22, winner=red, r_win=8:38:4, win=10:40:5, time=184/15038
56: reward=-38.67 vs 95.67, winner=blue, r_win=7:39:4, win=10:41:5, time=109/15148
57: reward=-37.05 vs 93.37, winner=blue, r_win=7:39:4, win=10:42:5, time=151/15299
58: reward=-31.78 vs 88.45, winner=blue, r_win=6:40:4, win=10:43:5, time=318/15616
59: reward=-36.38 vs 92.44, winner=blue, r_win=6:40:4, win=10:44:5, time=241/15858
60: reward=-38.11 vs 94.52, winner=blue, r_win=6:40:4, win=10:45:5, time=111/15969
61: reward=-31.90 vs 88.75, winner=blue, r_win=6:40:4, win=10:46:5, time=312/16281
62: reward=-31.49 vs 87.97, winner=blue, r_win=6:41:3, win=10:47:5, time=173/16454
63: reward=-38.84 vs 94.86, winner=blue, r_win=6:41:3, win=10:48:5, time=199/16653
64: reward=-38.08 vs 94.95, winner=blue, r_win=6:41:3, win=10:49:5, time=77/16731
65: reward=-35.85 vs 90.87, winner=blue, r_win=5:42:3, win=10:50:5, time=159/16889
66: reward=-38.56 vs 96.15, winner=blue, r_win=5:42:3, win=10:51:5, time=61/16951
67: reward=-36.05 vs 91.87, winner=blue, r_win=5:42:3, win=10:52:5, time=114/17064
68: reward=-35.19 vs 90.46, winner=blue, r_win=4:43:3, win=10:53:5, time=206/17270
69: reward=-32.20 vs 89.25, winner=blue, r_win=3:44:3, win=10:54:5, time=322/17592
70: reward=-38.55 vs 94.87, winner=blue, r_win=3:45:2, win=10:55:5, time=151/17743
71: reward=-37.84 vs 93.84, winner=blue, r_win=3:46:1, win=10:56:5, time=121/17865
72: reward=-38.48 vs 95.71, winner=blue, r_win=3:46:1, win=10:57:5, time=81/17945
73: reward=-31.33 vs 89.32, winner=blue, r_win=3:46:1, win=10:58:5, time=458/18403
74: reward=-33.53 vs 88.82, winner=blue, r_win=3:46:1, win=10:59:5, time=331/18733
75: reward=-29.97 vs 87.16, winner=blue, r_win=3:46:1, win=10:60:5, time=389/19122
76: reward=-34.71 vs 90.52, winner=blue, r_win=3:46:1, win=10:61:5, time=249/19371
77: reward=-38.35 vs 95.13, winner=blue, r_win=3:46:1, win=10:62:5, time=220/19591
78: reward=-37.06 vs 92.16, winner=blue, r_win=3:46:1, win=10:63:5, time=256/19847
79: reward=-36.57 vs 92.67, winner=blue, r_win=3:46:1, win=10:64:5, time=131/19978
80: reward=-38.45 vs 95.63, winner=blue, r_win=3:46:1, win=10:65:5, time=82/20060
81: reward=-36.80 vs 93.26, winner=blue, r_win=2:47:1, win=10:66:5, time=245/20305
82: reward=-35.37 vs 91.92, winner=blue, r_win=2:47:1, win=10:67:5, time=120/20425
83: reward=-34.68 vs 90.46, winner=blue, r_win=2:48:0, win=10:68:5, time=250/20675
84: reward=-35.38 vs 89.70, winner=blue, r_win=2:48:0, win=10:69:5, time=313/20988
85: reward=-35.07 vs 88.91, winner=blue, r_win=2:48:0, win=10:70:5, time=329/21316
86: reward=-35.79 vs 92.23, winner=blue, r_win=2:48:0, win=10:71:5, time=161/21477
87: reward=-35.93 vs 91.57, winner=blue, r_win=1:49:0, win=10:72:5, time=118/21595
88: reward=-36.64 vs 93.61, winner=blue, r_win=1:49:0, win=10:73:5, time=75/21671
89: reward=-32.62 vs 88.56, winner=blue, r_win=1:49:0, win=10:74:5, time=326/21996
90: reward=-38.28 vs 94.44, winner=blue, r_win=1:49:0, win=10:75:5, time=142/22139
91: reward=-32.39 vs 87.73, winner=blue, r_win=1:49:0, win=10:76:5, time=365/22503
92: reward=-36.82 vs 93.81, winner=blue, r_win=1:49:0, win=10:77:5, time=86/22589
93: reward=85.36 vs -28.84, winner=red, r_win=2:48:0, win=11:77:5, time=199/22789
94: reward=-36.18 vs 91.45, winner=blue, r_win=2:48:0, win=11:78:5, time=165/22954
95: reward=-36.84 vs 93.09, winner=blue, r_win=2:48:0, win=11:79:5, time=140/23094
96: reward=-33.37 vs 89.17, winner=blue, r_win=2:48:0, win=11:80:5, time=265/23359
97: reward=-37.01 vs 94.02, winner=blue, r_win=2:48:0, win=11:81:5, time=97/23456
98: reward=-34.12 vs 89.56, winner=blue, r_win=2:48:0, win=11:82:5, time=230/23686
99: reward=-27.24 vs 85.11, winner=blue, r_win=2:48:0, win=11:83:5, time=346/24032
100: reward=-38.05 vs 94.87, winner=blue, r_win=2:48:0, win=11:84:5, time=78/24111
101: reward=-36.10 vs 91.51, winner=blue, r_win=2:48:0, win=11:85:5, time=149/24259
102: reward=-35.95 vs 91.38, winner=blue, r_win=2:48:0, win=11:86:5, time=136/24395
103: reward=-35.47 vs 89.67, winner=blue, r_win=2:48:0, win=11:87:5, time=334/24729
104: reward=-32.36 vs 87.89, winner=blue, r_win=2:48:0, win=11:88:5, time=340/25068
105: reward=-36.16 vs 92.65, winner=blue, r_win=1:49:0, win=11:89:5, time=186/25255
106: reward=-35.82 vs 90.29, winner=blue, r_win=1:49:0, win=11:90:5, time=201/25455
107: reward=-37.40 vs 94.49, winner=blue, r_win=1:49:0, win=11:91:5, time=119/25574
108: reward=-31.70 vs 88.25, winner=blue, r_win=1:49:0, win=11:92:5, time=322/25896
109: reward=-33.80 vs 88.25, winner=blue, r_win=1:49:0, win=11:93:5, time=292/26188
110: reward=-38.18 vs 93.95, winner=blue, r_win=1:49:0, win=11:94:5, time=165/26353
111: reward=-37.85 vs 93.13, winner=blue, r_win=1:49:0, win=11:95:5, time=179/26532
112: reward=-33.26 vs 88.15, winner=blue, r_win=1:49:0, win=11:96:5, time=345/26876
113: reward=-32.09 vs 87.23, winner=blue, r_win=1:49:0, win=11:97:5, time=354/27230
114: reward=-33.89 vs 90.22, winner=blue, r_win=1:49:0, win=11:98:5, time=264/27493
115: reward=-37.00 vs 90.49, winner=blue, r_win=1:49:0, win=11:99:5, time=259/27752
116: reward=-35.39 vs 91.73, winner=blue, r_win=1:49:0, win=11:100:5, time=138/27890
117: reward=-31.36 vs 87.39, winner=blue, r_win=1:49:0, win=11:101:5, time=340/28230
118: reward=-38.46 vs 94.66, winner=blue, r_win=1:49:0, win=11:102:5, time=154/28384
119: reward=81.63 vs -24.95, winner=red, r_win=2:48:0, win=12:102:5, time=238/28622
120: reward=-35.81 vs 92.52, winner=blue, r_win=2:48:0, win=12:103:5, time=141/28763
121: reward=-32.98 vs 89.44, winner=blue, r_win=2:48:0, win=12:104:5, time=308/29071
122: reward=-36.59 vs 91.22, winner=blue, r_win=2:48:0, win=12:105:5, time=254/29325
123: reward=-34.04 vs 90.09, winner=blue, r_win=2:48:0, win=12:106:5, time=305/29630
124: reward=-38.49 vs 95.22, winner=blue, r_win=2:48:0, win=12:107:5, time=116/29746
125: reward=-38.08 vs 92.94, winner=blue, r_win=2:48:0, win=12:108:5, time=232/29978
