1: reward=-34.44 vs 95.85, winner=blue, r_win=0:1:0, win=0:1:0, time=420/420
2: reward=-34.33 vs 92.82, winner=blue, r_win=0:2:0, win=0:2:0, time=243/663
3: reward=74.67 vs -14.47, winner=red, r_win=1:2:0, win=1:2:0, time=334/997
4: reward=-33.66 vs 92.90, winner=blue, r_win=1:3:0, win=1:3:0, time=251/1248
5: reward=75.80 vs -17.12, winner=red, r_win=2:3:0, win=2:3:0, time=301/1549
6: reward=68.27 vs -13.81, winner=red, r_win=3:3:0, win=3:3:0, time=398/1946
7: reward=-34.73 vs 93.58, winner=blue, r_win=3:4:0, win=3:4:0, time=248/2194
8: reward=80.95 vs -23.58, winner=red, r_win=4:4:0, win=4:4:0, time=190/2384
9: reward=70.09 vs -12.04, winner=red, r_win=5:4:0, win=5:4:0, time=305/2688
10: reward=72.89 vs -14.96, winner=red, r_win=6:4:0, win=6:4:0, time=309/2997
11: reward=-33.71 vs 93.02, winner=blue, r_win=6:5:0, win=6:5:0, time=249/3246
12: reward=71.80 vs -15.22, winner=red, r_win=7:5:0, win=7:5:0, time=321/3566
13: reward=-35.11 vs 94.28, winner=blue, r_win=7:6:0, win=7:6:0, time=253/3820
14: reward=73.04 vs -15.02, winner=red, r_win=8:6:0, win=8:6:0, time=306/4125
15: reward=71.27 vs -10.51, winner=red, r_win=9:6:0, win=9:6:0, time=332/4457
16: reward=-35.16 vs 94.40, winner=blue, r_win=9:7:0, win=9:7:0, time=251/4708
17: reward=74.95 vs -15.28, winner=red, r_win=10:7:0, win=10:7:0, time=318/5026
18: reward=71.37 vs -13.55, winner=red, r_win=11:7:0, win=11:7:0, time=330/5355
19: reward=-35.78 vs 94.20, winner=blue, r_win=11:8:0, win=11:8:0, time=246/5601
20: reward=-34.63 vs 93.34, winner=blue, r_win=11:9:0, win=11:9:0, time=252/5853
21: reward=74.01 vs -14.21, winner=red, r_win=12:9:0, win=12:9:0, time=348/6201
22: reward=-34.33 vs 92.82, winner=blue, r_win=12:10:0, win=12:10:0, time=243/6444
23: reward=-34.63 vs 93.34, winner=blue, r_win=12:11:0, win=12:11:0, time=252/6697
24: reward=-22.74 vs -0.24, winner=draw, r_win=12:11:1, win=12:11:1, time=283/6979
25: reward=-33.80 vs 93.26, winner=blue, r_win=12:12:1, win=12:12:1, time=245/7224
26: reward=-34.50 vs 93.25, winner=blue, r_win=12:13:1, win=12:13:1, time=236/7460
27: reward=-33.63 vs 92.84, winner=blue, r_win=12:14:1, win=12:14:1, time=252/7712
