1: reward=75.85 vs -15.74, winner=red, r_win=1:0:0, win=1:0:0, time=320/320
2: reward=-35.83 vs 94.57, winner=blue, r_win=1:1:0, win=1:1:0, time=221/541
3: reward=-39.97 vs 99.91, winner=blue, r_win=1:2:0, win=1:2:0, time=361/902
4: reward=-33.83 vs 93.06, winner=blue, r_win=1:3:0, win=1:3:0, time=267/1168
5: reward=-38.00 vs 96.01, winner=blue, r_win=1:4:0, win=1:4:0, time=214/1382
6: reward=-19.62 vs 1.38, winner=draw, r_win=1:4:1, win=1:4:1, time=346/1728
7: reward=-35.53 vs 93.81, winner=blue, r_win=1:5:1, win=1:5:1, time=235/1962
8: reward=-35.98 vs 94.69, winner=blue, r_win=1:6:1, win=1:6:1, time=237/2199
9: reward=76.65 vs -17.56, winner=red, r_win=2:6:1, win=2:6:1, time=304/2503
10: reward=-41.78 vs 99.45, winner=blue, r_win=2:7:1, win=2:7:1, time=318/2820
11: reward=-33.86 vs 91.41, winner=blue, r_win=2:8:1, win=2:8:1, time=289/3109
12: reward=-32.74 vs 90.85, winner=blue, r_win=2:9:1, win=2:9:1, time=271/3380
13: reward=-32.76 vs 90.90, winner=blue, r_win=2:10:1, win=2:10:1, time=270/3649
14: reward=74.42 vs -15.27, winner=red, r_win=3:10:1, win=3:10:1, time=372/4021
15: reward=-33.54 vs 92.60, winner=blue, r_win=3:11:1, win=3:11:1, time=257/4277
16: reward=-24.01 vs -0.01, winner=draw, r_win=3:11:2, win=3:11:2, time=306/4583
17: reward=-41.22 vs 99.80, winner=blue, r_win=3:12:2, win=3:12:2, time=321/4904
18: reward=73.15 vs -15.06, winner=red, r_win=4:12:2, win=4:12:2, time=304/5207
19: reward=-36.50 vs 94.25, winner=blue, r_win=4:13:2, win=4:13:2, time=236/5443
20: reward=-41.42 vs 100.30, winner=blue, r_win=4:14:2, win=4:14:2, time=311/5754
21: reward=75.00 vs -15.50, winner=red, r_win=5:14:2, win=5:14:2, time=359/6112
22: reward=-35.65 vs 94.12, winner=blue, r_win=5:15:2, win=5:15:2, time=229/6341
23: reward=-34.91 vs 93.78, winner=blue, r_win=5:16:2, win=5:16:2, time=263/6604
24: reward=-34.52 vs 93.05, winner=blue, r_win=5:17:2, win=5:17:2, time=258/6862
25: reward=72.05 vs -12.52, winner=red, r_win=6:17:2, win=6:17:2, time=358/7219
26: reward=-34.22 vs 92.30, winner=blue, r_win=6:18:2, win=6:18:2, time=272/7491
27: reward=-34.98 vs 93.94, winner=blue, r_win=6:19:2, win=6:19:2, time=260/7750
28: reward=71.94 vs -14.48, winner=red, r_win=7:19:2, win=7:19:2, time=308/8058
29: reward=73.50 vs -15.20, winner=red, r_win=8:19:2, win=8:19:2, time=297/8355
30: reward=-35.60 vs 94.00, winner=blue, r_win=8:20:2, win=8:20:2, time=231/8586
31: reward=81.75 vs -24.00, winner=red, r_win=9:20:2, win=9:20:2, time=193/8779
32: reward=-23.45 vs 0.55, winner=draw, r_win=9:20:3, win=9:20:3, time=312/9091
33: reward=-34.59 vs 93.22, winner=blue, r_win=9:21:3, win=9:21:3, time=254/9345
34: reward=-36.80 vs 95.00, winner=blue, r_win=9:22:3, win=9:22:3, time=223/9568
35: reward=-34.68 vs 93.46, winner=blue, r_win=9:23:3, win=9:23:3, time=250/9818
36: reward=-34.54 vs 93.10, winner=blue, r_win=9:24:3, win=9:24:3, time=257/10074
37: reward=76.51 vs -16.10, winner=red, r_win=10:24:3, win=10:24:3, time=327/10401
38: reward=74.20 vs -14.88, winner=red, r_win=11:24:3, win=11:24:3, time=313/10714
39: reward=-38.24 vs 96.59, winner=blue, r_win=11:25:3, win=11:25:3, time=204/10917
40: reward=-23.77 vs 1.73, winner=draw, r_win=11:25:4, win=11:25:4, time=330/11247
41: reward=-37.02 vs 95.05, winner=blue, r_win=11:26:4, win=11:26:4, time=258/11505
42: reward=-40.30 vs 100.75, winner=blue, r_win=11:27:4, win=11:27:4, time=343/11847
43: reward=-34.98 vs 93.94, winner=blue, r_win=11:28:4, win=11:28:4, time=260/12107
44: reward=-35.04 vs 94.10, winner=blue, r_win=11:29:4, win=11:29:4, time=257/12363
45: reward=-36.60 vs 94.50, winner=blue, r_win=11:30:4, win=11:30:4, time=231/12595
46: reward=-34.50 vs 92.99, winner=blue, r_win=11:31:4, win=11:31:4, time=259/12853
47: reward=68.53 vs -8.41, winner=red, r_win=12:31:4, win=12:31:4, time=337/13190
48: reward=71.85 vs -13.74, winner=red, r_win=13:31:4, win=13:31:4, time=320/13510
49: reward=-24.42 vs 2.58, winner=draw, r_win=13:31:5, win=13:31:5, time=315/13824
50: reward=-34.86 vs 93.41, winner=blue, r_win=13:32:5, win=13:32:5, time=289/14113
51: reward=-34.72 vs 93.30, winner=blue, r_win=12:33:5, win=13:33:5, time=272/14384
52: reward=-35.76 vs 93.90, winner=blue, r_win=12:33:5, win=13:34:5, time=270/14654
53: reward=-33.83 vs 91.56, winner=blue, r_win=12:33:5, win=13:35:5, time=267/14921
54: reward=-23.64 vs 1.86, winner=draw, r_win=12:32:6, win=13:35:6, time=344/15264
55: reward=-36.45 vs 94.13, winner=blue, r_win=12:32:6, win=13:36:6, time=238/15502
56: reward=-36.83 vs 94.82, winner=blue, r_win=12:33:5, win=13:37:6, time=243/15746
57: reward=-33.95 vs 91.61, winner=blue, r_win=12:33:5, win=13:38:6, time=285/16030
58: reward=-35.98 vs 92.94, winner=blue, r_win=12:33:5, win=13:39:6, time=260/16290
59: reward=-39.75 vs 99.37, winner=blue, r_win=11:34:5, win=13:40:6, time=373/16663
60: reward=-32.76 vs 90.65, winner=blue, r_win=11:34:5, win=13:41:6, time=294/16956
61: reward=-36.10 vs 91.25, winner=blue, r_win=11:34:5, win=13:42:6, time=302/17258
62: reward=75.06 vs -17.43, winner=red, r_win=12:33:5, win=14:42:6, time=286/17543
63: reward=-36.40 vs 94.00, winner=blue, r_win=12:33:5, win=14:43:6, time=240/17784
