1: reward=-33.61 vs 96.01, winner=blue, r_win=0:1:0, win=0:1:0, time=381/381
2: reward=-33.06 vs 91.66, winner=blue, r_win=0:2:0, win=0:2:0, time=256/636
3: reward=-22.90 vs 1.10, winner=draw, r_win=0:2:1, win=0:2:1, time=317/953
4: reward=-24.50 vs 1.00, winner=draw, r_win=0:2:2, win=0:2:2, time=307/1259
5: reward=-33.56 vs 93.91, winner=blue, r_win=0:3:2, win=0:3:2, time=443/1702
6: reward=-33.40 vs 92.50, winner=blue, r_win=0:4:2, win=0:4:2, time=240/1942
7: reward=-34.13 vs 92.34, winner=blue, r_win=0:5:2, win=0:5:2, time=252/2195
8: reward=73.28 vs -15.41, winner=red, r_win=1:5:2, win=1:5:2, time=364/2558
9: reward=-32.18 vs 91.19, winner=blue, r_win=1:6:2, win=1:6:2, time=274/2832
10: reward=-32.03 vs 90.82, winner=blue, r_win=1:7:2, win=1:7:2, time=281/3112
11: reward=-40.93 vs 99.33, winner=blue, r_win=1:8:2, win=1:8:2, time=175/3288
12: reward=-36.23 vs 95.31, winner=blue, r_win=1:9:2, win=1:9:2, time=226/3514
13: reward=-25.91 vs 4.09, winner=draw, r_win=1:9:3, win=1:9:3, time=316/3829
14: reward=73.25 vs -15.80, winner=red, r_win=2:9:3, win=2:9:3, time=292/4121
15: reward=-26.56 vs 6.44, winner=draw, r_win=2:9:4, win=2:9:4, time=353/4473
16: reward=-18.89 vs -0.89, winner=draw, r_win=2:9:5, win=2:9:5, time=318/4791
17: reward=-35.40 vs 93.50, winner=blue, r_win=2:10:5, win=2:10:5, time=240/5031
18: reward=-33.63 vs 92.84, winner=blue, r_win=2:11:5, win=2:11:5, time=252/5283
19: reward=-34.83 vs 93.82, winner=blue, r_win=2:12:5, win=2:12:5, time=243/5527
20: reward=-33.03 vs 91.32, winner=blue, r_win=2:13:5, win=2:13:5, time=281/5807
21: reward=75.40 vs -16.26, winner=red, r_win=3:13:5, win=3:13:5, time=319/6126
22: reward=73.75 vs -16.80, winner=red, r_win=4:13:5, win=4:13:5, time=292/6418
23: reward=77.05 vs -17.72, winner=red, r_win=5:13:5, win=5:13:5, time=296/6713
24: reward=74.51 vs -16.40, winner=red, r_win=6:13:5, win=6:13:5, time=287/7000
25: reward=-36.63 vs 94.83, winner=blue, r_win=6:14:5, win=6:14:5, time=352/7352
26: reward=-39.30 vs 98.51, winner=blue, r_win=6:15:5, win=6:15:5, time=370/7721
27: reward=-43.97 vs 104.43, winner=blue, r_win=6:16:5, win=6:16:5, time=418/8139
28: reward=-35.45 vs 93.63, winner=blue, r_win=6:17:5, win=6:17:5, time=238/8377
29: reward=-42.83 vs 102.32, winner=blue, r_win=6:18:5, win=6:18:5, time=397/8773
30: reward=-34.78 vs 93.46, winner=blue, r_win=6:19:5, win=6:19:5, time=269/9042
31: reward=-33.43 vs 92.33, winner=blue, r_win=6:20:5, win=6:20:5, time=262/9304
32: reward=72.75 vs -14.20, winner=red, r_win=7:20:5, win=7:20:5, time=322/9625
33: reward=-34.04 vs 92.10, winner=blue, r_win=7:21:5, win=7:21:5, time=257/9882
34: reward=-32.07 vs 90.93, winner=blue, r_win=7:22:5, win=7:22:5, time=279/10160
35: reward=-41.36 vs 100.41, winner=blue, r_win=7:23:5, win=7:23:5, time=289/10449
36: reward=-24.75 vs 2.25, winner=draw, r_win=7:23:6, win=7:23:6, time=332/10781
37: reward=-40.04 vs 96.60, winner=blue, r_win=7:24:6, win=7:24:6, time=257/11037
38: reward=-33.83 vs 91.56, winner=blue, r_win=7:25:6, win=7:25:6, time=267/11304
39: reward=-37.78 vs 94.96, winner=blue, r_win=7:26:6, win=7:26:6, time=269/11572
40: reward=-37.23 vs 93.81, winner=blue, r_win=7:27:6, win=7:27:6, time=433/12005
41: reward=72.50 vs -14.70, winner=red, r_win=8:27:6, win=8:27:6, time=297/12302
42: reward=-39.80 vs 98.50, winner=blue, r_win=8:28:6, win=8:28:6, time=317/12618
43: reward=-38.00 vs 95.75, winner=blue, r_win=8:29:6, win=8:29:6, time=236/12854
44: reward=-34.87 vs 89.69, winner=blue, r_win=8:30:6, win=8:30:6, time=366/13220
45: reward=-39.93 vs 97.33, winner=blue, r_win=8:31:6, win=8:31:6, time=175/13395
46: reward=80.13 vs -23.35, winner=red, r_win=9:31:6, win=9:31:6, time=220/13615
47: reward=-35.66 vs 93.64, winner=blue, r_win=9:32:6, win=9:32:6, time=275/13890
48: reward=-37.88 vs 95.69, winner=blue, r_win=9:33:6, win=9:33:6, time=219/14109
49: reward=-32.98 vs 91.44, winner=blue, r_win=9:34:6, win=9:34:6, time=260/14369
50: reward=74.75 vs -17.40, winner=red, r_win=10:34:6, win=10:34:6, time=312/14680
51: reward=-38.13 vs 96.33, winner=blue, r_win=10:34:6, win=10:35:6, time=208/14889
52: reward=-34.74 vs 91.85, winner=blue, r_win=10:34:6, win=10:36:6, time=271/15159
53: reward=-37.50 vs 92.75, winner=blue, r_win=10:35:5, win=10:37:6, time=447/15606
54: reward=75.59 vs -18.54, winner=red, r_win=11:35:4, win=11:37:6, time=305/15910
55: reward=-32.84 vs 86.86, winner=blue, r_win=11:35:4, win=11:38:6, time=396/16306
56: reward=-37.75 vs 95.38, winner=blue, r_win=11:35:4, win=11:39:6, time=225/16531
57: reward=-36.73 vs 94.81, winner=blue, r_win=11:35:4, win=11:40:6, time=226/16757
58: reward=-35.85 vs 92.62, winner=blue, r_win=10:36:4, win=11:41:6, time=266/17022
