1: reward=-34.98 vs 93.94, winner=blue, r_win=0:1:0, win=0:1:0, time=260/260
2: reward=-35.78 vs 94.20, winner=blue, r_win=0:2:0, win=0:2:0, time=246/505
3: reward=-24.34 vs -0.34, winner=draw, r_win=0:2:1, win=0:2:1, time=274/779
4: reward=-34.85 vs 93.88, winner=blue, r_win=0:3:1, win=0:3:1, time=242/1021
5: reward=71.41 vs -13.57, winner=red, r_win=1:3:1, win=1:3:1, time=329/1350
6: reward=-25.23 vs 1.77, winner=draw, r_win=1:3:2, win=1:3:2, time=284/1633
7: reward=-35.98 vs 94.44, winner=blue, r_win=1:4:2, win=1:4:2, time=260/1893
8: reward=74.67 vs -16.47, winner=red, r_win=2:4:2, win=2:4:2, time=284/2177
9: reward=-33.16 vs 91.64, winner=blue, r_win=2:5:2, win=2:5:2, time=275/2451
10: reward=-35.38 vs 93.44, winner=blue, r_win=2:6:2, win=2:6:2, time=241/2693
11: reward=75.27 vs -15.51, winner=red, r_win=3:6:2, win=3:6:2, time=332/3024
12: reward=74.40 vs -16.26, winner=red, r_win=4:6:2, win=4:6:2, time=270/3294
13: reward=82.02 vs -24.11, winner=red, r_win=5:6:2, win=5:6:2, time=188/3482
14: reward=-34.74 vs 93.35, winner=blue, r_win=5:7:2, win=5:7:2, time=271/3753
15: reward=-35.00 vs 93.99, winner=blue, r_win=5:8:2, win=5:8:2, time=259/4011
16: reward=57.94 vs 4.32, winner=red, r_win=6:8:2, win=6:8:2, time=537/4548
17: reward=-24.57 vs 0.93, winner=draw, r_win=6:8:3, win=6:8:3, time=300/4848
18: reward=-33.52 vs 92.55, winner=blue, r_win=6:9:3, win=6:9:3, time=258/5105
19: reward=-34.16 vs 92.40, winner=blue, r_win=6:10:3, win=6:10:3, time=251/5356
20: reward=-40.60 vs 98.75, winner=blue, r_win=6:11:3, win=6:11:3, time=302/5658
21: reward=-40.12 vs 96.30, winner=blue, r_win=6:12:3, win=6:12:3, time=301/5959
22: reward=-41.38 vs 100.46, winner=blue, r_win=6:13:3, win=6:13:3, time=288/6246
23: reward=-35.56 vs 93.66, winner=blue, r_win=6:14:3, win=6:14:3, time=256/6502
24: reward=-33.74 vs 91.35, winner=blue, r_win=6:15:3, win=6:15:3, time=271/6772
25: reward=-40.13 vs 96.84, winner=blue, r_win=6:16:3, win=6:16:3, time=252/7025
26: reward=-33.91 vs 91.78, winner=blue, r_win=6:17:3, win=6:17:3, time=263/7287
27: reward=-33.66 vs 91.14, winner=blue, r_win=6:18:3, win=6:18:3, time=275/7562
28: reward=80.09 vs -23.24, winner=red, r_win=7:18:3, win=7:18:3, time=204/7766
29: reward=-36.55 vs 94.38, winner=blue, r_win=7:19:3, win=7:19:3, time=234/7999
30: reward=-34.80 vs 92.01, winner=blue, r_win=7:20:3, win=7:20:3, time=268/8267
31: reward=-34.41 vs 92.78, winner=blue, r_win=7:21:3, win=7:21:3, time=263/8530
32: reward=73.65 vs -16.76, winner=red, r_win=8:21:3, win=8:21:3, time=294/8823
33: reward=-35.66 vs 92.14, winner=blue, r_win=8:22:3, win=8:22:3, time=275/9098
34: reward=-37.00 vs 95.51, winner=blue, r_win=8:23:3, win=8:23:3, time=214/9312
35: reward=-38.74 vs 95.35, winner=blue, r_win=8:24:3, win=8:24:3, time=271/9582
36: reward=-32.90 vs 91.01, winner=blue, r_win=8:25:3, win=8:25:3, time=287/9869
37: reward=-34.24 vs 92.35, winner=blue, r_win=8:26:3, win=8:26:3, time=271/10139
38: reward=-35.54 vs 93.60, winner=blue, r_win=8:27:3, win=8:27:3, time=257/10396
39: reward=-35.76 vs 94.14, winner=blue, r_win=8:28:3, win=8:28:3, time=247/10643
40: reward=75.46 vs -15.59, winner=red, r_win=9:28:3, win=9:28:3, time=328/10970
41: reward=71.91 vs -14.57, winner=red, r_win=10:28:3, win=10:28:3, time=329/11299
42: reward=-35.39 vs 93.22, winner=blue, r_win=10:29:3, win=10:29:3, time=264/11563
