1: reward=-34.48 vs 89.95, winner=blue, r_win=0:1:0, win=0:1:0, time=135/135
2: reward=-37.28 vs 92.69, winner=blue, r_win=0:2:0, win=0:2:0, time=124/258
3: reward=-35.13 vs 91.84, winner=blue, r_win=0:3:0, win=0:3:0, time=93/351
4: reward=-36.45 vs 92.87, winner=blue, r_win=0:4:0, win=0:4:0, time=99/450
5: reward=-32.60 vs 87.51, winner=blue, r_win=0:5:0, win=0:5:0, time=149/599
6: reward=-35.05 vs 91.37, winner=blue, r_win=0:6:0, win=0:6:0, time=114/713
7: reward=-33.45 vs 89.38, winner=blue, r_win=0:7:0, win=0:7:0, time=136/849
8: reward=-38.14 vs 95.11, winner=blue, r_win=0:8:0, win=0:8:0, time=75/924
9: reward=-31.29 vs 85.73, winner=blue, r_win=0:9:0, win=0:9:0, time=202/1126
10: reward=-34.01 vs 89.03, winner=blue, r_win=0:10:0, win=0:10:0, time=133/1259
11: reward=-36.07 vs 93.68, winner=blue, r_win=0:11:0, win=0:11:0, time=95/1354
12: reward=-36.84 vs 91.84, winner=blue, r_win=0:12:0, win=0:12:0, time=121/1475
13: reward=-35.02 vs 91.29, winner=blue, r_win=0:13:0, win=0:13:0, time=115/1590
14: reward=-30.35 vs 85.87, winner=blue, r_win=0:14:0, win=0:14:0, time=159/1749
15: reward=-38.45 vs 95.63, winner=blue, r_win=0:15:0, win=0:15:0, time=82/1831
16: reward=-37.05 vs 94.37, winner=blue, r_win=0:16:0, win=0:16:0, time=78/1909
17: reward=-32.46 vs 89.14, winner=blue, r_win=0:17:0, win=0:17:0, time=117/2026
18: reward=-33.40 vs 89.49, winner=blue, r_win=0:18:0, win=0:18:0, time=119/2146
19: reward=-34.76 vs 90.90, winner=blue, r_win=0:19:0, win=0:19:0, time=106/2252
20: reward=-32.99 vs 88.23, winner=blue, r_win=0:20:0, win=0:20:0, time=153/2405
21: reward=-34.46 vs 89.40, winner=blue, r_win=0:21:0, win=0:21:0, time=174/2579
22: reward=-38.26 vs 95.15, winner=blue, r_win=0:22:0, win=0:22:0, time=88/2667
23: reward=-31.43 vs 88.08, winner=blue, r_win=0:23:0, win=0:23:0, time=155/2823
24: reward=-32.85 vs 87.63, winner=blue, r_win=0:24:0, win=0:24:0, time=179/3002
25: reward=-35.20 vs 91.99, winner=blue, r_win=0:25:0, win=0:25:0, time=91/3092
26: reward=-34.81 vs 90.77, winner=blue, r_win=0:26:0, win=0:26:0, time=122/3215
27: reward=-32.58 vs 89.44, winner=blue, r_win=0:27:0, win=0:27:0, time=113/3327
28: reward=-35.10 vs 91.76, winner=blue, r_win=0:28:0, win=0:28:0, time=94/3421
29: reward=-37.40 vs 92.99, winner=blue, r_win=0:29:0, win=0:29:0, time=119/3540
30: reward=-38.55 vs 95.87, winner=blue, r_win=0:30:0, win=0:30:0, time=78/3619
31: reward=-36.78 vs 91.69, winner=blue, r_win=0:31:0, win=0:31:0, time=124/3742
32: reward=-30.82 vs 86.56, winner=blue, r_win=0:32:0, win=0:32:0, time=180/3922
33: reward=-31.38 vs 86.20, winner=blue, r_win=0:33:0, win=0:33:0, time=177/4100
34: reward=-36.23 vs 92.33, winner=blue, r_win=0:34:0, win=0:34:0, time=107/4207
35: reward=-37.88 vs 94.21, winner=blue, r_win=0:35:0, win=0:35:0, time=102/4308
36: reward=-30.10 vs 85.25, winner=blue, r_win=0:36:0, win=0:36:0, time=169/4477
37: reward=-33.64 vs 90.10, winner=blue, r_win=0:37:0, win=0:37:0, time=110/4587
38: reward=-33.79 vs 90.48, winner=blue, r_win=0:38:0, win=0:38:0, time=105/4692
39: reward=-29.00 vs 84.25, winner=blue, r_win=0:39:0, win=0:39:0, time=193/4885
40: reward=-32.10 vs 88.01, winner=blue, r_win=0:40:0, win=0:40:0, time=149/5034
41: reward=-32.10 vs 88.25, winner=blue, r_win=0:41:0, win=0:41:0, time=130/5164
42: reward=-37.05 vs 94.37, winner=blue, r_win=0:42:0, win=0:42:0, time=78/5243
43: reward=-30.69 vs 86.73, winner=blue, r_win=0:43:0, win=0:43:0, time=146/5388
44: reward=-37.86 vs 94.39, winner=blue, r_win=0:44:0, win=0:44:0, time=85/5474
45: reward=-33.43 vs 89.57, winner=blue, r_win=0:45:0, win=0:45:0, time=118/5592
46: reward=-33.32 vs 88.80, winner=blue, r_win=0:46:0, win=0:46:0, time=160/5752
47: reward=-30.41 vs 86.01, winner=blue, r_win=0:47:0, win=0:47:0, time=157/5908
48: reward=-28.61 vs 83.52, winner=blue, r_win=0:48:0, win=0:48:0, time=188/6097
49: reward=-37.70 vs 93.99, winner=blue, r_win=0:49:0, win=0:49:0, time=91/6187
50: reward=-34.11 vs 91.02, winner=blue, r_win=0:50:0, win=0:50:0, time=111/6299
51: reward=-34.13 vs 89.08, winner=blue, r_win=0:50:0, win=0:51:0, time=148/6447
52: reward=-38.45 vs 95.63, winner=blue, r_win=0:50:0, win=0:52:0, time=82/6528
53: reward=-38.01 vs 94.52, winner=blue, r_win=0:50:0, win=0:53:0, time=97/6626
54: reward=-28.29 vs 82.73, winner=blue, r_win=0:50:0, win=0:54:0, time=202/6827
55: reward=-37.82 vs 94.06, winner=blue, r_win=0:50:0, win=0:55:0, time=104/6931
56: reward=-34.76 vs 90.90, winner=blue, r_win=0:50:0, win=0:56:0, time=106/7037
57: reward=-36.66 vs 91.15, winner=blue, r_win=0:50:0, win=0:57:0, time=147/7184
58: reward=-35.25 vs 89.87, winner=blue, r_win=0:50:0, win=0:58:0, time=143/7327
59: reward=-36.60 vs 91.25, winner=blue, r_win=0:50:0, win=0:59:0, time=130/7457
60: reward=-35.25 vs 89.87, winner=blue, r_win=0:50:0, win=0:60:0, time=143/7601
61: reward=-33.51 vs 89.53, winner=blue, r_win=0:50:0, win=0:61:0, time=133/7734
62: reward=-36.05 vs 91.87, winner=blue, r_win=0:50:0, win=0:62:0, time=114/7848
63: reward=-38.32 vs 95.31, winner=blue, r_win=0:50:0, win=0:63:0, time=86/7934
64: reward=-37.30 vs 93.49, winner=blue, r_win=0:50:0, win=0:64:0, time=181/8115
65: reward=-31.55 vs 88.87, winner=blue, r_win=0:50:0, win=0:65:0, time=114/8229
66: reward=-36.02 vs 91.79, winner=blue, r_win=0:50:0, win=0:66:0, time=115/8343
67: reward=-34.18 vs 88.95, winner=blue, r_win=0:50:0, win=0:67:0, time=165/8509
68: reward=-33.13 vs 88.58, winner=blue, r_win=0:50:0, win=0:68:0, time=148/8657
69: reward=-36.86 vs 93.89, winner=blue, r_win=0:50:0, win=0:69:0, time=85/8742
70: reward=-35.07 vs 91.68, winner=blue, r_win=0:50:0, win=0:70:0, time=95/8837
71: reward=-37.86 vs 94.39, winner=blue, r_win=0:50:0, win=0:71:0, time=85/8922
72: reward=-37.89 vs 94.47, winner=blue, r_win=0:50:0, win=0:72:0, time=84/9006
73: reward=-34.45 vs 91.87, winner=blue, r_win=0:50:0, win=0:73:0, time=99/9105
74: reward=-37.38 vs 93.21, winner=blue, r_win=0:50:0, win=0:74:0, time=102/9207
75: reward=-34.69 vs 90.47, winner=blue, r_win=0:50:0, win=0:75:0, time=127/9334
76: reward=-34.87 vs 90.92, winner=blue, r_win=0:50:0, win=0:76:0, time=120/9454
77: reward=-32.71 vs 87.52, winner=blue, r_win=0:50:0, win=0:77:0, time=164/9618
78: reward=-20.70 vs -8.70, winner=draw, r_win=0:49:1, win=0:77:1, time=197/9816
79: reward=-38.11 vs 95.03, winner=blue, r_win=0:49:1, win=0:78:1, time=76/9892
80: reward=-33.43 vs 87.58, winner=blue, r_win=0:49:1, win=0:79:1, time=155/10047
81: reward=-31.20 vs 86.75, winner=blue, r_win=0:49:1, win=0:80:1, time=227/10274
82: reward=-34.84 vs 90.84, winner=blue, r_win=0:49:1, win=0:81:1, time=121/10396
83: reward=-38.71 vs 96.27, winner=blue, r_win=0:49:1, win=0:82:1, time=73/10469
84: reward=-31.58 vs 88.94, winner=blue, r_win=0:49:1, win=0:83:1, time=113/10581
85: reward=-35.02 vs 89.30, winner=blue, r_win=0:49:1, win=0:84:1, time=152/10734
86: reward=-32.78 vs 87.94, winner=blue, r_win=0:49:1, win=0:85:1, time=142/10876
87: reward=-37.16 vs 92.39, winner=blue, r_win=0:49:1, win=0:86:1, time=128/11004
88: reward=-33.69 vs 88.23, winner=blue, r_win=0:49:1, win=0:87:1, time=146/11150
89: reward=-35.16 vs 89.65, winner=blue, r_win=0:49:1, win=0:88:1, time=147/11296
90: reward=-32.13 vs 88.32, winner=blue, r_win=0:49:1, win=0:89:1, time=129/11425
91: reward=-36.05 vs 91.87, winner=blue, r_win=0:49:1, win=0:90:1, time=114/11539
92: reward=-31.46 vs 86.40, winner=blue, r_win=0:49:1, win=0:91:1, time=174/11713
93: reward=-38.94 vs 96.84, winner=blue, r_win=0:49:1, win=0:92:1, time=65/11779
94: reward=-30.55 vs 86.37, winner=blue, r_win=0:49:1, win=0:93:1, time=151/11930
95: reward=-31.04 vs 87.60, winner=blue, r_win=0:49:1, win=0:94:1, time=132/12062
