1: reward=-36.52 vs 93.29, winner=blue, r_win=0:1:0, win=0:1:0, time=80/80
2: reward=-37.46 vs 93.14, winner=blue, r_win=0:2:0, win=0:2:0, time=117/197
3: reward=-17.33 vs -18.83, winner=draw, r_win=0:2:1, win=0:2:1, time=109/306
4: reward=-18.69 vs -18.69, winner=draw, r_win=0:2:2, win=0:2:2, time=84/390
5: reward=-17.54 vs -19.04, winner=draw, r_win=0:2:3, win=0:2:3, time=95/485
6: reward=-17.33 vs -18.83, winner=draw, r_win=0:2:4, win=0:2:4, time=109/594
7: reward=-33.43 vs 89.57, winner=blue, r_win=0:3:4, win=0:3:4, time=118/712
8: reward=-29.82 vs 84.56, winner=blue, r_win=0:4:4, win=0:4:4, time=180/892
9: reward=-17.30 vs -18.80, winner=draw, r_win=0:4:5, win=0:4:5, time=111/1003
10: reward=96.11 vs -38.64, winner=red, r_win=1:4:5, win=1:4:5, time=75/1079
11: reward=-15.93 vs -18.93, winner=draw, r_win=1:4:6, win=1:4:6, time=139/1218
12: reward=-17.26 vs -18.76, winner=draw, r_win=1:4:7, win=1:4:7, time=115/1332
13: reward=-17.46 vs -18.96, winner=draw, r_win=1:4:8, win=1:4:8, time=100/1433
14: reward=-18.87 vs -18.87, winner=draw, r_win=1:4:9, win=1:4:9, time=72/1505
15: reward=-35.07 vs 91.68, winner=blue, r_win=1:5:9, win=1:5:9, time=95/1600
16: reward=-19.05 vs -19.05, winner=draw, r_win=1:5:10, win=1:5:10, time=60/1660
17: reward=-35.54 vs 90.60, winner=blue, r_win=1:6:10, win=1:6:10, time=132/1792
18: reward=93.92 vs -37.87, winner=red, r_win=2:6:10, win=2:6:10, time=120/1913
19: reward=-18.84 vs -18.84, winner=draw, r_win=2:6:11, win=2:6:11, time=74/1987
20: reward=-18.18 vs -18.18, winner=draw, r_win=2:6:12, win=2:6:12, time=120/2107
21: reward=-18.41 vs -18.41, winner=draw, r_win=2:6:13, win=2:6:13, time=104/2211
