1: reward=-14.90 vs -19.40, winner=draw, r_win=0:0:1, win=0:0:1, time=141/141
2: reward=-18.32 vs -18.32, winner=draw, r_win=0:0:2, win=0:0:2, time=110/252
3: reward=-18.37 vs -18.37, winner=draw, r_win=0:0:3, win=0:0:3, time=107/359
4: reward=-18.63 vs -18.63, winner=draw, r_win=0:0:4, win=0:0:4, time=88/447
5: reward=-18.82 vs -18.82, winner=draw, r_win=0:0:5, win=0:0:5, time=75/522
6: reward=-18.73 vs -18.73, winner=draw, r_win=0:0:6, win=0:0:6, time=82/604
7: reward=-16.96 vs -18.46, winner=draw, r_win=0:0:7, win=0:0:7, time=137/741
8: reward=-18.20 vs -18.20, winner=draw, r_win=0:0:8, win=0:0:8, time=119/860
9: reward=-18.40 vs -18.40, winner=draw, r_win=0:0:9, win=0:0:9, time=105/965
10: reward=-17.12 vs -18.62, winner=draw, r_win=0:0:10, win=0:0:10, time=125/1090
11: reward=-18.89 vs -18.89, winner=draw, r_win=0:0:11, win=0:0:11, time=71/1160
12: reward=-18.94 vs -18.94, winner=draw, r_win=0:0:12, win=0:0:12, time=68/1228
13: reward=-32.90 vs 89.99, winner=blue, r_win=0:1:12, win=0:1:12, time=119/1347
14: reward=-18.89 vs -18.89, winner=draw, r_win=0:1:13, win=0:1:13, time=71/1418
15: reward=-17.47 vs -18.97, winner=draw, r_win=0:1:14, win=0:1:14, time=99/1517
16: reward=-18.95 vs -18.95, winner=draw, r_win=0:1:15, win=0:1:15, time=66/1584
17: reward=-18.73 vs -18.73, winner=draw, r_win=0:1:16, win=0:1:16, time=82/1666
18: reward=-35.99 vs 91.72, winner=blue, r_win=0:2:16, win=0:2:16, time=116/1781
19: reward=-18.73 vs -18.73, winner=draw, r_win=0:2:17, win=0:2:17, time=82/1863
20: reward=-17.15 vs -18.65, winner=draw, r_win=0:2:18, win=0:2:18, time=122/1986
21: reward=-18.63 vs -18.63, winner=draw, r_win=0:2:19, win=0:2:19, time=88/2074
22: reward=92.22 vs -36.99, winner=red, r_win=1:2:19, win=1:2:19, time=116/2190
23: reward=-18.17 vs -18.17, winner=draw, r_win=1:2:20, win=1:2:20, time=121/2311
24: reward=-18.35 vs -18.35, winner=draw, r_win=1:2:21, win=1:2:21, time=108/2420
25: reward=-34.25 vs 89.62, winner=blue, r_win=1:3:21, win=1:3:21, time=125/2544
26: reward=-38.39 vs 95.47, winner=blue, r_win=1:4:21, win=1:4:21, time=84/2628
27: reward=-18.71 vs -18.71, winner=draw, r_win=1:4:22, win=1:4:22, time=83/2711
28: reward=-18.43 vs -18.43, winner=draw, r_win=1:4:23, win=1:4:23, time=103/2814
29: reward=94.99 vs -38.20, winner=red, r_win=2:4:23, win=2:4:23, time=91/2905
30: reward=-18.90 vs -18.90, winner=draw, r_win=2:4:24, win=2:4:24, time=70/2974
31: reward=-18.71 vs -18.71, winner=draw, r_win=2:4:25, win=2:4:25, time=83/3057
32: reward=-17.14 vs -18.64, winner=draw, r_win=2:4:26, win=2:4:26, time=124/3181
33: reward=-18.17 vs -18.17, winner=draw, r_win=2:4:27, win=2:4:27, time=121/3302
34: reward=-18.74 vs -18.74, winner=draw, r_win=2:4:28, win=2:4:28, time=81/3383
35: reward=-18.89 vs -18.89, winner=draw, r_win=2:4:29, win=2:4:29, time=71/3454
36: reward=-18.95 vs -18.95, winner=draw, r_win=2:4:30, win=2:4:30, time=66/3520
37: reward=-18.95 vs -18.95, winner=draw, r_win=2:4:31, win=2:4:31, time=66/3586
38: reward=-18.92 vs -18.92, winner=draw, r_win=2:4:32, win=2:4:32, time=69/3655
39: reward=-35.70 vs 91.25, winner=blue, r_win=2:5:32, win=2:5:32, time=108/3763
40: reward=-18.52 vs -18.52, winner=draw, r_win=2:5:33, win=2:5:33, time=96/3859
41: reward=-18.76 vs -18.76, winner=draw, r_win=2:5:34, win=2:5:34, time=80/3939
42: reward=-18.32 vs -18.32, winner=draw, r_win=2:5:35, win=2:5:35, time=110/4049
43: reward=-36.86 vs 93.89, winner=blue, r_win=2:6:35, win=2:6:35, time=85/4134
44: reward=-29.01 vs 86.53, winner=blue, r_win=2:7:35, win=2:7:35, time=133/4268
45: reward=-18.46 vs -18.46, winner=draw, r_win=2:7:36, win=2:7:36, time=100/4368
46: reward=-18.84 vs -18.84, winner=draw, r_win=2:7:37, win=2:7:37, time=74/4443
47: reward=-30.10 vs 87.25, winner=blue, r_win=2:8:37, win=2:8:37, time=130/4573
48: reward=-35.19 vs 89.73, winner=blue, r_win=2:9:37, win=2:9:37, time=146/4718
49: reward=-18.58 vs -18.58, winner=draw, r_win=2:9:38, win=2:9:38, time=92/4810
50: reward=-9.80 vs -21.80, winner=draw, r_win=2:9:39, win=2:9:39, time=149/4959
51: reward=-18.52 vs -18.52, winner=draw, r_win=2:9:39, win=2:9:40, time=96/5055
52: reward=-18.89 vs -18.89, winner=draw, r_win=2:9:39, win=2:9:41, time=71/5126
53: reward=-18.90 vs -18.90, winner=draw, r_win=2:9:39, win=2:9:42, time=70/5196
54: reward=-18.90 vs -18.90, winner=draw, r_win=2:9:39, win=2:9:43, time=70/5265
55: reward=91.66 vs -36.86, winner=red, r_win=3:9:38, win=3:9:43, time=139/5404
56: reward=-18.84 vs -18.84, winner=draw, r_win=3:9:38, win=3:9:44, time=74/5478
57: reward=-17.96 vs -17.96, winner=draw, r_win=3:9:38, win=3:9:45, time=137/5615
58: reward=-18.71 vs -18.71, winner=draw, r_win=3:9:38, win=3:9:46, time=83/5698
59: reward=-18.92 vs -18.92, winner=draw, r_win=3:9:38, win=3:9:47, time=69/5767
60: reward=-18.30 vs -18.30, winner=draw, r_win=3:9:38, win=3:9:48, time=111/5878
61: reward=94.84 vs -38.13, winner=red, r_win=4:9:37, win=4:9:48, time=93/5971
62: reward=-38.55 vs 95.87, winner=blue, r_win=4:10:36, win=4:10:48, time=78/6049
63: reward=-17.18 vs -18.68, winner=draw, r_win=4:9:37, win=4:10:49, time=120/6170
64: reward=-18.87 vs -18.87, winner=draw, r_win=4:9:37, win=4:10:50, time=72/6242
65: reward=-18.92 vs -18.92, winner=draw, r_win=4:9:37, win=4:10:51, time=69/6310
66: reward=-33.19 vs 88.97, winner=blue, r_win=4:10:36, win=4:11:51, time=127/6437
67: reward=92.39 vs -37.16, winner=red, r_win=5:10:35, win=5:11:51, time=128/6565
68: reward=-18.79 vs -18.79, winner=draw, r_win=5:9:36, win=5:11:52, time=77/6643
69: reward=95.31 vs -38.32, winner=red, r_win=6:9:35, win=6:11:52, time=86/6729
70: reward=-18.87 vs -18.87, winner=draw, r_win=6:9:35, win=6:11:53, time=72/6801
71: reward=-18.97 vs -18.97, winner=draw, r_win=6:9:35, win=6:11:54, time=65/6866
72: reward=-26.15 vs 83.38, winner=blue, r_win=5:10:35, win=6:12:54, time=166/7032
73: reward=-31.72 vs 87.30, winner=blue, r_win=5:11:34, win=6:13:54, time=144/7177
74: reward=92.77 vs -37.31, winner=red, r_win=6:11:33, win=7:13:54, time=122/7299
75: reward=95.93 vs -38.47, winner=red, r_win=7:10:33, win=8:13:54, time=64/7364
76: reward=-30.32 vs 85.80, winner=blue, r_win=7:10:33, win=8:14:54, time=160/7524
77: reward=94.91 vs -38.17, winner=red, r_win=8:10:32, win=9:14:54, time=92/7615
78: reward=-17.69 vs -19.19, winner=draw, r_win=8:10:32, win=9:14:55, time=84/7699
79: reward=-18.09 vs -18.09, winner=draw, r_win=7:10:33, win=9:14:56, time=127/7826
80: reward=-29.98 vs 86.95, winner=blue, r_win=7:11:32, win=9:15:56, time=135/7961
81: reward=96.11 vs -38.64, winner=red, r_win=8:11:31, win=10:15:56, time=75/8036
82: reward=-35.13 vs 91.84, winner=blue, r_win=8:12:30, win=10:16:56, time=93/8129
83: reward=-36.42 vs 92.79, winner=blue, r_win=8:13:29, win=10:17:56, time=100/8229
84: reward=-8.65 vs -22.15, winner=draw, r_win=8:13:29, win=10:17:57, time=161/8390
85: reward=-18.18 vs -18.18, winner=draw, r_win=8:13:29, win=10:17:58, time=120/8511
86: reward=-18.85 vs -18.85, winner=draw, r_win=8:13:29, win=10:17:59, time=73/8584
87: reward=-18.92 vs -18.92, winner=draw, r_win=8:13:29, win=10:17:60, time=69/8652
88: reward=-16.44 vs -19.44, winner=draw, r_win=8:13:29, win=10:17:61, time=102/8754
89: reward=-25.53 vs 81.82, winner=blue, r_win=8:13:29, win=10:18:61, time=192/8946
90: reward=-8.59 vs -22.09, winner=draw, r_win=8:13:29, win=10:18:62, time=165/9111
91: reward=-18.79 vs -18.79, winner=draw, r_win=8:13:29, win=10:18:63, time=77/9188
92: reward=-31.10 vs 87.75, winner=blue, r_win=8:14:28, win=10:19:63, time=130/9319
93: reward=-31.34 vs 88.09, winner=blue, r_win=8:14:28, win=10:20:63, time=140/9459
94: reward=-18.15 vs -18.15, winner=draw, r_win=8:13:29, win=10:20:64, time=122/9581
95: reward=-18.69 vs -18.69, winner=draw, r_win=8:13:29, win=10:20:65, time=84/9665
96: reward=-17.66 vs -19.16, winner=draw, r_win=8:13:29, win=10:20:66, time=86/9751
97: reward=-32.79 vs 89.98, winner=blue, r_win=8:13:29, win=10:21:66, time=105/9856
98: reward=-17.81 vs -19.31, winner=draw, r_win=8:12:30, win=10:21:67, time=76/9933
99: reward=-18.89 vs -18.89, winner=draw, r_win=8:12:30, win=10:21:68, time=71/10003
100: reward=-37.40 vs 92.99, winner=blue, r_win=8:13:29, win=10:22:68, time=119/10123
101: reward=-18.46 vs -18.46, winner=draw, r_win=8:13:29, win=10:22:69, time=100/10223
102: reward=93.22 vs -37.49, winner=red, r_win=9:13:28, win=11:22:69, time=116/10339
103: reward=-36.42 vs 93.05, winner=blue, r_win=9:14:27, win=11:23:69, time=83/10422
104: reward=-26.10 vs 83.25, winner=blue, r_win=9:15:26, win=11:24:69, time=169/10591
105: reward=-30.21 vs 85.52, winner=blue, r_win=8:16:26, win=11:25:69, time=164/10755
106: reward=-16.96 vs -18.46, winner=draw, r_win=8:16:26, win=11:25:70, time=137/10892
107: reward=-9.09 vs -21.09, winner=draw, r_win=8:16:26, win=11:25:71, time=206/11098
108: reward=-9.48 vs -21.48, winner=draw, r_win=8:16:26, win=11:25:72, time=174/11272
109: reward=95.71 vs -38.48, winner=red, r_win=9:16:25, win=12:25:72, time=81/11353
110: reward=-32.75 vs 87.87, winner=blue, r_win=9:17:24, win=12:26:72, time=143/11496
111: reward=-8.26 vs -21.76, winner=draw, r_win=8:17:25, win=12:26:73, time=192/11688
112: reward=-27.63 vs 83.09, winner=blue, r_win=8:17:25, win=12:27:73, time=187/11875
113: reward=-26.02 vs 83.04, winner=blue, r_win=8:18:24, win=12:28:73, time=172/12047
114: reward=-18.85 vs -18.85, winner=draw, r_win=8:18:24, win=12:28:74, time=73/12120
115: reward=-18.85 vs -18.85, winner=draw, r_win=8:18:24, win=12:28:75, time=73/12193
116: reward=-7.85 vs -21.35, winner=draw, r_win=8:17:25, win=12:28:76, time=227/12420
117: reward=95.44 vs -38.48, winner=red, r_win=8:17:25, win=13:28:76, time=98/12519
118: reward=95.63 vs -38.45, winner=red, r_win=9:17:24, win=14:28:76, time=82/12600
119: reward=94.84 vs -38.13, winner=red, r_win=9:17:24, win=15:28:76, time=93/12693
120: reward=-33.79 vs 90.48, winner=blue, r_win=9:18:23, win=15:29:76, time=105/12798
121: reward=-25.77 vs 82.42, winner=blue, r_win=9:19:22, win=15:30:76, time=182/12980
122: reward=-18.38 vs -18.38, winner=draw, r_win=9:18:23, win=15:30:77, time=106/13086
123: reward=-8.52 vs -22.02, winner=draw, r_win=9:17:24, win=15:30:78, time=171/13257
124: reward=-18.92 vs -18.92, winner=draw, r_win=8:17:25, win=15:30:79, time=69/13325
125: reward=-17.11 vs -18.61, winner=draw, r_win=7:17:26, win=15:30:80, time=126/13451
126: reward=-18.47 vs -18.47, winner=draw, r_win=7:16:27, win=15:30:81, time=99/13551
127: reward=92.39 vs -37.16, winner=red, r_win=7:16:27, win=16:30:81, time=128/13679
128: reward=-24.80 vs 80.00, winner=blue, r_win=7:17:26, win=16:31:81, time=223/13901
129: reward=92.62 vs -37.25, winner=red, r_win=8:17:25, win=17:31:81, time=125/14026
130: reward=-25.16 vs 80.90, winner=blue, r_win=8:17:25, win=17:32:81, time=207/14233
131: reward=-26.10 vs 83.25, winner=blue, r_win=7:18:25, win=17:33:81, time=169/14402
132: reward=-27.88 vs 83.70, winner=blue, r_win=7:18:25, win=17:34:81, time=177/14579
133: reward=94.60 vs -38.04, winner=red, r_win=8:17:25, win=18:34:81, time=96/14675
