1: reward=-69.42 vs 89.00, winner=blue, r_win=0:1:0, win=0:1:0, time=144/144
2: reward=-82.35 vs 90.72, winner=blue, r_win=0:2:0, win=0:2:0, time=125/269
3: reward=-56.81 vs 94.23, winner=blue, r_win=0:3:0, win=0:3:0, time=76/345
4: reward=-64.24 vs 92.80, winner=blue, r_win=0:4:0, win=0:4:0, time=96/442
5: reward=-87.50 vs 91.09, winner=blue, r_win=0:5:0, win=0:5:0, time=119/561
6: reward=-54.59 vs 93.67, winner=blue, r_win=0:6:0, win=0:6:0, time=84/645
7: reward=-61.01 vs 92.52, winner=blue, r_win=0:7:0, win=0:7:0, time=97/742
8: reward=-65.42 vs 91.19, winner=blue, r_win=0:8:0, win=0:8:0, time=115/857
9: reward=-57.00 vs 90.59, winner=blue, r_win=0:9:0, win=0:9:0, time=119/976
10: reward=-60.56 vs 93.59, winner=blue, r_win=0:10:0, win=0:10:0, time=85/1061
11: reward=-49.34 vs 91.30, winner=blue, r_win=0:11:0, win=0:11:0, time=110/1171
12: reward=-57.75 vs 94.07, winner=blue, r_win=0:12:0, win=0:12:0, time=78/1250
13: reward=-79.73 vs 87.41, winner=blue, r_win=0:13:0, win=0:13:0, time=168/1418
14: reward=-51.52 vs 93.79, winner=blue, r_win=0:14:0, win=0:14:0, time=80/1497
15: reward=-82.84 vs 89.59, winner=blue, r_win=0:15:0, win=0:15:0, time=140/1637
16: reward=-72.05 vs 90.42, winner=blue, r_win=0:16:0, win=0:16:0, time=125/1762
17: reward=-75.22 vs 90.54, winner=blue, r_win=0:17:0, win=0:17:0, time=126/1888
18: reward=-84.35 vs 87.63, winner=blue, r_win=0:18:0, win=0:18:0, time=179/2066
19: reward=-72.66 vs 91.34, winner=blue, r_win=0:19:0, win=0:19:0, time=117/2183
20: reward=-96.08 vs 90.05, winner=blue, r_win=0:20:0, win=0:20:0, time=135/2318
21: reward=-59.75 vs 94.07, winner=blue, r_win=0:21:0, win=0:21:0, time=78/2396
22: reward=-56.35 vs 93.53, winner=blue, r_win=0:22:0, win=0:22:0, time=82/2478
23: reward=-67.72 vs 89.61, winner=blue, r_win=0:23:0, win=0:23:0, time=137/2615
24: reward=-52.10 vs 90.69, winner=blue, r_win=0:24:0, win=0:24:0, time=119/2734
25: reward=-68.66 vs 91.34, winner=blue, r_win=0:25:0, win=0:25:0, time=117/2851
26: reward=-58.42 vs 91.19, winner=blue, r_win=0:26:0, win=0:26:0, time=115/2966
27: reward=-58.81 vs 94.37, winner=blue, r_win=0:27:0, win=0:27:0, time=73/3039
28: reward=-62.39 vs 93.33, winner=blue, r_win=0:28:0, win=0:28:0, time=87/3126
29: reward=-69.74 vs 91.70, winner=blue, r_win=0:29:0, win=0:29:0, time=110/3237
30: reward=-87.57 vs 91.12, winner=blue, r_win=0:30:0, win=0:30:0, time=120/3357
31: reward=-58.81 vs 94.23, winner=blue, r_win=0:31:0, win=0:31:0, time=76/3433
32: reward=-62.43 vs 93.27, winner=blue, r_win=0:32:0, win=0:32:0, time=89/3523
33: reward=-73.79 vs 91.98, winner=blue, r_win=0:33:0, win=0:33:0, time=105/3628
34: reward=-55.61 vs 94.03, winner=blue, r_win=0:34:0, win=0:34:0, time=76/3704
35: reward=-55.74 vs 94.21, winner=blue, r_win=0:35:0, win=0:35:0, time=75/3779
36: reward=-59.23 vs 92.94, winner=blue, r_win=0:36:0, win=0:36:0, time=93/3872
37: reward=-59.04 vs 92.60, winner=blue, r_win=0:37:0, win=0:37:0, time=96/3968
38: reward=-60.33 vs 93.17, winner=blue, r_win=0:38:0, win=0:38:0, time=89/4058
39: reward=-82.07 vs 87.96, winner=blue, r_win=0:39:0, win=0:39:0, time=162/4220
40: reward=-78.39 vs 90.67, winner=blue, r_win=0:40:0, win=0:40:0, time=127/4347
41: reward=-51.97 vs 94.78, winner=blue, r_win=0:41:0, win=0:41:0, time=68/4414
42: reward=-59.42 vs 93.55, winner=blue, r_win=0:42:0, win=0:42:0, time=83/4497
43: reward=-54.52 vs 93.51, winner=blue, r_win=0:43:0, win=0:43:0, time=86/4583
44: reward=-61.11 vs 90.57, winner=blue, r_win=0:44:0, win=0:44:0, time=122/4706
45: reward=-89.43 vs 82.42, winner=blue, r_win=0:45:0, win=0:45:0, time=243/4949
46: reward=-72.62 vs 89.51, winner=blue, r_win=0:46:0, win=0:46:0, time=137/5086
47: reward=-62.62 vs 93.75, winner=blue, r_win=0:47:0, win=0:47:0, time=83/5169
48: reward=-63.56 vs 93.59, winner=blue, r_win=0:48:0, win=0:48:0, time=85/5254
49: reward=-51.10 vs 95.10, winner=blue, r_win=0:49:0, win=0:49:0, time=63/5317
50: reward=-81.58 vs 89.24, winner=blue, r_win=0:50:0, win=0:50:0, time=142/5460
51: reward=-68.57 vs 91.57, winner=blue, r_win=0:50:0, win=0:51:0, time=109/5569
52: reward=-78.02 vs 90.34, winner=blue, r_win=0:50:0, win=0:52:0, time=126/5695
53: reward=-53.68 vs 93.91, winner=blue, r_win=0:50:0, win=0:53:0, time=81/5775
54: reward=-73.29 vs 91.02, winner=blue, r_win=0:50:0, win=0:54:0, time=116/5891
55: reward=-71.92 vs 92.16, winner=blue, r_win=0:50:0, win=0:55:0, time=104/5995
56: reward=-82.35 vs 90.72, winner=blue, r_win=0:50:0, win=0:56:0, time=125/6120
57: reward=-75.11 vs 90.57, winner=blue, r_win=0:50:0, win=0:57:0, time=122/6242
58: reward=-58.40 vs 93.19, winner=blue, r_win=0:50:0, win=0:58:0, time=91/6333
59: reward=-74.63 vs 87.03, winner=blue, r_win=0:50:0, win=0:59:0, time=175/6508
60: reward=-84.32 vs 90.64, winner=blue, r_win=0:50:0, win=0:60:0, time=126/6634
61: reward=-81.21 vs 90.23, winner=blue, r_win=0:50:0, win=0:61:0, time=133/6767
62: reward=-71.28 vs 88.64, winner=blue, r_win=0:50:0, win=0:62:0, time=150/6917
