1: reward=-36.33 vs 90.52, winner=blue, r_win=0:1:0, win=0:1:0, time=129/129
2: reward=-36.90 vs 91.95, winner=blue, r_win=0:2:0, win=0:2:0, time=108/237
3: reward=-37.48 vs 93.71, winner=blue, r_win=0:3:0, win=0:3:0, time=81/318
4: reward=-36.40 vs 90.99, winner=blue, r_win=0:4:0, win=0:4:0, time=119/437
5: reward=-36.21 vs 90.23, winner=blue, r_win=0:5:0, win=0:5:0, time=133/571
6: reward=-37.30 vs 92.96, winner=blue, r_win=0:6:0, win=0:6:0, time=94/665
7: reward=-37.84 vs 94.45, winner=blue, r_win=0:7:0, win=0:7:0, time=72/736
8: reward=-37.24 vs 92.80, winner=blue, r_win=0:8:0, win=0:8:0, time=96/833
9: reward=-35.65 vs 89.27, winner=blue, r_win=0:9:0, win=0:9:0, time=143/976
10: reward=-36.75 vs 91.57, winner=blue, r_win=0:10:0, win=0:10:0, time=114/1090
11: reward=-37.68 vs 93.91, winner=blue, r_win=0:11:0, win=0:11:0, time=81/1170
12: reward=-37.78 vs 94.29, winner=blue, r_win=0:12:0, win=0:12:0, time=74/1244
13: reward=-37.13 vs 92.84, winner=blue, r_win=0:13:0, win=0:13:0, time=93/1337
14: reward=-36.21 vs 90.23, winner=blue, r_win=0:14:0, win=0:14:0, time=133/1471
15: reward=-37.04 vs 92.60, winner=blue, r_win=0:15:0, win=0:15:0, time=96/1567
16: reward=-36.57 vs 91.12, winner=blue, r_win=0:16:0, win=0:16:0, time=120/1687
17: reward=-36.66 vs 91.34, winner=blue, r_win=0:17:0, win=0:17:0, time=117/1804
18: reward=-37.52 vs 93.51, winner=blue, r_win=0:18:0, win=0:18:0, time=86/1890
19: reward=-37.59 vs 93.67, winner=blue, r_win=0:19:0, win=0:19:0, time=84/1974
20: reward=-36.47 vs 91.02, winner=blue, r_win=0:20:0, win=0:20:0, time=120/2095
21: reward=-36.27 vs 90.37, winner=blue, r_win=0:21:0, win=0:21:0, time=131/2226
22: reward=-37.18 vs 92.64, winner=blue, r_win=0:22:0, win=0:22:0, time=98/2324
23: reward=-36.62 vs 91.39, winner=blue, r_win=0:23:0, win=0:23:0, time=115/2439
24: reward=-36.48 vs 90.89, winner=blue, r_win=0:24:0, win=0:24:0, time=124/2563
25: reward=-37.24 vs 92.80, winner=blue, r_win=0:25:0, win=0:25:0, time=96/2659
26: reward=-37.81 vs 94.23, winner=blue, r_win=0:26:0, win=0:26:0, time=76/2735
27: reward=-36.73 vs 91.83, winner=blue, r_win=0:27:0, win=0:27:0, time=107/2842
28: reward=-36.25 vs 91.07, winner=blue, r_win=0:28:0, win=0:28:0, time=114/2956
29: reward=-35.56 vs 89.36, winner=blue, r_win=0:29:0, win=0:29:0, time=139/3095
30: reward=-36.11 vs 90.57, winner=blue, r_win=0:30:0, win=0:30:0, time=122/3217
31: reward=-37.74 vs 94.21, winner=blue, r_win=0:31:0, win=0:31:0, time=75/3293
32: reward=-36.89 vs 92.08, winner=blue, r_win=0:32:0, win=0:32:0, time=105/3397
33: reward=-37.30 vs 92.96, winner=blue, r_win=0:33:0, win=0:33:0, time=94/3491
34: reward=-37.62 vs 93.75, winner=blue, r_win=0:34:0, win=0:34:0, time=83/3574
35: reward=-37.75 vs 94.07, winner=blue, r_win=0:35:0, win=0:35:0, time=78/3653
36: reward=-37.29 vs 93.37, winner=blue, r_win=0:36:0, win=0:36:0, time=84/3737
37: reward=-36.78 vs 91.64, winner=blue, r_win=0:37:0, win=0:37:0, time=113/3849
38: reward=-37.49 vs 93.43, winner=blue, r_win=0:38:0, win=0:38:0, time=87/3937
39: reward=-36.27 vs 90.82, winner=blue, r_win=0:39:0, win=0:39:0, time=120/4057
40: reward=-36.75 vs 92.03, winner=blue, r_win=0:40:0, win=0:40:0, time=103/4160
41: reward=-37.49 vs 93.43, winner=blue, r_win=0:41:0, win=0:41:0, time=87/4247
42: reward=-36.00 vs 90.59, winner=blue, r_win=0:42:0, win=0:42:0, time=119/4366
43: reward=-36.60 vs 91.19, winner=blue, r_win=0:43:0, win=0:43:0, time=119/4485
44: reward=-36.25 vs 90.62, winner=blue, r_win=0:44:0, win=0:44:0, time=125/4610
45: reward=-36.98 vs 92.44, winner=blue, r_win=0:45:0, win=0:45:0, time=98/4708
46: reward=-37.62 vs 93.89, winner=blue, r_win=0:46:0, win=0:46:0, time=80/4788
47: reward=-37.46 vs 93.35, winner=blue, r_win=0:47:0, win=0:47:0, time=88/4876
