1: reward=-32.22 vs 77.41, winner=blue, r_win=0:1:0, win=0:1:0, time=409/409
2: reward=-30.12 vs 72.59, winner=blue, r_win=0:2:0, win=0:2:0, time=527/935
3: reward=-17.48 vs -10.28, winner=draw, r_win=0:2:1, win=0:2:1, time=569/1504
4: reward=-33.44 vs 81.80, winner=blue, r_win=0:3:1, win=0:3:1, time=295/1798
5: reward=-33.56 vs 82.54, winner=blue, r_win=0:4:1, win=0:4:1, time=275/2073
6: reward=-31.52 vs 76.26, winner=blue, r_win=0:5:1, win=0:5:1, time=427/2500
7: reward=-32.46 vs 78.45, winner=blue, r_win=0:6:1, win=0:6:1, time=378/2877
8: reward=-32.11 vs 77.57, winner=blue, r_win=0:7:1, win=0:7:1, time=398/3275
9: reward=-32.64 vs 79.20, winner=blue, r_win=0:8:1, win=0:8:1, time=357/3631
10: reward=-30.90 vs 74.71, winner=blue, r_win=0:9:1, win=0:9:1, time=466/4097
11: reward=-34.07 vs 84.59, winner=blue, r_win=0:10:1, win=0:10:1, time=228/4325
12: reward=70.77 vs -27.17, winner=red, r_win=1:10:1, win=1:10:1, time=475/4800
13: reward=-32.43 vs 76.87, winner=blue, r_win=1:11:1, win=1:11:1, time=439/5238
14: reward=-31.32 vs 75.15, winner=blue, r_win=1:12:1, win=1:12:1, time=465/5703
15: reward=-32.08 vs 77.65, winner=blue, r_win=1:13:1, win=1:13:1, time=394/6097
16: reward=-30.04 vs 71.34, winner=blue, r_win=1:14:1, win=1:14:1, time=586/6682
17: reward=-32.17 vs 78.03, winner=blue, r_win=1:15:1, win=1:15:1, time=383/7065
18: reward=-31.34 vs 74.61, winner=blue, r_win=1:16:1, win=1:16:1, time=490/7554
19: reward=-33.99 vs 83.32, winner=blue, r_win=1:17:1, win=1:17:1, time=264/7818
20: reward=-31.45 vs 78.17, winner=blue, r_win=1:18:1, win=1:18:1, time=351/8169
21: reward=-30.32 vs 72.65, winner=blue, r_win=1:19:1, win=1:19:1, time=534/8702
22: reward=-30.74 vs 73.55, winner=blue, r_win=1:20:1, win=1:20:1, time=511/9213
23: reward=-31.66 vs 75.70, winner=blue, r_win=1:21:1, win=1:21:1, time=456/9668
24: reward=-31.43 vs 77.53, winner=blue, r_win=1:22:1, win=1:22:1, time=374/10042
25: reward=-34.24 vs 83.80, winner=blue, r_win=1:23:1, win=1:23:1, time=257/10299
26: reward=-33.33 vs 80.03, winner=blue, r_win=1:24:1, win=1:24:1, time=352/10650
27: reward=-33.62 vs 81.35, winner=blue, r_win=1:25:1, win=1:25:1, time=316/10966
28: reward=-31.43 vs 75.73, winner=blue, r_win=1:26:1, win=1:26:1, time=445/11410
29: reward=-32.91 vs 78.98, winner=blue, r_win=1:27:1, win=1:27:1, time=375/11785
30: reward=-31.79 vs 75.28, winner=blue, r_win=1:28:1, win=1:28:1, time=480/12265
31: reward=-32.91 vs 79.58, winner=blue, r_win=1:29:1, win=1:29:1, time=353/12617
