1: reward=-31.39 vs 73.82, winner=blue, r_win=0:1:0, win=0:1:0, time=529/529
2: reward=-32.04 vs 75.59, winner=blue, r_win=0:2:0, win=0:2:0, time=477/1005
3: reward=-34.68 vs 84.60, winner=blue, r_win=0:3:0, win=0:3:0, time=246/1251
4: reward=-31.66 vs 74.95, winner=blue, r_win=0:4:0, win=0:4:0, time=489/1740
5: reward=-32.79 vs 77.62, winner=blue, r_win=0:5:0, win=0:5:0, time=423/2162
6: reward=-32.08 vs 75.71, winner=blue, r_win=0:6:0, win=0:6:0, time=474/2636
7: reward=-32.74 vs 77.35, winner=blue, r_win=0:7:0, win=0:7:0, time=432/3067
8: reward=-33.96 vs 82.35, winner=blue, r_win=0:8:0, win=0:8:0, time=294/3361
9: reward=-30.15 vs 71.18, winner=blue, r_win=0:9:0, win=0:9:0, time=601/3962
10: reward=-31.93 vs 76.51, winner=blue, r_win=0:10:0, win=0:10:0, time=433/4394
11: reward=-32.74 vs 78.10, winner=blue, r_win=0:11:0, win=0:11:0, time=402/4796
12: reward=-33.28 vs 79.89, winner=blue, r_win=0:12:0, win=0:12:0, time=355/5150
13: reward=-31.37 vs 72.58, winner=blue, r_win=0:13:0, win=0:13:0, time=591/5741
14: reward=-31.50 vs 73.64, winner=blue, r_win=0:14:0, win=0:14:0, time=543/6284
15: reward=-31.72 vs 76.60, winner=blue, r_win=0:15:0, win=0:15:0, time=421/6704
16: reward=-30.77 vs 72.87, winner=blue, r_win=0:16:0, win=0:16:0, time=545/7249
17: reward=-31.69 vs 74.12, winner=blue, r_win=0:17:0, win=0:17:0, time=529/7777
18: reward=-30.97 vs 72.78, winner=blue, r_win=0:18:0, win=0:18:0, time=560/8337
19: reward=-32.29 vs 77.73, winner=blue, r_win=0:19:0, win=0:19:0, time=399/8736
20: reward=-31.13 vs 75.12, winner=blue, r_win=0:20:0, win=0:20:0, time=458/9193
21: reward=-30.12 vs 70.35, winner=blue, r_win=0:21:0, win=0:21:0, time=646/9839
22: reward=-31.98 vs 74.71, winner=blue, r_win=0:22:0, win=0:22:0, time=515/10353
23: reward=-31.22 vs 72.94, winner=blue, r_win=0:23:0, win=0:23:0, time=564/10917
24: reward=-33.43 vs 80.58, winner=blue, r_win=0:24:0, win=0:24:0, time=336/11253
25: reward=-31.74 vs 74.70, winner=blue, r_win=0:25:0, win=0:25:0, time=504/11756
26: reward=-34.55 vs 84.88, winner=blue, r_win=0:26:0, win=0:26:0, time=234/11990
27: reward=-30.91 vs 71.88, winner=blue, r_win=0:27:0, win=0:27:0, time=604/12593
28: reward=-31.94 vs 74.75, winner=blue, r_win=0:28:0, win=0:28:0, time=511/13104
29: reward=-35.21 vs 86.37, winner=blue, r_win=0:29:0, win=0:29:0, time=209/13313
30: reward=-17.85 vs -10.85, winner=draw, r_win=0:29:1, win=0:29:1, time=500/13813
31: reward=75.47 vs -29.05, winner=red, r_win=1:29:1, win=1:29:1, time=362/14175
32: reward=-17.82 vs -12.82, winner=draw, r_win=1:29:2, win=1:29:2, time=379/14553
33: reward=-30.57 vs 70.43, winner=blue, r_win=1:30:2, win=1:30:2, time=668/15221
34: reward=-33.36 vs 80.25, winner=blue, r_win=1:31:2, win=1:31:2, time=345/15565
35: reward=-33.67 vs 80.87, winner=blue, r_win=1:32:2, win=1:32:2, time=334/15899
36: reward=-32.58 vs 77.99, winner=blue, r_win=1:33:2, win=1:33:2, time=400/16299
37: reward=-31.57 vs 76.53, winner=blue, r_win=1:34:2, win=1:34:2, time=418/16716
38: reward=-31.62 vs 74.09, winner=blue, r_win=1:35:2, win=1:35:2, time=527/17243
39: reward=-31.25 vs 73.48, winner=blue, r_win=1:36:2, win=1:36:2, time=539/17781
40: reward=-32.66 vs 77.44, winner=blue, r_win=1:37:2, win=1:37:2, time=425/18206
41: reward=-33.87 vs 81.07, winner=blue, r_win=1:38:2, win=1:38:2, time=334/18540
42: reward=-32.97 vs 79.12, winner=blue, r_win=1:39:2, win=1:39:2, time=372/18911
43: reward=-34.65 vs 84.68, winner=blue, r_win=1:40:2, win=1:40:2, time=242/19154
44: reward=-33.35 vs 80.67, winner=blue, r_win=1:41:2, win=1:41:2, time=330/19483
45: reward=-17.67 vs -11.87, winner=draw, r_win=1:41:3, win=1:41:3, time=444/19927
46: reward=-17.84 vs -14.04, winner=draw, r_win=1:41:4, win=1:41:4, time=313/20239
47: reward=-30.50 vs 72.95, winner=blue, r_win=1:42:4, win=1:42:4, time=528/20767
48: reward=-32.55 vs 77.49, winner=blue, r_win=1:43:4, win=1:43:4, time=419/21186
49: reward=-33.06 vs 79.05, winner=blue, r_win=1:44:4, win=1:44:4, time=378/21563
50: reward=-33.07 vs 79.51, winner=blue, r_win=1:45:4, win=1:45:4, time=361/21924
51: reward=-33.08 vs 79.09, winner=blue, r_win=1:45:4, win=1:46:4, time=377/22300
52: reward=-33.13 vs 79.23, winner=blue, r_win=1:45:4, win=1:47:4, time=374/22674
53: reward=-34.70 vs 84.80, winner=blue, r_win=1:45:4, win=1:48:4, time=240/22914
54: reward=-33.29 vs 79.93, winner=blue, r_win=1:45:4, win=1:49:4, time=354/23268
55: reward=-33.09 vs 79.87, winner=blue, r_win=1:45:4, win=1:50:4, time=349/23616
56: reward=-32.99 vs 79.04, winner=blue, r_win=1:45:4, win=1:51:4, time=376/23992
57: reward=-31.62 vs 73.64, winner=blue, r_win=1:45:4, win=1:52:4, time=549/24541
58: reward=-34.28 vs 84.34, winner=blue, r_win=1:45:4, win=1:53:4, time=241/24782
59: reward=-32.81 vs 78.43, winner=blue, r_win=1:45:4, win=1:54:4, time=392/25173
60: reward=-32.99 vs 78.27, winner=blue, r_win=1:45:4, win=1:55:4, time=405/25578
61: reward=-32.99 vs 79.04, winner=blue, r_win=1:45:4, win=1:56:4, time=376/25954
62: reward=-31.01 vs 72.87, winner=blue, r_win=1:45:4, win=1:57:4, time=557/26510
63: reward=-17.21 vs -11.61, winner=draw, r_win=1:44:5, win=1:57:5, time=491/27001
64: reward=-33.34 vs 80.34, winner=blue, r_win=1:44:5, win=1:58:5, time=341/27341
65: reward=-32.29 vs 77.57, winner=blue, r_win=1:44:5, win=1:59:5, time=405/27746
66: reward=-30.93 vs 72.68, winner=blue, r_win=1:44:5, win=1:60:5, time=563/28309
67: reward=-31.01 vs 75.57, winner=blue, r_win=1:44:5, win=1:61:5, time=434/28742
68: reward=-32.12 vs 75.95, winner=blue, r_win=1:44:5, win=1:62:5, time=465/29207
69: reward=-32.55 vs 77.64, winner=blue, r_win=1:44:5, win=1:63:5, time=413/29619
70: reward=70.70 vs -26.66, winner=red, r_win=2:43:5, win=2:63:5, time=456/30075
71: reward=-33.63 vs 82.86, winner=blue, r_win=2:43:5, win=2:64:5, time=267/30342
72: reward=-33.17 vs 78.43, winner=blue, r_win=2:43:5, win=2:65:5, time=406/30747
73: reward=78.35 vs -30.26, winner=red, r_win=3:42:5, win=3:65:5, time=304/31051
74: reward=-31.63 vs 75.03, winner=blue, r_win=3:42:5, win=3:66:5, time=484/31534
75: reward=-32.58 vs 78.31, winner=blue, r_win=3:42:5, win=3:67:5, time=388/31922
76: reward=-31.83 vs 74.32, winner=blue, r_win=3:42:5, win=3:68:5, time=526/32448
77: reward=-30.98 vs 73.24, winner=blue, r_win=3:42:5, win=3:69:5, time=537/32984
78: reward=-32.46 vs 76.95, winner=blue, r_win=3:42:5, win=3:70:5, time=437/33421
79: reward=-31.66 vs 76.29, winner=blue, r_win=3:42:5, win=3:71:5, time=431/33851
80: reward=-33.39 vs 80.48, winner=blue, r_win=3:43:4, win=3:72:5, time=338/34189
81: reward=-30.49 vs 71.28, winner=blue, r_win=2:44:4, win=3:73:5, time=614/34803
