1: reward=76.02 vs -29.27, winner=red, r_win=1:0:0, win=1:0:0, time=350/350
2: reward=78.15 vs -30.42, winner=red, r_win=2:0:0, win=2:0:0, time=316/665
3: reward=-30.04 vs 70.60, winner=blue, r_win=2:1:0, win=2:1:0, time=627/1292
4: reward=-31.40 vs 75.79, winner=blue, r_win=2:2:0, win=2:2:0, time=441/1732
5: reward=-30.72 vs 74.09, winner=blue, r_win=2:3:0, win=2:3:0, time=485/2217
6: reward=-30.78 vs 75.15, winner=blue, r_win=2:4:0, win=2:4:0, time=442/2659
7: reward=75.38 vs -29.01, winner=red, r_win=3:4:0, win=3:4:0, time=364/3022
8: reward=-30.42 vs 73.96, winner=blue, r_win=3:5:0, win=3:5:0, time=478/3500
9: reward=-17.66 vs -14.66, winner=draw, r_win=3:5:1, win=3:5:1, time=291/3790
10: reward=-29.84 vs 72.04, winner=blue, r_win=3:6:1, win=3:6:1, time=540/4330
11: reward=-31.16 vs 75.51, winner=blue, r_win=3:7:1, win=3:7:1, time=443/4773
12: reward=-17.76 vs -13.56, winner=draw, r_win=3:7:2, win=3:7:2, time=342/5114
13: reward=-30.54 vs 74.09, winner=blue, r_win=3:8:2, win=3:8:2, time=477/5591
14: reward=-32.97 vs 79.41, winner=blue, r_win=3:9:2, win=3:9:2, time=361/5951
15: reward=76.97 vs -29.65, winner=red, r_win=4:9:2, win=4:9:2, time=330/6281
16: reward=-32.36 vs 78.64, winner=blue, r_win=4:10:2, win=4:10:2, time=367/6648
17: reward=79.61 vs -31.12, winner=red, r_win=5:10:2, win=5:10:2, time=291/6938
18: reward=57.47 vs -20.83, winner=red, r_win=6:10:2, win=6:10:2, time=905/7843
19: reward=73.75 vs -28.36, winner=red, r_win=7:10:2, win=7:10:2, time=401/8243
20: reward=78.45 vs -30.60, winner=red, r_win=8:10:2, win=8:10:2, time=312/8555
21: reward=76.74 vs -29.67, winner=red, r_win=9:10:2, win=9:10:2, time=339/8894
22: reward=-31.34 vs 76.10, winner=blue, r_win=9:11:2, win=9:11:2, time=426/9319
23: reward=-17.01 vs -14.41, winner=draw, r_win=9:11:3, win=9:11:3, time=337/9656
24: reward=-31.23 vs 74.47, winner=blue, r_win=9:12:3, win=9:12:3, time=491/10146
25: reward=-29.90 vs 72.79, winner=blue, r_win=9:13:3, win=9:13:3, time=507/10653
26: reward=-29.53 vs 69.18, winner=blue, r_win=9:14:3, win=9:14:3, time=681/11334
27: reward=-29.16 vs 70.94, winner=blue, r_win=9:15:3, win=9:15:3, time=561/11894
28: reward=74.71 vs -28.81, winner=red, r_win=10:15:3, win=10:15:3, time=381/12275
29: reward=-30.63 vs 74.03, winner=blue, r_win=10:16:3, win=10:16:3, time=484/12758
30: reward=-30.60 vs 71.85, winner=blue, r_win=10:17:3, win=10:17:3, time=589/13347
31: reward=-31.80 vs 78.75, winner=blue, r_win=10:18:3, win=10:18:3, time=343/13690
32: reward=-30.48 vs 73.94, winner=blue, r_win=10:19:3, win=10:19:3, time=481/14170
33: reward=49.32 vs -16.19, winner=red, r_win=11:19:3, win=11:19:3, time=1356/15526
34: reward=-35.88 vs 89.54, winner=blue, r_win=11:20:3, win=11:20:3, time=142/15668
