1: reward=-31.50 vs 80.11, winner=blue, r_win=0:1:0, win=0:1:0, time=287/287
2: reward=-35.92 vs 90.24, winner=blue, r_win=0:2:0, win=0:2:0, time=126/412
3: reward=-34.98 vs 88.34, winner=blue, r_win=0:3:0, win=0:3:0, time=150/562
4: reward=-35.35 vs 89.28, winner=blue, r_win=0:4:0, win=0:4:0, time=136/698
5: reward=-35.22 vs 89.11, winner=blue, r_win=0:5:0, win=0:5:0, time=137/835
6: reward=69.45 vs -27.90, winner=red, r_win=1:5:0, win=1:5:0, time=573/1408
7: reward=-35.58 vs 89.24, winner=blue, r_win=1:6:0, win=1:6:0, time=142/1550
8: reward=-34.02 vs 86.26, winner=blue, r_win=1:7:0, win=1:7:0, time=180/1730
9: reward=86.99 vs -35.27, winner=red, r_win=2:7:0, win=2:7:0, time=194/1924
10: reward=-32.19 vs 81.82, winner=blue, r_win=2:8:0, win=2:8:0, time=254/2178
11: reward=79.62 vs -32.39, winner=red, r_win=3:8:0, win=3:8:0, time=333/2511
12: reward=-35.08 vs 88.74, winner=blue, r_win=3:9:0, win=3:9:0, time=142/2653
13: reward=85.37 vs -34.63, winner=red, r_win=4:9:0, win=4:9:0, time=221/2874
14: reward=-36.40 vs 91.45, winner=blue, r_win=4:10:0, win=4:10:0, time=108/2983
15: reward=84.08 vs -34.23, winner=red, r_win=5:10:0, win=5:10:0, time=248/3231
16: reward=82.96 vs -33.78, winner=red, r_win=6:10:0, win=6:10:0, time=269/3499
17: reward=-32.72 vs 83.16, winner=blue, r_win=6:11:0, win=6:11:0, time=230/3729
18: reward=78.23 vs -31.89, winner=red, r_win=7:11:0, win=7:11:0, time=365/4094
19: reward=80.60 vs -32.78, winner=red, r_win=8:11:0, win=8:11:0, time=313/4407
20: reward=-32.08 vs 81.54, winner=blue, r_win=8:12:0, win=8:12:0, time=260/4666
21: reward=-32.46 vs 82.34, winner=blue, r_win=8:13:0, win=8:13:0, time=247/4913
22: reward=-36.78 vs 92.11, winner=blue, r_win=8:14:0, win=8:14:0, time=102/5015
23: reward=-36.55 vs 91.37, winner=blue, r_win=8:15:0, win=8:15:0, time=114/5128
24: reward=-35.68 vs 90.09, winner=blue, r_win=8:16:0, win=8:16:0, time=124/5252
25: reward=-33.99 vs 86.47, winner=blue, r_win=8:17:0, win=8:17:0, time=173/5425
26: reward=-32.35 vs 82.38, winner=blue, r_win=8:18:0, win=8:18:0, time=242/5667
27: reward=-25.96 vs 65.20, winner=blue, r_win=8:19:0, win=8:19:0, time=707/6374
28: reward=-35.95 vs 90.32, winner=blue, r_win=8:20:0, win=8:20:0, time=125/6499
29: reward=78.43 vs -31.79, winner=red, r_win=9:20:0, win=9:20:0, time=354/6852
30: reward=-26.13 vs 67.11, winner=blue, r_win=9:21:0, win=9:21:0, time=603/7455
31: reward=78.30 vs -32.04, winner=red, r_win=10:21:0, win=10:21:0, time=368/7823
32: reward=-30.85 vs 78.03, winner=blue, r_win=10:22:0, win=10:22:0, time=335/8157
33: reward=83.92 vs -34.11, winner=red, r_win=11:22:0, win=11:22:0, time=249/8406
34: reward=-34.43 vs 87.11, winner=blue, r_win=11:23:0, win=11:23:0, time=168/8574
35: reward=82.80 vs -33.66, winner=red, r_win=12:23:0, win=12:23:0, time=270/8843
36: reward=-31.57 vs 80.27, winner=blue, r_win=12:24:0, win=12:24:0, time=284/9127
37: reward=-33.00 vs 83.86, winner=blue, r_win=12:25:0, win=12:25:0, time=218/9345
38: reward=80.41 vs -32.88, winner=red, r_win=13:25:0, win=13:25:0, time=323/9668
39: reward=-35.72 vs 89.61, winner=blue, r_win=13:26:0, win=13:26:0, time=137/9805
40: reward=-35.71 vs 89.73, winner=blue, r_win=13:27:0, win=13:27:0, time=133/9938
41: reward=-32.28 vs 82.34, winner=blue, r_win=13:28:0, win=13:28:0, time=241/10179
42: reward=71.21 vs -28.96, winner=red, r_win=14:28:0, win=14:28:0, time=538/10717
43: reward=87.55 vs -35.56, winner=red, r_win=15:28:0, win=15:28:0, time=186/10903
44: reward=69.98 vs -28.23, winner=red, r_win=16:28:0, win=16:28:0, time=563/11466
45: reward=-15.71 vs -17.71, winner=draw, r_win=16:28:1, win=16:28:1, time=239/11705
46: reward=85.02 vs -34.55, winner=red, r_win=17:28:1, win=17:28:1, time=229/11934
47: reward=84.65 vs -34.40, winner=red, r_win=18:28:1, win=18:28:1, time=236/12170
48: reward=84.78 vs -34.45, winner=red, r_win=19:28:1, win=19:28:1, time=234/12404
49: reward=85.56 vs -34.70, winner=red, r_win=20:28:1, win=20:28:1, time=218/12622
50: reward=72.03 vs -28.87, winner=red, r_win=21:28:1, win=21:28:1, time=495/13116
51: reward=-35.44 vs 89.50, winner=blue, r_win=21:28:1, win=21:29:1, time=132/13249
52: reward=83.22 vs -33.89, winner=red, r_win=22:27:1, win=22:29:1, time=264/13512
53: reward=77.59 vs -31.58, winner=red, r_win=23:26:1, win=23:29:1, time=377/13889
54: reward=-34.18 vs 86.50, winner=blue, r_win=23:26:1, win=23:30:1, time=177/14066
55: reward=-34.19 vs 86.67, winner=blue, r_win=23:26:1, win=23:31:1, time=173/14240
56: reward=-16.25 vs -17.85, winner=draw, r_win=22:26:2, win=23:31:2, time=209/14449
57: reward=-34.66 vs 87.86, winner=blue, r_win=22:26:2, win=23:32:2, time=154/14603
58: reward=-34.85 vs 87.58, winner=blue, r_win=22:26:2, win=23:33:2, time=166/14770
59: reward=81.85 vs -33.46, winner=red, r_win=22:26:2, win=24:33:2, time=294/15063
60: reward=72.31 vs -29.04, winner=red, r_win=23:25:2, win=25:33:2, time=490/15553
61: reward=-35.31 vs 89.02, winner=blue, r_win=22:26:2, win=25:34:2, time=141/15694
62: reward=-24.95 vs 63.87, winner=blue, r_win=22:26:2, win=25:35:2, time=728/16422
63: reward=86.11 vs -34.98, winner=red, r_win=22:26:2, win=26:35:2, time=210/16632
64: reward=-36.65 vs 92.07, winner=blue, r_win=22:26:2, win=26:36:2, time=99/16732
65: reward=80.16 vs -32.72, winner=red, r_win=22:26:2, win=27:36:2, time=326/17057
66: reward=83.74 vs -34.03, winner=red, r_win=22:26:2, win=28:36:2, time=252/17310
67: reward=87.22 vs -35.43, winner=red, r_win=23:25:2, win=29:36:2, time=192/17501
68: reward=-36.55 vs 91.37, winner=blue, r_win=22:26:2, win=29:37:2, time=114/17615
69: reward=-31.38 vs 79.80, winner=blue, r_win=21:27:2, win=29:38:2, time=293/17908
70: reward=-36.59 vs 91.78, winner=blue, r_win=21:27:2, win=29:39:2, time=105/18013
71: reward=86.20 vs -34.96, winner=red, r_win=22:26:2, win=30:39:2, time=207/18220
72: reward=59.52 vs -24.29, winner=red, r_win=23:25:2, win=31:39:2, time=1048/19268
73: reward=-31.04 vs 79.09, winner=blue, r_win=23:25:2, win=31:40:2, time=305/19572
74: reward=82.64 vs -33.66, winner=red, r_win=24:24:2, win=32:40:2, time=275/19847
75: reward=-34.83 vs 88.28, winner=blue, r_win=24:24:2, win=32:41:2, time=148/19995
76: reward=-16.27 vs -17.87, winner=draw, r_win=24:23:3, win=32:41:3, time=208/20203
77: reward=-34.47 vs 87.36, winner=blue, r_win=24:23:3, win=32:42:3, time=162/20365
78: reward=71.51 vs -28.73, winner=red, r_win=25:22:3, win=33:42:3, time=512/20877
79: reward=-33.10 vs 84.11, winner=blue, r_win=24:23:3, win=33:43:3, time=214/21090
80: reward=-35.81 vs 90.27, winner=blue, r_win=24:23:3, win=33:44:3, time=122/21213
81: reward=-15.92 vs -17.12, winner=draw, r_win=23:23:4, win=33:44:4, time=257/21470
82: reward=-33.79 vs 85.82, winner=blue, r_win=23:23:4, win=33:45:4, time=185/21655
83: reward=-32.85 vs 83.48, winner=blue, r_win=22:24:4, win=33:46:4, time=225/21880
84: reward=85.59 vs -34.78, winner=red, r_win=23:23:4, win=34:46:4, time=219/22099
85: reward=-33.42 vs 84.89, winner=blue, r_win=22:24:4, win=34:47:4, time=201/22299
86: reward=81.04 vs -33.02, winner=red, r_win=23:23:4, win=35:47:4, time=306/22605
87: reward=-36.43 vs 91.53, winner=blue, r_win=23:23:4, win=35:48:4, time=107/22712
88: reward=75.33 vs -30.37, winner=red, r_win=23:23:4, win=36:48:4, time=418/23130
89: reward=-30.47 vs 77.81, winner=blue, r_win=23:23:4, win=36:49:4, time=329/23458
90: reward=-36.76 vs 91.90, winner=blue, r_win=23:23:4, win=36:50:4, time=106/23564
91: reward=-35.48 vs 89.45, winner=blue, r_win=23:23:4, win=36:51:4, time=135/23699
92: reward=-34.91 vs 88.01, winner=blue, r_win=22:24:4, win=36:52:4, time=157/23856
93: reward=85.40 vs -34.70, winner=red, r_win=22:24:4, win=37:52:4, time=223/24078
94: reward=80.06 vs -32.69, winner=red, r_win=22:24:4, win=38:52:4, time=328/24406
95: reward=79.01 vs -32.21, winner=red, r_win=23:24:3, win=39:52:4, time=348/24753
96: reward=-34.39 vs 86.87, winner=blue, r_win=22:25:3, win=39:53:4, time=173/24926
97: reward=84.04 vs -34.16, winner=red, r_win=22:25:3, win=40:53:4, time=247/25173
98: reward=84.99 vs -34.47, winner=red, r_win=22:25:3, win=41:53:4, time=228/25401
99: reward=-35.21 vs 88.92, winner=blue, r_win=21:26:3, win=41:54:4, time=141/25543
100: reward=77.09 vs -31.32, winner=red, r_win=21:26:3, win=42:54:4, time=386/25928
101: reward=-32.46 vs 82.34, winner=blue, r_win=21:26:3, win=42:55:4, time=247/26175
102: reward=-35.52 vs 89.10, winner=blue, r_win=20:27:3, win=42:56:4, time=144/26319
103: reward=78.93 vs -32.23, winner=red, r_win=20:27:3, win=43:56:4, time=352/26671
104: reward=79.62 vs -32.39, winner=red, r_win=21:26:3, win=44:56:4, time=333/27004
105: reward=84.96 vs -34.52, winner=red, r_win=22:25:3, win=45:56:4, time=230/27234
106: reward=-29.66 vs 75.20, winner=blue, r_win=22:26:2, win=45:57:4, time=395/27629
107: reward=-31.06 vs 79.15, winner=blue, r_win=22:26:2, win=45:58:4, time=304/27932
108: reward=-33.52 vs 84.99, winner=blue, r_win=22:26:2, win=45:59:4, time=201/28133
