1: reward=-37.40 vs 93.19, winner=blue, r_win=0:1:0, win=0:1:0, time=91/91
2: reward=-35.75 vs 89.68, winner=blue, r_win=0:2:0, win=0:2:0, time=136/226
3: reward=-35.48 vs 88.84, winner=blue, r_win=0:3:0, win=0:3:0, time=150/376
4: reward=-37.18 vs 92.64, winner=blue, r_win=0:4:0, win=0:4:0, time=98/475
5: reward=-37.35 vs 93.53, winner=blue, r_win=0:5:0, win=0:5:0, time=82/556
6: reward=-35.78 vs 89.75, winner=blue, r_win=0:6:0, win=0:6:0, time=135/691
7: reward=-36.02 vs 90.34, winner=blue, r_win=0:7:0, win=0:7:0, time=126/817
8: reward=-35.81 vs 89.83, winner=blue, r_win=0:8:0, win=0:8:0, time=133/950
9: reward=-36.96 vs 92.10, winner=blue, r_win=0:9:0, win=0:9:0, time=106/1056
10: reward=-36.53 vs 91.63, winner=blue, r_win=0:10:0, win=0:10:0, time=107/1163
11: reward=-37.55 vs 93.73, winner=blue, r_win=0:11:0, win=0:11:0, time=82/1245
12: reward=-36.61 vs 91.52, winner=blue, r_win=0:12:0, win=0:12:0, time=111/1357
13: reward=-37.42 vs 93.55, winner=blue, r_win=0:13:0, win=0:13:0, time=83/1440
14: reward=-16.75 vs -18.35, winner=draw, r_win=0:13:1, win=0:13:1, time=169/1608
15: reward=-37.17 vs 92.78, winner=blue, r_win=0:14:1, win=0:14:1, time=95/1703
16: reward=-35.49 vs 89.03, winner=blue, r_win=0:15:1, win=0:15:1, time=146/1849
17: reward=-36.44 vs 91.40, winner=blue, r_win=0:16:1, win=0:16:1, time=110/1959
18: reward=-37.59 vs 93.67, winner=blue, r_win=0:17:1, win=0:17:1, time=84/2043
19: reward=-35.92 vs 90.24, winner=blue, r_win=0:18:1, win=0:18:1, time=126/2169
20: reward=-37.36 vs 93.39, winner=blue, r_win=0:19:1, win=0:19:1, time=85/2254
21: reward=-35.92 vs 90.24, winner=blue, r_win=0:20:1, win=0:20:1, time=126/2380
22: reward=-34.82 vs 88.10, winner=blue, r_win=0:21:1, win=0:21:1, time=152/2532
23: reward=-37.49 vs 93.43, winner=blue, r_win=0:22:1, win=0:22:1, time=87/2619
24: reward=-37.10 vs 92.76, winner=blue, r_win=0:23:1, win=0:23:1, time=94/2713
25: reward=-35.79 vs 89.33, winner=blue, r_win=0:24:1, win=0:24:1, time=146/2859
26: reward=-37.00 vs 92.79, winner=blue, r_win=0:25:1, win=0:25:1, time=91/2950
27: reward=-36.35 vs 91.17, winner=blue, r_win=0:26:1, win=0:26:1, time=114/3063
28: reward=-36.16 vs 90.84, winner=blue, r_win=0:27:1, win=0:27:1, time=117/3180
29: reward=-36.58 vs 91.44, winner=blue, r_win=0:28:1, win=0:28:1, time=113/3293
30: reward=-36.81 vs 92.32, winner=blue, r_win=0:29:1, win=0:29:1, time=97/3390
31: reward=-36.07 vs 90.62, winner=blue, r_win=0:30:1, win=0:30:1, time=120/3510
32: reward=-35.05 vs 88.37, winner=blue, r_win=0:31:1, win=0:31:1, time=151/3661
33: reward=-36.78 vs 92.24, winner=blue, r_win=0:32:1, win=0:32:1, time=98/3760
34: reward=-34.71 vs 87.52, winner=blue, r_win=0:33:1, win=0:33:1, time=164/3924
35: reward=-36.08 vs 90.49, winner=blue, r_win=0:34:1, win=0:34:1, time=124/4048
36: reward=-35.22 vs 88.80, winner=blue, r_win=0:35:1, win=0:35:1, time=144/4192
37: reward=-36.01 vs 90.03, winner=blue, r_win=0:36:1, win=0:36:1, time=133/4326
38: reward=-35.26 vs 88.75, winner=blue, r_win=0:37:1, win=0:37:1, time=147/4472
39: reward=-37.17 vs 92.91, winner=blue, r_win=0:38:1, win=0:38:1, time=92/4564
40: reward=-34.95 vs 88.27, winner=blue, r_win=0:39:1, win=0:39:1, time=151/4715
41: reward=-35.98 vs 90.39, winner=blue, r_win=0:40:1, win=0:40:1, time=124/4839
42: reward=-36.69 vs 91.88, winner=blue, r_win=0:41:1, win=0:41:1, time=105/4944
43: reward=-37.68 vs 93.91, winner=blue, r_win=0:42:1, win=0:42:1, time=81/5024
44: reward=-35.56 vs 89.05, winner=blue, r_win=0:43:1, win=0:43:1, time=147/5171
45: reward=-35.71 vs 89.42, winner=blue, r_win=0:44:1, win=0:44:1, time=141/5312
46: reward=-36.38 vs 91.24, winner=blue, r_win=0:45:1, win=0:45:1, time=113/5425
47: reward=-36.55 vs 91.83, winner=blue, r_win=0:46:1, win=0:46:1, time=103/5528
48: reward=-36.70 vs 91.75, winner=blue, r_win=0:47:1, win=0:47:1, time=108/5636
49: reward=-36.53 vs 91.63, winner=blue, r_win=0:48:1, win=0:48:1, time=107/5743
50: reward=-35.93 vs 90.12, winner=blue, r_win=0:49:1, win=0:49:1, time=129/5872
51: reward=-36.82 vs 92.06, winner=blue, r_win=0:49:1, win=0:50:1, time=104/5976
52: reward=-36.59 vs 91.78, winner=blue, r_win=0:49:1, win=0:51:1, time=105/6081
53: reward=-36.22 vs 90.99, winner=blue, r_win=0:49:1, win=0:52:1, time=115/6195
54: reward=-34.00 vs 86.19, winner=blue, r_win=0:49:1, win=0:53:1, time=181/6376
55: reward=-35.01 vs 88.11, winner=blue, r_win=0:49:1, win=0:54:1, time=157/6533
56: reward=-36.02 vs 90.34, winner=blue, r_win=0:49:1, win=0:55:1, time=126/6659
57: reward=-16.74 vs -18.34, winner=draw, r_win=0:48:2, win=0:55:2, time=170/6828
58: reward=-34.96 vs 88.45, winner=blue, r_win=0:48:2, win=0:56:2, time=147/6975
59: reward=-36.16 vs 90.84, winner=blue, r_win=0:48:2, win=0:57:2, time=117/7092
60: reward=-34.90 vs 88.31, winner=blue, r_win=0:48:2, win=0:58:2, time=149/7241
61: reward=-35.11 vs 88.21, winner=blue, r_win=0:48:2, win=0:59:2, time=157/7398
62: reward=-35.97 vs 90.07, winner=blue, r_win=0:48:2, win=0:60:2, time=131/7529
63: reward=-35.74 vs 89.80, winner=blue, r_win=0:48:2, win=0:61:2, time=132/7661
64: reward=-35.54 vs 89.29, winner=blue, r_win=0:49:1, win=0:62:2, time=140/7801
65: reward=-35.90 vs 90.49, winner=blue, r_win=0:49:1, win=0:63:2, time=119/7921
66: reward=-35.01 vs 87.82, winner=blue, r_win=0:49:1, win=0:64:2, time=164/8085
67: reward=-34.82 vs 87.80, winner=blue, r_win=0:49:1, win=0:65:2, time=160/8245
68: reward=-36.27 vs 90.82, winner=blue, r_win=0:49:1, win=0:66:2, time=120/8365
69: reward=-35.67 vs 89.77, winner=blue, r_win=0:49:1, win=0:67:2, time=131/8496
70: reward=-36.37 vs 91.37, winner=blue, r_win=0:49:1, win=0:68:2, time=109/8606
71: reward=-35.02 vs 88.00, winner=blue, r_win=0:49:1, win=0:69:2, time=160/8766
72: reward=-35.08 vs 88.14, winner=blue, r_win=0:49:1, win=0:70:2, time=158/8923
