1: reward=-6.41 vs -21.41, winner=draw, r_win=0:0:1, win=0:0:1, time=267/267
2: reward=-12.21 vs 52.52, winner=blue, r_win=0:1:1, win=0:1:1, time=1098/1365
3: reward=-22.60 vs 74.51, winner=blue, r_win=0:2:1, win=0:2:1, time=327/1692
4: reward=84.28 vs -34.11, winner=red, r_win=1:2:1, win=1:2:1, time=472/2163
5: reward=-17.71 vs 66.28, winner=blue, r_win=1:3:1, win=1:3:1, time=499/2662
6: reward=-11.61 vs 56.78, winner=blue, r_win=1:4:1, win=1:4:1, time=819/3480
7: reward=-7.84 vs -19.84, winner=draw, r_win=1:4:2, win=1:4:2, time=323/3803
8: reward=-28.96 vs 84.40, winner=blue, r_win=1:5:2, win=1:5:2, time=174/3977
9: reward=-29.81 vs 86.52, winner=blue, r_win=1:6:2, win=1:6:2, time=141/4118
10: reward=-31.19 vs 87.73, winner=blue, r_win=1:7:2, win=1:7:2, time=146/4264
11: reward=-29.95 vs 86.88, winner=blue, r_win=1:8:2, win=1:8:2, time=136/4400
12: reward=-4.69 vs -16.69, winner=draw, r_win=1:8:3, win=1:8:3, time=788/5187
13: reward=-27.18 vs 83.95, winner=blue, r_win=1:9:3, win=1:9:3, time=165/5353
14: reward=-28.49 vs 85.23, winner=blue, r_win=1:10:3, win=1:10:3, time=153/5506
15: reward=-22.32 vs 73.80, winner=blue, r_win=1:11:3, win=1:11:3, time=342/5848
16: reward=-4.80 vs -19.80, winner=draw, r_win=1:11:4, win=1:11:4, time=441/6288
17: reward=-31.05 vs 87.37, winner=blue, r_win=1:12:4, win=1:12:4, time=151/6439
18: reward=-28.55 vs 83.39, winner=blue, r_win=1:13:4, win=1:13:4, time=191/6630
19: reward=-28.43 vs 85.08, winner=blue, r_win=1:14:4, win=1:14:4, time=155/6786
20: reward=-11.73 vs 55.07, winner=blue, r_win=1:15:4, win=1:15:4, time=933/7718
21: reward=-29.63 vs 86.08, winner=blue, r_win=1:16:4, win=1:16:4, time=148/7866
22: reward=-23.70 vs 77.24, winner=blue, r_win=1:17:4, win=1:17:4, time=273/8139
23: reward=-1.50 vs -15.00, winner=draw, r_win=1:17:5, win=1:17:5, time=1800/9939
24: reward=-31.05 vs 87.37, winner=blue, r_win=1:18:5, win=1:18:5, time=151/10090
25: reward=-27.07 vs 83.68, winner=blue, r_win=1:19:5, win=1:19:5, time=170/10260
26: reward=-23.12 vs 75.80, winner=blue, r_win=1:20:5, win=1:20:5, time=301/10560
27: reward=-31.05 vs 87.37, winner=blue, r_win=1:21:5, win=1:21:5, time=151/10711
28: reward=-29.84 vs 86.59, winner=blue, r_win=1:22:5, win=1:22:5, time=140/10851
29: reward=-33.04 vs 88.60, winner=blue, r_win=1:23:5, win=1:23:5, time=132/10984
30: reward=-1.50 vs -15.00, winner=draw, r_win=1:23:6, win=1:23:6, time=1800/12784
31: reward=-31.01 vs 87.53, winner=blue, r_win=1:24:6, win=1:24:6, time=133/12917
32: reward=0.50 vs -16.00, winner=draw, r_win=1:24:7, win=1:24:7, time=1800/14718
