1: reward=-26.41 vs 84.01, winner=blue, r_win=0:1:0, win=0:1:0, time=157/157
2: reward=-36.55 vs 92.87, winner=blue, r_win=0:2:0, win=0:2:0, time=114/270
3: reward=-8.23 vs -20.23, winner=draw, r_win=0:2:1, win=0:2:1, time=238/508
4: reward=-31.34 vs 88.09, winner=blue, r_win=0:3:1, win=0:3:1, time=140/648
5: reward=-6.54 vs -21.54, winner=draw, r_win=0:3:2, win=0:3:2, time=254/903
6: reward=-36.60 vs 93.26, winner=blue, r_win=0:4:2, win=0:4:2, time=94/997
7: reward=-37.05 vs 92.37, winner=blue, r_win=0:5:2, win=0:5:2, time=114/1110
8: reward=-29.92 vs 86.81, winner=blue, r_win=0:6:2, win=0:6:2, time=137/1247
9: reward=-31.81 vs 87.52, winner=blue, r_win=0:7:2, win=0:7:2, time=141/1388
10: reward=-33.73 vs 90.33, winner=blue, r_win=0:8:2, win=0:8:2, time=107/1496
11: reward=-31.66 vs 88.89, winner=blue, r_win=0:9:2, win=0:9:2, time=128/1624
12: reward=-32.19 vs 88.47, winner=blue, r_win=0:10:2, win=0:10:2, time=127/1750
13: reward=-13.14 vs 64.34, winner=blue, r_win=0:11:2, win=0:11:2, time=540/2290
14: reward=-32.40 vs 88.99, winner=blue, r_win=0:12:2, win=0:12:2, time=119/2409
15: reward=-5.70 vs -20.70, winner=draw, r_win=0:12:3, win=0:12:3, time=338/2747
16: reward=-31.10 vs 87.75, winner=blue, r_win=0:13:3, win=0:13:3, time=130/2877
17: reward=-32.63 vs 89.32, winner=blue, r_win=0:14:3, win=0:14:3, time=129/3006
18: reward=-31.34 vs 88.09, winner=blue, r_win=0:15:3, win=0:15:3, time=140/3146
19: reward=-29.63 vs 85.81, winner=blue, r_win=0:16:3, win=0:16:3, time=168/3314
20: reward=-33.89 vs 88.73, winner=blue, r_win=0:17:3, win=0:17:3, time=138/3452
21: reward=-31.78 vs 89.19, winner=blue, r_win=0:18:3, win=0:18:3, time=124/3575
22: reward=-27.96 vs 83.90, winner=blue, r_win=0:19:3, win=0:19:3, time=174/3750
23: reward=-9.99 vs -15.99, winner=draw, r_win=0:19:4, win=0:19:4, time=308/4057
24: reward=-28.99 vs 84.47, winner=blue, r_win=0:20:4, win=0:20:4, time=173/4230
25: reward=-31.54 vs 88.60, winner=blue, r_win=0:21:4, win=0:21:4, time=132/4363
26: reward=-35.96 vs 91.64, winner=blue, r_win=0:22:4, win=0:22:4, time=117/4480
27: reward=-7.94 vs -21.44, winner=draw, r_win=0:22:5, win=0:22:5, time=219/4699
28: reward=-8.81 vs -20.81, winner=draw, r_win=0:22:6, win=0:22:6, time=230/4929
29: reward=-31.37 vs 88.42, winner=blue, r_win=0:23:6, win=0:23:6, time=120/5050
30: reward=-33.04 vs 90.10, winner=blue, r_win=0:24:6, win=0:24:6, time=132/5182
31: reward=-29.78 vs 86.44, winner=blue, r_win=0:25:6, win=0:25:6, time=142/5324
32: reward=-27.49 vs 84.73, winner=blue, r_win=0:26:6, win=0:26:6, time=153/5478
33: reward=-30.35 vs 85.87, winner=blue, r_win=0:27:6, win=0:27:6, time=159/5636
34: reward=-9.66 vs 60.16, winner=blue, r_win=0:28:6, win=0:28:6, time=576/6212
35: reward=-29.92 vs 86.81, winner=blue, r_win=0:29:6, win=0:29:6, time=137/6349
36: reward=-31.34 vs 88.34, winner=blue, r_win=0:30:6, win=0:30:6, time=121/6470
37: reward=-28.53 vs 83.32, winner=blue, r_win=0:31:6, win=0:31:6, time=192/6662
38: reward=-7.94 vs -21.44, winner=draw, r_win=0:31:7, win=0:31:7, time=219/6881
39: reward=-28.02 vs 84.04, winner=blue, r_win=0:32:7, win=0:32:7, time=172/7053
40: reward=-36.29 vs 92.73, winner=blue, r_win=0:33:7, win=0:33:7, time=87/7141
41: reward=-26.38 vs 81.69, winner=blue, r_win=0:34:7, win=0:34:7, time=219/7360
42: reward=-23.20 vs 76.00, winner=blue, r_win=0:35:7, win=0:35:7, time=297/7656
43: reward=-23.26 vs 76.15, winner=blue, r_win=0:36:7, win=0:36:7, time=294/7950
44: reward=-25.98 vs 80.95, winner=blue, r_win=0:37:7, win=0:37:7, time=215/8165
45: reward=-30.78 vs 86.94, winner=blue, r_win=0:38:7, win=0:38:7, time=142/8307
46: reward=-28.74 vs 83.86, winner=blue, r_win=0:39:7, win=0:39:7, time=183/8490
47: reward=-26.38 vs 83.94, winner=blue, r_win=0:40:7, win=0:40:7, time=158/8648
48: reward=-7.35 vs -20.85, winner=draw, r_win=0:40:8, win=0:40:8, time=273/8921
49: reward=-30.84 vs 87.09, winner=blue, r_win=0:41:8, win=0:41:8, time=140/9061
50: reward=89.32 vs -36.93, winner=red, r_win=1:41:8, win=1:41:8, time=363/9423
51: reward=-13.28 vs 62.95, winner=blue, r_win=1:41:8, win=1:42:8, time=567/9990
52: reward=-30.32 vs 85.80, winner=blue, r_win=1:41:8, win=1:43:8, time=160/10150
53: reward=-36.48 vs 92.94, winner=blue, r_win=1:42:7, win=1:44:8, time=98/10248
54: reward=-31.10 vs 87.51, winner=blue, r_win=1:42:7, win=1:45:8, time=149/10397
55: reward=-11.25 vs 61.63, winner=blue, r_win=1:43:6, win=1:46:8, time=609/11006
56: reward=-17.22 vs 66.55, winner=blue, r_win=1:43:6, win=1:47:8, time=534/11539
57: reward=-6.46 vs -21.46, winner=draw, r_win=1:42:7, win=1:47:9, time=263/11802
58: reward=-7.94 vs -21.44, winner=draw, r_win=1:41:8, win=1:47:10, time=219/12021
