1: reward=78.28 vs -31.91, winner=red, r_win=1:0:0, win=1:0:0, time=364/364
2: reward=80.11 vs -32.70, winner=red, r_win=2:0:0, win=2:0:0, time=327/690
3: reward=79.11 vs -32.24, winner=red, r_win=3:0:0, win=3:0:0, time=346/1036
4: reward=80.50 vs -32.86, winner=red, r_win=4:0:0, win=4:0:0, time=319/1354
5: reward=80.26 vs -32.76, winner=red, r_win=5:0:0, win=5:0:0, time=324/1678
6: reward=79.73 vs -32.55, winner=red, r_win=6:0:0, win=6:0:0, time=335/2013
7: reward=79.20 vs -32.28, winner=red, r_win=7:0:0, win=7:0:0, time=344/2356
8: reward=76.87 vs -31.41, winner=red, r_win=8:0:0, win=8:0:0, time=398/2754
9: reward=77.93 vs -31.83, winner=red, r_win=9:0:0, win=9:0:0, time=374/3127
10: reward=77.64 vs -31.59, winner=red, r_win=10:0:0, win=10:0:0, time=376/3503
11: reward=79.39 vs -32.36, winner=red, r_win=11:0:0, win=11:0:0, time=340/3843
12: reward=70.87 vs -28.71, winner=red, r_win=12:0:0, win=12:0:0, time=542/4384
13: reward=80.65 vs -32.92, winner=red, r_win=13:0:0, win=13:0:0, time=316/4700
14: reward=77.78 vs -31.71, winner=red, r_win=14:0:0, win=14:0:0, time=375/5074
15: reward=78.77 vs -32.05, winner=red, r_win=15:0:0, win=15:0:0, time=351/5425
16: reward=79.21 vs -32.34, winner=red, r_win=16:0:0, win=16:0:0, time=346/5771
17: reward=74.73 vs -30.31, winner=red, r_win=17:0:0, win=17:0:0, time=440/6210
18: reward=76.59 vs -31.00, winner=red, r_win=18:0:0, win=18:0:0, time=393/6603
19: reward=79.92 vs -32.63, winner=red, r_win=19:0:0, win=19:0:0, time=331/6933
20: reward=79.21 vs -32.34, winner=red, r_win=20:0:0, win=20:0:0, time=346/7279
21: reward=80.06 vs -32.69, winner=red, r_win=21:0:0, win=21:0:0, time=328/7607
22: reward=77.97 vs -31.85, winner=red, r_win=22:0:0, win=22:0:0, time=373/7979
23: reward=78.11 vs -31.90, winner=red, r_win=23:0:0, win=23:0:0, time=370/8349
24: reward=79.54 vs -32.47, winner=red, r_win=24:0:0, win=24:0:0, time=339/8687
25: reward=74.79 vs -30.40, winner=red, r_win=25:0:0, win=25:0:0, time=441/9128
26: reward=79.63 vs -32.45, winner=red, r_win=26:0:0, win=26:0:0, time=335/9463
27: reward=78.14 vs -31.86, winner=red, r_win=27:0:0, win=27:0:0, time=367/9829
28: reward=80.85 vs -33.00, winner=red, r_win=28:0:0, win=28:0:0, time=312/10141
29: reward=79.72 vs -32.49, winner=red, r_win=29:0:0, win=29:0:0, time=333/10473
30: reward=-31.12 vs 79.14, winner=blue, r_win=29:1:0, win=29:1:0, time=306/10779
31: reward=79.06 vs -32.22, winner=red, r_win=30:1:0, win=30:1:0, time=347/11126
32: reward=78.51 vs -32.07, winner=red, r_win=31:1:0, win=31:1:0, time=361/11486
33: reward=74.33 vs -29.91, winner=red, r_win=32:1:0, win=32:1:0, time=440/11926
34: reward=78.60 vs -32.04, winner=red, r_win=33:1:0, win=33:1:0, time=357/12282
35: reward=80.60 vs -32.90, winner=red, r_win=34:1:0, win=34:1:0, time=317/12599
36: reward=78.47 vs -32.05, winner=red, r_win=35:1:0, win=35:1:0, time=362/12961
37: reward=78.29 vs -31.97, winner=red, r_win=36:1:0, win=36:1:0, time=366/13326
38: reward=77.66 vs -31.72, winner=red, r_win=37:1:0, win=37:1:0, time=380/13706
39: reward=80.05 vs -32.50, winner=red, r_win=38:1:0, win=38:1:0, time=322/14027
40: reward=79.44 vs -32.44, winner=red, r_win=39:1:0, win=39:1:0, time=341/14368
41: reward=78.65 vs -32.12, winner=red, r_win=40:1:0, win=40:1:0, time=358/14726
42: reward=77.83 vs -31.73, winner=red, r_win=41:1:0, win=41:1:0, time=374/15099
43: reward=79.28 vs -32.19, winner=red, r_win=42:1:0, win=42:1:0, time=338/15437
44: reward=81.65 vs -33.26, winner=red, r_win=43:1:0, win=43:1:0, time=294/15730
45: reward=75.99 vs -30.76, winner=red, r_win=44:1:0, win=44:1:0, time=407/16137
46: reward=77.30 vs -31.34, winner=red, r_win=45:1:0, win=45:1:0, time=379/16516
47: reward=80.55 vs -32.76, winner=red, r_win=46:1:0, win=46:1:0, time=314/16829
48: reward=80.01 vs -32.48, winner=red, r_win=47:1:0, win=47:1:0, time=323/17152
49: reward=79.67 vs -32.35, winner=red, r_win=48:1:0, win=48:1:0, time=330/17481
50: reward=80.16 vs -32.72, winner=red, r_win=49:1:0, win=49:1:0, time=326/17807
51: reward=78.88 vs -32.21, winner=red, r_win=49:1:0, win=50:1:0, time=353/18160
52: reward=80.95 vs -33.04, winner=red, r_win=49:1:0, win=51:1:0, time=310/18469
53: reward=77.78 vs -31.71, winner=red, r_win=49:1:0, win=52:1:0, time=375/18844
54: reward=80.75 vs -32.96, winner=red, r_win=49:1:0, win=53:1:0, time=314/19157
55: reward=79.25 vs -32.30, winner=red, r_win=49:1:0, win=54:1:0, time=343/19500
56: reward=80.25 vs -32.70, winner=red, r_win=49:1:0, win=55:1:0, time=322/19822
57: reward=77.47 vs -31.59, winner=red, r_win=49:1:0, win=56:1:0, time=382/20203
58: reward=79.44 vs -32.37, winner=red, r_win=49:1:0, win=57:1:0, time=339/20542
59: reward=80.80 vs -32.98, winner=red, r_win=49:1:0, win=58:1:0, time=313/20854
60: reward=78.08 vs -31.71, winner=red, r_win=49:1:0, win=59:1:0, time=364/21218
61: reward=78.27 vs -31.85, winner=red, r_win=49:1:0, win=60:1:0, time=362/21580
62: reward=78.85 vs -31.96, winner=red, r_win=49:1:0, win=61:1:0, time=345/21924
