1: reward=-17.73 vs -13.33, winner=draw, r_win=0:0:1, win=0:0:1, time=356/356
2: reward=-34.03 vs 83.74, winner=blue, r_win=0:1:1, win=0:1:1, time=252/608
3: reward=-17.60 vs -13.20, winner=draw, r_win=0:1:2, win=0:1:2, time=370/978
4: reward=79.35 vs -30.96, winner=red, r_win=1:1:2, win=1:1:2, time=294/1271
5: reward=-33.95 vs 83.22, winner=blue, r_win=1:2:2, win=1:2:2, time=266/1537
6: reward=-32.94 vs 80.99, winner=blue, r_win=1:3:2, win=1:3:2, time=305/1841
7: reward=-33.42 vs 81.00, winner=blue, r_win=1:4:2, win=1:4:2, time=321/2162
8: reward=-32.48 vs 80.30, winner=blue, r_win=1:5:2, win=1:5:2, time=313/2475
9: reward=-33.36 vs 82.34, winner=blue, r_win=1:6:2, win=1:6:2, time=275/2749
10: reward=-34.65 vs 85.12, winner=blue, r_win=1:7:2, win=1:7:2, time=229/2978
11: reward=-32.88 vs 80.84, winner=blue, r_win=1:8:2, win=1:8:2, time=308/3286
12: reward=-35.47 vs 87.19, winner=blue, r_win=1:9:2, win=1:9:2, time=194/3480
13: reward=-32.46 vs 77.85, winner=blue, r_win=1:10:2, win=1:10:2, time=401/3881
14: reward=-35.23 vs 86.43, winner=blue, r_win=1:11:2, win=1:11:2, time=208/4089
15: reward=-33.71 vs 83.08, winner=blue, r_win=1:12:2, win=1:12:2, time=263/4351
16: reward=-17.70 vs -15.70, winner=draw, r_win=1:12:3, win=1:12:3, time=240/4592
17: reward=-34.06 vs 83.66, winner=blue, r_win=1:13:3, win=1:13:3, time=256/4847
18: reward=-33.10 vs 81.55, winner=blue, r_win=1:14:3, win=1:14:3, time=292/5139
19: reward=-34.96 vs 86.20, winner=blue, r_win=1:15:3, win=1:15:3, time=207/5346
20: reward=-36.13 vs 89.58, winner=blue, r_win=1:16:3, win=1:16:3, time=148/5494
21: reward=-36.69 vs 90.97, winner=blue, r_win=1:17:3, win=1:17:3, time=127/5621
22: reward=82.26 vs -32.30, winner=red, r_win=2:17:3, win=2:17:3, time=245/5865
23: reward=-34.74 vs 86.26, winner=blue, r_win=2:18:3, win=2:18:3, time=199/6065
24: reward=-36.19 vs 89.73, winner=blue, r_win=2:19:3, win=2:19:3, time=146/6210
25: reward=-33.02 vs 81.51, winner=blue, r_win=2:20:3, win=2:20:3, time=291/6501
26: reward=-35.45 vs 87.73, winner=blue, r_win=2:21:3, win=2:21:3, time=179/6680
27: reward=82.08 vs -32.23, winner=red, r_win=3:21:3, win=3:21:3, time=248/6927
28: reward=-35.06 vs 87.05, winner=blue, r_win=3:22:3, win=3:22:3, time=186/7114
29: reward=-34.55 vs 84.58, winner=blue, r_win=3:23:3, win=3:23:3, time=242/7356
30: reward=-34.21 vs 84.02, winner=blue, r_win=3:24:3, win=3:24:3, time=249/7605
31: reward=-33.98 vs 83.44, winner=blue, r_win=3:25:3, win=3:25:3, time=260/7865
32: reward=-36.39 vs 90.67, winner=blue, r_win=3:26:3, win=3:26:3, time=127/7992
33: reward=-33.90 vs 83.39, winner=blue, r_win=3:27:3, win=3:27:3, time=259/8250
34: reward=-36.09 vs 89.93, winner=blue, r_win=3:28:3, win=3:28:3, time=138/8388
35: reward=-35.73 vs 87.52, winner=blue, r_win=3:29:3, win=3:29:3, time=192/8580
36: reward=-34.09 vs 83.72, winner=blue, r_win=3:30:3, win=3:30:3, time=254/8834
37: reward=83.88 vs -32.95, winner=red, r_win=4:30:3, win=4:30:3, time=216/9050
38: reward=-37.52 vs 93.79, winner=blue, r_win=4:31:3, win=4:31:3, time=80/9130
39: reward=-32.27 vs 79.61, winner=blue, r_win=4:32:3, win=4:32:3, time=329/9459
40: reward=-35.11 vs 86.27, winner=blue, r_win=4:33:3, win=4:33:3, time=209/9668
41: reward=-34.75 vs 85.08, winner=blue, r_win=4:34:3, win=4:34:3, time=234/9902
42: reward=-35.96 vs 89.45, winner=blue, r_win=4:35:3, win=4:35:3, time=147/10048
43: reward=-37.16 vs 93.05, winner=blue, r_win=4:36:3, win=4:36:3, time=88/10137
44: reward=-33.26 vs 81.50, winner=blue, r_win=4:37:3, win=4:37:3, time=299/10435
45: reward=-32.80 vs 80.95, winner=blue, r_win=4:38:3, win=4:38:3, time=302/10737
46: reward=-33.71 vs 83.08, winner=blue, r_win=4:39:3, win=4:39:3, time=263/11000
47: reward=-34.48 vs 84.69, winner=blue, r_win=4:40:3, win=4:40:3, time=237/11236
48: reward=-32.32 vs 79.76, winner=blue, r_win=4:41:3, win=4:41:3, time=326/11562
49: reward=-34.28 vs 84.20, winner=blue, r_win=4:42:3, win=4:42:3, time=246/11808
50: reward=-31.97 vs 79.17, winner=blue, r_win=4:43:3, win=4:43:3, time=334/12141
51: reward=-34.63 vs 84.91, winner=blue, r_win=4:44:2, win=4:44:3, time=235/12376
52: reward=-34.36 vs 84.24, winner=blue, r_win=4:44:2, win=4:45:3, time=247/12623
53: reward=-33.80 vs 83.29, winner=blue, r_win=4:45:1, win=4:46:3, time=259/12881
54: reward=-34.10 vs 84.06, winner=blue, r_win=3:46:1, win=4:47:3, time=245/13126
55: reward=-17.73 vs -14.93, winner=draw, r_win=3:45:2, win=4:47:4, time=275/13401
56: reward=82.02 vs -32.21, winner=red, r_win=4:44:2, win=5:47:4, time=249/13650
57: reward=-32.93 vs 81.72, winner=blue, r_win=4:44:2, win=5:48:4, time=281/13930
58: reward=-35.18 vs 86.15, winner=blue, r_win=4:44:2, win=5:49:4, time=215/14145
59: reward=84.53 vs -33.21, winner=red, r_win=5:43:2, win=6:49:4, time=205/14350
60: reward=-34.55 vs 84.88, winner=blue, r_win=5:43:2, win=6:50:4, time=234/14584
61: reward=-34.02 vs 83.55, winner=blue, r_win=5:43:2, win=6:51:4, time=258/14841
62: reward=-34.40 vs 84.36, winner=blue, r_win=5:43:2, win=6:52:4, time=245/15086
63: reward=-35.33 vs 86.53, winner=blue, r_win=5:43:2, win=6:53:4, time=208/15294
64: reward=-34.70 vs 84.95, winner=blue, r_win=5:43:2, win=6:54:4, time=236/15530
65: reward=-33.41 vs 80.67, winner=blue, r_win=5:43:2, win=6:55:4, time=332/15862
66: reward=-33.40 vs 82.44, winner=blue, r_win=5:44:1, win=6:56:4, time=273/16134
67: reward=-32.52 vs 80.54, winner=blue, r_win=5:44:1, win=6:57:4, time=306/16440
68: reward=-33.25 vs 82.08, winner=blue, r_win=5:44:1, win=6:58:4, time=280/16719
69: reward=-34.90 vs 85.45, winner=blue, r_win=5:44:1, win=6:59:4, time=227/16946
70: reward=-33.74 vs 82.85, winner=blue, r_win=5:44:1, win=6:60:4, time=271/17217
71: reward=-34.83 vs 85.41, winner=blue, r_win=5:44:1, win=6:61:4, time=226/17443
72: reward=-17.54 vs -15.54, winner=draw, r_win=4:44:2, win=6:61:5, time=254/17697
73: reward=-17.80 vs -15.80, winner=draw, r_win=4:43:3, win=6:61:6, time=231/17929
74: reward=-31.86 vs 78.89, winner=blue, r_win=4:43:3, win=6:62:6, time=340/18268
75: reward=-34.14 vs 83.70, winner=blue, r_win=4:43:3, win=6:63:6, time=257/18525
76: reward=-35.39 vs 88.33, winner=blue, r_win=4:43:3, win=6:64:6, time=161/18686
77: reward=-33.89 vs 83.22, winner=blue, r_win=3:44:3, win=6:65:6, time=264/18950
78: reward=-35.53 vs 87.93, winner=blue, r_win=3:44:3, win=6:66:6, time=175/19125
79: reward=-34.60 vs 85.00, winner=blue, r_win=3:44:3, win=6:67:6, time=231/19356
80: reward=-35.13 vs 86.02, winner=blue, r_win=3:44:3, win=6:68:6, time=217/19573
81: reward=-32.74 vs 80.95, winner=blue, r_win=3:44:3, win=6:69:6, time=300/19873
82: reward=-33.65 vs 83.08, winner=blue, r_win=3:44:3, win=6:70:6, time=261/20134
83: reward=76.83 vs -29.71, winner=red, r_win=4:43:3, win=7:70:6, time=337/20470
84: reward=-32.93 vs 81.72, winner=blue, r_win=4:43:3, win=7:71:6, time=281/20751
85: reward=-34.53 vs 85.11, winner=blue, r_win=4:43:3, win=7:72:6, time=226/20977
86: reward=-33.84 vs 83.40, winner=blue, r_win=4:43:3, win=7:73:6, time=257/21233
87: reward=-35.16 vs 86.24, winner=blue, r_win=3:44:3, win=7:74:6, time=212/21445
88: reward=-34.60 vs 84.85, winner=blue, r_win=3:44:3, win=7:75:6, time=236/21681
89: reward=-32.67 vs 79.87, winner=blue, r_win=3:44:3, win=7:76:6, time=334/22014
90: reward=-17.99 vs -15.79, winner=draw, r_win=3:43:4, win=7:76:7, time=224/22238
91: reward=-33.86 vs 83.46, winner=blue, r_win=3:43:4, win=7:77:7, time=256/22494
92: reward=-33.78 vs 82.96, winner=blue, r_win=3:43:4, win=7:78:7, time=269/22762
93: reward=-34.43 vs 84.71, winner=blue, r_win=3:43:4, win=7:79:7, time=235/22997
94: reward=-34.25 vs 84.28, winner=blue, r_win=3:43:4, win=7:80:7, time=242/23239
95: reward=-33.37 vs 82.23, winner=blue, r_win=3:43:4, win=7:81:7, time=279/23518
96: reward=-33.16 vs 81.55, winner=blue, r_win=3:43:4, win=7:82:7, time=294/23812
97: reward=-17.07 vs -13.87, winner=draw, r_win=3:42:5, win=7:82:8, time=362/24173
98: reward=-32.76 vs 81.15, winner=blue, r_win=3:42:5, win=7:83:8, time=294/24467
99: reward=-35.18 vs 86.15, winner=blue, r_win=3:42:5, win=7:84:8, time=215/24682
100: reward=84.46 vs -33.19, winner=red, r_win=4:41:5, win=8:84:8, time=206/24888
101: reward=-35.44 vs 86.79, winner=blue, r_win=4:41:5, win=8:85:8, time=204/25092
102: reward=-35.77 vs 88.66, winner=blue, r_win=4:41:5, win=8:86:8, time=162/25254
103: reward=-16.00 vs -15.40, winner=draw, r_win=4:40:6, win=8:86:9, time=338/25591
104: reward=-32.70 vs 80.85, winner=blue, r_win=4:40:6, win=8:87:9, time=302/25893
105: reward=-35.44 vs 88.01, winner=blue, r_win=4:41:5, win=8:88:9, time=171/26064
106: reward=-16.27 vs -15.07, winner=draw, r_win=3:41:6, win=8:88:10, time=341/26404
107: reward=-33.58 vs 82.59, winner=blue, r_win=3:41:6, win=8:89:10, time=274/26678
108: reward=-34.53 vs 84.52, winner=blue, r_win=3:41:6, win=8:90:10, time=243/26922
109: reward=-35.46 vs 87.90, winner=blue, r_win=2:42:6, win=8:91:10, time=174/27096
110: reward=-34.98 vs 86.11, winner=blue, r_win=2:42:6, win=8:92:10, time=210/27306
111: reward=-33.78 vs 83.56, winner=blue, r_win=2:42:6, win=8:93:10, time=250/27556
112: reward=81.66 vs -32.06, winner=red, r_win=3:41:6, win=9:93:10, time=256/27812
113: reward=-33.80 vs 83.01, winner=blue, r_win=3:41:6, win=9:94:10, time=268/28080
114: reward=-33.69 vs 82.58, winner=blue, r_win=3:41:6, win=9:95:10, time=278/28357
115: reward=81.50 vs -31.94, winner=red, r_win=4:40:6, win=10:95:10, time=257/28614
116: reward=-36.02 vs 88.26, winner=blue, r_win=4:40:6, win=10:96:10, time=180/28793
117: reward=-32.75 vs 79.17, winner=blue, r_win=4:40:6, win=10:97:10, time=362/29155
118: reward=-32.04 vs 79.51, winner=blue, r_win=4:40:6, win=10:98:10, time=325/29480
119: reward=-31.60 vs 78.55, winner=blue, r_win=4:40:6, win=10:99:10, time=343/29822
120: reward=-32.92 vs 81.10, winner=blue, r_win=4:40:6, win=10:100:10, time=301/30123
121: reward=-33.30 vs 82.34, winner=blue, r_win=4:40:6, win=10:101:10, time=273/30395
122: reward=-33.49 vs 82.82, winner=blue, r_win=4:41:5, win=10:102:10, time=264/30659
123: reward=-32.90 vs 81.35, winner=blue, r_win=4:42:4, win=10:103:10, time=292/30951
124: reward=-33.43 vs 80.58, winner=blue, r_win=4:42:4, win=10:104:10, time=336/31286
