1: reward=79.62 vs -30.83, winner=red, r_win=1:0:0, win=1:0:0, time=281/281
2: reward=79.05 vs -30.60, winner=red, r_win=2:0:0, win=2:0:0, time=292/572
3: reward=75.73 vs -29.09, winner=red, r_win=3:0:0, win=3:0:0, time=354/926
4: reward=79.36 vs -30.73, winner=red, r_win=4:0:0, win=4:0:0, time=286/1211
5: reward=79.88 vs -30.99, winner=red, r_win=5:0:0, win=5:0:0, time=278/1489
6: reward=77.51 vs -29.98, winner=red, r_win=6:0:0, win=6:0:0, time=323/1812
7: reward=79.21 vs -30.66, winner=red, r_win=7:0:0, win=7:0:0, time=289/2100
8: reward=79.11 vs -30.62, winner=red, r_win=8:0:0, win=8:0:0, time=291/2391
9: reward=79.47 vs -30.77, winner=red, r_win=9:0:0, win=9:0:0, time=284/2674
10: reward=79.31 vs -30.70, winner=red, r_win=10:0:0, win=10:0:0, time=287/2961
11: reward=80.51 vs -31.30, winner=red, r_win=11:0:0, win=11:0:0, time=268/3229
12: reward=77.90 vs -30.14, winner=red, r_win=12:0:0, win=12:0:0, time=315/3543
13: reward=80.26 vs -31.08, winner=red, r_win=13:0:0, win=13:0:0, time=269/3812
14: reward=78.45 vs -30.30, winner=red, r_win=14:0:0, win=14:0:0, time=302/4113
15: reward=79.72 vs -30.93, winner=red, r_win=15:0:0, win=15:0:0, time=281/4394
16: reward=80.95 vs -31.42, winner=red, r_win=16:0:0, win=16:0:0, time=258/4652
17: reward=78.24 vs -30.22, winner=red, r_win=17:0:0, win=17:0:0, time=306/4957
18: reward=-18.10 vs -15.30, winner=draw, r_win=17:0:1, win=17:0:1, time=240/5197
19: reward=79.21 vs -30.66, winner=red, r_win=18:0:1, win=18:0:1, time=289/5486
20: reward=78.19 vs -30.26, winner=red, r_win=19:0:1, win=19:0:1, time=309/5795
21: reward=78.95 vs -30.50, winner=red, r_win=20:0:1, win=20:0:1, time=292/6086
22: reward=61.25 vs -22.58, winner=red, r_win=21:0:1, win=21:0:1, time=745/6831
23: reward=75.65 vs -29.12, winner=red, r_win=22:0:1, win=22:0:1, time=358/7188
24: reward=-17.77 vs -13.97, winner=draw, r_win=22:0:2, win=22:0:2, time=320/7508
25: reward=78.80 vs -30.50, winner=red, r_win=23:0:2, win=23:0:2, time=297/7805
26: reward=77.80 vs -29.92, winner=red, r_win=24:0:2, win=24:0:2, time=311/8115
27: reward=80.19 vs -31.18, winner=red, r_win=25:0:2, win=25:0:2, time=274/8389
28: reward=-33.79 vs 81.02, winner=blue, r_win=25:1:2, win=25:1:2, time=333/8721
29: reward=80.14 vs -31.16, winner=red, r_win=26:1:2, win=26:1:2, time=275/8996
30: reward=74.60 vs -28.64, winner=red, r_win=27:1:2, win=27:1:2, time=379/9375
31: reward=81.26 vs -31.66, winner=red, r_win=28:1:2, win=28:1:2, time=256/9630
32: reward=79.62 vs -30.83, winner=red, r_win=29:1:2, win=29:1:2, time=281/9911
33: reward=80.04 vs -31.06, winner=red, r_win=30:1:2, win=30:1:2, time=275/10185
34: reward=77.85 vs -30.06, winner=red, r_win=31:1:2, win=31:1:2, time=314/10499
35: reward=80.84 vs -31.38, winner=red, r_win=32:1:2, win=32:1:2, time=260/10759
36: reward=82.13 vs -31.95, winner=red, r_win=33:1:2, win=33:1:2, time=238/10997
37: reward=-33.42 vs 82.50, winner=blue, r_win=33:2:2, win=33:2:2, time=272/11268
38: reward=78.70 vs -30.40, winner=red, r_win=34:2:2, win=34:2:2, time=297/11565
39: reward=76.40 vs -29.42, winner=red, r_win=35:2:2, win=35:2:2, time=342/11906
40: reward=79.21 vs -30.66, winner=red, r_win=36:2:2, win=36:2:2, time=289/12195
41: reward=79.88 vs -30.99, winner=red, r_win=37:2:2, win=37:2:2, time=278/12473
42: reward=79.21 vs -30.66, winner=red, r_win=38:2:2, win=38:2:2, time=289/12761
43: reward=80.62 vs -31.29, winner=red, r_win=39:2:2, win=39:2:2, time=264/13025
44: reward=74.83 vs -28.73, winner=red, r_win=40:2:2, win=40:2:2, time=374/13398
45: reward=-17.76 vs -13.96, winner=draw, r_win=40:2:3, win=40:2:3, time=321/13719
46: reward=79.52 vs -30.79, winner=red, r_win=41:2:3, win=41:2:3, time=283/14002
47: reward=-31.31 vs 75.42, winner=blue, r_win=41:3:3, win=41:3:3, time=453/14454
48: reward=80.19 vs -31.18, winner=red, r_win=42:3:3, win=42:3:3, time=274/14728
49: reward=-17.61 vs -13.61, winner=draw, r_win=42:3:4, win=42:3:4, time=347/15074
50: reward=79.72 vs -30.93, winner=red, r_win=43:3:4, win=43:3:4, time=281/15355
51: reward=74.83 vs -28.73, winner=red, r_win=43:3:4, win=44:3:4, time=374/15729
52: reward=-31.52 vs 76.26, winner=blue, r_win=42:4:4, win=44:4:4, time=427/16155
53: reward=80.15 vs -31.04, winner=red, r_win=42:4:4, win=45:4:4, time=271/16426
54: reward=79.41 vs -30.75, winner=red, r_win=42:4:4, win=46:4:4, time=285/16710
55: reward=76.68 vs -29.59, winner=red, r_win=42:4:4, win=47:4:4, time=338/17048
56: reward=78.50 vs -30.32, winner=red, r_win=42:4:4, win=48:4:4, time=301/17349
57: reward=79.21 vs -30.66, winner=red, r_win=42:4:4, win=49:4:4, time=289/17637
58: reward=79.31 vs -30.70, winner=red, r_win=42:4:4, win=50:4:4, time=287/17924
59: reward=73.67 vs -28.21, winner=red, r_win=42:4:4, win=51:4:4, time=398/18321
60: reward=73.80 vs -28.26, winner=red, r_win=42:4:4, win=52:4:4, time=395/18716
61: reward=79.57 vs -30.81, winner=red, r_win=42:4:4, win=53:4:4, time=282/18998
62: reward=78.60 vs -30.42, winner=red, r_win=42:4:4, win=54:4:4, time=301/19298
63: reward=79.16 vs -30.58, winner=red, r_win=42:4:4, win=55:4:4, time=288/19586
64: reward=79.88 vs -30.99, winner=red, r_win=42:4:4, win=56:4:4, time=278/19863
65: reward=79.83 vs -30.97, winner=red, r_win=42:4:4, win=57:4:4, time=279/20142
66: reward=79.73 vs -30.87, winner=red, r_win=42:4:4, win=58:4:4, time=279/20421
67: reward=74.43 vs -28.57, winner=red, r_win=42:4:4, win=59:4:4, time=383/20803
68: reward=79.83 vs -30.97, winner=red, r_win=43:4:3, win=60:4:4, time=279/21082
69: reward=79.36 vs -30.73, winner=red, r_win=43:4:3, win=61:4:4, time=286/21367
70: reward=79.62 vs -30.89, winner=red, r_win=43:4:3, win=62:4:4, time=283/21650
71: reward=80.04 vs -31.06, winner=red, r_win=43:4:3, win=63:4:4, time=275/21925
72: reward=78.80 vs -30.44, winner=red, r_win=43:4:3, win=64:4:4, time=295/22219
73: reward=-15.89 vs -12.89, winner=draw, r_win=42:4:4, win=64:4:5, time=494/22713
