1: reward=-17.99 vs -13.79, winner=draw, r_win=0:0:1, win=0:0:1, time=318/318
2: reward=-35.19 vs 86.46, winner=blue, r_win=0:1:1, win=0:1:1, time=206/524
3: reward=-17.88 vs -14.28, winner=draw, r_win=0:1:2, win=0:1:2, time=299/822
4: reward=-33.58 vs 82.59, winner=blue, r_win=0:2:2, win=0:2:2, time=274/1096
5: reward=-18.09 vs -14.89, winner=draw, r_win=0:2:3, win=0:2:3, time=260/1355
6: reward=-33.76 vs 81.85, winner=blue, r_win=0:3:3, win=0:3:3, time=304/1659
7: reward=-33.36 vs 80.39, winner=blue, r_win=0:4:3, win=0:4:3, time=340/1999
8: reward=84.69 vs -33.22, winner=red, r_win=1:4:3, win=1:4:3, time=201/2199
9: reward=78.00 vs -30.18, winner=red, r_win=2:4:3, win=2:4:3, time=313/2512
10: reward=-34.73 vs 85.47, winner=blue, r_win=2:5:3, win=2:5:3, time=221/2733
11: reward=-33.05 vs 81.88, winner=blue, r_win=2:6:3, win=2:6:3, time=280/3013
12: reward=77.45 vs -29.72, winner=red, r_win=3:6:3, win=3:6:3, time=316/3329
13: reward=-17.90 vs -14.50, winner=draw, r_win=3:6:4, win=3:6:4, time=287/3615
14: reward=-33.96 vs 81.75, winner=blue, r_win=3:7:4, win=3:7:4, time=314/3929
15: reward=-33.99 vs 83.62, winner=blue, r_win=3:8:4, win=3:8:4, time=254/4183
16: reward=-34.68 vs 85.34, winner=blue, r_win=3:9:4, win=3:9:4, time=224/4407
17: reward=-34.28 vs 84.20, winner=blue, r_win=3:10:4, win=3:10:4, time=246/4653
18: reward=-32.78 vs 81.36, winner=blue, r_win=3:11:4, win=3:11:4, time=288/4940
19: reward=-34.28 vs 84.20, winner=blue, r_win=3:12:4, win=3:12:4, time=246/5186
20: reward=-17.34 vs -14.34, winner=draw, r_win=3:12:5, win=3:12:5, time=323/5509
21: reward=-18.04 vs -14.24, winner=draw, r_win=3:12:6, win=3:12:6, time=293/5801
22: reward=-33.02 vs 79.25, winner=blue, r_win=3:13:6, win=3:13:6, time=369/6170
23: reward=-18.01 vs -15.01, winner=draw, r_win=3:13:7, win=3:13:7, time=258/6427
24: reward=-33.19 vs 81.92, winner=blue, r_win=3:14:7, win=3:14:7, time=283/6710
25: reward=-17.65 vs -14.25, winner=draw, r_win=3:14:8, win=3:14:8, time=312/7022
26: reward=-33.41 vs 82.17, winner=blue, r_win=3:15:8, win=3:15:8, time=282/7303
27: reward=-33.23 vs 81.86, winner=blue, r_win=3:16:8, win=3:16:8, time=286/7589
28: reward=-30.86 vs 76.85, winner=blue, r_win=3:17:8, win=3:17:8, time=378/7966
29: reward=86.06 vs -33.82, winner=red, r_win=4:17:8, win=4:17:8, time=180/8146
30: reward=-35.98 vs 89.34, winner=blue, r_win=4:18:8, win=4:18:8, time=150/8296
31: reward=-17.96 vs -15.76, winner=draw, r_win=4:18:9, win=4:18:9, time=226/8522
32: reward=-17.33 vs -14.13, winner=draw, r_win=4:18:10, win=4:18:10, time=334/8856
33: reward=-32.93 vs 81.72, winner=blue, r_win=4:19:10, win=4:19:10, time=281/9136
